மற்றும்	y
பயணம்	travesía
பயணம்	viajes
தீவு	isla
நிர்வாக	administrativos
நிர்வாக	administrativo
நிர்வாக	administrativa
நிர்வாக	administrativas
ஒளி	ligera
ஒளி	luz
ஒளி	ligero
ஆசிய	asiáticas
ஆசிய	asiáticos
ஆசிய	asiática
ஆசிய	asiático
ஆசிய	asia
விகிதம்	porcentaje
விகிதம்	proporción
விகிதம்	calificar
விகிதம்	tasa
விகிதம்	%
விகிதம்	coeficiente
விகிதம்	cociente
சாலை	carretera
சாலை	camino
குடியரசு	republica
குடியரசு	república
நகரங்கள்	ciudades
அனைத்தும்	todo
அனைத்தும்	todas
அனைத்தும்	todos
மேலாண்மை	gerencia
மேலாண்மை	administración
மேலாண்மை	dirección
மேலாண்மை	gestión
இங்கே	aqui
இங்கே	aquí
இங்கே	acá
இங்கே	aca
இயற்பியல்	fisica
இயற்பியல்	física
இயற்பியல்	físicas
இதழ்	cargador
இதழ்	revista
இதழ்	revistas
கலைஞர்	artistas
கலைஞர்	artista
குறிப்பிடத்தக்கது	significante
குறிப்பிடத்தக்கது	significativas
குறிப்பிடத்தக்கது	notable
குறிப்பிடத்தக்கது	significativa
குறிப்பிடத்தக்கது	significativos
குறிப்பிடத்தக்கது	significativo
ஒலிம்பிக்	olimpiadas
ஒலிம்பிக்	olímpica
ஒலிம்பிக்	olímpico
ஒலிம்பிக்	olímpicos
மலேசிய	malasia
மலேசிய	malayo
மாவட்டங்கள்	distritos
மாவட்டங்கள்	barrios
உருவாக்கப்பட்டது	creado
உருவாக்கப்பட்டது	creadas
உருவாக்கப்பட்டது	creada
உருவாக்கப்பட்டது	creados
உருவாக்கப்பட்டது	creó
எவ்வாறு	como
எவ்வாறு	cómo
தொடங்கியது	comenzado
தொடங்கியது	iniciado
தொடங்கியது	iniciada
தொடங்கியது	comenzó
வெள்ளை	blancos
வெள்ளை	blanco
வெள்ளை	blancas
வெள்ளை	blanca
இருப்பது	siendo
இருப்பது	estar
இருப்பது	ser
சுற்றி	alrededor
எப்படி	como
எப்படி	cómo
பில்லியன்	billón
பில்லியன்	billones
பேரரசு	imperio
நீளம்	eslora
நீளம்	longitud
ஆராய்ச்சி	investigacion
ஆராய்ச்சி	investigación
ஆராய்ச்சி	investigaciones
தளம்	plataforma
தளம்	dominios
தளம்	andén
தளம்	plataformas
தளம்	dominio
தளம்	sitio
விழா	ceremonia
விழா	ceremonias
விழா	festivales
பக்கத்தில்	página
பக்கத்தில்	pagina
ஏற்பட்டது	ocurrió
புற	remoto
புற	remotas
புற	remota
முன்னணி	frontal
முன்னணி	delantero
முன்னணி	fachada
முன்னணி	frente
புவியியல்	geografía
அடையாளம்	señal
அடையாளம்	etiquetar
அடையாளம்	firmar
அடையாளம்	etiqueta
அடையாளம்	signo
அடையாளம்	firma
அடையாளம்	firme
அடையாளம்	identificación
அடையாளம்	identidad
குறியீடு	signatura
குறியீடு	códigos
குறியீடு	código
குறியீடு	codificación
குறியீடு	símbolo
குறியீடு	codigo
செயல்	acción
செயல்	accion
செயல்	operación
செயல்	funcionamiento
செயல்	función
மன்னன்	rey
பயன்பாடு	solicitud
பயன்பாடு	aplicacion
பயன்பாடு	uso
பயன்பாடு	utilización
பயன்பாடு	aplicación
முறைகள்	métodos
சொந்த	personales
சொந்த	propio
சொந்த	propias
சொந்த	propia
சொந்த	propios
வார்ப்புரு	plantilla
கிரேக்க	griegos
கிரேக்க	griego
கிரேக்க	griega
காதல்	amar
காதல்	amor
காதல்	románticas
காதல்	románticos
காதல்	amores
காதல்	romántico
காதல்	romántica
இவன்	iván
இருவரும்	tanto
இருவரும்	ambas
இருவரும்	ambos
வகைப்பாடு	clasificación
எடுத்துக்	tomar
எடுத்துக்	tomadas
எடுத்துக்	tomado
எடுத்துக்	tomada
எடுத்துக்	toma
எடுத்துக்	tome
எடுத்துக்	tomados
கனடா	canadá
குழந்தைகள்	niños
குழந்தைகள்	ninos
குழந்தைகள்	niñez
குழந்தைகள்	infancia
அனைவரும்	todo
அனைவரும்	todos
அனைவரும்	todas
ஆரம்ப	iniciando
ஆரம்ப	comenzando
ஆரம்ப	empezando
தகவல்கள்	informaciones
தகவல்கள்	informacion
தகவல்கள்	información
வில்லியம்	guillermo
பெயர்கள்	nombres
அணு	átomo
பின்பு	luego
பின்பு	entonces
மாணவர்கள்	estudiantes
மாணவர்கள்	alumnos
சரியான	perfecto
சரியான	perfectos
சரியான	perfectas
சரியான	correcta
சரியான	correcto
சரியான	perfecta
சரியான	corregir
சரியான	corrija
உருவாக்கப்பட்ட	creado
உருவாக்கப்பட்ட	creadas
உருவாக்கப்பட்ட	creada
உருவாக்கப்பட்ட	creados
உருவாக்கப்பட்ட	creó
சபை	consejo
சபை	asamblea
சபை	montaje
சபை	concilio
சபை	concejo
சபை	ensamblaje
தொடர்புடைய	asociado
தொடர்புடைய	asociada
மருத்துவம்	médicas
மருத்துவம்	médicos
மருத்துவம்	medicamento
மருத்துவம்	médico
மருத்துவம்	medico
மருத்துவம்	medicina
மருத்துவம்	medicinas
கிராமம்	aldea
கிராமம்	poblado
கிராமம்	villa
கிராமம்	pueblo
தாக்குதல்	agresión
தாக்குதல்	atacando
தாக்குதல்	asalto
தாக்குதல்	atacar
தாக்குதல்	ataquen
தாக்குதல்	ataca
தாக்குதல்	atentado
தாக்குதல்	ataque
தாக்குதல்	ofensivo
தாக்குதல்	ofensiva
மதிப்பு	valorar
மதிப்பு	valor
கருவிகள்	instrumentos
கருவிகள்	herramientas
படை	forzar
படை	fuerza
மனைவி	esposa
மனைவி	mujer
பதவி	posición
பதவி	rol
பதவி	posicion
அஞ்சல்	correspondencia
அஞ்சல்	cremallera
அஞ்சல்	correo
உதவும்	ayuda
உதவும்	ayudar
சொற்கள்	palabras
வெளியீடு	excarcelación
வெளியீடு	liberación
வெளியீடு	producción
வெளியீடு	lanzamiento
வெளியீடு	publicación
வெளியீடு	salida
எதிர்	enfrente
எதிர்	contrario
எதிர்	opuestos
எதிர்	opuesto
மிக்க	misericordioso
தொழில்நுட்ப	técnicos
தொழில்நுட்ப	tecnica
தொழில்நுட்ப	técnica
தொழில்நுட்ப	técnico
வெளியே	afuera
வெளியே	fuera
வானொலி	radios
கிராமங்கள்	poblados
கிராமங்கள்	aldeas
கிராமங்கள்	pueblos
முக்கியத்துவம்	importancia
மீன்	pescados
மீன்	peces
மீன்	pesca
மீன்	pescado
மீன்	fibras
மீன்	pez
போதும்	suficiente
போதும்	suficientes
போதும்	basta
மஞ்சள்	amarilla
மஞ்சள்	amarillos
மஞ்சள்	amarillas
மஞ்சள்	amarillo
வருவாய்	rentas
வருவாய்	renta
வருவாய்	ingreso
வருவாய்	ingresos
மலேசியா	malasia
கிலோமீட்டர்	kilómetro
கிலோமீட்டர்	kilometros
கிலோமீட்டர்	kilómetros
கொள்ளும்	feudo
கொள்ளும்	enemistad
உள்ளூர்	locales
கிட்டத்தட்ட	casi
கடைசி	última
கடைசி	último
கடைசி	últimos
குரு	gurú
ஆனாலும்	sino
ஆனாலும்	pero
படத்தில்	fotografía
படத்தில்	foto
எதிர்ப்பு	oposición
எதிர்ப்பு	opositores
எதிர்ப்பு	resistencias
எதிர்ப்பு	resistencia
எதிர்ப்பு	oposiciones
ஒன்பது	nueve
வான்	furgoneta
வான்	camioneta
சிறப்பாக	genial
சிறப்பாக	estupendo
சிறப்பாக	mejores
சிறப்பாக	mejor
சிறப்பாக	gran
சிறப்பாக	grandioso
நன்கு	pues
நன்கு	bueno
நன்கு	pozo
நன்கு	bien
தொடங்கினார்	comenzado
தொடங்கினார்	iniciado
தொடங்கினார்	iniciada
தொடங்கினார்	comenzó
பேராசிரியர்	profesor
பேராசிரியர்	catedrático
பேராசிரியர்	profesora
பதிப்பகம்	publicar
பதிப்பகம்	publicando
பதிப்பகம்	publicaciones
பதிப்பகம்	publicación
பதிப்பகம்	editorial
தனியார்	privadas
தனியார்	privados
தனியார்	privada
தனியார்	privado
தரவு	dato
தரவு	datos
நம்பிக்கை	fieles
நம்பிக்கை	fideicomiso
நம்பிக்கை	fé
நம்பிக்கை	fe
நம்பிக்கை	esperanzas
நம்பிக்கை	esperanza
நம்பிக்கை	fiel
நம்பிக்கை	confía
நம்பிக்கை	creencias
நம்பிக்கை	creencia
நம்பிக்கை	confianza
நம்பிக்கை	fidelidad
இடங்கள்	plazas
இடங்கள்	localizaciones
இடங்கள்	sitios
இடங்கள்	ubicaciones
இடங்கள்	localidades
இடங்கள்	lugares
பெரிதும்	grandemente
பெரிதும்	enormemente
பரவலாக	ampliamente
மரபு	legado
மரபு	herencia
மரபு	modismos
மும்பை	bombay
விற்பனை	venta
விற்பனை	mercadeo
விற்பனை	ventas
விற்பனை	mercadotecnia
விற்பனை	vendiendo
விற்பனை	rebajas
விற்பனை	vendo
விற்பனை	comercialización
விற்பனை	venda
விற்பனை	vender
விற்பனை	vende
வருடம்	año
மேலே	cima
மேலே	arriba
மேலே	supra
ஏற்கனவே	ya
அம்மன்	ammán
என்றாலும்	aunque
கடன்	deuda
கடன்	crédito
கடன்	prestamos
கடன்	deudas
கடன்	credito
கடன்	endeudamiento
கடன்	préstamos
கடன்	créditos
கடன்	préstamo
விலை	precio
விலை	precios
செய்திகள்	novedades
செய்திகள்	noticia
செய்திகள்	mensajes
செய்திகள்	noticias
சோதனை	ensayos
சோதனை	ensayo
சோதனை	probando
சோதனை	prueba
சோதனை	probar
சோதனை	pruebas
உருவாக்க	generan
உருவாக்க	generar
உருவாக்க	genera
உருவாக்க	genere
அவர்களுக்கு	ellas
அவர்களுக்கு	ellos
அரசன்	rey
அரசன்	monarca
போட்டிகள்	concursos
போட்டிகள்	oposiciones
போட்டிகள்	competencias
போட்டிகள்	competiciones
கை	mano
அரசியல்வாதி	politico
அரசியல்வாதி	político
பறவைகள்	pájaros
பறவைகள்	pajaritos
பறவைகள்	aves
ஒலி	sonido
குறிப்புகள்	consejos
குறிப்புகள்	notas
குறிப்புகள்	apuntes
குறிப்புகள்	sugerencias
குறிப்புகள்	propinas
குறிப்புகள்	puntas
பெண்களின்	niñas
பெண்களின்	muchachas
பெண்களின்	chicas
இயக்குனர்	directora
உயிரியல்	biología
தொடக்கம்	comienzo
தொடக்கம்	inicio
தொடக்கம்	empezando
தொடக்கம்	empezar
தொடக்கம்	iniciación
தொடக்கம்	comenzando
தொடக்கம்	iniciando
பூங்கா	parque
பூங்கா	parques
இளம்	joven
இளம்	jóven
இளம்	jovenes
இளம்	jóvenes
அருகே	cerca
உயர்ந்த	alto
உயர்ந்த	elevados
உயர்ந்த	alta
உயர்ந்த	elevada
உயர்ந்த	elevado
உயர்ந்த	elevadas
காவல்	policía
காவல்	policia
காவல்	policías
குடும்பம்	familiar
குடும்பம்	familiares
குடும்பம்	familia
குடும்பம்	famila
ஆதரவு	soporte
ஆதரவு	aval
ஆதரவு	apoyo
ஆதரவு	respaldo
கைது	arrestada
கைது	arrestado
கைது	detención
கைது	detenciones
கைது	arrestados
கைது	detenidos
கைது	arresto
கைது	detenido
கைது	detenida
எழுதினார்	escribí
எழுதினார்	escribió
எழுதினார்	escribía
வலது	derecho
வலது	derecha
வலது	correcto
மாலை	eva
மாலை	velada
மாலை	tarde
மாலை	tardes
மாலை	víspera
மாலை	noche
ஆய்வுகள்	estudios
ஆய்வுகள்	diagnóstico
ஆய்வுகள்	diagnostico
ஆய்வுகள்	diagnósticos
எடுத்து	tomar
எடுத்து	tomando
எடுத்து	teniendo
எடுத்து	toma
எடுத்து	tome
சிவப்பு	roja
சிவப்பு	rojas
சிவப்பு	rojo
சிவப்பு	rehacer
நடைபெற்றது	celebrada
எதுவும்	nada
முஸ்லிம்	musulmanes
முஸ்லிம்	musulmán
முஸ்லிம்	musulmana
இன்றும்	hoy
தலைவர்கள்	líderes
தலைவர்கள்	lideres
தலைவர்கள்	dirigentes
தலைவர்கள்	jefes
இரத்த	sangre
இருந்தனர்	eran
இருந்தனர்	estaban
இருந்தனர்	fueron
ஜார்ஜ்	jordi
ஜார்ஜ்	jorge
முழுமையான	completar
முழுமையான	completado
முழுமையான	completas
முழுமையான	completa
முழுமையான	completo
இரண்டும்	tanto
இரண்டும்	ambas
இரண்டும்	ambos
காங்கிரஸ்	congresos
காங்கிரஸ்	congreso
அவள்	ella
வரிசை	pedido
வரிசை	fila
வரிசை	remar
வரிசை	serie
வரிசை	pedidos
வரிசை	ordenar
வரிசை	encargo
வரிசை	rema
வரிசை	orden
வரிசை	hilera
காற்று	viento
மாத	mensualmente
மாத	mensuales
மாத	mensual
பயனர்கள்	usuarios
கான்	kan
இரவு	nocturno
இரவு	noches
இரவு	noche
நடவடிக்கை	acción
நடவடிக்கை	actividad
நடவடிக்கை	accion
அவரின்	sus
அவரின்	su
நேரங்களில்	veces
நேரங்களில்	épocas
நேரங்களில்	tiempos
வழக்கு	caso
வழக்கு	estuche
அகாதமி	academia
சேவைகள்	servicios
தளத்தில்	sitio
மக்கள்தொகை	población
கவிதை	poema
கவிதை	poesía
இதுவரை	lejano
இதுவரை	lejos
நேரடியாக	directamente
அறிக்கை	declaración
அறிக்கை	comunicado
அறிக்கை	denunciar
அறிக்கை	reporte
அறிக்கை	denuncia
அறிக்கை	informe
அறிக்கை	afirmación
அறிக்கை	reportar
அறிக்கை	enunciado
பணம்	moneda
பணம்	dinero
பணம்	divisas
பணம்	efectivo
பணம்	divisa
உண்மையான	genuina
உண்மையான	genuino
உண்மையான	verdadero
உண்மையான	verdadera
உண்மையான	cierto
உண்மையான	genuinos
உண்மையான	reales
உண்மையான	verdad
பிரிவுகள்	secciones
பிரிவுகள்	categorias
பிரிவுகள்	categorías
பிரிவுகள்	tramos
அடிக்கடி	frecuente
அடிக்கடி	frecuentes
அடிக்கடி	frecuentemente
அடிக்கடி	menudo
மரம்	leña
மரம்	árboles
மரம்	maderas
மரம்	madera
மரம்	arbol
மரம்	árbol
இராணுவ	militar
இராணுவ	ejército
இராணுவ	militares
சீனா	vajilla
சீனா	porcelana
உண்மையில்	realmente
ரயில்	trenes
ரயில்	entrenar
ரயில்	tren
ரயில்	entreno
கவிஞர்	poeta
கவிஞர்	poetisa
சுதந்திர	libertad
சுதந்திர	independientes
சுதந்திர	autonomía
சுதந்திர	independiente
சுதந்திர	independencia
செய்தல்	haciendo
செய்தல்	hacer
வெளியிட்டார்	emitido
வெளியிட்டார்	expedida
வெளியிட்டார்	emitidos
வெளியிட்டார்	expedido
வடிவமைப்பு	diseño
வடிவமைப்பு	configuración
வடிவமைப்பு	concepción
வடிவமைப்பு	configurar
வடிவமைப்பு	formato
வெப்பநிலை	temperatura
வெப்பநிலை	temperaturas
இன்னொரு	otra
இன்னொரு	otro
நிலையை	situación
நிலையை	estado
நிலையை	estatus
கப்பல்	buque
கப்பல்	nave
கப்பல்	barco
அறிமுகம்	introducción
அறிமுகம்	acerca
அறிமுகம்	sobre
காங்கிரசு	congresos
காங்கிரசு	congreso
வரி	línea
வரி	linea
வரி	impuestos
வரி	tributación
வரி	fiscalidad
வரி	impuesto
காட்டும்	regresos
காட்டும்	regresa
காட்டும்	devoluciones
காட்டும்	devuelve
காட்டும்	retornos
மாறாக	contrariamente
மாறாக	contrario
மாறாக	alternativamente
குரல்	voz
இயக்குநர்	directora
ஜேம்ஸ்	santiago
ஜேம்ஸ்	jacobo
ஜேம்ஸ்	jaime
தயாரிப்பு	producto
தயாரிப்பு	preparaciones
தயாரிப்பு	preparado
தயாரிப்பு	produccion
தயாரிப்பு	producción
தயாரிப்பு	preparativos
தயாரிப்பு	preparación
புள்ளி	punto
புள்ளி	punta
இணைப்புக்கள்	acoplamientos
இணைப்புக்கள்	enlaces
இணைப்புக்கள்	conexiones
இணைப்புக்கள்	vínculos
கருவி	instrumento
கருவி	herramienta
கருவி	ámbito
கருவி	dispositivos
கருவி	dispositivo
கருவி	alcance
கருவி	alcances
டேவிட்	jose
இயங்கும்	corriendo
இயங்கும்	activo
இயங்கும்	ejecutando
இயங்கும்	activos
இயங்கும்	correr
இயங்கும்	activa
புராணம்	leyenda
நிகழ்ச்சி	mostrar
நிகழ்ச்சி	espectáculo
பௌத்த	budismo
பௌத்த	budistas
பௌத்த	budista
எழுதப்பட்ட	escrita
எழுதப்பட்ட	escritos
எழுதப்பட்ட	escrito
எழுதப்பட்ட	escritas
கொலை	homicidio
கொலை	asesinatos
கொலை	asesinato
வண்ணம்	color
நிலையங்கள்	estaciones
நிலையங்கள்	emisoras
நிலையங்கள்	salones
பரப்பளவு	superficie
பரப்பளவு	zona
பரப்பளவு	área
உறுதி	confirmada
உறுதி	confirmados
உறுதி	confirmado
உறுதி	confirmadas
வழக்கம்	personalizado
வழக்கம்	personalizada
வழக்கம்	regulares
வழக்கம்	regularidad
வழக்கம்	costumbre
வழக்கம்	costumbres
குறைவாக	menos
குறைவாக	bajas
குறைவாக	bajo
குறைவாக	bajos
குறைவாக	baja
கலைஞர்கள்	intérpretes
கலைஞர்கள்	artistas
செ	sorda
செ	sordo
செ	sordos
பாகிஸ்தான்	paquistaníes
பாகிஸ்தான்	pakistán
பாகிஸ்தான்	paquistaní
பாகிஸ்தான்	pakistaní
சற்று	ligeramente
சற்று	levemente
அங்கே	allí
அங்கே	ahí
அங்கே	ahi
இன	étnico
இன	carreras
இன	étnicas
இன	raciales
இன	etnia
இன	étnicos
இன	etnias
இன	razas
இன	étnica
வசதி	característica
வசதி	confort
வசதி	largometraje
வசதி	agusto
வசதி	cómodas
வசதி	confortable
வசதி	rasgo
வசதி	cómodo
வசதி	comodidad
வசதி	cómoda
வசதி	consuelo
வழங்கப்படும்	ofrecí
வழங்கப்படும்	ofreció
வழங்கப்படும்	proporcionada
வழங்கப்படும்	ofrecidos
வழங்கப்படும்	ofrecida
வழங்கப்படும்	proporcionados
வழங்கப்படும்	ofrecido
வழங்கப்படும்	proporcionado
முயற்சி	tratar
முயற்சி	pruebe
முயற்சி	prueba
முயற்சி	probar
முயற்சி	esfuerzo
முயற்சி	intente
கதைகள்	relatos
கதைகள்	narrativas
கதைகள்	cuentos
கதைகள்	historias
அரபு	árabe
அரபு	árabes
அரபு	arabe
இவற்றை	estos
இவற்றை	éstos
இவற்றை	estas
இவற்றை	éstas
பிரான்சு	francia
ஈரோடு	erosionar
விண்வெளி	espaciales
விண்வெளி	espacio
விண்வெளி	espacial
மாற்றங்கள்	cambia
மாற்றங்கள்	cambios
மாற்றங்கள்	modificaciones
அடர்த்தி	densidad
படங்கள்	fotos
படங்கள்	cuadros
படங்கள்	fotografías
படங்கள்	imágenes
படங்கள்	imagenes
ஆயிரம்	mil
வார்ப்புருக்கள்	plantillas
இனம்	étnico
இனம்	reproducirse
இனம்	carrera
இனம்	mestizo
இனம்	raza
இனம்	etnia
இனம்	etnias
இனம்	razas
இனம்	étnica
புரிந்து	entender
புரிந்து	comprenda
புரிந்து	entienda
புரிந்து	entiende
புரிந்து	comprender
செய்கிறது	deshielo
வாக்குகள்	votaciones
வாக்குகள்	votos
ரூபாய்	rupias
ரூபாய்	rs
ரூபாய்	rupia
அமைச்சர்	ministro
அமைச்சர்	ministra
அமைச்சர்	pastor
கூட்டு	asociativo
கூட்டு	agrega
கூட்டு	añade
கூட்டு	añadir
கூட்டு	unión
கூட்டு	sindicato
கூட்டு	suma
கூட்டு	agregar
கூட்டு	asociaciones
திட்டங்கள்	planos
திட்டங்கள்	proyectos
திட்டங்கள்	planes
அண்ணா	ana
உயரம்	altura
உயரம்	estatura
தரம்	calidad
தரம்	grado
தரம்	cualidad
வரையில்	hasta
எளிய	sencillo
எளிய	sencilla
எளிய	simples
தமிழர்கள்	tamiles
ஒப்பந்தம்	pacto
ஒப்பந்தம்	contrato
ஒப்பந்தம்	contractuales
ஒப்பந்தம்	contractual
பணிகள்	tareas
பணிகள்	empleos
பணிகள்	trabajos
பணிகள்	empleo
நிலம்	tierras
நிலம்	terreno
நிலம்	tierra
நிலம்	terrenos
யார்	quiénes
யார்	oms
யார்	quien
யார்	quién
மண்டலம்	zona
மண்டலம்	región
மண்டலம்	comarca
குற்றம்	criminalidad
குற்றம்	crimen
குற்றம்	delito
குற்றம்	culpables
குற்றம்	culpable
குற்றம்	delincuencia
அன்னை	madre
இரட்டை	doble
இரட்டை	gemelos
இரட்டை	gemelo
இரட்டை	dobles
இரட்டை	gemela
அலுவலகம்	oficinas
அலுவலகம்	despacho
அலுவலகம்	oficina
வீடு	casa
வீடு	inicio
வீடு	hogar
வீடு	residencia
வீடு	casita
சந்தை	mercado
தலை	cabezal
தலை	cabeza
அனைத்துலக	internacional
அனைத்துலக	internacionales
உரிமைகள்	derechos
நீ	te
நீ	tú
நீ	usted
நீ	tu
நீ	vos
கிராம	aldea
கிராம	poblado
கிராம	villa
கிராம	pueblo
திறந்த	abrir
திறந்த	abre
திறந்த	abierta
திறந்த	abra
திறந்த	abierto
முழுமையாக	completamente
முழுமையாக	totalmente
முழுமையாக	plenamente
நெடுஞ்சாலை	carretera
நெடுஞ்சாலை	autovía
நெடுஞ்சாலை	autopista
கோட்பாடு	teoria
கோட்பாடு	teoría
மாதிரி	modelos
மாதிரி	maqueta
மாதிரி	modelo
மாதிரி	senderos
மாதிரி	ejemplo
மாதிரி	muestra
மாதிரி	muestras
நடிகைகள்	actrices
தெரிவு	elegir
தெரிவு	opción
தெரிவு	elección
பிரதான	comandante
பிரதான	mayor
பிரதான	principales
பிரதான	principal
அறிவு	conocimientos
அறிவு	conocimiento
பொறுத்து	dependiendo
தெரியவில்லை	neutrales
தெரியவில்லை	neutra
தெரியவில்லை	neutro
வழங்கி	servidor
பண்பாடு	cultivo
பண்பாடு	cultura
ராஜா	rey
சூழல்	medioambiente
சூழல்	ambiente
சூழல்	contexto
சூழல்	entorno
கடுமையான	duros
கடுமையான	grave
கடுமையான	rugosidad
கடுமையான	rudo
கடுமையான	dura
கடுமையான	severa
கடுமையான	severas
கடுமையான	duro
கடுமையான	severo
எண்ணெய்	óleo
எண்ணெய்	petróleo
எண்ணெய்	petroleo
எண்ணெய்	aceite
பொருட்களை	cosas
வானியல்	astronomía
மாற்று	variación
மாற்று	sustituya
மாற்று	reemplazar
மாற்று	cambia
மாற்று	reemplazo
மாற்று	sustituir
மாற்று	cambiar
மாற்று	interruptor
மாற்று	cambio
மாற்று	cambios
மாற்று	convierta
மாற்று	convertir
இணையதளம்	web
இணையதளம்	sitio
வாழ்ந்து	vivir
வாழ்ந்து	viviendo
மழை	lluviosa
மழை	lluvioso
மழை	lluvia
மழை	lluvias
தெரிகிறது	miradas
தெரிகிறது	aspecto
தெரிகிறது	parece
கார்பன்	carbono
கார்பன்	carbón
உலகளாவிய	mundialmente
உலகளாவிய	mundial
உலகளாவிய	globales
தோன்றும்	aparecen
தோன்றும்	aparecer
ஏற்றுக்	aceptados
ஏற்றுக்	aceptadas
ஏற்றுக்	aceptado
ஏற்றுக்	aceptada
நான்காவது	cuarto
நான்காவது	cuarta
பேருந்து	ómnibus
பேருந்து	autobus
பேருந்து	autobuses
பேருந்து	autobús
வழக்கமாக	periódicamente
வழக்கமாக	usualmente
வழக்கமாக	regularmente
வழக்கமாக	generalmente
வழக்கமாக	normalmente
வழக்கமாக	habitualmente
விதி	regla
விதி	destino
தெரு	calles
தெரு	callejero
தெரு	calle
இறைவன்	señor
நிகழும்	ocurre
கண்	ojo
மகள்	hija
தேசியக்	nacional
தேசியக்	nacionales
மூல	originales
இடது	izquierdo
இடது	izquierda
எல்லாம்	todo
எல்லாம்	todas
எல்லாம்	todos
நிலையான	fijas
நிலையான	fijos
நிலையான	norma
நிலையான	estandar
நிலையான	fijado
நிலையான	estándar
நிலையான	corregido
நிலையான	fijo
சிறப்பான	especial
சிறப்பான	especiales
தோல்	piel
தோல்	cutis
தோல்	cuero
தோல்	cueros
கால்	pié
கால்	pie
கால்	bovinos
கால்	bovino
கால்	pierna
கால்	pata
கால்	trimestre
கால்	ganado
ஆர்வம்	interesado
ஆர்வம்	intereses
ஆர்வம்	interesada
ஆர்வம்	interes
ஆர்வம்	interés
ஆர்வம்	interesadas
ஆர்வம்	interesados
கவனம்	atencion
கவனம்	enfoque
கவனம்	atención
கவனம்	centrar
கவனம்	foco
கவனம்	concentración
நினைவு	recuerdo
நினைவு	memoria
நினைவு	recuerdos
உருவானது	formado
உருவானது	constituido
உருவானது	formadas
உருவானது	formada
உருவானது	formados
தூய	puro
தூய	puros
தூய	puras
தூய	pura
கவிதைகள்	poemas
நிறுவப்பட்டது	instalado
நிறுவப்பட்டது	instaladas
நிறுவப்பட்டது	instalada
நிறுவப்பட்டது	estancado
நிறுவப்பட்டது	instalados
நிறுவப்பட்டது	atascado
வாய்ப்பு	oportunidad
வாய்ப்பு	casualidad
வாய்ப்பு	oportunidades
மத்தியில்	centrado
மத்தியில்	centrada
மருந்து	farmacéutica
மருந்து	medicamento
மருந்து	farmacéuticos
மருந்து	medicina
மருந்து	medicinas
மருந்து	farmacéutico
மா	mangos
ஏன்	porqué
கிடைத்தது	tengo
கிடைத்தது	consiguió
தொலைபேசி	telefono
தொலைபேசி	teléfonos
தொலைபேசி	teléfono
தொலைபேசி	telefonía
கட்டமைப்பு	estructurales
கட்டமைப்பு	configuración
கட்டமைப்பு	estructural
கட்டமைப்பு	estructura
பாரம்பரிய	clásico
பாரம்பரிய	clásicos
பாரம்பரிய	tradicionales
பாரம்பரிய	clásica
பாரம்பரிய	tradicional
பாரம்பரிய	clasico
சின்னம்	icono
சின்னம்	ícono
எண்கள்	números
எண்கள்	numeros
தொழில்நுட்பம்	tecnológico
தொழில்நுட்பம்	tecnológica
தொழில்நுட்பம்	tecnología
தொழில்நுட்பம்	tecnologia
ஏரி	laguna
ஏரி	lago
ஏரி	lagos
பாடிய	cantado
பாடிய	cantada
சிலை	estatua
சிலை	ídolo
வெள்ளி	plata
வெள்ளி	vie
வெள்ளி	viernes
வெள்ளி	plateado
இலத்தீன்	latín
இலத்தீன்	latina
இலத்தீன்	latino
இலத்தீன்	latinas
நேச	aliadas
நேச	aliado
நேச	aliados
நேச	aliada
நேரடி	directamente
நேரடி	directos
நேரடி	directas
நேரடி	vivir
நேரடி	directo
நேரடி	viva
நேரடி	vive
நேரடி	directa
சுற்றுலா	giras
சுற்றுலா	turistas
சுற்றுலா	turística
சுற்றுலா	recorridos
சுற்றுலா	recorrido
சுற்றுலா	turista
சுற்றுலா	gira
சுற்றுலா	turismo
சுற்றுலா	turístico
சுற்றுலா	excursiones
கிராமத்தில்	aldea
கிராமத்தில்	poblado
கிராமத்தில்	villa
கிராமத்தில்	pueblo
நமது	nuestros
நமது	nuestras
நமது	nuestro
நமது	nuestra
புலிகள்	tigres
அவர்களை	ellas
அவர்களை	ellos
அனுமதி	desbloqueo
அனுமதி	autorización
அனுமதி	permitir
அனுமதி	aprueba
அனுமதி	cita
அனுமதி	desbloquear
அனுமதி	apruebe
அனுமதி	aprobar
அனுமதி	nombramiento
அனுமதி	designación
அனுமதி	permiso
பயன்	provecho
பயன்	beneficio
பயன்	utilización
பயன்	uso
நிகழ்வு	evento
நிகழ்வு	acontecimiento
மைல்	millas
மைல்	milla
மைல்	kilómetro
மைல்	kilómetros
வளரும்	desarrollándose
வளரும்	desarrollando
வளரும்	creciente
வளரும்	crece
வளரும்	creciendo
வளரும்	crecer
கால்பந்து	futbol
கால்பந்து	fútbol
உடலில்	corporal
உடலில்	carrocería
உடலில்	cuerpo
உடலில்	cadáver
பக்க	costado
பக்க	lateral
பக்க	laterales
பக்க	lado
உயரத்தில்	altura
உயரத்தில்	estatura
கொண்டுள்ள	conteniendo
அமிலம்	ácido
அமிலம்	ácidos
அமிலம்	acido
விண்டோஸ்	ventanillas
விண்டோஸ்	ventana
விண்டோஸ்	ventanas
கூட்டமைப்பு	federación
கூட்டமைப்பு	confederación
