من	출신
واضحة	맑음
واضحة	지우
البحوث	연구
البحوث	조사
فنلندا	핀란드
الوادي	밸리
الوادي	골짜기
الوادي	캐니언
الوادي	협곡
الوادي	계곡
جوزيف	조지프
جوزيف	조셉
جوزيف	요셉
جوزيف	조제프
جوزيف	요제프
المهنية	전문가
المهنية	프로
المهنية	전문
المهنية	프로페셔널
التوقيع	서명
التوقيع	기호
التوقيع	사인
فروع	나뭇가지
محكمة	재판소
محكمة	법원
محكمة	법정
شجرة	나무
شجرة	트리
واضح	지우기
واضح	맑음
واضح	지우
علامة	서명
علامة	마크
علامة	기호
علامة	표시
علامة	마르크
علامة	사인
بيئة	환경
حفظ	저장하기
حفظ	저장
المنظمات	조직
المنظمات	단체
الذهب	황금
الذهب	골드
نصر	승리
ربيع	스프링
ربيع	봄이
كيمياء	화학
ميدالية	메달
التعبير	표현식
التعبير	표현
الهلال	초승달
الهلال	초승달과
الحيوان	애니멀
الحيوان	동물학
الحيوان	동물
العمارة	아키텍처
العمارة	건축학
العمارة	건축
محلية	로컬
محلية	현지
منتجات	상품
منتجات	제품
الحماية	보호
تحياتي	인사
باد	나쁜
باد	버드
باد	나쁘다
ربع	쿼터
ربع	분기
كوكب	행성
كوكب	플래닛
ثمانية	여덟
فنون	예술
خلق	생성
خلق	만드세요
خلق	만들기
خلق	만들었습니다
خلق	만듭니다
خلق	창조
حتي	조차도
حتي	심지어
المباني	건물
المباني	빌딩
المباني	건축물
المباني	건물들
حرية	자유
حرية	프리덤
سفينة	선박
جين	제인
الضفة	리버사이드
السيارة	차량
السيارة	자동차
السطح	지표면
السطح	옥상
السطح	지붕
السطح	표면
جدة	외할머니
جدة	지다
جدة	할머니
النشر	포스트
النشر	게시글
النشر	게시물
النشر	게시
النشر	포스팅
النشر	발행
النشر	출판
النشر	출판물
خير	좋다
زراعة	농업
زراعة	이식
زراعة	농장
زراعة	농사
ملايين	수백만
شهرة	명성
شهرة	페임
رشيد	라시드
نجاح	성공적
نجاح	성공
نجاح	성공함
نمو	증가
نمو	성장
رموز	기호
رموز	코드
رموز	상징
رموز	토큰
الصلاة	기도
فيزياء	물리학
فيزياء	물리
المشتري	구매자
المشتري	목성의
المشتري	목성
جاك	젝스키스
مرمى	골키퍼
عوامل	요인
التجاري	상업
التجاري	상용
التجاري	상업용
الصفحات	페이지
ظاهرة	현상
الوحدات	단위
الوحدات	유닛
الوحدات	단위계
تقييم	평가하기
تقييم	별점
تقييم	평점
تقييم	평가
قنوات	채널
لاحقا	나중에
المدى	범위
طوكيو	도쿄
طوكيو	동경
الطبيب	닥터
المنزل	집으로
المنزل	하우스
المنزل	고향
المنزل	가정
المنزل	집에
المشتركة	공유
الاجتماع	모임
الاجتماع	만남
الاجتماع	미팅
الاجتماع	회의
المنصب	포지션
المنصب	오피스
المنصب	직위
المنصب	사무실
المنصب	위치
المنصب	사무소
النفسية	심리학
النفسية	심리
النفسية	심리적
انخفاض	쇠퇴
انخفاض	줄이기
انخفاض	낮은
انخفاض	거부
انخفاض	낮음
انخفاض	감소
انخفاض	거절
مرتين	두번
مرتين	트와이스
العقل	마음
تعيين	설정
تعيين	할당
تعيين	예약
تعيين	집합
تعيين	세트
تعيين	약속
ميدان	정사각형
ميدان	필드
ميدان	제곱
ميدان	광장
ميدان	사각형
ميدان	현장
ميدان	스퀘어
الفكرة	아이디어
تقدير	추정
تقدير	추정치
تقدير	추산
الوجه	얼굴이
الوجه	얼굴
المقدسة	거룩한
المقدسة	거룩
بيان	성명서
بيان	진술
بيان	매니페스토
بيان	선언
السماء	스카이
السماء	하늘
السماء	천국
العرش	왕좌
العرش	왕위
الحضارة	문명
البطولات	토너먼트
كاليه	칼레
نعم	예스
مسابقة	대회
مسابقة	경쟁
مسابقة	콘테스트
النحو	문법
خصائص	속성
خصائص	자산
خصائص	특징
خصائص	특성
الكهرباء	전력
الكهرباء	전기
بيتر	피터
بيتر	베드로
القضية	사례
القضية	대소문자
القضية	케이스
الخلية	세포
الخلية	셀프
ميلان	밀라노
ميلان	밀란
الشمسية	태양
الشمسية	태양광
حمل	로드
حمل	임신
حمل	로딩
حمل	다운로드
حمل	양고기
حقيقة	팩트
حقيقة	사실
العثور	찾기
الجزائري	알제리
العنف	폭력
المطلق	절대적
المطلق	절대
التدريس	교육
التدريس	가르침
التدريس	교사
مارتن	마틴
مارتن	마르틴
القضايا	쟁점
القضايا	문제
القضايا	사례
القضايا	케이스
القضايا	이슈
متعدد	멀티
متعدد	다중
بيل	윌리엄
خطر	위험한
خطر	위험
خطر	위험하다
التواصل	통신
التواصل	네트워크
التواصل	연락
التواصل	네트워킹
التواصل	연결
التواصل	접촉
التواصل	의사소통
التواصل	커뮤니케이션
التواصل	연결하기
التواصل	소통
التواصل	문의
التواصل	연락처
عدا	빼고
يتضمن	포함됨
يتضمن	포함
بريطانية	영국인
بريطانية	영국
بريطانية	브리티시
حرة	무료
حرة	자유
كيميائية	화학
كيميائية	화학물질
ركلات	발차기
تركي	터키식
تركي	터키
تركي	터키어
سلطة	샐러드
الدخول	항목
جميل	아름다워
جميل	아름답다
جميل	나이스
جميل	러블리
جميل	사랑스러운
جميل	아름다운
يشمل	포함됨
يشمل	포함
وزن	몸무게가
وزن	무게
وزن	몸무게
وزن	체중
الجنرال	장군
الجنرال	일반인
الجنرال	일반
المشاريع	프로젝트
المخرج	디렉터
المخرج	끝내기
المخرج	나가기
المخرج	출구
المخرج	종료
المخرج	감독
الشهيرة	유명인
الشهيرة	유명
الشهيرة	유명하다
الشهيرة	유명해
الشهيرة	유명한
يحتاج	필요
بيع	판매하기
بيع	팔렸다
بيع	팔아
بيع	세일
بيع	판매
يعقوب	야곱
يعقوب	제이콥
المواطنين	시민들
المواطنين	시민
وظيفة	직업
وظيفة	함수
وظيفة	욥기
شروط	용어
شروط	약관
شروط	조건
كوبا	쿠바
السرعة	속력
السرعة	스피드
السرعة	속도
موسيقي	음악
موسيقي	음악가
موسيقي	연주자
موسيقي	뮤직
موسيقي	뮤지션
موسيقي	뮤지컬
الحميد	양성
حزم	패키지
موجود	존재
موجود	기존
الكتلة	대량
الكتلة	미사
الكتلة	매스
الكتلة	질량
دولي	인터내셔널
دولي	국제
دولي	돌리
تكلفة	비용
ممارسة	연습
ممارسة	연습생
الترتيب	랭킹
الترتيب	편곡
الترتيب	순위
يكتب	쓰기
ملكية	재산
ملكية	군주
ملكية	재산권
ملكية	군주제
ملكية	자산
ملكية	속성
البنك	뱅크
البنك	은행
حلقات	반지
حلقات	고리
حلقات	에피소드
سلامة	안전성
سلامة	안전
المفضلة	좋아하는
المفضلة	즐겨찾기
المفضلة	즐겨
حوض	싱크로
حوض	분지
حوض	욕조
حوض	골반
مباشر	라이브
مباشر	다이렉트
مباشر	직접
مباشر	생방송
مباشر	직통
الرحلة	여행
الرحلة	항공편
الرحلة	비행
فرنسية	프렌치
فرنسية	프랑스
فرنسية	프랑스어
فرنسية	프랑스인
تحقق	점검
تحقق	확인
تحقق	인증
تحقق	검증
تحقق	체크
الربيع	스프링
الربيع	봄이
داكوتا	다코타
راشد	라시드
راشد	성인
راشد	어른
كثافة	강조
كثافة	강도
كثافة	밀도
ويليام	윌리엄
الجودة	화질이
الجودة	퀄리티
الجودة	화질
الجودة	품질
تقنيات	기법
تقنيات	테크닉
عضوية	유기적
عضوية	멤버
عضوية	멤버십
الشتاء	윈터
الشتاء	겨울
تحوي	포함됨
تحوي	포함
تحوي	포함함
الطبي	의료
الطبي	의학
كيبك	퀘벡
شرف	명예
شرف	영광
التقويم	달력
التقويم	캘린더
ملاعب	경기장
ملاعب	놀이터
الممثل	배우
الممثل	대표자
الممثل	대표
الخيال	판타지
الخيال	상상력
الخيال	상상
الخيال	허구
الخيال	픽션
الخيال	환상
الخيال	소설
القبض	체포
القبض	캡쳐
القبض	캡처
العصبي	긴장감
العصبي	긴장
نباتية	채식주의
نباتية	채식
نباتية	채식주의자
طور	선진
سهل	아쉬운
سهل	쉽게
سهل	쉬워
سهل	쉬운
نهائي	기말고사
نهائي	파이널
نهائي	결승전
سامي	사미어
القاضي	판사
القاضي	판단
انا	안나
كوميدي	희극
كوميدي	코미디
كوميدي	희극인
كوميدي	코미디언
كوميدي	코메디
الهاتف	전화기
الهاتف	휴대폰
الهاتف	전화
الهاتف	전화번호
الهواية	취미
المجالات	도메인
المجالات	영역
الحدث	이벤트
الدليل	디렉토리
الدليل	가이드
الدليل	안내서
الدليل	설명서
الدليل	매뉴얼
الدليل	안내
الدليل	수동
الدليل	증거
الدليل	디렉터리
الحذف	지우기
الحذف	삭제
الحذف	삭제하기
فيليب	펠리페
فيليب	필립
ثالث	세번째
ثالث	셋째
الشعار	로고
الشعار	엠블렘
قضايا	쟁점
قضايا	문제
قضايا	사례
قضايا	케이스
قضايا	이슈
الملحق	보충제
الملحق	보충
بنك	뱅크
بنك	은행
الهندي	인도
الهندي	인도인
الهندي	인디언
رضا	만족
رضا	만족도
الشرعية	합법
الاهتمام	흥미
الاهتمام	관심
الاهتمام	배려
الاهتمام	관심사
الاهتمام	주의
الاهتمام	시선
الاهتمام	이자
صلاة	기도
نمط	모드
نمط	패턴
طبيعي	보통
طبيعي	평범
طبيعي	정규
طبيعي	자연
طبيعي	천연
طبيعي	정상
السادسة	여섯번째
المدرب	코치
افتتاح	개봉
افتتاح	오프닝
ملكة	여왕
اللاعبين	플레이어스
اللاعبين	플레이어
اللاعبين	선수
المدير	매니저
المدير	디렉터
المدير	관리자
المدير	감독
زيارة	방문
زيارة	방문하기
استخدمت	사용함
استخدمت	사용됨
استخدمت	사용
ثلاثية	삼중
ثلاثية	트리플
ثلاثية	삼부작
محسن	향상된
محسن	향상
حوادث	사고
الغذاء	식품
الغذاء	식량
الغذاء	푸드
الغذاء	음식
الصيف	여름
الخطاب	음성
الخطاب	연설
المجتمعات	공동체
المجتمعات	커뮤니티
الجمهور	공공
الجمهور	공개
الجمهور	타겟
الجمهور	공중
الجمهور	관객
قالت	말했다
النطاق	스코프
النطاق	범위
النطاق	도메인
النطاق	영역
المؤقت	타이머
المؤقت	일시적
المؤقت	임시
اكثر	기타
فرصة	기회
المذهب	교리
قرن	세기
الرومان	로마인
المصريين	이집트인
الطرف	파티
وظائف	함수
وظائف	잡스
وظائف	일자리
وظائف	직업
وظائف	작업
الدنيا	세상
الدنيا	월드
الدنيا	최소
الدنيا	세계
زاوية	앵글
زاوية	각도
زاوية	구석
زاوية	코너
زاوية	모퉁이
مريم	마리아
مريم	메리
النرويج	노르웨이
النرويج	노르웨이어
ثلاثي	삼중
ثلاثي	트리오
ثلاثي	트리플
البريد	우편
البريد	편지
البريد	메일
بان	냄비
معبد	신전
معبد	템플
معبد	사원
التركيز	집중
التركيز	농도
التركيز	초점
التركيز	집중하기
التركيز	포커스
السفينة	선박
السن	이빨
السن	치아
السن	나이
السن	나이에
السن	연령
انضم	참여하기
انضم	참여
انضم	가입하기
انضم	가입
الرسوم	수수료
الرسوم	요금
مراقبة	감시
الذكور	남성
الذكور	수컷
ظروف	조건
الشهيد	순교자
الشهيد	순교
محركات	모터스
محركات	엔진
اللبناني	레바논
جودة	화질이
جودة	퀄리티
جودة	화질
جودة	품질
الابتدائية	초등
الارتفاع	고도
الارتفاع	높이
الارتفاع	키는
الرسم	스케치
الرسم	그리기
بوب	교황
جوجل	구글
الماجستير	마스터즈
الماجستير	마스터스
الفتح	정복
الفتح	오프닝
الفتح	개봉
جندي	병사
جندي	군인
اذا	그러면
اذا	그렇다면
اذا	그때
موت	사망
موت	데스
موت	죽음
ضوء	라이트
ضوء	가벼움
ضوء	가볍게
ضوء	가벼운
الكبد	간간
الكبد	간디
حيوان	애니멀
حيوان	동물학
حيوان	동물
السلوك	동작
السلوك	태도
السلوك	행위
السلوك	행동
مراد	무라트
المسيرة	행진
المسيرة	행진곡
مؤلف	작가
مؤلف	제작자
مؤلف	저자
مؤلف	작성자
نزاعات	분쟁
الشرف	명예
الشرف	영광
النموذج	양식
النموذج	형식
النموذج	모형
النموذج	모델
النموذج	형태
التقرير	신고
التقرير	보고
التقرير	보고서
داود	다비드
داود	다윗
داود	데이빗
داود	데이비드
مارك	마르크
مارك	표시
مارك	마크
سير	선생님
المراكز	센터
سلالة	왕조
سلالة	품종
سعودي	사우디아
توقف	멈추기
توقف	중단
توقف	정지
توقف	중지
مسار	추적
مسار	트랙
مسار	경로
التفكير	생각
البصرة	바스라
طبقات	레이어
التخطيط	다이어그램
التخطيط	기획
التخطيط	도표
التخطيط	레이아웃
التخطيط	계획
التخطيط	배치
التخطيط	플래닝
ايضا	또한
مخطط	차트
مخطط	배열
مخطط	스킴
سبع	일곱
سبع	세븐
المحتوى	내용
المحتوى	컨텐츠
المحتوى	콘텐츠
غاز	가스
الداخل	인사이드
الداخل	내부
التعلم	학습
التعلم	배운다
التعلم	배워
فندق	호텔
الدواء	의학
عنصر	아이템
عنصر	항목
عنصر	구성요소
عنصر	품목
عنصر	요소
عنصر	원소
عنصر	컴포넌트
السائل	수액
السائل	액체
السائل	리퀴드
السائل	수분
توفيق	화해
المباشر	직접
المباشر	다이렉트
المباشر	직통
مئات	수백
مئات	수백명이
القيم	가치
القيم	가치관
بارك	파크
بارك	공원
عالي	하이
عالي	높음
المراجع	참고
المراجع	참조
التحليل	해석
التحليل	해석학
التحليل	분석
الحقبة	시대
العنوان	제목
العنوان	타이틀
العنوان	주소
خصوصا	특별히
خصوصا	특히
رسمي	공식
الديني	종교
الدنمارك	덴마크
الهادي	태평양
الهادي	퍼시픽
قديم	늙은
قديم	오래된
قديم	고대
النجاح	성공적
النجاح	성공
النجاح	성공함
المركبات	차량
اليمني	예멘
القصص	소식
القصص	스토리
اختصار	바로가기
اختصار	단축키
الطالب	학생
الجدول	테이블
الجدول	탁자
الجدول	식탁
مانشستر	맨체스터
الجهد	전압
الجهد	노력
فريد	독특한
فريد	고유
فريد	프레드
اخرى	또다른
اخرى	다른
اخرى	기타
البطل	챔피언
البطل	영웅
البطل	챔피언십
البطل	챔프
البطل	히어로
الشروط	용어
الشروط	약관
الشروط	조건
الشروط	요구사항
داخلية	내부
داخلية	인테리어
بالعربية	아라비아
بالعربية	아라비아어
بالعربية	아랍어
العضوية	유기적
العضوية	멤버
العضوية	멤버십
الكنائس	교회
الفنانين	아티스트가
الفنانين	예술가
الفنانين	음악가
الفنانين	아티스트
فتاة	소녀
المطار	공항
المطار	국제공항
المحرك	엔진
المحرك	전동기
المحرك	모터
حركات	움직임
جنود	병사
جنود	군인
السياحية	관광객
مينيسوتا	미네소타
صحفي	저널리스트
صحفي	기자
صحفي	언론인
القطع	조각
جيل	세대
اليومية	데일리
اليومية	일상
اليومية	일간
اليومية	일일
اضطراب	장애
التحالف	동맹
التحالف	얼라이언스
المتحركة	애니메이션
الخلفية	배경색
الخلفية	배경
الغلاف	덮개
الغلاف	표지
الغلاف	커버
الميدان	필드
الميدان	현장
شيكاغو	시카고
الغابات	우즈
المجمع	화합물
المجمع	복합
المجمع	복합체
جبهة	이마
الشعراء	시인
كشف	감지
كشف	검출
كشف	탐지
روس	로스
مرتبطة	연결됨
الطلبة	유학생
الطلبة	학생
الطلبة	학생들
الليبية	리비아
البيض	계란
البيض	달걀
الوقود	연료
النقد	평론
النقد	비평
النقد	비판
موقف	포지션
موقف	위치
موقف	태도
موقف	직위
الاستعمار	식민지화
قوى	강력하다
قوى	강한
قوى	스트롱
قوى	강력한
قوى	강력
مدخل	입구
الجغرافية	지리
الجغرافية	지리학
الشيوعي	공산주의자
سجن	교도소
سجن	감옥
المعايير	표준
المعايير	기준
وقف	멈추기
وقف	중단
وقف	정지
وقف	중지
صفوف	수업
صفوف	클래스
الزوج	남편
الزاوية	앵글
الزاوية	각도
الزاوية	구석
الزاوية	코너
الزاوية	모퉁이
صيغة	포뮬러
صيغة	공식
الكويكبات	소행성
جميلة	아름다워
جميلة	아름답다
جميلة	러블리
جميلة	사랑스러운
جميلة	아름다운
طاقم	승무원
طاقم	크루
خسائر	손해
خسائر	손실
البكتيريا	세균
البكتيريا	박테리아
اضطرابات	폭동
الديانة	종교
الرياح	바람
تنمية	발달
تنمية	개발
اقتصادية	경제
حصار	포위전
حصار	봉쇄
التقدم	진행
المهندس	기술자
المهندس	엔지니어
المهندس	공학자
اليسار	왼쪽
اليسار	좌파
رعاية	스폰서
رعاية	케어
تمثيل	연기
تمثيل	표현
روح	정신
روح	소울
روح	영혼
روح	스피릿
العدل	정의
القرون	세기
تعليمية	교육
تصنيع	제조
تصنيع	제조업
تصنيع	산업화
حديثة	현대
حديثة	최근
حديثة	근황
حديثة	근대
حديثة	모던
المتعددة	다중
اغتيال	암살
المستشفى	병원
المقدمة	도입
المقدمة	소개팅
المقدمة	소개
صيف	여름
لقاء	회의
لقاء	만나
لقاء	미팅
لقاء	모임
لقاء	만남
لقاء	조우
الهيدروجين	수소
نيسان	사월
نيسان	에이프릴
نيسان	닛산
فيروس	바이러스
زهرة	꽃이
زهرة	플라워
الوزير	장관
سوري	시리아
شرقي	동부
شرقي	동쪽
شرقي	동양
شرقي	이스트
شرقي	동방
قوي	강력하다
قوي	강한
قوي	스트롱
قوي	강력한
قوي	강력
التعديل	편집
التعديل	수정
ممكن	가능한
ممكن	가능
السلاح	무기
الاتفاق	컴팩트
الاتفاق	합의
الاتفاق	동의
الاتفاق	협정
الاتفاق	콤팩트
الاتفاق	거래
تجارة	커머스
تجارة	트레이딩
تجارة	무역
تجارة	상거래
تجارة	상업
تجارة	트레이드
تجارة	거래
التنظيم	규정
التنظيم	단체
التنظيم	규제
التنظيم	조직
التنظيم	기구
البث	방송
المعالم	명소
تلعب	놀기
تلعب	재생
تلعب	플레이
تلعب	연주
الشارع	길거리
الشارع	거리가
الشارع	스트리트
الشارع	거리
التعديلات	편집
التعديلات	조정
التعديلات	수정
كريم	크림
التعريف	증명
التعريف	정의
التعريف	신분증
التعريف	식별
جنب	측면
جنب	사이드
ويلز	웰스
ويلز	웨일스
السابعة	일곱번째
الملوك	킹스
المعالجة	처리
المعالجة	프로세싱
المعالجة	시술
المعالجة	치료
المنافسة	경쟁
المسافة	거리
كميات	수량
سد	시드
الهولندي	네덜란드령
الهولندي	네덜란드인
الهولندي	네덜란드
الهولندي	네덜란드어
نظرة	표정
كارلوس	카를로스
رسائل	메시지
رسائل	글자
رسائل	편지
الظاهرة	현상
الفئة	분류
الفئة	수업
الفئة	계급
الفئة	카테고리
الفئة	학급
الفئة	클래스
الفئة	범주
اتفاق	거래
اتفاق	합의
اتفاق	동의
اتفاق	협정
باستثناء	빼고
السوبر	슈퍼
سيناريو	시나리오는
سيناريو	문자
سيناريو	시나리오
سيناريو	스크립트
القواعد	규칙
القواعد	문법
ثانوية	중등
التجارب	실험
التجارب	경험
التجارب	체험
زعيم	리더
زعيم	보스
زعيم	지도자
زعيم	사장님
ضخمة	거대
ضخمة	거대한
مناسبة	어울리는
مناسبة	이벤트
مناسبة	행사
ياباني	일본어
ياباني	일본
ياباني	일본인
بديل	대체
بديل	교체
بديل	얼터너티브
بديل	대안
السوفيتية	소련
التقليدي	전통적인
التقليدي	전통
التقليدي	전통적
مشتركة	관절
انتهى	완료
انتهى	완료되었습니다
رسميا	공식적으로
المعادن	광물
المعادن	메탈
المعادن	미네랄
المعادن	금속
زين	팩터
استقلال	독립
استقلال	독립기념일
استقلال	독립운동
سيطرة	컨트롤
سيطرة	제어
سيطرة	통제
سيطرة	제어하기
هيكل	섀시
هيكل	구조
هيكل	구조물
الحشرات	버그
الحشرات	벅스
الحشرات	곤충
بريطاني	영국인
بريطاني	영국
بريطاني	브리티시
الحاضر	현재
الحاضر	선물
حضارة	문명
منخفضة	낮음
منخفضة	낮은
المساجد	사원
المساجد	모스크
بث	방송
المجلة	매거진
المجلة	잡지
فنية	예술적
حبيب	남자친구
حبيب	애인
حبيب	하비브
حبيب	보이프렌드
حبيب	연인
حبيب	남친
مؤشر	커서
مؤشر	포인터
مؤشر	색인
مؤشر	인덱스
مؤشر	지표
انتقلت	감동
مقياس	축척
مقياس	측도
مقياس	측정
مقياس	스케일
مقياس	척도
مقياس	궤간
مقياس	규모
المجر	헝가리
باي	베이
بشرية	인간
بشرية	인간인
بشرية	인체
البرمجيات	소프트웨어
زاد	증가
الشعوب	민족
الريف	시골
مسح	설문조사
مسح	스캔
اختلاف	차이
اختلاف	차이점
بعيد	원격
بعيد	리모콘
بعيد	멀다
بعيد	리모컨
الفارسية	페르시아인
الفارسية	페르시안
الفارسية	페르시아
الفارسية	페르시아어
الغناء	노래
مهم	중요하다
مهم	중요
رياضيات	수학
المشترك	가입자
ذهبية	황금
ذهبية	골든
كويكب	소행성
تكنولوجيا	기술
الانتشار	배포
الانتشار	전파
محمية	보호
مالية	재무
مالية	재정
مالية	금융
معامل	계수
المهام	태스크
المهام	함수
المهام	할당
المهام	작업
تيار	흐름
تيار	현재
تيار	전류
تيار	스트림
تيار	스트리밍
فترات	마침표
فترات	생리
فترات	월경
النمط	스타일
النمط	모드
النمط	패턴
الوعي	의식
الوعي	인식
الوعي	인지도
الكشف	감지
الكشف	검출
الكشف	탐지
الكشف	계시
الصخور	바위
الباحثين	연구자
الباحثين	연구원
ثنائية	바이너리
الساحة	마당
الساحة	아레나
تعزيز	프로모션
تعزيز	승진
تعزيز	홍보
تعزيز	향상
تعزيز	강화
المناخ	기후
المناخ	기후학
الجناح	날개
الجناح	스위트
شاه	샤이니
شاه	샤샤
الحرف	공예
كوميديا	희극
كوميديا	코미디
كوميديا	코메디
خيال	판타지
خيال	상상력
خيال	상상
خيال	허구
خيال	픽션
خيال	환상
خيال	소설
وليام	윌리엄
تشيلي	칠레
التغيير	바뀌기
التغيير	바꾸기
التغيير	변경
التغيير	변화
السكر	슈가
السكر	슈슈
السكر	설탕
منشورات	게시글
منشورات	게시물
منشورات	출판물
هزيمة	패배
حقيقية	레알
حقيقية	리얼
حقيقية	진짜
التطبيقات	어플리케이션
التطبيقات	애플리케이션
موضع	배치
نصوص	문구
نصوص	문자
نصوص	텍스트
الخير	좋다
وثيقة	문서
وثيقة	문서로
مكونات	재료
مكونات	성분
مكونات	부품
مكونات	구성요소
هونغ	홍대
الثامنة	여덟번째
الخرطوم	호스
الخرطوم	하르툼
مايكروسوفت	마이크로소프트
دستور	헌법
تذكر	기억하기
تذكر	기억
تذكر	기억하라
تذكر	기억해
رصد	모니터링
رصد	모니터
العدالة	정의
كنتاكي	켄터키
الزمان	타임
الزمان	시간
المضرب	박쥐
الغزو	정복
الغزو	침공
الغزو	침략
دراجات	자전거
الصيد	사냥
الصيد	낚시
خلاف	논쟁
خلاف	논란
اول	우선
اول	처음
اول	퍼스트
اول	먼저
الاشتراكية	사회주의
نماذج	모형
نماذج	템플릿
نماذج	모델
التعرف	증명
التعرف	식별하기
التعرف	인식
التعرف	식별
التعرف	신분증
الطبقات	레이어
الصناعات	업종
الصناعات	산업
الخصائص	속성
الخصائص	자산
الخصائص	특징
الخصائص	특성
صدام	사담
المناسبة	이벤트
المناسبة	행사
يعرض	선물
حارة	뜨거운
حارة	뜨겁다
حارة	덥다
الهولندية	네덜란드령
الهولندية	네덜란드인
الهولندية	네덜란드
الهولندية	네덜란드어
تصفح	탐색
تصفح	찾아보기
تصفح	둘러보기
تصفح	브라우징
اجتماع	모임
اجتماع	만남
اجتماع	미팅
اجتماع	회의
الابن	아들
كردستان	쿠르디스탄
كردستان	쿠르드
الخيرية	자선단체
الخيرية	자선
اخر	마지막
اخر	또다른
اخر	라스트
الرباط	라바트
الرباط	레이스
كليات	대학교
كليات	대학
النظم	체계
النظم	시스템
النسيج	텍스처
النسيج	섬유
النسيج	직물
النسيج	질감
جريمة	범죄
المطلوب	요청함
المطلوب	원하는
المطلوب	필수
المطلوب	필요함
كارولاينا	캐롤라이나
كارولاينا	카롤리나
الجريمة	범죄
عراقي	이라크
سور	울타리
سور	담장
تدمير	파괴
الوزارة	내각
مبادئ	원칙
مبادئ	원리
الوظائف	함수
الوظائف	잡스
الوظائف	게시글
الوظائف	게시물
الوظائف	일자리
الوظائف	직업
الوظائف	작업
المناعة	면역
مطبخ	주방
مطبخ	부엌
معا	함께
معا	같이
فضل	선호
بيضاء	하얀
بيضاء	화이트
بيضاء	흰색
بيضاء	하얗게
بيضاء	하얀색
صراع	갈등이
صراع	투쟁
صراع	충돌
صراع	갈등
صراع	분쟁
فرد	프레드
فرد	개인
فرد	개별
المعنى	의미
ربط	링크
ربط	연결
ربط	연결하기
النقاد	비평가
تركيب	설치
تربية	사육
تربية	번식
نسخ	복사
نسخ	사본
نسخ	카피
نسخ	복사본
صربيا	세르비아
مسقط	머스캣
مسقط	무스카트
مسقط	출신지
ليلى	라일라
ليلى	릴리
جهد	전압
جهد	노력
بدرجة	학위
بابا	바바
بابا	교황
حصن	포트
حصن	포트리스
حصن	요새
كله	전체
كله	모두
المطلوبة	필수
المطلوبة	필요함
الترشيح	필터링
تطبيقات	어플리케이션
تطبيقات	애플리케이션
حميد	하미드
الهيكل	구조물
الهيكل	구조
فرط	하이퍼
رومان	로만
رومان	로마
مشترك	공유
مشترك	가입자
يونس	조너스
يونس	조나스
فلك	천문학
سميث	스미스
الزيتون	올리브
جبر	대수
جبر	대수학
جبر	배상
رياضي	육상선수
رياضي	애슬레틱
رياضي	운동선수
العيون	눈빛
البوابة	게이트웨이
البوابة	대문
البوابة	포탈
البوابة	포털
البوابة	게이트
توجه	오리엔테이션
توجه	방향
توجه	지향
تشخيص	진단
عصور	연령
محدد	구체적
محدد	지정
محدد	구체
محدد	특정
محدد	지정됨
شريف	보안관
يابانيون	일본어
يابانيون	일본
يابانيون	일본인
الكمبيوتر	컴퓨터
مدرب	코치
مدرب	트레이너
مدرب	강사
التكنولوجيا	기술
الاولى	우선
الاولى	처음
الاولى	퍼스트
الاولى	먼저
غينيا	기니
مصنع	제조사
مصنع	공장
مصنع	팩토리
مصنع	제조업체
ضرب	이겨
ضرب	히트
ضرب	비트
النوم	수면
العقيدة	크리드
العقيدة	교리
الروح	정신
الروح	소울
الروح	영혼
الروح	스피릿
ذاكرة	추억
ذاكرة	메모리
ذاكرة	기억
ذاكرة	기억력
التجربة	실험
التجربة	경험
التجربة	체험
واجهة	인터페이스
التمييز	구별
التمييز	차별
صعوبة	난이도
صعوبة	어려움
غزو	정복
غزو	침공
غزو	침략
المعدنية	광물
المعدنية	미네랄
بدل	전환
شبكات	네트워크
البقاء	숙박
البقاء	머무르지
البقاء	머물러
البقاء	머무르고
البقاء	생존
خلية	세포
خلية	셀프
طرح	빼기
طرح	빼빼로
السياسات	정치
السياسات	정치학
السياسات	방침
السياسات	정책
مان	남성
مان	사람
مان	남자
سمير	사미르
عشرين	스물
عشرين	스무
طفل	아이유
طفل	아기
طفل	베이비
توحيد	통일
توحيد	단결
توحيد	단결하라
ريو	리오
المواضيع	주제
المواضيع	테마
المواضيع	과목
هاري	헤리
هاري	해리
الحركات	움직임
طهران	테헤란
العضلات	근육
لان	왜냐면
لان	왜냐하면
حديد	철쭉
الراين	라인
الويب	웹툰
مضاد	카운터
حقل	필드
حقل	현장
الروايات	소설
مرتبة	매트리스
احتلال	점령
الملفات	파일
ورقة	용지
ورقة	종이
ورقة	페이퍼
ورقة	리프
ورقة	나뭇잎
ورقة	시트
غربي	서부
غربي	웨스턴
غربي	웨스트
غربي	서쪽
غربي	서양
الموقف	상황
الموقف	상황이
الموقف	포지션
الموقف	태도
الموقف	직위
الموقف	위치
الصف	수업
الصف	계급
الصف	클래스
الصف	학급
الحج	순례지
الحج	순례
اسكتلندا	스코틀랜드
الدخل	수입
الدخل	소득
متوسطة	중간
متوسطة	미디엄
متوسطة	미디어
اتصال	연락
اتصال	연결
اتصال	커넥션
اتصال	접촉
اتصال	문의
اتصال	연락처
