ve	en
yarış	racen
kapağı	deksel
şehristanı	graafschap
esir	gevangene
sanatsal	artistieke
sanatsal	artistiek
aşağıda	onder
aşağıda	hieronder
musa	mozes
kütle	massa
hat	kalligrafie
hat	lijn
çeviri	vertalen
çeviri	vertaling
çeviri	vertalingen
çeviri	vertaal
sırp	servisch
sırp	servië
sırp	servische
altıncı	zesde
sesi	geluid
sesi	stem
gösterilmiştir	getoond
gösterilmiştir	getoonde
yolcu	reiziger
yolcu	reizigers
yolcu	passagiers
yolcu	passagier
yerler	verdiepingen
yerler	bestemmingen
yerler	vloeren
yerler	locaties
yerler	plaatsen
hali	tapijt
hali	vloerbedekking
sürümü	versie
buğday	tarwe
buğday	graan
geçim	levensonderhoud
tanınmış	prominente
tanınmış	gerenommeerde
düşman	vijandige
düşman	vijandelijk
düşman	vijand
düşman	vijandig
düşman	vijanden
mali	financieel
mali	fiscaal
hristiyan	christen
hristiyan	christenen
hristiyan	christelijke
hristiyan	christelijk
tehdit	bedreigingen
tehdit	dreigingen
tehdit	bedreiging
tehdit	dreiging
tehdit	bedreigen
tehdit	bedreigend
tehdit	dreigende
tehdit	dreigend
tehdit	dreigement
tehdit	dreigen
tehdit	dreig
tehdit	dreigementen
komisyonu	commissie
geliştirme	ontwikkeling
geliştirme	ontwikkelen
geliştirme	verbeteren
geliştirme	verbetering
pers	perzische
pers	perzisch
teklif	aanbod
teklif	bieden
teklif	aanbiedingen
teklif	aanbieden
teklif	biedt
teklif	biedingen
teklif	voorstel
teklif	bod
teklif	aanbieding
milliyet	nationaliteit
ayak	voetsporen
ayak	voeten
ayak	voetjes
ayak	voetstappen
ayak	voet
boyutlu	dimensionale
mimari	architectonische
mimari	architectuur
mimari	architectonisch
teşekkür	dank
lider	leider
lider	leidend
lider	leidende
pakistan	pakistaanse
vadisi	vallei
siz	jou
siz	jij
sıradan	ongedwongen
sıradan	gewone
sıklıkla	regelmatig
sıklıkla	frequent
sıklıkla	veelvuldig
sıklıkla	vaak
sıklıkla	dikwijls
sizin	je
sizin	uw
sizin	jouw
sizin	uwe
hayatta	levend
bağımsızlık	onafhankelijk
bağımsızlık	onafhankelijkheid
bağımsızlık	zelfstandigheid
düğün	trouwfeest
düğün	bruiloft
düğün	huwelijk
bulgar	bulgaars
bulgar	bulgaarse
gençler	jongens
gençler	tieners
gençler	tienerjaren
gençler	pubers
gençler	jongeren
gençler	jeugd
fen	wetenschap
fen	wetenschappen
orkestra	orkest
orkestra	orkestrale
kulesi	toren
atom	atomen
ispanyolca	spaans
ispanyolca	spaanse
yirmi	twintig
şampiyonluk	kampioenschappen
şampiyonluk	kampioenschap
koç	koets
koç	coachen
koç	trainer
bayrak	vlaggen
bayrak	vlag
dağlık	bergachtige
josé	josé
mühendislik	machinebouw
mühendislik	techniek
düşen	vallend
düşen	gevallen
düşen	dalend
düşen	vallende
düşen	vallen
oyunlar	spellen
oyunlar	toneelstukken
oyunlar	speelt
oyunlar	spelletjes
performansı	prestaties
performansı	prestatie
dedi	gezegd
dedi	zei
organize	georganiseerd
organize	organiseren
organize	georganiseerde
çocuklar	kerels
çocuklar	kinderen
çocuklar	jongens
paralel	parallelle
devrimci	revolutionaire
devrimci	revolutionair
devrimci	revolutionairen
şili	chileense
şili	chili
zelanda	zeeland
aylık	maand
aylık	maandelijkse
aylık	maandelijks
aylık	maandje
erişim	toegang
erişim	bereik
dönen	draaiend
dönen	draaien
dönen	carrousel
dönen	draaimolen
dönen	roteren
dönen	roterende
zeki	intelligente
zeki	slimme
zeki	slim
rıza	toestemming
rıza	instemming
hazır	gereed
hazır	klaar
yaşamış	leefde
yaşamış	woonde
yaşamış	leefden
kelimesi	woord
güneydoğu	zuidoost
güneydoğu	zuidoosten
yasal	juridische
yasal	wettelijk
yasal	legaal
yasal	wettig
yasal	juridisch
yasal	legitiem
köprü	brug
istedi	gevraagd
istedi	vroegen
vergi	belastingen
vergi	belasting
vergi	fiscaliteit
asist	helpt
asist	assisteert
dikey	verticaal
dikey	verticale
dikey	portret
nadir	zelden
nadir	zeldzaamheid
nadir	zeldzaam
nadir	zeldzame
hastalık	ziektes
hastalık	ziekten
hastalık	ziekte
galerisi	galerij
galerisi	galerie
eşlik	vergezellen
eşlik	begeleidende
eşlik	escorte
eşlik	vergezelde
eşlik	begeleidend
eşlik	vergezeld
şekli	vorm
hane	huishouden
hane	huishoudelijk
hane	cijfer
hane	huishoudelijke
hane	huishouding
adları	namen
içeriği	inhoudsopgave
içeriği	inhoud
seçmen	kiezer
seçmen	kiezers
seçmen	electoraat
devamı	verder
devamı	voortzetting
devamı	meer
devamı	verdere
devamı	vervolg
kilometre	kilometers
kilometre	kilometerstand
kilometre	kilometer
etkileri	gevolgen
etkileri	uitwerkingen
etkileri	effecten
etkileri	inslagen
ayrıntılı	gedetailleerd
ayrıntılı	gedetailleerde
bayan	juffrouw
bayan	vrouwe
bayan	mejuffrouw
bayan	dame
bayan	missen
konuşma	praten
konuşma	redevoering
konuşma	toespraak
konuşma	praat
konuşma	spraak
dar	smalle
dar	strakke
dar	strak
dar	krap
dar	smal
asit	zure
asit	zuur
ortodoks	orthodoxe
sıvı	vloeistof
sıvı	vloeibare
sıvı	vloeibaar
sıvı	vloeistoffen
cümle	vonnis
cümle	straf
cümle	zin
cümle	zinnen
cümle	vonnissen
güvenilir	vertrouwd
güvenilir	vertrouwde
güvenilir	betrouwbare
güvenilir	vertrouwden
güvenilir	betrouwbaar
getiren	brenger
getiren	brengt
darbe	effect
darbe	staatsgreep
darbe	blaas
darbe	inslag
darbe	botsing
darbe	blazen
dikkate	overweging
belirtti	aangeduid
belirtti	aangegeven
belirtti	geïndiceerd
akşam	avond
akşam	avondje
bilimleri	wetenschappen
eklendi	toegevoegde
eklendi	toegevoegd
bayrağı	vlag
merkezli	gecentreerd
kuru	gedroogd
kuru	opgedroogd
kuru	gedroogde
kuru	droge
kuru	droog
kuru	drogen
akım	beek
akım	huidige
akım	actueel
akım	stroom
akım	huidig
hoş	leuk
hoş	fijn
hoş	mooi
hoş	lekker
yolları	paden
yolları	manieren
gösterildi	getoond
gösterildi	getoonde
gösterildi	gescreend
köyleri	dorpjes
köyleri	dorpen
mal	goederen
mal	kosten
mal	kostprijs
geriye	achterwaarts
geriye	achterstevoren
geriye	achteruit
vermiş	gaf
kartal	arend
kartal	adelaar
kartal	adelaars
yük	goederenvervoer
yük	vracht
yük	vrachtvervoer
yük	lasten
yük	last
yük	bagage
yük	laad
yük	laden
tatlı	lieve
tatlı	schatje
tatlı	zoet
tatlı	toetje
tatlı	lief
tatlı	schattig
toplama	inzameling
toplama	collectie
toplama	samenkomst
toplama	verzamelen
toplama	verzameling
toplama	concentratie
tel	draad
temsilcisi	representatief
temsilcisi	representatieve
temsilcisi	vertegenwoordiger
servis	dienst
gerekiyor	vereist
gerekiyor	vereiste
ağırlıklı	gewogen
bulunması	vinden
çiçek	bloemetje
çiçek	bloemetjes
çiçek	bloempje
çiçek	bloem
çiçek	bloemen
verilmiş	gegeven
döner	geeft
döner	retour
döner	retourneren
döner	döner
artan	verhoogde
artan	toenemende
artan	oplopend
artan	toenemend
artan	oplopende
artan	opgaande
artan	verhoogd
artan	toegenomen
artan	incrementele
maden	minerale
maden	mijnen
maden	erts
maden	mijnbouw
maden	mineraal
düzey	niveau
yazan	geschreven
yazan	schriftelijke
verimli	efficiënt
verimli	productief
verimli	efficiënte
verimli	productieve
senarist	scenarioschrijver
görür	ziet
vietnam	vietnamezen
vietnam	vietnamees
süt	melk
süt	zuivel
özellikler	karakteristieken
özellikler	specificaties
özellikler	kenmerken
özellikler	eigendommen
özellikler	attributen
özellikler	functies
özellikler	eigenschappen
taşındı	verplaatst
taşındı	bewogen
taşındı	bewoog
taşındı	verhuisd
kaptan	schipper
kaptan	kapitein
kaptan	gezagvoerder
kaptan	dop
zorunlu	vereist
zorunlu	vereiste
zorunlu	verplicht
zorunlu	verplichte
işletim	opereren
konumu	locatie
konumu	ligging
konumu	lokatie
gösterilen	getoond
gösterilen	getoonde
gösterilen	weergegeven
genetik	genen
genetik	genetica
genetik	genetisch
genetik	genetische
cezayir	algerijnse
cezayir	algerije
başlangıçta	aanvankelijk
başlangıçta	oorspronkelijk
başlığı	kop
başlığı	titel
başlığı	koptekst
binlerce	duizenden
yağmur	regen
meşhur	beroemde
meşhur	beroemd
davul	drumstel
davul	trommels
davul	trommel
davul	trom
davul	vaten
kanat	vleugel
kanat	vleugels
gerekçesiyle	gronden
iskender	aleksandr
gıda	eten
gıda	voedingsmiddelen
gıda	levensmiddelen
gıda	voedsel
işletme	bedrijf
işletme	zakelijk
dersleri	klassen
dersleri	lessen
devrim	revolutionair
devrim	revolutionaire
devrim	revolutie
devrim	revoluties
devrim	omwentelingen
sandık	krat
sandık	borstkas
sandık	borst
sandık	slurf
sandık	achterbak
sandık	kofferbak
yağ	dikke
yağ	oliën
yağ	vet
yağ	dik
yağ	aardolie
yağ	olieverf
yağ	olie
yağ	boter
güçleri	bevoegdheden
güçleri	krachten
çözüm	oplossing
çözüm	oplossingen
çözüm	oplossen
çözüm	resolutie
italyanca	italiaan
italyanca	italiaanse
italyanca	italiaans
kolordu	korps
isimler	naamwoorden
isimler	namen
madalyası	medaille
taraf	zijde
taraf	zijkant
taraf	zijden
taraf	kant
taraf	kanten
taraf	entiteit
taraf	zijkanten
gönderildi	ingediende
gönderildi	gepost
gönderildi	geplaatste
gönderildi	ingezonden
gönderildi	verstuurd
gönderildi	gestuurd
gönderildi	geplaatst
gönderildi	ingediend
gönderildi	verzonden
tarihçi	kroniekschrijver
tarihçi	historicus
françois	françois
yukarıdaki	boven
yukarıdaki	hierboven
mutlu	gelukkig
mutlu	vrolijk
mutlu	blij
mutlu	tevreden
taşır	draagt
gök	hemel
gök	lucht
gök	luchten
nehir	rivier
yükselen	opkomende
yükselen	rijzende
yükselen	stijgend
yükselen	stijgende
deneme	tests
deneme	testen
varlığını	aanwezigheid
dede	grootvader
dede	opa
saygı	respecteer
saygı	respecteren
kahverengi	bruin
kahverengi	bruine
trakya	thracië
kişiye	persoon
macar	hongaars
macar	hongaarse
bölümler	secties
bölümler	afdelingen
bölümler	hoofdstukken
bölümler	afleveringen
bölümler	departementen
varlığı	aanwezigheid
pozitif	positieve
pozitif	positief
eksik	onvolledige
eksik	ontbrekende
eksik	ontbreekt
eksik	onvolledig
eksik	ontbrekend
eksik	incompleet
eksik	ontbreken
eksik	missen
eksik	vermist
avcı	zoeker
avcı	doder
avcı	jager
oda	kamers
oda	kamer
çay	thee
kuran	koran
zırhlı	slagschip
zırhlı	pantser
zırhlı	harnas
zırhlı	gepantserde
zırhlı	oorlogsschip
alınmış	genomen
alınmış	meegenomen
istihbarat	inlichtingen
istihbarat	inlichtingendienst
istihbarat	intelligentie
tümen	divisies
tümen	afdelingen
tümen	splitsingen
okuma	lectuur
okuma	gelezen
okuma	lezen
okuma	lees
okuma	lezing
grupları	groepen
tren	treinen
tren	trein
arabistan	arabië
yöntemi	methode
seçimi	selectie
his	gevoel
his	voelen
belirgin	onderscheidend
diğerleri	overigen
diğerleri	anderen
diğerleri	overige
diğerleri	andere
ayrılan	toegewezen
ilginç	interessante
ilginç	interessant
çevresi	omgeving
çevresi	omringende
çevresi	omtrek
bulur	vindt
karakterler	karakters
karakterler	tekens
karakterler	personages
holding	conglomeraat
küba	cubaans
küba	cubaan
küba	cubaanse
süreli	aflopende
alanlar	oppervlakten
alanlar	velden
alanlar	gebieden
alanlar	akkers
kalın	blijven
kalın	dik
kalın	blijf
kalın	dikke
bayram	feestdag
bayram	vakanties
bayram	feestdagen
bayram	feestmaal
bayram	vakantie
keskin	scherpe
keskin	scherp
oyunculuk	acteren
oyunculuk	acteer
oyunculuk	waarnemend
sorunları	kwesties
değişen	veranderde
değişen	gewijzigd
değişen	veranderen
değişen	veranderende
değişen	veranderd
gelişme	ontwikkeling
gelişme	voortgang
gelişme	vorderingen
gelişme	vooruitgang
gelişme	verbetering
eve	huis
eve	thuis
eve	startpagina
demokrasi	democratie
lübnan	libanon
erdem	moraliteit
erdem	deugd
erdem	deugden
erdem	moraal
uşak	dienaar
uşak	bediende
uşak	lakei
seyahat	reizend
seyahat	reizen
seyahat	reis
kod	wetboek
lazım	nodig
lazım	noodzaak
lazım	behoefte
lazım	nood
görülebilir	zichtbaar
görülebilir	zichtbare
özgürlük	vrijheid
müzikal	muzikale
müzikal	muzikaal
kazakistan	kazachstan
açıkça	expliciet
açıkça	uitdrukkelijk
açıkça	duidelijk
hizmetleri	dienstverlening
hizmetleri	diensten
küre	bol
küre	aardbol
kapısı	poort
kapısı	hek
ton	toon
ton	toontje
ton	ton
ton	tonnen
kaç	uitvoeren
kaç	ren
kaç	rennen
şikayet	rapporteren
şikayet	verslag
şikayet	rapportage
şikayet	klacht
şikayet	klachten
şikayet	rapport
şikayet	verslaglegging
şikayet	klagen
karşılıklı	wederzijdse
karşılıklı	wederzijds
öğrenciler	studenten
öğrenciler	leerlingen
herkese	iedereen
ruh	humeur
ruh	geest
ruh	ziel
ruh	stemming
suç	criminaliteit
suç	misdrijf
suç	crimineel
suç	misdaad
suç	misdadig
suç	misdadiger
kaydetti	opgesomd
kaydetti	genoteerd
kaydetti	opgemerkt
caddesi	laan
tepki	reageren
tepki	reactie
tepki	reageer
galibiyet	winnen
galibiyet	wint
elektron	elektronisch
elektron	elektron
planı	plannen
kökeni	herkomst
kökeni	oorsprong
bağ	aansluiting
bağ	binding
bağ	obligatie
bağ	verbinding
bağ	koppeling
bağ	connectie
fabrikası	fabriek
kullanmak	gebruik
kullanmak	verzilveren
kullanmak	gebruiken
kullanmak	verlossen
kullanmak	inwisselen
ümit	hopen
ümit	hoop
yazarlar	schrijvers
yazarlar	auteurs
açılış	openen
numarası	nummer
numarası	aantal
numarası	getal
yunus	bruinvis
yunus	dolfijn
yunus	dolfijnen
kalabalık	overvol
kalabalık	menigte
kadro	team
kadro	personeel
kablo	draad
kablo	draden
kablo	kabel
kablo	kabels
beyin	hersenen
beyin	hersens
beyin	brein
hikmet	wijsheid
kuzeyde	noord
kuzeyde	noorden
manuel	handmatig
manuel	handboek
manuel	manueel
manuel	handmatige
manuel	handleiding
farkı	verschil
bağdat	bagdad
işık	lichte
işık	verlichting
işık	lampen
işık	belichting
işık	licht
işık	lichten
işık	lichtjes
suudi	saoedi
korumak	bescherm
korumak	beschermen
resmen	formeel
resmen	officieel
geliyor	komen
meydan	uitdagen
meydan	vierkante
meydan	vierkant
meydan	uitdaging
meydan	plein
makale	artikel
makale	artikels
makale	artikelen
politikası	beleid
maliye	financien
maliye	schatkist
maliye	financiën
maliye	financieren
maliye	belastingdienst
örneği	voorbeeld
yöntem	methodiek
yöntem	methode
yöntem	methodologie
bulunmuş	gevonden
kapsamlı	veelomvattend
kapsamlı	omvattend
kapsamlı	uitgebreid
kapsamlı	uitgebreide
tarafsız	onbevooroordeeld
tarafsız	onpartijdig
tarafsız	neutrale
tarafsız	neutraal
tarafsız	onpartijdige
yedinci	zevende
bulmak	zoek
bulmak	vinden
bulmak	vind
yazıları	geschriften
sınırı	beperken
sınırı	limieten
sınırı	limiet
malzeme	leveringen
malzeme	materiaal
malzeme	ingrediënten
malzeme	voorraad
malzeme	benodigdheden
malzeme	ingrediënt
malzeme	materialen
malzeme	voorraden
malzeme	bevoorrading
isyan	opstand
isyan	rebellie
isyan	rellen
isyan	rel
isyan	oproer
isyan	muiterij
galip	winnares
galip	winnaar
galip	overwinnaar
belirtilen	gespecificeerde
belirtilen	opgegeven
belirtilen	gespecificeerd
değişim	wijzigen
değişim	overschakeling
değişim	verandering
değişim	wijziging
değişim	omschakeling
değişim	veranderingen
değişim	veranderen
değişim	overgang
değişim	transformatie
hayvanlar	huisdieren
hayvanlar	beesten
hayvanlar	dieren
hayvanlar	huisdier
üstü	bovenkant
üstü	boven
üstü	bovenste
üstü	hierboven
mesafe	afstand
mesafe	bereik
acı	bittere
acı	verbitterd
acı	pijn
portekizce	portugese
portekizce	portugees
portekizce	portugezen
kıyı	kust
kıyı	wal
kıyı	oever
mezarlığı	kerkhof
mezarlığı	begraafplaats
asla	nooit
iptal	afzeggen
iptal	annulering
iptal	geannuleerde
iptal	afbreken
iptal	geannuleerd
iptal	afgelast
iptal	annuleren
ülkeleri	landen
yasa	wet
bireysel	individu
bireysel	individueel
bireysel	individualistisch
umut	hoopt
umut	hopen
umut	hoop
ikna	overtuiging
ikna	overtuigen
ikna	overtuigingskracht
tabanlı	gebaseerd
kurban	slachtoffer
kurban	offeren
kurban	offer
kurban	opoffering
dava	rechtszaak
dava	aanklagen
dava	zaak
dava	geval
dava	rechtzaak
önemlidir	belangrijke
önemlidir	belangrijk
gelin	bruid
gelin	kom
mekanik	monteurs
mekanik	mechanisch
mekanik	mechanische
mekanik	mechanica
mekanik	automonteur
mekanik	monteur
dj	dj
köpek	hond
köpek	hondje
köpek	honden
gözden	beoordeling
gözden	herziening
gözden	recensie
fırat	eufraat
litvanya	litouwen
merhaba	hallo
şiddetli	felle
şiddetli	intensief
şiddetli	ernstig
şiddetli	ernstige
şiddetli	fel
şiddetli	gewelddadig
şiddetli	woest
şiddetli	heftig
şiddetli	gewelddadige
şiddetli	intens
şiddetli	streng
yazın	schrijven
yazın	schrijf
parçaları	delen
parçaları	onderdelen
parçaları	stuks
parçaları	stukjes
parçaları	beetjes
parçaları	stukken
ihtiyacı	behoeften
ihtiyacı	noden
dişi	vrouwelijk
dişi	vrouwelijke
dişi	vrouw
dişi	vrouwtje
dişi	vrouwen
dişi	vrouwtjes
amaç	objectief
amaç	doel
amaç	doelpunt
amaç	doelstelling
kurulması	vestiging
inceleme	keuring
inceleme	inspectie
inceleme	beoordeling
inceleme	herziening
inceleme	recensie
intihar	zelfmoorden
intihar	suïcidale
intihar	zelfmoord
intihar	zelfdoding
tablo	schilderij
tablo	schilderkunst
tablo	tafeltje
tablo	tabel
tablo	schilderen
tablo	tafel
tablo	verven
korku	afschuw
korku	gruwel
korku	angsten
korku	ontzag
korku	angst
korku	verschrikking
korku	vrees
içişleri	binnenland
içişleri	interieur
kredi	kredieten
kredi	krediet
kredi	lening
nesil	opwekking
nesil	generatie
kapı	deur
kapı	poort
kapı	deuren
kapı	hek
rengi	kleuren
rengi	kleur
güven	zelfvertrouwen
güven	vertrouwen
güven	vertrouw
ikincisi	tweede
çıkarılan	geëxtraheerd
çıkarılan	onttrokken
ağırlığı	gewicht
ağırlığı	weeg
kuralları	regels
kuralları	voorschriften
kuralları	richtlijnen
sahil	kust
diller	talen
kafkasya	kaukasus
optik	optische
optik	optiek
optik	optisch
köken	herkomst
köken	oorsprong
koyun	schapen
koyun	schaap
sadık	getrouwe
sadık	loyale
sadık	loyaal
sadık	trouw
sadık	trouwe
part	parthische
vücut	lichaam
deri	huid
deri	lederen
deri	leder
deri	leer
önemi	belangrijkheid
önemi	belang
önemi	betekenis
düzenlendi	bewerkte
düzenlendi	bewerkt
sandalye	stoelen
sandalye	stoel
liman	haven
liman	bakboord
liman	poort
sağlam	stevig
sağlam	stevige
sağlam	solide
sağlam	robuuste
sağlam	massief
sağlam	vaste
sağlam	robuust
diğeri	overig
diğeri	ander
diğeri	overige
diğeri	andere
pınar	veren
pınar	bronnen
pınar	fontein
anonim	anonieme
anonim	anoniem
kapsayan	bedekking
tunus	tunesisch
tunus	tunesische
tunus	tunesië
toplanan	verzamelde
toplanan	ingezameld
toplanan	verzameld
taraflı	partijdig
taraflı	bevooroordeeld
taraflı	vooringenomen
süvari	cavalerie
süvari	rijder
süvari	ruiter
sürüm	versie
sürüm	revisie
sürüm	vrijgave
sürüm	herziening
sürüm	loslaten
sürüm	vrijlating
gelişen	bloeiende
moğol	mongool
moğol	mongoolse
enerjisi	energie
sokak	straten
sokak	straat
sokak	straatjes
sokak	steeg
sokak	steegje
biçimi	opmaak
biçimi	formatteren
biçimi	indeling
biçimi	formaat
salih	rechtschapen
salih	rechtvaardig
klibi	fragment
karayolu	weg
karayolu	snelweg
kraliçe	koningin
yahudiler	joden
parlamento	parlementair
parlamento	parlement
parlamento	parlementaire
yetersiz	onvoldoende
yetersiz	incompetente
yetersiz	ontoereikend
yetersiz	onbekwaam
yetersiz	onbeslist
yetersiz	ontoereikende
seni	jou
seni	jij
heykel	beeldje
heykel	beeld
heykel	sculptuur
heykel	beeldhouwwerk
heykel	standbeeld
konular	onderdanen
konular	vakken
konular	draden
konular	discussies
konular	onderwerpen
süreç	processen
süreç	verwerken
süreç	proces
kongre	conventie
kongre	congres
kongre	congressen
kongre	verdrag
matematiksel	wiskundig
matematiksel	wiskundige
matematiksel	mathematische
herpetolog	herpetoloog
kalite	kwaliteit
bölgeleri	streken
disk	schijf
disk	schijven
yarımadası	schiereiland
yakıt	brandstof
yakıt	splijtstof
fikri	idee
fikri	ideetje
karışık	verward
karışık	mixen
karışık	vermengd
karışık	gemengd
karışık	gecompliceerd
karışık	verwarde
karışık	verwarrend
karışık	gemengde
karışık	gecompliceerde
karışık	complexe
karışık	mengen
karışık	verwarren
karışık	ingewikkelde
karışık	meng
karışık	gemixt
karışık	ingewikkeld
atletizm	atletiek
taşı	verplaats
taşı	bewegen
taşı	verplaatsen
taşı	beweeg
basınç	druk
sinir	toorn
sinir	kwaadheid
sinir	boosheid
sinir	zenuwen
sinir	woede
sorunlar	vervloekingen
sorunlar	problemen
sorunlar	kwesties
arkasında	achter
referans	verwijzingen
referans	verwijzing
referans	referenties
referans	referentie
referans	getuigenis
ulus	natie
karşıya	oversteken
karşıya	kruis
kitaplar	boeken
alınır	genomen
alınır	meegenomen
stratejik	strategisch
askerler	soldaten
askerler	troepen
fonksiyonu	functie
düşer	watervallen
düşer	waterval
düşer	valt
düşer	vallen
belgrad	belgrado
daire	appartementen
daire	kring
daire	cirkel
daire	plat
ilişkisi	relatie
taşıma	dragend
taşıma	transport
taşıma	vervoer
animasyon	geanimeerde
animasyon	animatie
cam	glazen
cam	glas
görünür	zichtbaar
görünür	zichtbare
sicilya	sicilië
sicilya	siciliaanse
haritası	plattegrond
haritası	kaart
makine	machines
sonsuz	eindeloos
sonsuz	eeuwige
sonsuz	oneindig
sonsuz	eeuwig
sonsuz	oneindige
sonsuz	eindeloze
napoli	napolitaanse
napoli	napels
boğazı	straat
yağış	neerslag
yağış	regenval
milano	milaan
yazma	schrijven
yazma	typen
yazma	schrijf
gereksiz	nutteloos
gereksiz	overbodig
gereksiz	onnodige
gereksiz	onnodig
gereksiz	zinloos
gereksiz	waardeloos
gereksiz	onbruikbaar
gereksiz	overbodige
icin	voor
fas	marokkaanse
fas	marokkaans
fas	marokko
hâlâ	nog
görmek	zien
görmek	zie
evde	huis
evde	thuis
evde	startpagina
yumurta	eitjes
yumurta	ei
yumurta	eitje
yumurta	eieren
sessiz	stille
sessiz	stilte
sessiz	gedempt
sessiz	stil
sessiz	rustig
sessiz	zwijgen
antrenör	koets
antrenör	coachen
antrenör	opleider
antrenör	trainer
batıda	westelijk
batıda	westen
kare	vierkante
kare	kwadraat
kare	vierkant
kare	plein
kare	kader
eğlence	leuk
eğlence	gezelligheid
eğlence	vermaak
eğlence	recreatie
eğlence	ontspanning
eğlence	amusement
eğlence	gezellig
hidrojen	waterstof
yapay	synthetische
yapay	kunstmatige
yapay	kunstmatig
yapay	synthetisch
sporcu	atleet
sporcu	atlete
sporcu	sporter
sporcu	sportman
veda	vaarwel
veda	afscheid
bakır	koper
teksas	texaanse
hapis	gevangenis
hapis	gevangenschap
hapis	gevangenneming
hapis	opsluiting
hapis	gevangenisstraf
bağlantılı	gerelateerd
bağlantılı	verwant
bağlantılı	aangesloten
bağlantılı	verbonden
bağlantılı	gelinkt
bağlantılı	gerelateerde
bağlantılı	gekoppelde
bağlantılı	gekoppeld
bağlantılı	verwante
volkan	vulkanische
volkan	vulkanisch
volkan	vulkaan
sunucu	presentator
sunucu	organisator
sunucu	gastheer
sunucu	presentatrice
gönüllü	vrijwilligerswerk
gönüllü	vrijwilliger
gönüllü	vrijwillige
gönüllü	vrijwilligers
gönüllü	vrijwillig
miktarı	bedrag
miktarı	hoeveelheid
miktarı	kwantiteit
ekip	bemanning
ekip	team
maçlar	spellen
maçlar	wedstrijden
maçlar	lucifers
maçlar	spelletjes
brezilyalı	braziliaanse
brezilyalı	braziliaans
topçu	artillerie
topçu	geschut
mahkeme	rechtszaal
mahkeme	rechtbanken
mahkeme	hof
kolayca	makkelijk
kolayca	eenvoudig
kolayca	gemakkelijk
parçalar	delen
parçalar	componenten
parçalar	onderdelen
parçalar	brokken
yoğunluğu	dichtheid
yoğunluğu	intensiteit
tuna	donau
görüldü	gezien
görüldü	gespot
görüldü	waarneming
hoca	leraar
hoca	onderwijzer
hoca	leerkracht
hoca	docent
hoca	lerares
hıristiyan	christen
hıristiyan	christenen
hıristiyan	christelijke
hıristiyan	christelijk
dik	naaien
dik	steile
dik	naai
dik	steil
yapılar	structuren
vize	visum
vize	visa
müdür	regisseur
müdür	aangever
müdür	directeur
müdür	rector
müdür	schoolhoofd
müdür	bedrijfsleider
doğuda	oost
doğuda	oosten
günleri	dagen
kahire	caïro
peru	peruviaanse
peru	peruaanse
gaga	snavel
gaga	snavels
prusya	pruisen
prusya	pruisische
sayıları	nummering
mükemmel	uitstekend
mükemmel	uitmuntend
mükemmel	perfecte
mükemmel	voortreffelijk
varlık	aanwezigheid
varlık	entiteit
varlık	aanwinst
varlık	activa
çoban	herder
çoban	herders
arkadaş	vriendin
arkadaş	vrienden
arkadaş	vriend
portal	portalen
kural	regel
kural	regels
kural	voorschriften
gürcü	georgische
gürcü	georgisch
ansiklopedi	encyclopedie
felsefesi	filosofie
görünümü	uitzicht
görünümü	bekijk
görünümü	verschijning
görünümü	weergave
görünümü	uiterlijk
görünümü	bekijken
gerilim	spanning
gerilim	spanningen
trafik	verkeer
hikâye	verhaal
kafkas	blanke
kafkas	blank
konuşan	spreken
konuşan	praten
konuşan	sprekend
konuşan	pratende
bebek	schatje
bebek	poppetje
bebek	popje
bebek	schat
bebek	pop
radikal	radicaal
radikal	radicale
ipek	zijde
ipek	zijden
ittifak	alliantie
ittifak	bondgenootschap
ittifak	verbond
günler	dagen
bölgeler	streken
bölgeler	gebieden
bölgeler	wijken
bölgeler	oppervlakten
bölgeler	districten
muharebe	bestrijden
muharebe	strijd
muharebe	gevecht
muharebe	veldslag
muharebe	slag
euro	euro
dere	stroom
dere	beek
dere	kreek
deneysel	experimenteel
rahatsız	verontrust
rahatsız	verstoord
rahatsız	geërgerd
rahatsız	verstoorde
rahatsız	oncomfortabel
rahatsız	geïrriteerd
rahatsız	ongemakkelijk
rahatsız	gestoord
haftalık	weekoverzicht
haftalık	wekelijks
haftalık	wekelijkse
haftalık	weekje
halife	kalief
grafik	grafiek
grafik	grafische
grafik	grafieken
grafik	grafisch
turnuvası	tornooi
turnuvası	toernooi
bit	luizen
hayal	verbeeldingskracht
hayal	dromen
hayal	droom
hayal	verbeelding
hayal	dagdromen
hayal	fantasie
inci	parel
inci	parels
negatif	negatieve
negatif	negatief
negatif	negatieven
yıldızlar	sterren
turnuva	tornooi
turnuva	toernooi
turnuva	toernooien
okudu	bestudeerd
okudu	bestudeerde
okudu	studeerde
hasta	patiënt
hasta	zieken
hasta	ziek
hasta	patienten
hasta	geduldig
hasta	patiënten
takma	roepnaam
takma	bijnaam
evrensel	universeel
evrensel	globaal
evrensel	kosmische
evrensel	kosmisch
evrensel	universaliteit
evrensel	wereldwijd
evrensel	universele
evrensel	mondiale
konstantin	constantijn
taarruz	geweldpleging
taarruz	aanval
taarruz	mishandeling
sıfır	nul
emek	inspanning
emek	arbeid
yazılar	geschriften
yazılar	artikels
yazılar	artikelen
sulama	irrigatie
açan	bloeiende
klavye	toetsenborden
