در	கதவு
قبلی	முந்தைய
نقطه	ஸ்பாட்
نقطه	புள்ளி
نقطه	நீக்கம்
حفظ	பராமரிக்க
مشترک	பொதுவான
مشترک	பொது
آتش	தீ
آتش	நெருப்பு
بلوچستان	பலுசிஸ்தான்
زیست	உயிரியல்
فنی	தொழில்நுட்ப
چشمه	ஊற்று
چشمه	ஸ்பா
چشمه	இருப்பார்கள்
چشمه	நீரூற்று
تقسیمات	பிரிவுகளாக
تقسیمات	பிரிவுகளும்
ایلینوی	இலினொய்
ایلینوی	இல்லினாய்ஸ்
پوشش	கவரேஜ்
پوشش	உறை
پوشش	கவர்
سلطنتی	றோயல்
سلطنتی	ராயல்
سلطنتی	இம்பீரியல்
جا	ஓகோ
فراهم	வழங்கவும்
فراهم	வழங்க
زیردریایی	நீர்மூழ்கி
کتابخانه	நூலகம்
تشخیص	கண்டறியும்
تشخیص	கண்டறிதல்
درخت	கிளை
درخت	மரம்
درخت	மரங்கள்
نزدیکی	அருகில்
نزدیکی	அருகே
تأثیر	விளைவு
تأثیر	எபெக்ட்
عرض	அகலம்
دید	பார்த்தேன்
دید	பார்த்தார்
خدمت	பரிமாறும்
خدمت	சேவை
داستانی	செய்தி
داستانی	கதை
بعدها	பிறகு
بعدها	பின்னர்
بعدها	பின்னாளில்
بعدها	பிற்பகுதியில்
ایرلند	ஐரிஷ்
ایرلند	அயர்லாந்து
پرواز	பறக்க
پرواز	பறந்து
پرواز	விமானம்
پرواز	பறக்கும்
رمان	நாவல்கள்
رمان	புதினம்
رمان	நாவல்
حاصل	முடிவு
حاصل	தயாரிப்பு
حاصل	பலன்
حاصل	தயாரிப்பைப்
حاصل	பொருள்
حاصل	விளைவு
حاصل	தயாரிப்பை
ادبی	இலக்கிய
خرد	நொறுங்கி
آسیایی	ஆசிய
بنیاد	பவுண்டேஷன்
بنیاد	அடித்தளம்
بنیاد	அறக்கட்டளை
الله	அல்லாஹ்
الله	கடவுளின்
الله	ஆண்டவர்
الله	தெய்வமே
الله	அல்லாஹு
الله	தேவன்
الله	கடவுள்
کشورها	நாடுகள்
خدا	அல்லாஹ்
خدا	கடவுளின்
خدا	ஆண்டவர்
خدا	தெய்வமே
خدا	தேவன்
خدا	கடவுள்
شهید	தியாகிகள்
شهید	தியாகி
شهید	ஷாஹித்
رهبری	தலைமையை
رهبری	தலைமை
بریتانیایی	பிரிட்டிஷ்
تحقیقات	விசாரணை
تحقیقات	ஆராய்ச்சி
تحقیقات	ஆய்வு
کلاسیک	பழமையான
کلاسیک	பாரம்பரிய
کلاسیک	தொன்மையான
کلاسیک	கிளாசிக்
زندان	ஜெயில்
زندان	சிறை
زندان	கைதி
زندان	சிறைச்சாலை
سلطان	சுல்தான்
هوا	ஏர்
هوا	காலநிலை
هوا	வானிலை
برق	மின்னியல்
برق	மின்சாரம்
برق	மின்சார
برق	மின்னல்
جزایر	தீவுகள்
خورشید	சூரியன்
خورشید	சன்
خورشید	ஞாயிறு
نقاشی	ஓவியத்தை
نقاشی	பெயிண்ட்
نقاشی	ஓவியம்
نقاشی	வரைதல்
نقاشی	தீட்டு
معتبر	செல்லுபடியாகும்
معتبر	செல்லாத
معتبر	முறையான
پایتخت	மூலதனம்
پایتخت	தலைநகரம்
تاسیس	நிர்ணய
شاعر	கவிஞன்
شاعر	கவிஞர்
تیر	அம்புக்குறி
مطالعه	படிப்பு
مطالعه	ஆய்வு
مطالعه	ஆய்
مطالعه	படிக்கிறேன்
قتل	கொலை
رادیو	ரேடியோ
رادیو	வானொலி
بومی	பழங்குடியின
بومی	பிறப்பிடம்
بومی	பூர்வீக
نقشه	வரைபடம்
نقشه	திட்டம்
نقشه	பிளான்
تغییرات	மாற்றங்கள்
تغییرات	மாற்றங்களை
امروز	இன்றும்
امروز	இன்று
بلند	உரத்த
بلند	உயர்
بلند	சத்தமாக
بلند	சத்தம்
بلند	அதிகம்
بلند	அதிகமான
بلند	உயர்ந்த
بلند	அதிக
خودرو	வாகனம்
خودرو	தானியங்கி
خودرو	கார்
خودرو	வண்டி
خودرو	வாகனக்
ایتالیایی	இத்தாலிய
ایتالیایی	இத்தாலியன்
نگاه	தோற்றம்
نگاه	தேடுவது
نگاه	தேடும்
نماینده	பிரதிநிதி
اوج	முதன்மை
اوج	உச்ச
اوج	மேல்
اوج	சிகரம்
اوج	மேலே
اوج	டாப்
مقدس	பரிசுத்த
مقدس	புனித
مقدس	புனிதமானது
حرف	பேசு
حرف	பேச்சு
حرف	பேசிக்கொண்டு
حرف	பேசுவதை
حرف	பேசவும்
حرف	பேசுகிறார்கள்
حرف	கடிதம்
حرف	பேசுகிறேன்
ابراهیم	இப்ராகிம்
ابراهیم	இப்ராஹீம்
ابراهیم	இப்ராஹிம்
ابراهیم	ஆபிரகாம்
اشتباه	தவறான
اشتباه	தப்பு
اشتباه	தவறாக
اشتباه	தவறு
شهرک	ஊர்
شهرک	டவுன்
شهرک	ஊருக்கு
یونانی	கிரேக்க
یونانی	கிரீக்
یونانی	கிரேக்கர்கள்
دهانه	கிண்ணக்குழி
جعبه	பெட்டிகள்
جعبه	பெட்டி
ساز	இசைக்கருவி
مراکز	மையங்களை
مراکز	மையங்கள்
محدود	லிமிடெட்
محدود	வரம்பு
محدود	எல்லை
احتمال	சாத்தியக்கூறு
احتمال	பாதுகாத்த
نروژ	நார்வே
نروژ	நோர்வே
نروژ	நார்வேஜியன்
همیشه	எப்பொழுதும்
همیشه	எப்போதுமே
همیشه	எப்போதும்
عشق	காதல்
عشق	அன்பு
عشق	அன்பை
عشق	காதலை
عشق	அன்பும்
مجارستان	ஹங்கேரி
مجارستان	ஹங்கேரியன்
مجارستان	ஹங்கேரிய
ارمنی	ஆர்மேனியன்
چک	காசோலை
چک	செக்
چک	வட்டில்
خصوصی	தனிப்பட்டது
خصوصی	தனிப்பட்ட
خصوصی	தனி
خصوصی	தனிப்பட்டதாக
خصوصی	தனியார்
آلاباما	அலபாமா
ساده	சுலபமான
ساده	வெறுமை
ساده	சுலபம்
ساده	வெறும்
ساده	சாதா
ساده	சாதாரணம்
ساده	எளிதில்
ساده	சாதாரண
ساده	எளிய
ساده	எளிமையானது
ساده	எளிதானது
ساده	எளிதாக
ساده	வெறுமனே
ساده	எளிது
ساده	எளிதான
شنا	நீந்தி
شنا	நீந்த
شنا	நீச்சல்
تخت	படுக்கையில்
تخت	கட்டில்
تخت	தக்த்
تخت	படுக்கை
سپاه	ராணுவம்
سپاه	இராணுவம்
برج	கோபுரங்கள்
برج	கோபுரம்
برج	டவர்
سرانجام	இறுதியாக
سرانجام	இறுதியாய்
اسکاتلند	ஸ்காட்லாந்து
اوهایو	ஓஹியோ
نقاط	புள்ளிகள்
نقاط	வெள்ளத்தை
رابرت	இராபர்ட்
رابرت	ராபர்ட்
اسید	அமிலம்
اسید	காடி
لس	லெஸ்
لس	லாஸ்
اوایل	சீக்கிரமாக
پنجم	ஐந்தாம்
پنجم	ஐந்தாவது
پشتیبانی	ஆதரவு
پشتیبانی	ஆதரிக்கப்படும்
پشتیبانی	காப்பு
پشتیبانی	துணை
ایستگاه	நிலையம்
معاصر	சமகால
برده	அடிமை
برده	அடிமைகள்
اینترنت	இணைய
اینترنت	இணையம்
جورجیا	ஜார்ஜியா
عثمانی	ஓட்டோமான்
توزیع	பரவல்
توزیع	விநியோகம்
توزیع	பகிர்வு
برخورد	மோதல்கள்
برخورد	தாக்கத்தை
برخورد	தாக்கம்
برخورد	மோதல்
دلایل	காரணங்கள்
صد	நூறு
پول	பணம்
پول	பணத்தை
واشینگتن	வாஷிங்டன்
عرب	அரபியர்கள்
عرب	அரபு
پیروزی	வெற்றி
پیروزی	வெற்றியாகும்
صدا	குரலில்
صدا	குரல்
صدا	ஆடியோ
صدا	ஒலி
صاحب	சொந்தக்காரர்
صاحب	உரிமையாளர்
برادر	சகோதரர்
برادر	சகோதரன்
برادر	சகோ
مطالعات	ஆய்வுகள்
مشکلات	பிரச்சனைகள்
مشکلات	சர்ச்சைகள்
مشکلات	சிரமங்களை
مشکلات	பிரச்சினைகள்
اقیانوس	பெருங்கடல்
اقیانوس	கடல்
اقیانوس	பெருங்கடல்கள்
اقیانوس	சமுத்திரம்
سریع	விரைவான
سریع	விரைவு
سریع	வேகமானது
سریع	வேகம்
سریع	விரைவாக
سریع	வேகமாக
سریع	விரைவானது
جوان	இளம்
جوان	இளமையாக
جوان	ஜோன்
جوان	இளமையான
سرطان	புற்றுநோய்
سرطان	கடகம்
مشابه	ஒத்த
دانشمندان	விஞ்ஞானிகள்
دانشمندان	அறிஞர்கள்
جشن	கொண்டாடும்
جشن	கொண்டாட்டம்
جشن	கட்சி
جشن	கொண்டாடுகின்றனர்
جشن	பார்ட்டி
جشن	கொண்டாடு
جشن	விருந்து
جشن	கொண்டாடுகிறார்
نظیر	பீர்
نظیر	நசீர்
جمهور	ஜனாதிபதிகள்
اعمال	பூசும்
کلمه	சொல்
کلمه	வார்த்தை
کلمه	வார்த்தையே
آینده	எதிர்கால
آینده	வருங்கால
آینده	எதிர்காலம்
اسپانیایی	ஸ்பானிஷ்
اوکراین	உக்ரைன்
قطع	வெட்டி
قطع	வெட்டு
رد	சிவப்பு
رد	சிகப்பு
مازندران	காசுப்பியன்
اخیر	சமீபத்திய
اخیر	அண்மைய
تصاویر	படங்கள்
تصاویر	தோற்றங்கள்
تصاویر	பிம்பங்கள்
تدوین	திருத்துதல்
تدوین	எடிட்டிங்
تدوین	தொகுத்தல்
جوانان	இளைஞர்களின்
جوانان	இளைஞர்கள்
جوانان	இளைஞர்
جوانان	இளமை
جوانان	யூத்
تازه	புதிதாக
تازه	புதியது
تازه	புதிது
تازه	புதிய
سرخ	சிவப்பு
سرخ	சிகப்பு
کودک	குழந்தை
فرایند	செயல்முறை
دل	டெல்
دل	இதயங்கள்
دل	இதயத்தை
دل	இதயம்
دل	இருதயம்
صدای	குரலில்
صدای	குரல்
رهبر	தலைவர்
ناشر	வெளியீட்டாளர்
ناشر	வெளியீட்டாளர்கள்
دیگران	பிறரை
دیگران	மற்றவர்கள்
دیگران	மற்றவை
دیگران	பிறர்
دیگران	பேர்
واقعی	நிஜம்
واقعی	ரியல்
واقعی	உண்மையான
هواپیمایی	விமான
هواپیمایی	விமானத்தை
هواپیمایی	வானூர்தி
هواپیمایی	ஏர்லைன்ஸ்
مشارکت	பங்கேற்பு
شدت	உக்கிர
شدت	செறிவு
فیلمبرداری	நடிப்பது
فیلمبرداری	படப்பிடிப்பு
آورده	கொண்டு
آورده	கொண்டுவரப்பட்டது
جایگزین	இடமாற்றம்
جایگزین	மாற்று
جایگزین	பெயர்ச்சி
حفاظت	பாதுகாப்பு
حفاظت	பாதுகாவலர்
شبیه	பிடித்திருக்கிறது
شبیه	விருப்பம்
شبیه	விரும்பு
شبیه	போல்
شبیه	போல
بافت	நுட்பம்
بافت	திசு
مسائل	சிக்கல்கள்
مسائل	பிரச்சனைகள்
مسائل	சர்ச்சைகள்
مسائل	பிரச்சினைகள்
بهبود	வருகிறாள்
بهبود	தேறி
بهبود	மேம்பட
کانزاس	கன்சாஸ்
پنسیلوانیا	பென்சில்வேனியா
داکوتای	டகோட்டா
ایرانیان	பாரசீக
ایرانیان	ஈரானிய
عبدالله	அப்துல்லா
عبدالله	அப்துல்லாஹ்
تک	ஒற்றை
تک	தனியாள்
ولایت	மாகாணம்
گفتگو	உரையாடல்
رومانی	ருமேனியா
رومانی	ரோமானியன்
استادان	முதுநிலை
نهایی	அல்டிமேட்
نهایی	இறுதியான
نهایی	இறுதி
سومین	மூன்றாவது
کردستان	குர்திஸ்தான்
فلزی	உலோக
فلزی	மெட்டல்
فلزی	உலோகம்
ژاپنی	ஜப்பானிய
هنرهای	கலைகள்
هنرهای	கலை
هنرهای	ஆர்ட்ஸ்
پرچم	கொடியை
پرچم	குறிகள்
پرچم	கொடி
پرچم	கொடிகள்
سینمای	சினிமா
کاخ	அரண்மனை
تحصیلات	கல்வி
صحنه	நிலையில்
صحنه	காட்சி
صحنه	மேடை
واکنش	வினை
واکنش	பதிலில்
واکنش	உணர்ச்சி
واکنش	பதிலளிப்பு
عوامل	காரணிகள்
ورودی	உள்ளீடு
ورودی	நுழைவு
روشن	அழி
روشن	தெளிவான
روشن	விளக்கு
روشن	ரோஷன்
روشن	லேசாக
روشن	வெளிச்சம்
روشن	ஒளி
روشن	தெளிவு
صورتی	இளஞ்சிவப்பு
صورتی	பிங்க்
سعی	முயற்சிக்கிறான்
سعی	முயற்சிக்கிறேன்
اجرایی	செயற்குழு
پست	இடுகையில்
پست	பதிவு
پست	இடுகை
امی	ஏமி
امی	ஆமி
عملکرد	செயல்திறன்
بشر	மனிதன்
بشر	நேயம்
بشر	மனிதர்களும்
بشر	மனிதநேயம்
بشر	மனிதரும்
بشر	மனிதர்
بشر	மனிதர்கள்
بشر	மனிதம்
بشر	மனித
مدار	மின்சுற்று
مدار	சுற்றுப்பாதை
کدام	எந்த
نگهداری	பராமரிப்பு
نگهداری	காக்கும்
بهره	வட்டி
بهره	ஆர்வம்
اروپایی	ஐரோப்பிய
اروپایی	ஐரோப்பியர்
گرمی	கிராமி
رفتار	தன்மை
رفتار	நடிப்பு
رفتار	நடத்தை
فرمول	சூத்திரம்
نوری	லேசாக
نوری	ஒளி
نوری	வெளிச்சம்
نوری	விளக்கு
زیبا	அழகான
زیبا	அழகா
زیبا	அழகிய
زیبا	அழகாக
زیبا	அழகு
دانشجویان	மாணவர்கள்
دانشجویان	மாணவர்களும்
مربیان	மேலாளர்கள்
محور	அச்சு
مخالفت	எதிர்ப்பு
حمل	சுமந்து
دینی	சமய
دینی	மத
دینی	சமயப்
مسلمانان	முஸ்லிம்
مسلمانان	முஸ்லிம்கள்
مسلمانان	முஸ்லீம்
مسلمانان	இஸ்லாமியர்கள்
گورستان	மயானம்
گورستان	கல்லறை
آهن	இரும்பு
پیشین	முந்தையது
پیشین	முந்தைய
پیشین	முன்னாள்
مقایسه	ஒப்பிடுகையில்
مقایسه	ஒப்பிட்டு
مقایسه	ஒப்பீடு
رسیدن	வந்தது
ابزار	டோகோ
ابزار	கருவிகள்
ابزار	கருவி
مهاجرت	குடியேற்றவாத
مهاجرت	குடியேற்றம்
مقاومت	எதிர்ப்பு
مقاومت	மறுக்க
سینمایی	மூவி
سینمایی	திரைப்படம்
بیمارستان	மருத்துவமனை
بیمارستان	மருத்துவமனைகள்
پا	கால்
پا	கால்கள்
پا	காலில்
پا	கால்களை
اصول	கொள்கைகள்
اصول	அடிப்படைகள்
کن	கென்
مجموع	மொத்தம்
مجموع	மொத்த
مجموع	கூட்டு
مجموع	கூட்டல்
تفاوت	வித்தியாசம்
تفاوت	மாறுபாடு
تفاوت	வேறுபாடு
تفاوت	வேறுபாடுகள்
دانمارک	டேனிஷ்
دانمارک	டென்மார்க்
دانمارک	டானிஷ்
نوشتن	எழுதுதல்
نوشتن	எழுத
نوشتن	எழுதுகிறது
نوشتن	எழுதவும்
نوشتن	எழுத்து
نوشتن	எழுது
اختلاف	மறுக்கிறேன்
اختلاف	ஏற்கவில்லை
اختلاف	வேறுபாடுகள்
لبنان	லெபனான்
هشت	எட்டு
شهردار	மேயர்
نوبل	நோபல்
بسکتبال	கூடைப்பந்து
سخت	கடினமாக
سخت	கடினமான
سخت	கடினம்
سخت	கடின
سخت	கடினமானது
سامانه	கணினி
سامانه	அமைப்பு
سامانه	தொகுதி
هدایت	வழிகாட்டி
هدایت	வழிகாட்டல்
هدایت	நேர்வழி
هدایت	நேர்
تخیلی	புனைவு
پیام	அஞ்சல்கள்
پیام	தகவல்
پیام	செய்தி
پیام	செய்திகள்
فردی	ஃப்ரெட்டி
فردی	பிரட்டி
گیتار	கிதார்
گیتار	கிட்டார்
پلیس	காவல்துறை
پلیس	காவல்
پلیس	போலிஸ்
پلیس	காவல்துறையினர்
پلیس	போலீஸ்
چیز	விஷயங்கள்
چیز	பொருள்கள்
خطی	கைப்பிரதி
خطی	நேரியல்
خطی	நேரான
خوانده	வாசி
خوانده	வாசிக்க
خوانده	படித்த
خوانده	படி
خوانده	படித்தது
خوانده	படியுங்கள்
گردد	ஆகிறார்
بنده	அடிமை
بنده	அடிமைகள்
بنده	வேலைக்காரன்
کمیته	கமிட்டி
ژان	ஜீன்
ژان	ஜோன்
اسماعیل	இஸ்மாயில்
اسماعیل	இஸ்மாயீல்
تنظیم	அமைப்பு
تنظیم	அமை
خلاصه	முன்னோட்டம்
خلاصه	சுருக்கம்
خلاصه	சுருக்கமான
خلاصه	முன்தோற்றம்
خلاصه	கண்ணோட்டம்
خلاصه	மேலோட்டம்
ساکن	அசையாத
ساکن	அமைதிப்படுத்தும்
گسترده	நீடிப்பு
گسترده	பரவ
گسترده	பரவியிருக்கும்
گسترده	பரவியது
الکتریکی	மின்னியல்
الکتریکی	மின்சார
الکتریکی	மின்
رایانه	கணினிகள்
رایانه	கணிமை
رایانه	கணினி
عبور	சிலுவை
عبور	கிராஸ்
عبور	குறுக்கு
عبور	பாஸ்
ششم	ஆறாவது
لی	லீ
هنرمند	கலைஞர்
هنرمند	ஓவியர்
هنرمند	கலைஞன்
گوناگون	பல்வேறு
مدرن	நவீன
ماشین	இயந்திரத்தில்
ماشین	வாகனம்
ماشین	பொறி
ماشین	இயந்திரம்
ماشین	கார்
ماشین	எந்திரம்
ماشین	வண்டி
یونایتد	ஐக்கிய
یونایتد	ஐக்கியம்
یونایتد	யுனைடெட்
گلدن	கோல்டன்
گلدن	பொன்
شدید	கடுமையான
شدید	அடர்த்தியாக
شیر	பாலை
شیر	பாலும்
شیر	சிங்கம்
شیر	பால்
سخن	சொல்
سخن	வார்த்தை
سخن	வார்த்தையே
نقد	விமர்சனம்
نقد	பணம்
نقد	திறனாய்வு
نقد	ரொக்கம்
نقد	கேஷ்
نقد	விமர்சனங்கள்
محافظت	பாதுகாக்க
محافظت	பாதுகாக்கவும்
محافظت	பாதுகாப்பு
محافظت	பாதுகாக்கும்
محافظت	பாதுகாவலர்
تنیس	டென்னிஸ்
بهار	வசந்தம்
بهار	ஸ்பிரிங்
بهار	வசந்தகால
بهار	வசந்த
قانونی	சட்டம்
قانونی	முறைப்படியாக
قانونی	சட்டப்பூர்வமான
قانونی	சட்ட
حکم	தீர்ப்பை
حکم	வாக்கியம்
حکم	வாக்கியத்தை
حکم	தீர்ப்பு
قصد	நோக்கங்களை
قصد	உள்நோக்கம்
هوای	காலநிலை
هوای	வானிலை
ماهی	மீன்கள்
ماهی	மீன்
رم	ராம்
رم	ரோம்
رایج	பொதுவான
رایج	பொது
مستند	ஆவணப்படம்
مهاجر	அகதிகள்
فرهنگستان	அகாடமி
فرهنگستان	அகாதமி
جایگاه	வசிப்பிடம்
جایگاه	வீடு
جایگاه	தங்குமிடம்
جایگاه	ரிசார்ட்
جایگاه	குடியிருப்பு
خطوط	வரிகள்
خطوط	கோடுகள்
سالهای	வருடங்கள்
سالهای	ஆண்டுகள்
زمینی	மைதானம்
زمینی	மைதானத்தில்
زمینی	தரை
نژاد	இனப்பெருக்கம்
نژاد	இனம்
نژاد	பந்தயம்
اروپای	ஐரோப்பா
خاندان	குலம்
طولانی	லாங்
طولانی	நீண்ட
ریشه	வேர்
مریلند	மேரிலேண்ட்
سرد	குளிரில்
سرد	ஜலதோஷம்
سرد	குளிர்
سرد	சளி
تحقیق	விசாரணை
تحقیق	ஆராய்ச்சி
تحقیق	ஆய்வு
ریچارد	ரிச்சர்ட்
ریچارد	ரிச்சார்ட்
تنسی	டென்னிசி
کاتولیک	கத்தோலிக்க
اکلاهما	ஓக்லஹோமா
جنگی	போர்
جنگی	போர்க்
متوسط	சராசரி
متوسط	நடுத்தர
متوسط	நடுத்தரம்
متوسط	மையமாக
دموکرات	ஜனநாயக
دادگاه	கோர்ட்
دادگاه	நீதிமன்றம்
سزار	சீசர்
یمن	ஏமன்
حاج	ஹஜ்
شناسایی	அடையாளம்
قطر	கத்தார்
بند	பத்தி
بند	இசைக்குழு
بند	பேண்ட்
بند	வளைத்து
ستارگان	நட்சத்திரங்கள்
درختان	மரங்கள்
نتایج	முடிவுகள்
نتایج	விடைகள்
اثبات	ஆதாரம்
اثبات	நிரூபிக்க
اثبات	சான்று
دهم	பத்தாவது
دهم	பத்தாம்
جذب	ஈர்க்கும்
جذب	ஈர்ப்பு
لباس	ஆடைகளை
لباس	ஆடைகள்
لباس	துணிகளை
لباس	உடைகளை
لباس	ஆடை
لباس	உடைகள்
لباس	உடையில்
لباس	உடை
ترکی	துருக்கிய
ترکی	துருக்கி
سلام	அமைதி
سلام	ஹல்லோ
سلام	சமாதானம்
سلام	வணக்கம்
سلام	ஹலோ
تحلیل	பகுப்பாய்வு
سعید	சயீத்
ریاضی	கணித
ریاضی	கணிதம்
همچنان	ஸ்டில்
همچنان	இன்னும்
همچنان	இப்போதும்
همچنان	இன்னமும்
تاریخچه	வரலாறு
تاریخچه	சரித்திரம்
تاریخچه	வரலாறுகள்
نوشتار	ஆவணம்
نقره	சில்வர்
نقره	வெள்ளி
گویا	கோயா
آواز	பாடலைப்
آواز	சங்
آواز	பாட்டு
آواز	பாடினார்
آواز	பாடும்
آواز	பாடலைக்
آواز	பாடல்
آواز	பாடலை
آواز	பாடுகிறார்
گلوب	உலகம்
نظرات	கருத்துக்களில்
نظرات	கருத்துகளில்
نظرات	கருத்துகள்
نظرات	கருத்துக்கள்
مرز	எல்லை
مرز	எல்லைகள்
مرز	ஓரங்கள்
مرز	கரை
مرز	ஓரம்
مرز	விளிம்பு
رویدادهای	நிகழ்ச்சிகள்
رویدادهای	நிகழ்வுகள்
روستاها	கிராமங்கள்
روستاها	கிராமங்களை
گیاه	செடி
گیاه	தாவரம்
گیاه	ஆலை
فرزندان	குழந்தைகள்
فرزندان	குழந்தைகளிடம்
فرزندان	பிள்ளைகள்
فرزندان	குழந்தைகளை
فرزندان	மகன்கள்
تدریس	கற்பித்தல்
تدریس	கற்பிக்க
تدریس	கற்பிக்கும்
تدریس	போதனை
امپراتور	பேரரசர்
پیرامون	சுற்றியுள்ள
خانگی	வீட்டில்
نویسندگی	எழுதுதல்
نویسندگی	எழுத்து
نویسندگی	எழுதுகிறது
حاکم	ஆளுநர்
بندر	முனையம்
بندر	பந்தர்
بندر	துறைமுகம்
بندر	துறை
چینی	சீனம்
چینی	சீன
اینترنتی	இணைய
اینترنتی	இணையம்
جو	ஜோ
قبول	ஏற்கவும்
قبول	ஏற்க
قبول	ஏற்கிறேன்
هزینه	செலவாகும்
اتاق	அறை
اتاق	ரூம்
اتاق	அறையை
اتاق	அறைகள்
نسل	தலைமுறை
نسل	விதை
نسل	வித்து
طبقه	தரைகள்
طبقه	மாடி
طبقه	தரை
طبقه	மாடியில்
روند	செயல்முறை
روند	நடைமுறை
روند	முறை
شیوه	எம்எல்ஏ
قیمت	கட்டணம்
قیمت	விலை
ضبط	சாதனை
ضبط	பதிவு
هفتم	ஏழாம்
قابلیت	திறன்
صلح	அமைதி
صلح	சமாதானம்
سلسله	வம்சம்
نیازمند	வேண்டும்
نیازمند	தேவை
نیازمند	தேவையா
اعداد	எண்கள்
توانایی	திறன்
توانایی	மீதும்
ویندوز	விண்டோஸ்
ویندوز	சாளரங்கள்
اورگن	ஓரிகன்
نصب	நிறுவுகிறது
نصب	நிறுவல்
نصب	நிறுவுதல்
نصب	நிறுவப்பட்டது
نصب	நிறுவவும்
نصب	நிறுவப்பட்டுள்ளது
آرام	அறம்
آرام	அமைதியான
آرام	அமைதி
هندی	இந்திய
هندی	ஹிந்தி
هندی	இந்தியன்
هندی	இந்தி
هندی	இந்தியர்
موج	வேவ்
موج	அலை
نوشت	எழுதவும்
نوشت	எழுத
نوشت	எழுது
قلمرو	இராச்சியம்
کشیده	அளி
آبشار	அருவியில்
آبشار	நீர்வீழ்ச்சி
آبشار	அருவி
ویسکانسین	விஸ்கான்சின்
تالار	சேம்பர்
تالار	ஹால்
تالار	மண்டபம்
مذهب	மதம்
مذهب	மார்க்கம்
مذهب	சமயம்
باور	நம்ப
باور	நம்பி
باور	ஈமான்
نظارت	கண்காணிப்பு
نظارت	நோட்டம்
آسیب	சேதம்
آسیب	பாதிப்பு
احتمالاً	அநேகமாக
الجزایر	அல்ஜீரியா
الجزایر	அல்ஜீரிய
بیت	பிட்
بیت	பிட்டு
بیت	துடிப்பு
دقیق	துல்லியமாக
دقیق	துல்லியமான
لرستان	வெண்கல
نواحی	மாவட்டங்கள்
نواحی	பகுதிகள்
نواحی	பகுதிகளில்
سوسیالیستی	சோசலிச
تونی	டோனி
عناصر	உறுப்புகள்
شیلی	சிலி
آقا	சர்
آقا	சார்
آقا	அய்யா
آقا	ஐயா
مانده	எச்சம்
موفقیت	வெற்றியை
موفقیت	வெற்றி
قالب	வடிவம்
قالب	வடிவமைப்பு
امضا	அடையாளம்
امضا	சிஏ
امضا	அத்தாட்சி
امضا	குறி
امضا	கையொப்பம்
امضا	கையெழுத்திட்ட
امضا	கையெழுத்து
عمده	மிகப்பெரியது
عمده	பிரதான
عمده	மேஜர்
امارات	எமிரேட்ஸ்
توکیو	டோக்கியோ
دعوت	அழைக்கிறது
دعوت	அழைப்புகள்
دعوت	அழைப்பிதழ்
لقب	புனைப்பெயர்
فرار	எஸ்கேப்
صفحات	பக்கங்கள்
آوردن	கொண்டு
آوردن	கொண்டுவரப்பட்டது
آوردن	கொண்டுவா
سود	இலாபம்
سود	லாபம்
سود	பலனும்
سود	பலன்
سود	பயன்
سود	நன்மை
باد	காற்று
باد	காற்றை
سقوط	விழுந்து
سقوط	செயலிழப்பு
سقوط	விபத்தில்
سقوط	விழும்
سقوط	வீழ்ச்சி
سقوط	ஃபால்
سقوط	விழுதல்
اصطلاح	உறுப்பு
اصطلاح	குறிச்சொல்
طبیعت	இயற்கை
طبیعت	இயல்பை
ایندیانا	இன்டியானா
گشت	ரோந்து
نوازندگان	இசைக்கலைஞர்கள்
حقیقت	உண்மை
مسلمان	இஸ்லாமியர்கள்
مسلمان	முஸ்லிம்
مسلمان	முஸ்லிம்கள்
مسلمان	முஸ்லீம்
صفر	சுழி
تجهیزات	பொருட்கள்
تجهیزات	உபகரணம்
تجهیزات	உபகரணங்கள்
خطر	இடர்
خطر	ஆபத்து
خطر	அபாயம்
هواپیما	விமானத்தை
معاون	துணை
فرمان	கட்டளை
فرمان	உத்தரவு
فرمان	வரிசை
فرمان	ஆணை
فرمان	கட்டளையை
فرمان	ஆர்டர்
فدراسیون	கூட்டமைப்பு
تجربه	அனுபவமிக்க
تجربه	அனுபவங்கள்
تجربه	அனுபவத்தில்
تجربه	அனுபவத்தை
تجربه	அனுபவம்
آزمایش	சோதனையில்
آزمایش	பரிசோதனை
آزمایش	சோதிக்கிறது
آزمایش	சோதனை
مسیحی	கிறிஸ்துவ
مسیحی	கிறித்தவர்
متصل	இணை
متصل	இணைக்கப்பட்டது
متصل	இணைக்க
متصل	இணைக்கவும்
غذایی	டிஷ்
غذایی	உணவு
غذایی	சாப்பாடு
امید	நம்பிக்கை
امید	எதிர்பார்ப்பும்
امید	நம்புகிறேன்
امید	நம்பிக்கையுடன்
کالج	கல்லூரி
کالج	கல்லூரியை
ساحل	கடற்கரை
خبری	செய்தி
خبری	செய்திகள்
کنگره	காங்கிரசு
کنگره	காங்கிரஸ்
اندونزی	இந்தோனேசியா
عزیز	அசிஸ்
عزیز	அன்பே
عزیز	அன்புள்ள
بلغارستان	பல்கேரியா
مطلب	கட்டுரை
زرد	மஞ்சள்
تجارت	வர்த்தகம்
تجارت	தொழில்
تجارت	வணிகம்
تجارت	வியாபாரம்
ذخیره	முன்பதிவு
ذخیره	ஸ்டோர்
ذخیره	சேமிக்க
ذخیره	சேமிக்கும்
ذخیره	ரிசர்வ்
ذخیره	சேமிக்கிறது
