من	から
ماي	メイ
ماي	マイ
ماي	五月
التدخل	干渉
حارس	ガード
الرسائل	手紙
الرسائل	メッセージ
سلوك	挙動
سلوك	行動
سلوك	態度
سلوك	姿勢
طائر	バード
طائر	鳥類
ضباط	役員
توجيه	オリエンテーション
توجيه	方向
توجيه	ガイダンス
توجيه	向き
توجيه	ディレクティブ
توجيه	指導
الغرض	目的
مغني	シンガー
الوصف	説明
الوصف	解説
بخصوص	について
ماساتشوستس	マサチューセッツ
داء	疾病
داء	病気
القنوات	チャネル
القنوات	チャンネル
ماليزيا	マレーシア
تمثال	彫像
تمثال	彫刻
القارات	大陸
سانتا	サンタ
تحالف	アライアンス
درب	トレイル
الخشب	木製
الخشب	材木
الخشب	ウッド
الخشب	木材
دوق	デューク
دوق	公爵
رياض	リヤド
الكلاسيكية	古典
الكلاسيكية	クラシカル
الكلاسيكية	クラシック
مهندس	エンジニア
خسر	ロスト
دعوة	招聘
دعوة	招待
دائم	パーマネント
محدودة	限定
بسيط	シンプル
بسيط	簡単
بسيط	単純
مغربي	モロッコ
البوسنة	ボスニア
تحكم	コントロール
هارفارد	ハーバード
كانساس	カンザス
ديزني	ディズニー
الدوائر	チェンバース
الدوائر	チェンバーズ
الدوائر	サークル
الصلب	スチール
الصلب	鋼鉄
فضاء	空間
فضاء	スペース
الجسيمات	パーティクル
الجسيمات	粒子
بوكس	ボックス
دمج	合併
دمج	マージ
دمج	統合
شاهد	時計
شاهد	見る
شاهد	腕時計
شاهد	証人
صديق	友だち
صديق	友達
صديق	友人
صديق	フレンド
السبت	土曜日
قابل	会う
المراحل	ステージ
المراحل	舞台
محاولات	未遂
القطن	木綿
القطن	コットン
الوجود	存在
النهار	昼間
صفر	ゼロ
بلغاريا	ブルガリア
دورات	サイクル
حزيران	六月
سيناء	シナイ半島
قبرص	キプロス
مغربية	モロッコ
الجاذبية	重力
الجاذبية	グラビティ
انتقال	引越し
انتقال	移動
انتقال	転移
انتقال	変遷
جنيه	ポンド
جنيه	パウンド
هتلر	ヒットラー
هتلر	ヒトラー
تدفق	フロー
تدفق	流れ
المركبة	乗り物
المركبة	車両
خوسيه	ホセ
النسبة	比率
النسبة	割合
الفرصة	チャンス
الفرصة	好機
الفرصة	機会
السويس	スエズ
بطاقة	カード
الملف	ファイル
اهتمام	利息
اهتمام	注意
اهتمام	利子
اهتمام	注目
روك	ロック
البحار	船員
العامل	係数
العامل	ファクター
العامل	因子
الزعيم	ボス
الزعيم	チーフ
التفسير	説明
التفسير	解釈
التفسير	通訳
التفسير	解説
بالفرنسية	フレンチ
بالفرنسية	フランス語
موجة	ウェーブ
موجة	波動
القبيلة	部族
حماس	ハマース
الحكيم	英明
المتخصصة	スペシャリスト
سرية	秘密
الباحث	研究員
الباحث	研究者
الباحث	学者
المعاصرة	現代
مركبة	乗り物
مركبة	複合
مركبة	車両
مركبة	コンポジット
مفتوحة	オープン
مفتوحة	開館
مفتوحة	開く
سريع	クイック
سريع	速い
سريع	高速
شمالي	北部
شمالي	北方
شمالي	ノーザン
شمالي	ノース
قريب	閉じる
قريب	クローズ
الصيغة	公式
الصيغة	数式
صناديق	クラテス
صناديق	ボックス
الكونغو	コンゴ
النور	明るい
النور	軽い
النور	ライト
غياب	欠席
غياب	不在
محور	ピボット
محور	ハブ
مقابلة	インタビュー
مقابلة	面接
فردية	個別
فردية	個人
الخروج	出口
الخروج	終了
كولورادو	コロラド
الصومال	ソマリア
المنازل	住宅
المنازل	家屋
طائفة	セクト
طائفة	カルト
جونز	ジョーンズ
مهام	代入
مهام	割り当て
مهام	タスク
المتوقع	期待
مستقل	独立
مستقل	インディペンデント
الخميس	木曜日
الخميس	木曜
نظريات	理論
البكالوريوس	独身
مغنية	ディーバ
مغنية	シンガー
النباتي	ヴィーガニズム
الجماعات	グループ
خروج	出口
خروج	終了
الرابط	リンク
الرؤية	ヴィジョン
الرؤية	ビジョン
الرؤية	視界
العادة	習慣
الجهاد	ジハード
الحروف	手紙
مدنية	文官
مدنية	シビック
ضم	併合
ستار	恒星
ستار	スター
شعبة	ディビジョン
شعبة	師団
سياسات	施策
سياسات	方針
سياسات	ポリシー
الموافقة	承認
الموافقة	承諾
الموافقة	同意
النسخ	複写
النسخ	部数
النسخ	コピー
متطلبات	要件
تبادل	交換
تبادل	スワップ
صفة	形容詞
صفة	属性
ترشيح	立候補
ترشيح	指名
اقترح	提案
الاحترافية	プロフェッショナル
الاعتماد	認定
الاعتماد	処分
الاعتماد	甘え
الاعتماد	依存
الاعتماد	充当
عالمي	グローバル
دفاع	防御
دفاع	ディフェンス
دفاع	抗弁
دفاع	防衛
تقليل	減らす
تقليل	最小限
التعرض	露出
التعرض	被曝
التعرض	照射
فيرجينيا	バージニア
فيرجينيا	ヴァージニア
سيدة	レディ
سيدة	ミセス
الجبلية	山地
مغامرات	アドベンチャー
مغامرات	冒険
القمة	山頂
القمة	頂上
القمة	サミット
القمة	ピーク
القمة	トップ
القمة	上部
كلام	スピーチ
كلام	トーク
كلام	音声
هجمات	攻撃
نابليون	ナポレオン
الحصار	封鎖
خطاب	スピーチ
خطاب	手紙
خطاب	音声
خطاب	レター
الروابط	リンク
الدفع	支払う
الدفع	決済
الدفع	支払
الدفع	支払い
زيت	石油
زيت	オイル
مكون	食材
مكون	コンポーネント
مكون	材料
اعتماد	認定
متخصصة	スペシャリスト
متخصصة	専門
امام	イマーム
مواسم	シーズン
مواسم	季節
الضرائب	租税
الضرائب	税金
تركيز	濃度
تركيز	焦点
تركيز	フォーカス
التطوير	開発
التطوير	発達
كويتي	クウェート
الرد	返信
الرد	応答
الرد	レスポンス
النجف	ナジャフ
صواريخ	ミサイル
زوج	主人
زوج	旦那
زوج	ダンナ
مالي	マリ
الوثائق	文書
الوثائق	ドキュメント
الوثائق	ドキュメンテーション
الوثائق	書類
حادثة	アクシデント
حادثة	事故
التجمع	会衆
التجمع	ラリー
النحاس	真鍮
جنوبي	サウス
جنوبي	南部
جنوبي	サザン
مسيرة	マーチ
مسيرة	行進曲
دالة	関数
دالة	機能
هام	ハム
هام	重要
التغذية	栄養
المعارف	知識
المعارف	知人
المعارف	知り合い
نينتندو	任天堂
المقاعد	座席
قلة	少数
تخطيط	レイアウト
تخطيط	企画
تخطيط	プランニング
تخطيط	計画
الشاشة	画面
الشاشة	モニター
الشاشة	モニタ
الشاشة	スクリーン
المحطة	ステーション
شارل	シャルル
المعدة	お腹
روسي	ロシア
روسي	ロッシ
المؤمنين	信者
المؤمنين	忠実
المشرق	明るい
المشرق	ブライト
المشرق	オリエント
قبول	受付
قبول	受け入れる
قبول	承諾
قبول	受入れ
قبول	承認
قبول	受け入れ
الثلاثي	トリオ
الثلاثي	トリプル
سر	秘密
تمر	合格
ملفات	ファイル
النواة	原子核
النواة	カーネル
النواة	コア
شريط	テープ
شريط	バー
شريط	バール
شريط	リボン
سوبر	スーパー
القتل	殺人
معادلة	方程式
الاعتراف	認定
الاعتراف	認識
الاعتراف	自白
الاعتراف	懺悔
عموما	全体
البرمجة	プログラミング
الحجاز	ヒジャーズ
لسان	タブ
الباردة	コールド
الباردة	寒い
الباردة	風邪
الباردة	冷たい
المعلم	マスター
المعلم	教員
المعلم	先生
المعلم	教師
صحية	ヘルシー
صحية	健康
الملابس	被服
الملابس	洋服
الجسر	ブリッジ
خسارة	喪失
خسارة	損失
المقر	本部
المقر	本社
المقر	司令部
الفتاة	女の子
الفتاة	少女
الفتاة	ガール
المهاجرين	移民
الشبكات	ネットワーク
تخصص	特製
المخدرات	ドラッグ
المخدرات	薬物
لبنانية	レバノン
اجتماعي	社交
اجتماعي	ソーシャル
رائعة	豪華
رائعة	ゴージャス
البرج	タワー
قصور	宮殿
الوظيفة	ジョブ
الوظيفة	機能
الوظيفة	仕事
الوظيفة	関数
الوظيفة	職業
برمجة	プログラミング
المجيد	栄光
هلال	三日月
صقلية	シチリア
الصلبة	固体
قارة	大陸
الثنائي	デュオ
الثنائي	バイナリ
المعاصر	現代
البروتين	タンパク質
البروتين	たんぱく質
رحلات	旅行
رحلات	フライト
نواة	原子核
نواة	カーネル
ولادة	分娩
ولادة	出産
ولادة	誕生
نوعية	定性的
الذرة	トウモロコシ
الذرة	コーン
الذرة	とうもろこし
الذرة	原子
مناصب	ポジション
الكبار	大人
الرحم	子宮
صاروخ	ミサイル
صاروخ	ロケット
التسجيل	レコーディング
التسجيل	記録
التسجيل	録音
التسجيل	登録
التسجيل	レジスタ
التسجيل	登記
التسجيل	原簿
التحول	シフト
التحول	変態
التحول	変換
التحول	変形
يدرس	勉強
التقنيات	テクニック
الجليل	ガリラヤ
عقود	契約
الوسائل	手段
ميونخ	ミュンヘン
حادث	アクシデント
حادث	事故
التنفس	呼吸
الذكر	男性
الذكر	オス
الانتهاء	仕上げ
سعر	価格
سعر	値段
سعر	対価
سعر	プライス
كيميائي	化学
جراحة	手術
عشيرة	氏族
الليبي	リビア
شاطئ	ビーチ
شاطئ	砂浜
قبر	墓所
قبر	墓穴
جوانب	両側
جوانب	側面
عراقية	イラク
كوكبة	星座
غلاف	表紙
غلاف	カバー
غلاف	被覆
القليل	リトル
القليل	小さい
لحم	食肉
البيان	ステートメント
البيان	マニフェスト
البيان	声明
الكواكب	惑星
الان	ナウ
الجيوش	軍隊
الزرقاء	ブルー
الزرقاء	青い
الزرقاء	青色
فرانك	フランク
شدة	光度
شدة	輝度
قشتالة	カスティーリャ
فعالية	効能
فعالية	実効
قتال	ファイティング
قتال	ファイト
جواز	パスポート
جواز	旅券
الحادث	アクシデント
الحادث	事故
حاسوب	コンピュータ
حاسوب	コンピューター
الاتفاقية	大会
الاتفاقية	コンベンション
هجرة	移民
هجرة	入国
هجرة	移行
تقارير	レポート
تقارير	報告
جمعة	金曜日
جمعة	フライデー
المعبد	神殿
المعبد	テンプル
المعبد	寺院
ستيفن	スティーヴン
احتمال	可能性
الكالسيوم	カルシウム
مستمر	連続
مستمر	継続
فلسطيني	パレスチナ
الطوارئ	緊急
طبعة	エディション
متى	とき
متى	いつ
حققت	達成
المنيا	ミニヤー
ياسر	ヤセル
الغرفة	ルーム
الغرفة	部屋
المعادلة	公式
المعادلة	方程式
المعادلة	数式
الفرع	支店
الفرع	セクション
الفرع	ブランチ
الفرع	支社
الفرع	支部
قرون	世紀
ساعد	ヘルプ
المسائل	事項
المسائل	問題
عمق	奥行き
عمق	深い
عمق	ディープ
عمق	深度
العذراء	ヴァージン
العذراء	処女
تعادل	引き分け
تعادل	ネクタイ
جدار	ウォール
البعث	復活
نفسي	自分
بقيت	滞在
منخفض	低い
نبيل	尊い
بكالوريوس	独身
جناح	スイート
جناح	ウイング
البذور	種子
البذور	シード
مشهد	マシュハド
مشهد	現場
مشهد	シーン
مشهد	場面
الاعتبار	対価
انفجار	爆発
الوكالة	代理店
الوكالة	エージェンシー
رائد	少佐
رائد	メジャー
رائد	専攻
بعثة	ミッション
بعثة	遠征
بعثة	探検
الهوية	アイデンティティ
الهوية	アイデンティティー
الهوية	識別
الهوية	同定
صياغة	策定
صياغة	立案
عائشة	アイーシャ
الخطر	危険
الثقة	信頼
الثقة	トラスト
الثقة	自信
العنصر	コンポーネント
العنصر	アイテム
العنصر	要素
العنصر	エレメント
العنصر	元素
العنصر	品物
اتصالات	通話
يكفي	十分
بابل	バビロン
بابل	バベル
مبكر	早い
مبكر	アーリー
السوفييتي	ソビエト
المساهمة	寄与
المساهمة	貢献
المساهمة	出資
شاب	若い
شاب	ヤング
الحل	溶液
الحل	ソリューション
التوزيع	配当
التوزيع	分布
التوزيع	流通
الخليل	彼氏
الخليل	ボーイフレンド
الخليل	ヘブロン
نادرة	レア
نصب	モニュメント
نصب	記念碑
رعب	ホラー
كفاءة	効率
صيد	狩り
صيد	ハンティング
صيد	狩猟
الحصن	要塞
الحصن	フォート
سوداء	ブラック
سوداء	黒い
الخطة	計画
الخطة	プラン
استبدال	置換
الجدار	ウォール
الحبوب	穀物
الحبوب	錠剤
ثقة	信頼
ثقة	トラスト
ثقة	自信
دفن	埋葬
سام	サム
الحديقة	庭園
توسيع	膨張
المتقدمة	上級
بطرس	ピーター
بطرس	ペーター
دورية	斥候
دورية	パトロール
الزهرة	フラワー
الزهرة	ヴィーナス
الزهرة	ウェヌス
الزهرة	金星
مناخ	気候
اس	エース
فيكتوريا	ビクトリア
فيكتوريا	ヴィクトリア
غاما	ガンマ
فرص	機会
الشعور	気分
الشعور	フィーリング
فنان	芸術家
فنان	アーティスト
السلع	貨物
السلع	物品
السلع	商品
ثلاثين	三十
نقابة	シンジケート
نقابة	ギルド
نقابة	ユニオン
تايلاند	タイ
الفساد	汚職
الورق	ペーパー
الورق	用紙
مطارات	空港
حاتم	ハテム
العملة	通貨
الصحفي	ジャーナリスト
ردود	返信
ردود	回答
ردود	レスポンス
نادر	レア
الحبيب	最愛
الحبيب	恋人
التخلص	処分
التخلص	廃棄
الاختبار	クイズ
الاختبار	テスト
السكري	糖尿病
تكاليف	コスト
تكاليف	費用
الموظفين	社員
الموظفين	人材
الموظفين	職員
الموظفين	スタッフ
انتخاب	選挙
انتخاب	選任
استمرار	続き
استمرار	継続
استمرار	続行
بوابات	ゲイツ
الفائز	勝者
الفائز	ウィナー
المسابقة	コンテスト
المسابقة	コンペティション
المسابقة	コンペ
المسابقة	競争
المسابقة	競技
الركاب	乗客
قمر	ムーン
بوسطن	ボストン
دقة	正確性
دقة	精度
سكوت	スコット
الطائفة	カースト
الطائفة	セクト
الطائفة	カルト
بحوث	リサーチ
بحوث	研究
مزيد	もっと
الميناء	港湾
الميناء	ポート
الميناء	ハーバー
التوازن	バランス
التوازن	残高
شائع	共通
شائع	ポピュラー
شائع	人気
خطط	計画
خطط	プラン
غادر	離れる
براون	ブラウン
براون	褐色
براون	茶色
دانيال	ダニエル
الصواريخ	ミサイル
مشاهدة	時計
مشاهدة	腕時計
مذهب	信条
مذهب	教義
مذهب	ドクトリン
نيجيريا	ナイジェリア
الزجاج	ガラス
الزجاج	グラス
تخزين	ストア
تخزين	ストレージ
تخزين	店舗
مفتوح	オープン
مفتوح	開館
مفتوح	開く
الشوارع	ストリート
المرور	交通
المرور	トラフィック
البحريني	バーレーン
مقاتل	ファイター
الحكومات	政府
الاستثمار	投資
مفاهيم	概念
مفاهيم	コンセプト
الرصاص	リード
الرصاص	弾丸
الميزانية	予算
القياس	測定
القياس	計測
الفلبين	フィリピン
بندر	ベンダー
عمار	アマル
ماجستير	マスター
الذيل	尾翼
الذيل	しっぽ
سمك	魚類
سمك	フィッシュ
معارضة	野党
ماكس	マックス
مساء	午後
مساء	夕方
تعاني	苦しむ
القمح	コムギ
القمح	小麦
الجمع	複数
شك	疑念
التوحيد	併合
التوحيد	統一
مستقبل	フューチャー
مستقبل	将来
مستقبل	未来
حمراء	赤い
حمراء	赤色
حمراء	レッド
المكونات	食材
المكونات	成分
المكونات	コンポーネント
المكونات	材料
العلامات	サイン
العلامات	タグ
الجمال	美容
الشهادة	証明書
الشهادة	証言
الشهادة	証書
المبكر	早い
المبكر	アーリー
ابريل	四月
ابريل	エイプリル
متابعة	フォロー
الحساب	算定
الحساب	算術
الحساب	計算
الحساب	アカウント
الحساب	口座
العقلية	メンタル
العقلية	考え方
قومية	ナショナリズム
تجارب	実験
العمود	カラム
السنوي	年次
عروض	プレゼンテーション
عروض	クーポン
عروض	プレゼン
منافسة	コンテスト
منافسة	コンペティション
منافسة	コンペ
منافسة	競争
منافسة	競技
مجلات	雑誌
نقد	批評
نقد	評論
نقد	批判
نقد	現金
قبة	ドーム
نبذة	ダイジェスト
نبذة	消化器
المحركات	エンジン
الربع	四半期
الربع	クォーター
مهنة	キャリア
مهنة	経歴
مهنة	職業
نسبيا	親戚
نسبيا	相対
نسبيا	比較的
الخلاف	不一致
الخلاف	論争
تايمز	タイムズ
عميد	ディーン
القرارات	解像度
القرارات	決定
حكاية	ストーリー
حكاية	記事
حكاية	物語
عيون	アイズ
السرية	機密
السرية	秘密
مترا	メーター
مترا	メートル
الانترنت	オンライン
الانترنت	インターネット
المحقق	刑事
صحف	新聞
صحف	新聞紙
صحف	書類
اختراع	発明
التغيرات	変更
فريدريك	フリードリヒ
فريدريك	フレデリック
السماح	許可
وطني	国民
وطني	ナショナル
وطني	パトリオット
شباط	二月
الجهود	努力
الجهود	取り組み
الشهداء	殉教
يورو	ユーロ
اللهجة	方言
الظهر	戻る
الظهر	正午
الظهر	裏側
الظهر	背中
الظهر	後ろ
العيش	ライブ
العيش	生きる
العيش	リビング
كسر	壊れた
كسر	骨折
كسر	ブレーク
كسر	区切り
كسر	速報
كسر	休憩
كسر	破壊
النازية	ナチズム
صحراء	砂漠
صحراء	デザート
التقارير	レポート
التقارير	報告
المهرجان	フェスティバル
المهرجان	カーニバル
المهرجان	お祭り
المهرجان	祭事
المهرجان	祭り
صناعية	工業
صناعية	合成
استعادة	復元
استعادة	回復
ناقش	ディスカッション
ناقش	話し合う
الانفجار	爆発
الفحم	木炭
الفحم	石炭
بعيدا	アウェイ
الحدائق	庭園
الحدائق	公園
منظر	表示
منظر	見る
منظر	ビュー
تجنب	否認
تجنب	避ける
الكوكب	惑星
المصطلحات	用語
المصطلحات	規約
الدوحة	ドーハ
كريستيان	キリスト教
كريستيان	クリスチャン
كريستيان	キリスト教徒
ماك	マック
المسار	パス
المسار	トラック
مروحية	ヘリコプター
الجيزة	ギザ
شوارع	ストリート
المعلمين	教員
المعلمين	教師
خطوة	ステップ
فقرة	段落
المخاطر	リスク
ليفربول	リヴァプール
ليفربول	リバプール
الجنة	天国
الجنة	楽園
الجنة	パラダイス
وفرنسا	フランス
المناصب	投稿
المناصب	ポジション
الثدييات	哺乳類
الذكاء	知能
سريعة	クイック
سريعة	速い
سريعة	高速
حامل	妊娠
توليد	世代
توليد	生成
توليد	ジェネレーション
المركب	ボート
عزيز	アジズ
عزيز	アズィーズ
عزيز	ディア
تردد	頻度
تردد	周波数
دم	血液
دم	ブラッド
الغازات	気体
هادي	静か
هادي	静けさ
معدات	機器
معدات	金物
معدات	ハードウェア
معدات	機材
معدات	道具
معدات	装備
طابع	スタンプ
طابع	切手
التنفيذ	処刑
التنفيذ	執行
التنفيذ	実装
التنفيذ	実施
التنفيذ	実行
المبادئ	原則
المبادئ	原理
التسويق	マーケティング
العبيد	奴隷
السمك	魚類
السمك	フィッシュ
الخوف	恐怖
الخوف	恐れ
تجميع	コンパイル
تجميع	編纂
تجميع	集約
تجميع	集計
مجرة	銀河系
مجرة	銀河
زايد	プラス
ذكرى	メモリ
ذكرى	記憶
ذكرى	メモリー
مين	ミン
مين	メイン
المتوفى	故人
المحاكم	コート
المحاكم	法廷
المحاكم	裁判所
البرازيلي	ブラジル
انهيار	崩壊
انهيار	内訳
انهيار	たたむ
سنغافورة	シンガポール
التشخيص	診断
المكتبات	図書館
المكتبات	ライブラリ
تفجير	爆撃
المشاة	歩兵
الدهون	脂肪
يشعر	フィール
يشعر	感じる
يشعر	感じ
كونان	コナン
المسلم	イスラム教
المسلم	ムスリム
بنغازي	ベンガジ
الميدالية	メダル
هيل	ヒル
هيل	ヘール
السؤال	疑問
السؤال	質問
طرد	パッケージ
طرد	退学
طرد	小包
طرد	除名
طرد	包み
شخصي	パーソナル
شخصي	個人
الرموز	シンボル
الرموز	記号
مشرف	司会
الموجة	ウェーブ
الموجة	波動
القوالب	カビ
القوالب	テンプレート
جوي	ジョーイ
بلاك	ブラック
بلاك	黒い
الكلي	マクロ
متزوج	既婚
جراء	子犬
سارة	サラ
كهربائي	電気
كهربائي	エレクトリック
العدوى	伝染病
العدوى	感染
الحضرية	アーバン
الجمعيات	組合
الجمعيات	社会
مخاطر	リスク
التوجه	方向
التوجه	向き
التوجه	オリエンテーション
مركزية	中央
مركزية	セントラル
السد	ダム
نيوتن	ニュートン
شهور	ヶ月
ميزانية	予算
الشريان	動脈
قرارات	解像度
قرارات	決定
كويتية	クウェート
العروض	プレゼンテーション
العروض	クーポン
العروض	プレゼン
لوحات	絵画
عرش	玉座
عمود	カラム
الفيروسات	ウイルス
الفيروسات	ウィルス
تعديلات	改正
تعديلات	補正
تعديلات	調整
تعديلات	編集
البعثة	ミッション
البعثة	遠征
البعثة	探検
يساوي	等しい
تحميل	読み込み
تحميل	読み込む
تحميل	ロード
تحميل	ダウンロード
تحميل	ローディング
بيرو	ペルー
مفتاح	キー
زواج	ウェディング
زواج	結婚式
زواج	婚姻
زواج	結婚
الكحول	アルコール
المساواة	平等
العملاء	カスタマー
العملاء	クライアント
العملاء	エージェント
الكندي	カナディアン
الكندي	カナダ
مسؤولية	責任
مسؤولية	責務
المعالج	セラピスト
المعالج	プロセッサ
ساهمت	寄稿
التلاميذ	生徒
التلاميذ	学生
التلاميذ	瞳孔
سلم	梯子
سلم	はしご
سلم	ハシゴ
سلم	ラダー
راديو	ラジオ
المريخ	マーズ
المريخ	火星
جاكسون	ジャクソン
خبر	ニュース
الاستقرار	安定
الاستقرار	安定性
تسعى	シーク
اقتراح	提案
اقتراح	暗示
اقتراح	プロポーズ
رغبة	欲望
الصندوق	トランク
الصندوق	ファンド
الصندوق	ボックス
فني	テクニカル
الصليب	十字
الصليب	クロス
الصليب	十字架
دينار	ディナール
حروف	手紙
مشاة	歩兵
النصب	モニュメント
النصب	記念碑
بريد	郵便
بريد	メール
التغييرات	変更
خصم	相手方
خصم	割引
خصم	ディスカウント
خصم	相手
الباحة	パティオ
منهج	方法
منهج	メソッド
منهج	カリキュラム
مفيدة	役に立つ
مفيدة	役立つ
راي	レイ
التركيب	インストール
التركيب	設置
مهارات	スキル
الانتداب	代入
الانتداب	割り当て
الانتداب	譲渡
الهجمات	攻撃
عم	おじ
عم	伯父
عم	アンクル
عم	おじさん
عم	叔父
المنهج	方法
المنهج	メソッド
الكاريبي	カリブ
الذات	セルフ
الذات	自己
جمهور	オーディエンス
جمهور	人混み
جمهور	観客
جمهور	群衆
جمهور	群集
غرناطة	グラナダ
خادم	サーバー
خادم	召使
خادم	サーバ
تنسيق	書式
تنسيق	コーディネート
تنسيق	調整
تنسيق	座標
تنسيق	連携
تنسيق	フォーマット
تجاري	商業
تجاري	商用
تجاري	コマーシャル
جنسية	性的
جنسية	国籍
شائعة	共通
السودانية	スーダン
فكر	シンク
مخصصة	カスタム
مخصصة	風習
بروتوكول	議定書
بروتوكول	プロトコル
الاعلام	フラグ
الاعلام	情報
الاعلام	メディア
الاعلام	国旗
رخصة	免許
رخصة	ライセンス
اللوحة	キャンバス
اللوحة	絵画
جاي	カケス
جاي	ジェイ
رام	ラム
مال	貨幣
مال	金銭
مال	マネー
مال	お金
توثيق	認証
جغرافية	地理
سلاسل	チェイン
الجزيئات	パーティクル
الجزيئات	粒子
التكلفة	原価
التكلفة	コスト
التكلفة	費用
السنوية	年次
النقدية	現金
الاحتجاجات	抗議
الجراحة	手術
الجماهير	オーディエンス
الجماهير	観客
ضريح	神社
ضريح	陵墓
ضريح	霊廟
تمييز	差別
تمييز	区別
ضمان	保障
ضمان	保証
ضمان	担保
ضمان	保証書
الدراج	キジ
الحقل	フィールド
المفهوم	概念
المفهوم	コンセプト
جزيئات	分子
جزيئات	パーティクル
جزيئات	粒子
الخبرة	エクスペリエンス
الخبرة	経験
الخبرة	体験
ضخم	巨大
فوكس	キツネ
دام	ダム
البيوت	住宅
البيوت	家屋
حقبة	紀元
حقبة	時代
حقبة	エポック
فيكتور	ビクター
فيكتور	ヴィクター
المشهد	現場
المشهد	シーン
المشهد	場面
عظيم	グレート
حدائق	庭園
حدائق	公園
الشطرنج	チェス
التوسع	膨張
كانا	カナ
كانا	仮名
التكوين	ジェネシス
التكوين	構成
التكوين	合成
مختبر	研究室
مختبر	ラボ
الرحلات	旅行
الرحلات	フライト
جونسون	ジョンソン
السبعة	セブン
كيم	キム
مدافع	ディフェンダー
العاشرة	テン
المخطط	計画
المخطط	プランナー
المخطط	予定
المخطط	チャート
المخطط	スキーム
حلول	ソリューション
الصفات	資質
الصفات	形容詞
الصفات	属性
مشاهير	有名人
النماذج	モデル
الفحص	検問
الفحص	検査
العكس	リバース
الطابع	スタンプ
الطابع	切手
رابط	リンク
مكتوبة	筆記
منظور	遠近法
منظور	遠近
منظور	視点
ملابس	被服
ملابس	洋服
الفقر	貧困
كعب	かかと
كعب	ヒール
تجاوز	上書き
حمام	入浴
حمام	浴室
حمام	トイレ
حمام	風呂
مناقشة	ディベート
مناقشة	話し合う
مناقشة	話し合い
مناقشة	ディスカッション
الطباعة	印刷
الطباعة	タイピング
السهل	簡単
السهل	易しい
السهل	イージー
السهل	やさしい
الجمل	ラクダ
الجمل	キャメル
المهم	重要
مراكش	マラケシュ
مسائل	事項
مسائل	問題
المغول	モンゴル
فعال	実効
الاضطرابات	トラブル
الاضطرابات	悩み
النزاع	申し立て
النزاع	紛争
النزاع	競合
النزاع	コンフリクト
النزاع	対立
الثلاثاء	火曜日
المحاصيل	農産物
المحاصيل	切り取り
المحاصيل	トリミング
المحاصيل	作物
المحاصيل	切り取る
هوية	アイデンティティー
هوية	アイデンティティ
انتاج	製作
انتاج	プロダクション
انتاج	生産
تصور	イマジン
فعالة	実効
سوني	ソニー
المشكلات	問題
الجوانب	両側
الجوانب	側面
جولة	ツアー
مساهمة	入力
مساهمة	寄与
مساهمة	貢献
مساهمة	出資
مجالس	ボード
صادق	正直
قاضي	ジャッジ
قاضي	裁判官
الفارسي	ペルシャ
سيدني	シドニー
بالاضافة	プラス
عدل	フェア
وثائق	文書
وثائق	ドキュメント
وثائق	ドキュメンテーション
وثائق	書類
دوران	回転
دوران	ローテーション
فنزويلا	ベネズエラ
تغطية	表紙
تغطية	カバー
تغطية	被覆
الثلج	スノー
طلبات	オーダー
طلبات	注文
طلبات	命令
طلبات	リクエスト
التخصصات	専攻
سنين	年数
مزرعة	農場
مزرعة	ファーム
الكليات	カレッジ
الكليات	大学
الكليات	学部
رالي	ローリー
مدني	文官
مدني	シビック
اندلاع	アウトブレイク
سنه	イヤー
معلم	マスター
معلم	教員
معلم	先生
معلم	教師
البضائع	貨物
البضائع	物品
البضائع	商品
المرافق	ユーティリティー
المرافق	設備
المرافق	施設
المرافق	ユーティリティ
الفراغ	無効
الفراغ	ボイド
بيوت	住宅
بيوت	家屋
مؤخرا	最近
السفارة	大使館
اثنان	二人
اثنان	二つ
القارئ	読者
القارئ	リーダー
القارئ	コンチネンタル
الاختلاف	不一致
الاختلاف	差異
الاختلاف	差分
الاختلاف	違い
الدبلوماسية	外交
المقرر	決断
المقرر	決定
مشاهد	シーン
مشاهد	場面
العناية	思いやり
العناية	ケア
العناية	介護
نزل	旅館
نزل	ダウンロード
نزل	モーテル
نزل	宿屋
الذرية	子孫
الذرية	アトミック
الذرية	原子
بوش	ボッシュ
بوش	ブッシュ
لهجة	アクセント
لهجة	方言
لهجة	トーン
جنرال	一般
جنرال	将軍
جنرال	全般
النخيل	パーム
النخيل	手のひら
النخيل	ヤシ
وكيل	代理人
وكيل	エージェント
تاج	クラウン
فريدة	ユニーク
فريدة	独特
الاحتفال	祝賀会
الاحتفال	祝う
الاحتفال	お祝い
النوبة	押収
النوبة	差押え
متتالية	シーケンス
الخام	乱暴
الخام	ラフ
واقع	現実
واقع	リアリティ
مصلحة	利息
مصلحة	利子
الجينات	遺伝子
مواطن	市民
الطور	フェーズ
الطور	位相
انتصار	トライアンフ
انتصار	勝利
استجابة	応答
استجابة	レスポンス
حظر	ブロック
حراس	衛兵
فئات	カテゴリ
فئات	分類
فئات	カテゴリー
بيير	ピエール
الدائم	パーマネント
تساوي	イコール
تساوي	等しい
دائمة	パーマネント
حصان	ウマ
اللاجئين	難民
مبلغ	合計
مبلغ	総和
المعاهدة	条約
القصير	短い
القصير	ショート
القدماء	古代
صفات	資質
صفات	形容詞
صفات	属性
