மற்றும்	وال
கொள்ளும்	العداء
கொள்ளும்	عداء
உள்ளூர்	محلية
உள்ளூர்	محلي
உள்ளூர்	المحلي
உள்ளூர்	محليا
உள்ளூர்	المحلية
கிட்டத்தட்ட	تقريبا
கடைசி	الاخير
கடைசி	اخير
கடைசி	اخر
கடைசி	تدوم
கடைசி	الاخيرة
குரு	جورو
ஆனாலும்	لكن
ஆனாலும்	بس
ஆனாலும்	ولكن
படத்தில்	الصورة
படத்தில்	صورة
எதிர்ப்பு	مقاومة
எதிர்ப்பு	المعارضة
எதிர்ப்பு	معارضة
எதிர்ப்பு	المعارضون
எதிர்ப்பு	المقاومة
ஒன்பது	تسع
ஒன்பது	تسعة
வான்	الفان
வான்	فان
வான்	وان
சிறப்பாக	عظيم
சிறப்பாக	ضل
சிறப்பாக	عظيمة
சிறப்பாக	افضل
சிறப்பாக	اطيب
சிறப்பாக	الافضل
சிறப்பாக	العظيم
சிறப்பாக	احسن
நன்கு	حسنا
தொடங்கினார்	بدا
தொடங்கினார்	بدات
பேராசிரியர்	استاذة
பேராசிரியர்	الاستاذ
பேராசிரியர்	بروفيسور
பேராசிரியர்	استاذ
பதிப்பகம்	النشر
பதிப்பகம்	نشر
தனியார்	الخاصة
தனியார்	الخاص
தனியார்	خاص
தனியார்	خاصة
தரவு	بيانات
தரவு	البيانات
பஞ்சாப்	البنجاب
நம்பிக்கை	الايمان
நம்பிக்கை	الثقة
நம்பிக்கை	المؤمنين
நம்பிக்கை	ايمانا
நம்பிக்கை	ايمان
நம்பிக்கை	هوب
நம்பிக்கை	مخلص
நம்பிக்கை	مخلصة
நம்பிக்கை	فيث
நம்பிக்கை	الاعتقاد
நம்பிக்கை	اعتقاد
நம்பிக்கை	امل
நம்பிக்கை	ثقة
நம்பிக்கை	المعتقد
நம்பிக்கை	الامل
இடங்கள்	المواقع
இடங்கள்	اماكن
இடங்கள்	الاماكن
இடங்கள்	مواقع
பரவலாக	يعبد
மரபு	ارث
மரபு	التراث
மரபு	الارث
மரபு	تراث
மும்பை	مومباي
விற்பனை	مبيعات
விற்பனை	المبيعات
விற்பனை	تخفيضات
விற்பனை	البيع
விற்பனை	يبيع
விற்பனை	التسويق
விற்பனை	تسويق
விற்பனை	بيع
வருடம்	السنه
வருடம்	عام
வருடம்	سنه
வருடம்	السنة
வருடம்	سنة
வருடம்	العام
மேலே	اعلاه
மேலே	قمة
மேலே	الاعلى
மேலே	القمة
மேலே	توب
அம்மன்	عمان
கடன்	قروض
கடன்	رصيد
கடன்	ائتمان
கடன்	الدين
கடன்	الديون
கடன்	قرض
கடன்	القرض
கடன்	الائتمان
கடன்	القروض
விலை	الاسعار
விலை	الثمن
விலை	السعر
விலை	تسعير
விலை	التسعير
விலை	سعر
விலை	سعره
செய்திகள்	خبر
செய்திகள்	الاخبار
செய்திகள்	اخبار
செய்திகள்	انباء
செய்திகள்	رسائل
செய்திகள்	الرسائل
சோதனை	اختبر
சோதனை	الاختبار
சோதனை	اختبار
யாழ்ப்பாணம்	جافنا
உருவாக்க	تولد
உருவாக்க	توليد
அவர்களுக்கு	هم
அரசன்	ملك
அரசன்	كينغ
அரசன்	الملك
அரசன்	كينج
போட்டிகள்	المسابقات
போட்டிகள்	مسابقات
கை	يد
கை	اليد
கை	يدا
அரசியல்வாதி	سياسية
அரசியல்வாதி	سياسي
அரசியல்வாதி	السياسي
பறவைகள்	طيور
பறவைகள்	الطيور
ஒலி	صوت
ஒலி	الصوت
குறிப்புகள்	نصائح
குறிப்புகள்	ملاحظات
குறிப்புகள்	النصائح
குறிப்புகள்	الملاحظات
பெண்களின்	بنات
பெண்களின்	البنات
பெண்களின்	فتيات
பெண்களின்	لبنات
பெண்களின்	الفتيات
ஜே	جاى
ஜே	جاي
இயக்குனர்	المخرج
இயக்குனர்	المديرة
இயக்குனர்	المدير
இயக்குனர்	مدير
இயக்குனர்	مديرة
இயக்குனர்	مخرج
தொடக்கம்	البداية
தொடக்கம்	بداية
தொடக்கம்	استهلال
தொடக்கம்	بدء
தொடக்கம்	البدء
பூங்கா	حديقة
பூங்கா	بارك
பூங்கா	متنزه
பூங்கா	منتزه
இளம்	شابة
இளம்	صغار
இளம்	شاب
அருகே	قرب
அருகே	بالقرب
உயர்ந்த	مرتفع
உயர்ந்த	عال
உயர்ந்த	عالية
உயர்ந்த	عالي
உயர்ந்த	عاليا
காவல்	الشرطة
காவல்	بوليس
காவல்	شرطه
காவல்	شرطة
குடும்பம்	عائلي
குடும்பம்	العائلة
குடும்பம்	الاسرة
குடும்பம்	اسرة
குடும்பம்	عائلة
ஆதரவு	دعم
ஆதரவு	الدعم
கைது	الاعتقال
கைது	اعتقال
கைது	معتقل
கைது	اعتقل
கைது	القبض
கைது	التوقيف
கைது	توقيف
எழுதினார்	كتبت
வலது	الحق
வலது	يمين
வலது	صح
வலது	حق
வலது	صحيح
தன்னை	نفسه
மாலை	مساء
மாலை	حواء
மாலை	عشية
மாலை	المساء
மாலை	ايف
ஆய்வுகள்	تشخيص
ஆய்வுகள்	التشخيص
ஆய்வுகள்	الدراسات
ஆய்வுகள்	دراسات
குறிக்கிறது	يقف
எடுத்து	اخذ
எடுத்து	خذ
சிவப்பு	حمراء
சிவப்பு	احمر
சிவப்பு	الاحمر
நடைபெற்றது	عقدت
எதுவும்	لاشيء
முஸ்லிம்	المسلم
முஸ்லிம்	مسلم
முஸ்லிம்	اسلامي
முஸ்லிம்	مسلمة
இன்றும்	اليوم
தலைவர்கள்	الزعماء
தலைவர்கள்	قادة
தலைவர்கள்	القادة
தலைவர்கள்	زعماء
இரத்த	دماء
இரத்த	دم
இரத்த	الدم
இரத்த	دما
சிவன்	شيفا
ஜார்ஜ்	جورج
முழுமையான	كاملة
முழுமையான	اكتمل
முழுமையான	كامل
இரண்டும்	كلاهما
காங்கிரஸ்	المؤتمر
காங்கிரஸ்	الكونغرس
காங்கிரஸ்	الكونجرس
காங்கிரஸ்	كونغرس
அவள்	هي
அவள்	انها
வரிசை	متسلسل
வரிசை	ترتيب
வரிசை	صف
வரிசை	المسلسل
வரிசை	النظام
வரிசை	طلب
வரிசை	متسلسلة
வரிசை	الطلب
வரிசை	امر
காற்று	الرياح
காற்று	الريح
காற்று	رياح
காற்று	ريح
மாத	شهريا
மாத	شهري
மாத	الشهرية
மாத	شهرية
மாத	الشهري
பயனர்கள்	المستخدمون
பயனர்கள்	مستخدمون
பயனர்கள்	مستخدمين
பயனர்கள்	المستخدمين
பயனர்கள்	مستخدمو
கான்	خان
இரவு	ليلا
இரவு	ليل
இரவு	الليل
இரவு	ليلة
நடவடிக்கை	العمل
நடவடிக்கை	اكشن
நடவடிக்கை	الاجراء
நடவடிக்கை	اجراء
நடவடிக்கை	الحركة
நடவடிக்கை	نشاط
நடவடிக்கை	النشاط
அவரின்	ده
நேரங்களில்	اوقات
நேரங்களில்	مرات
நேரங்களில்	الاوقات
நேரங்களில்	التايمز
நேரங்களில்	المرات
நேரங்களில்	تايمز
வழக்கு	حالة
வழக்கு	الحالة
வழக்கு	كايس
வழக்கு	القضية
வழக்கு	قضية
அகாதமி	اكاديمية
அகாதமி	الاكاديمية
சேவைகள்	الخدمات
சேவைகள்	خدمات
மக்கள்தொகை	السكان
கவிதை	الشعر
கவிதை	القصيدة
கவிதை	شعر
கவிதை	شعرا
கவிதை	قصيدة
இதுவரை	بعيد
நேரடியாக	مباشرة
அறிக்கை	تقرير
அறிக்கை	البيان
அறிக்கை	بلاغ
அறிக்கை	الابلاغ
அறிக்கை	بيان
அறிக்கை	التقرير
பணம்	نقدية
பணம்	فلوس
பணம்	نقدا
பணம்	مال
பணம்	نقود
பணம்	المال
பணம்	اموال
பணம்	العملة
பணம்	كاش
பணம்	النقدية
பணம்	عملة
பணம்	نقد
உண்மையான	ريال
உண்மையான	اصيل
உண்மையான	حقيقي
உண்மையான	حقيقية
உண்மையான	صحيح
உண்மையான	اصيلة
பிரிவுகள்	الاقسام
பிரிவுகள்	الفئات
பிரிவுகள்	اقسام
பிரிவுகள்	الاصناف
பிரிவுகள்	فئات
அடிக்கடி	غالبا
அடிக்கடி	متكررة
அடிக்கடி	متكرر
மரம்	الشجرة
மரம்	شجرة
மரம்	وود
மரம்	الحطب
மரம்	الخشب
மரம்	خشب
இராணுவ	عسكرية
இராணுவ	عسكري
இராணுவ	الجيش
இராணுவ	العسكري
சீனா	الصين
சீனா	الصينية
உண்மையில்	فعلا
உண்மையில்	بالحقيقة
உண்மையில்	حقا
ரயில்	القطار
ரயில்	قطار
கவிஞர்	شاعر
கவிஞர்	الشاعر
சுதந்திர	المستقل
சுதந்திர	مستقلة
சுதந்திர	المستقلة
சுதந்திர	حرية
சுதந்திர	الاستقلالية
சுதந்திர	الاستقلال
சுதந்திர	استقلالية
சுதந்திர	مستقل
சுதந்திர	استقلال
சுதந்திர	الحرية
செய்தல்	جعل
செய்தல்	صنع
வடிவமைப்பு	التشكيلة
வடிவமைப்பு	تكوين
வடிவமைப்பு	الشكل
வடிவமைப்பு	تصميم
வடிவமைப்பு	التصميم
வடிவமைப்பு	نسق
வடிவமைப்பு	تشكيل
வடிவமைப்பு	تنسيق
வடிவமைப்பு	التشكيل
வெப்பநிலை	الحرارة
இன்னொரு	اخرى
இன்னொரு	اخر
நிலையை	حالة
நிலையை	الحالة
நிலையை	الوضع
கப்பல்	السفينة
கப்பல்	سفينة
அறிமுகம்	بخصوص
அறிமுகம்	مقدمة
அறிமுகம்	عن
அறிமுகம்	حول
அறிமுகம்	المقدمة
அறிமுகம்	بشان
காங்கிரசு	المؤتمر
காங்கிரசு	الكونغرس
காங்கிரசு	الكونجرس
காங்கிரசு	كونغرس
வரி	السطر
வரி	الخط
வரி	ضرائب
வரி	ضريبي
வரி	خط
வரி	سطر
வரி	الضرائب
வரி	الضريبة
வரி	ضريبة
காட்டும்	ترجع
காட்டும்	العائدات
காட்டும்	عوائد
மாறாக	بالاحرى
குரல்	صوت
குரல்	صو
குரல்	الصوت
இயக்குநர்	المخرج
இயக்குநர்	المديرة
இயக்குநர்	المدير
இயக்குநர்	مدير
இயக்குநர்	مديرة
இயக்குநர்	مخرج
ஜேம்ஸ்	جايمس
ஜேம்ஸ்	جيمس
தயாரிப்பு	الانتاج
தயாரிப்பு	المنتجات
தயாரிப்பு	المنتج
தயாரிப்பு	انتاج
தயாரிப்பு	الاعداد
தயாரிப்பு	منتجات
தயாரிப்பு	تحضير
தயாரிப்பு	منتج
தயாரிப்பு	اعداد
தயாரிப்பு	التحضير
புள்ளி	النقطة
புள்ளி	بوينت
புள்ளி	نقطة
இணைப்புக்கள்	الروابط
இணைப்புக்கள்	وصلات
இணைப்புக்கள்	روابط
இணைப்புக்கள்	الصلات
இணைப்புக்கள்	الوصلات
இணைப்புக்கள்	الارتباطات
கருவி	نطاق
கருவி	اداة
கருவி	الجهاز
கருவி	النطاق
கருவி	الاداة
கருவி	جهاز
டேவிட்	ديفيد
டேவிட்	دافيد
டேவிட்	داود
டேவிட்	دايفيد
டேவிட்	ديفد
இயங்கும்	الركض
இயங்கும்	النشطة
இயங்கும்	الجري
இயங்கும்	نشطة
இயங்கும்	ركض
இயங்கும்	نشط
இயங்கும்	تشغيل
புராணம்	اسطورة
புராணம்	الاسطورة
நிகழ்ச்சி	عرض
நிகழ்ச்சி	العرض
நிகழ்ச்சி	اعرض
நிகழ்ச்சி	اظهار
நிகழ்ச்சி	اظهر
பௌத்த	البوذية
எழுதப்பட்ட	خطية
எழுதப்பட்ட	كتب
எழுதப்பட்ட	مكتوبة
எழுதப்பட்ட	مكتوب
கொலை	القتل
வண்ணம்	اللون
வண்ணம்	لون
வண்ணம்	الالوان
வண்ணம்	الوان
நிலையங்கள்	المحطات
நிலையங்கள்	محطات
நிலையங்கள்	صالونات
பரப்பளவு	مساحة
பரப்பளவு	المساحة
பரப்பளவு	المنطقة
பரப்பளவு	منطقة
உறுதி	كد
உறுதி	اكد
வழக்கம்	مخصصة
வழக்கம்	العرف
வழக்கம்	مخصص
வழக்கம்	منتظمة
வழக்கம்	منتظم
குறைவாக	تدني
குறைவாக	منخفضة
குறைவாக	اقل
குறைவாக	انخفاض
குறைவாக	منخفض
கலைஞர்கள்	الفنانين
கலைஞர்கள்	للفنانين
செ	صم
செ	صماء
செ	الصم
பாகிஸ்தான்	الباكستاني
பாகிஸ்தான்	الباكستانية
பாகிஸ்தான்	باكستان
அங்கே	هناك
இன	عرقية
இன	الاعراق
இன	الاثنية
இன	السباقات
இன	سباقات
இன	الاجناس
வசதி	سمة
வசதி	مرتاح
வசதி	مرفق
வசதி	مريح
வசதி	منشاة
வசதி	ميزة
வசதி	راحة
வசதி	مريحة
வசதி	الميزة
வசதி	الراحة
வழங்கப்படும்	شريطة
வழங்கப்படும்	عرضت
முயற்சி	جرب
முயற்சி	محاولة
முயற்சி	حاول
முயற்சி	مجهود
முயற்சி	الجهد
முயற்சி	جهد
முயற்சி	المجهود
கதைகள்	السرد
கதைகள்	القصص
கதைகள்	احداث
கதைகள்	قصص
கதைகள்	حكايات
அரபு	العربية
அரபு	عربية
அரபு	عرب
அரபு	بالعربية
அரபு	عربي
அரபு	بالعربي
அரபு	العرب
அரபு	العربي
இவற்றை	هذه
இவற்றை	هؤلاء
பிரான்சு	وفرنسا
பிரான்சு	فرنسا
பிரான்சு	فرانس
விண்வெளி	مساحة
விண்வெளி	حيز
விண்வெளி	فضاء
விண்வெளி	الفضاء
மாற்றங்கள்	التغييرات
மாற்றங்கள்	تغييرات
மாற்றங்கள்	تغيرات
மாற்றங்கள்	التغيرات
அடர்த்தி	كثافة
அடர்த்தி	الكثافة
படங்கள்	صور
படங்கள்	الصور
ஆயிரம்	الالف
ஆயிரம்	الف
வார்ப்புருக்கள்	القوالب
வார்ப்புருக்கள்	قوالب
வார்ப்புருக்கள்	نماذج
இனம்	سلالة
இனம்	سباق
இனம்	السباق
இனம்	عرق
இனம்	الاثنية
இனம்	تولد
இனம்	العرق
புரிந்து	تفهم
புரிந்து	فهم
புரிந்து	فاهم
புரிந்து	افهم
வாக்குகள்	اصوات
வாக்குகள்	الاصوات
ரூபாய்	روبية
அமைச்சர்	الوزيرة
அமைச்சர்	وزير
அமைச்சர்	الوزير
அமைச்சர்	وزيرة
கூட்டு	اضف
கூட்டு	النقابة
கூட்டு	المبلغ
கூட்டு	اضافة
கூட்டு	مبلغ
கூட்டு	يونيون
கூட்டு	جمعيات
கூட்டு	نقابة
கூட்டு	الاتحاد
கூட்டு	نضيف
கூட்டு	الجمعيات
கூட்டு	الرابطات
கூட்டு	يضاف
திட்டங்கள்	المشروعات
திட்டங்கள்	المشاريع
திட்டங்கள்	الخطط
திட்டங்கள்	مشروعات
திட்டங்கள்	مشاريع
திட்டங்கள்	خطط
அண்ணா	انا
உயரம்	الارتفاع
உயரம்	ارتفاع
உயரம்	الطول
தரம்	جودة
தரம்	النوعية
தரம்	الجودة
வரையில்	حتى
எளிய	بسيطه
எளிய	البسيط
எளிய	بسيط
எளிய	بسيطة
தமிழர்கள்	التاميل
ஒப்பந்தம்	العقد
ஒப்பந்தம்	عقد
ஒப்பந்தம்	الحلف
ஒப்பந்தம்	الميثاق
ஒப்பந்தம்	التعاقد
ஒப்பந்தம்	حلف
ஒப்பந்தம்	ميثاق
ஒப்பந்தம்	تعاقد
பணிகள்	مهام
பணிகள்	الوظائف
பணிகள்	المهام
பணிகள்	وظائف
தேவி	ديفي
நிலம்	اراض
நிலம்	الاراضي
நிலம்	الارض
நிலம்	ارض
யார்	من
யார்	اللي
மண்டலம்	الاقليم
மண்டலம்	المنطقة
மண்டலம்	منطقة
மண்டலம்	اقليم
குற்றம்	مذنب
குற்றம்	جريمة
குற்றம்	الجريمة
குற்றம்	الجرائم
அன்னை	ام
அன்னை	الام
இரட்டை	مزدوجة
இரட்டை	توام
இரட்டை	مضاعفة
இரட்டை	دبل
இரட்டை	مضاعف
இரட்டை	مزدوج
இரட்டை	ضعف
அலுவலகம்	مكتب
அலுவலகம்	المكتب
அலுவலகம்	المنصب
வீடு	هاوس
வீடு	الاقامة
வீடு	اقامة
வீடு	المنزل
வீடு	منزل
வீடு	الوطن
வீடு	البيت
சந்தை	سوق
சந்தை	السوق
தலை	الراس
தலை	راسي
தலை	راس
அனைத்துலக	دولي
அனைத்துலக	الدولية
அனைத்துலக	دولية
அனைத்துலக	الدولي
உரிமைகள்	حقوق
உரிமைகள்	الحقوق
நீ	انت
நீ	انتي
கிராம	القرية
கிராம	قرية
திறந்த	مفتوحة
திறந்த	افتح
திறந்த	فتح
திறந்த	مفتوح
கோட்பாடு	النظرية
கோட்பாடு	نظرية
மாதிரி	نموذج
மாதிரி	مسارات
மாதிரி	العينة
மாதிரி	عينة
மாதிரி	عارض
மாதிரி	موديل
மாதிரி	النموذج
மாதிரி	الموديل
நடிகைகள்	الممثلات
நடிகைகள்	ممثلات
தெரிவு	الاختيار
தெரிவு	خيار
தெரிவு	الخيار
தெரிவு	اختيار
குமார்	كومار
பிரதான	الرائد
பிரதான	رائد
பிரதான	الرئيسية
பிரதான	ماجور
பிரதான	رئيسية
அறிவு	معرفة
அறிவு	المعارف
அறிவு	المعرفة
தெரியவில்லை	محايدا
தெரியவில்லை	محايد
தெரியவில்லை	محايدة
வழங்கி	خادم
வழங்கி	الخادم
பண்பாடு	ثقافة
பண்பாடு	الثقافة
பண்பாடு	ثقافته
ராஜா	الملك
ராஜா	كينغ
ராஜா	ملك
ராஜா	راجا
ராஜா	كينج
சூழல்	السياق
சூழல்	بيئة
சூழல்	البيئة
சூழல்	سياق
கடுமையான	صعب
கடுமையான	صعبة
கடுமையான	قاسي
கடுமையான	خشونة
எண்ணெய்	الزيت
எண்ணெய்	بترول
எண்ணெய்	نفط
எண்ணெய்	النفط
எண்ணெய்	زيت
பொருட்களை	اشياء
வானியல்	فلك
மாற்று	تحويل
மாற்று	تحول
மாற்று	التبديل
மாற்று	تستبدل
மாற்று	تبديل
மாற்று	يستعاض
மாற்று	التغيير
மாற்று	استبدال
மாற்று	التغير
மாற்று	تغير
மாற்று	تغيير
மாற்று	غير
மாற்று	استبدل
இராச்சியம்	المملكة
இராச்சியம்	مملكة
வாழ்ந்து	العيش
வாழ்ந்து	المعيشة
மழை	الامطار
மழை	مطر
மழை	المطر
தெரிகிறது	يبدو
தெரிகிறது	نظرات
தெரிகிறது	النظرات
கார்பன்	كربون
கார்பன்	الكربوني
கார்பன்	الكربون
உலகளாவிய	عالميا
உலகளாவிய	العالمي
உலகளாவிய	عالمية
உலகளாவிய	عالمي
உலகளாவிய	العالمية
தோன்றும்	رشة
தோன்றும்	رش
ஏற்றுக்	قبلت
ஏற்றுக்	مقبولة
நான்காவது	رابعة
நான்காவது	رابع
நான்காவது	الرابعة
நான்காவது	الرابع
நான்காவது	رابعا
பேருந்து	باص
பேருந்து	الحافلة
பேருந்து	الباص
பேருந்து	حافلة
வழக்கமாக	عادة
விதி	القاعدة
விதி	القدر
விதி	المصير
விதி	مصير
விதி	قاعدة
தெரு	ستريت
தெரு	الشارع
தெரு	شارع
இறைவன்	ربي
இறைவன்	رب
இறைவன்	لورد
யூ	يو
கண்	العين
கண்	عين
மகள்	البنت
மகள்	ابنة
மகள்	بنت
மகள்	الابنة
தேசியக்	ناشيونال
தேசியக்	الوطنية
தேசியக்	وطني
தேசியக்	وطنية
மூல	الاصلية
மூல	اصلية
மூல	الاصلي
மூல	اصلي
மூல	الاصل
இடது	يسار
இடது	اليسار
எல்லாம்	كلهم
எல்லாம்	كله
எல்லாம்	الكل
எல்லாம்	جميع
எல்லாம்	كل
நிலையான	معيار
நிலையான	قياسي
நிலையான	المعيار
சிறப்பான	مميز
சிறப்பான	الخاص
சிறப்பான	خاص
சிறப்பான	خاصة
தோல்	الجلود
தோல்	البشرة
தோல்	جلدية
தோல்	بشرة
தோல்	جلد
தோல்	الجلد
கூடுதலாக	اضافية
கூடுதலாக	اضافي
கால்	ماش
கால்	القدم
கால்	الساق
கால்	الربع
கால்	قدم
கால்	ماشية
கால்	الماشية
கால்	ساق
கால்	ربع
ஆர்வம்	مهتمة
ஆர்வம்	مهتما
ஆர்வம்	المصلحة
ஆர்வம்	الاهتمام
ஆர்வம்	اهتمام
ஆர்வம்	الفائدة
ஆர்வம்	مهتم
ஆர்வம்	مصلحة
ஆர்வம்	المهتمة
கவனம்	التركيز
கவனம்	الاهتمام
கவனம்	اهتمام
கவனம்	تركيز
கவனம்	ركز
கவனம்	الانتباه
கவனம்	انتباه
மூத்த	الاقدم
மூத்த	كبار
நினைவு	الذاكرة
நினைவு	ذاكرة
நினைவு	ذكرى
நினைவு	الذكرى
உருவானது	تشكلت
உருவானது	شكلت
தூய	نقي
தூய	نقية
தூய	خالص
கவிதைகள்	القصائد
கவிதைகள்	قصائد
நிறுவப்பட்டது	مثبتة
வாய்ப்பு	فرصة
வாய்ப்பு	الفرصة
வாய்ப்பு	الفرص
மருந்து	الدواء
மருந்து	طب
மருந்து	دواء
மருந்து	الطب
மருந்து	الصيدلانية
மா	المانجو
ஏன்	ليش
ஏன்	لماذا
ஏன்	لما
ஆனார்	صارت
கிடைத்தது	حصلت
தொலைபேசி	تلفون
தொலைபேசி	هاتف
தொலைபேசி	تليفون
தொலைபேசி	الهاتف
ரவி	رافي
கட்டமைப்பு	التشكيلة
கட்டமைப்பு	هيكل
கட்டமைப்பு	هيكلي
கட்டமைப்பு	بنية
கட்டமைப்பு	هيكلية
கட்டமைப்பு	تشكيل
கட்டமைப்பு	الهيكل
கட்டமைப்பு	التشكيل
பாரம்பரிய	تقليدي
பாரம்பரிய	كلاسيكي
பாரம்பரிய	التقليدي
பாரம்பரிய	كلاسيكية
பாரம்பரிய	التقليدية
பாரம்பரிய	الكلاسيكي
பாரம்பரிய	تقليدية
பாரம்பரிய	الكلاسيكية
சின்னம்	رمز
சின்னம்	ايقونة
எண்கள்	ارقام
எண்கள்	الارقام
எண்கள்	الاعداد
தொழில்நுட்பம்	تكنولوجيا
தொழில்நுட்பம்	تقنية
தொழில்நுட்பம்	التكنولوجيا
தொழில்நுட்பம்	التقنية
ஏரி	البحيرة
ஏரி	ليك
ஏரி	لايك
ஏரி	بحيرة
வரிசையில்	مصفوف
பாடிய	سونج
பாடிய	سونغ
சிலை	المعبود
சிலை	التمثال
சிலை	معبود
சிலை	تمثال
சிலை	ايدول
வெள்ளி	الجمعة
வெள்ளி	فضة
வெள்ளி	الجمعه
வெள்ளி	جمعة
வெள்ளி	فضي
வெள்ளி	الفضة
வெள்ளி	سيلفر
வெள்ளி	فضية
இலத்தீன்	اللاتينية
இலத்தீன்	لاتينية
நேச	الحلفاء
நேரடி	العيش
நேரடி	عش
நேரடி	مباشر
நேரடி	يعيش
நேரடி	مباشرة
நேரடி	تعيش
நேரடி	المباشر
நேரடி	عيش
சுற்றுலா	الجولة
சுற்றுலா	جولة
சுற்றுலா	جولات
சுற்றுலா	السياحة
சுற்றுலா	السياحية
சுற்றுலா	الجولات
சுற்றுலா	للسياحة
சுற்றுலா	سائح
கிராமத்தில்	القرية
கிராமத்தில்	قرية
புலிகள்	نمور
புலிகள்	النمور
அவர்களை	هم
அனுமதி	تصريح
அனுமதி	اسمح
அனுமதி	تعيين
அனுமதி	التعيين
அனுமதி	التعيينات
அனுமதி	الاذن
அனுமதி	موعد
அனுமதி	الموعد
அனுமதி	السماح
பயன்	استعمال
பயன்	استحقاق
பயன்	الاستحقاق
பயன்	الاستعمال
பயன்	الاستخدام
பயன்	منفعة
நிகழ்வு	حدث
நிகழ்வு	الحدث
நிகழ்வு	مناسبة
நிகழ்வு	المناسبة
ஆதி	عدي
ஆதி	ادى
மைல்	مايلز
மைல்	مايل
மைல்	ميل
மைல்	اميال
மைல்	الميل
வளரும்	ينمو
வளரும்	المتزايد
வளரும்	تطوير
வளரும்	نامية
உடலில்	جثة
உடலில்	الجسد
உடலில்	جسد
உடலில்	الجسم
உடலில்	جسم
பக்க	جنب
பக்க	جانب
பக்க	الجانب
சான்	شان
சான்	تشان
சான்	سان
உயரத்தில்	الارتفاع
உயரத்தில்	ارتفاع
உயரத்தில்	الطول
அமிலம்	حمض
அமிலம்	حامض
விண்டோஸ்	النوافذ
விண்டோஸ்	نوافذ
விண்டோஸ்	ويندوز
கூட்டமைப்பு	اتحاد
கூட்டமைப்பு	الاتحاد
தொழிலாளர்	عمالة
தொழிலாளர்	المخاض
விலங்குகள்	حيوانات
விலங்குகள்	الحيوانات
மறு	ينكر
மறு	الانحدار
மறு	انكر
மறு	انحدار
மறு	انكار
மறு	تنكر
மறு	انخفاض
முடிவுகள்	نتائج
முடிவுகள்	النتائج
மனிதன்	بشرية
மனிதன்	الانسان
மனிதன்	مان
மனிதன்	انسان
மனிதன்	الرجل
மனிதன்	رجل
மனிதன்	بشري
மாணவர்	الطالب
மாணவர்	طالبة
மாணவர்	التلميذ
மாணவர்	تلميذ
மாணவர்	طالب
குறிப்பிடுகிறது	يحدد
நோக்கம்	بعثة
நோக்கம்	مهمة
நோக்கம்	موضوعية
நோக்கம்	البعثة
நோக்கம்	المهمة
நோக்கம்	الهدف
கடந்து	مرت
கடந்து	مرور
கடந்து	عابر
கடந்து	تمرير
கடந்து	تمر
உருவாக்கி	المطور
உருவாக்கி	الملحن
உருவாக்கி	الخالق
உருவாக்கி	منشئ
உருவாக்கி	المنشئ
உருவாக்கி	خالق
உருவாக்கி	المولد
உருவாக்கி	مولد
உருவாக்கி	المؤلف
ஒத்த	مماثلة
ஒத்த	مشابهة
ஒத்த	مماثل
ஒத்த	مشابه
பச்சை	خضر
பச்சை	الاخضر
பச்சை	خضراء
பச்சை	اخضر
அலகு	الوحدة
அலகு	وحدة
நகராட்சி	البلدية
நகராட்சி	بلدية
உறவு	العلاقات
உறவு	علاقة
உறவு	علاقه
உறவு	العلاقة
நூலகம்	مكتبة
நூலகம்	المكتبة
சண்டை	القتال
சண்டை	معركة
சண்டை	قتال
சண்டை	المعركة
சண்டை	باتل
சண்டை	شجار
நிறம்	اللون
நிறம்	لون
நிறம்	الالوان
நிறம்	الوان
விமானம்	طائرات
விமானம்	الطائرة
விமானம்	طائرة
விமானம்	طيران
விமானம்	الرحلة
விமானம்	الطائرات
விமானம்	الطيران
பதில்	رد
பதில்	الرد
பதில்	اجابة
பதில்	جواب
பதில்	الجواب
பதில்	الاجابة
திருவிழா	الكرنفال
திருவிழா	مهرجان
திருவிழா	المهرجان
நான்காம்	رابعة
நான்காம்	رابع
நான்காம்	الرابعة
நான்காம்	الرابع
நான்காம்	رابعا
வெளியிடப்பட்ட	منشور
வெளியிடப்பட்ட	نشرت
வெளியிடப்பட்ட	نشر
கூடாது	لا
கூடாது	مش
கூடாது	ليس
கூடாது	وليس
காலை	صباح
காலை	صباحك
காலை	الصباح
சமூகம்	اجتماعية
சமூகம்	مجتمع
சமூகம்	الاجتماعي
சமூகம்	الجمعية
சமூகம்	المجتمع
சமூகம்	الاجتماعية
சமூகம்	اجتماعي
சமூகம்	الجماعة
புற்றுநோய்	السرطان
புற்றுநோய்	سرطان
சு	تشو
ஆன்	ان
மெய்யியல்	فلسفة
மெய்யியல்	العلمانية
மெய்யியல்	الاخلاص
மெய்யியல்	اخلاص
மெய்யியல்	الفلسفة
நாட்களில்	الايام
நாட்களில்	ايام
பயணிகள்	المسافرون
பயணிகள்	الركاب
பயணிகள்	المسافرين
பயணிகள்	ركاب
பயணிகள்	مسافرين
அறுவை	جراحة
அறுவை	الجراحة
இணை	انضم
இணை	للتواصل
இணை	معاون
இணை	ربط
இணை	تواصل
இணை	انضموا
இணை	انضمام
இணை	الانضمام
இணை	التواصل
அழுத்தம்	الضغط
அழுத்தம்	ضغط
அழுத்தம்	التشديد
அழுத்தம்	الاندفاع
கல்லூரிகள்	الكليات
