در	deur
فتح	victorie
فتح	overwinning
فتح	overwinnen
فتح	veroveren
فتح	verovering
هواپیمای	luchtvaartuig
هواپیمای	vliegtuig
هواپیمای	luchtvaartuigen
هواپیمای	vliegtuigen
اعتماد	vertrouwen
اعتماد	vertrouw
الان	nu
تربیت	gekoesterd
ریز	piepklein
ماند	bleef
ماند	verbleven
ماند	verbleef
ماند	gebleven
درمانی	genezing
درمانی	helende
درمانی	genezen
درمانی	therapeutisch
درمانی	therapie
حالا	nu
خودکار	automatische
خودکار	automaat
خودکار	automatisch
مغز	hersenen
مغز	hersens
مغز	brein
اطلاع	informeren
نشریه	tijdschrift
نشریه	dagboek
آماده	gereed
آماده	klaar
ظاهری	voelbaar
ظاهری	tastbaar
ظاهری	schijnbare
خانم	missen
خانم	mejuffrouw
خانم	juffrouw
داروهای	medicatie
کتابی	boek
خارجه	buitenlands
سنگی	rots
سنگی	steen
سنگی	stenen
سنگی	rotsen
سنگی	natuursteen
بالایی	bovenste
بالایی	opper
پیمان	convenant
پیمان	verdrag
پیمان	verbond
سلیمان	salomo
سلیمان	salomon
انتظار	afwachten
انتظار	verwacht
انتظار	verwachten
انتظار	wachtende
انتظار	wachten
یافتن	zoek
یافتن	vinden
یافتن	vind
پیر	oude
پیر	ouwe
پیر	oud
کمپانی	onderneming
کمپانی	gezelschap
کمپانی	bedrijf
بتن	beton
بتن	concreet
بتن	betonnen
پستی	bericht
تاج	kroon
افتخار	trotse
افتخار	eren
افتخار	fier
افتخار	trots
افتخار	eer
فلسطین	palestijnse
فلسطین	palestijns
فلسطین	palestina
بازسازی	renoveren
بازسازی	verbouwing
بازسازی	wederopbouw
بازسازی	renovatie
بازسازی	hernieuwing
بازسازی	reconstructie
بازسازی	verlenging
بازسازی	heropbouw
بازسازی	herbouwen
بازسازی	vernieuwing
غار	grot
غار	grotten
تخریب	destructie
تخریب	slopen
تخریب	afbraak
تخریب	vernietiging
تخریب	vernieling
تخریب	verwoesting
تخریب	sloop
هرگز	nooit
فیزیکی	fysieke
فیزیکی	lichamelijke
فیزیکی	lichamelijk
فیزیکی	fysiek
موسسه	instelling
موسسه	vestiging
موسسه	instituut
موافقت	akkoord
موافقت	overeengekomen
موافقت	afgesproken
گرجستان	georgië
گرجستان	georgische
گرجستان	georgisch
پاک	zuiver
پاک	schoonmaken
پاک	puur
پاک	schoon
پاک	proper
پاک	zuivere
نیروگاه	gepompt
آمدن	komen
لایه	lagen
پردازش	bewerkt
پردازش	verwerking
پردازش	verwerkte
پردازش	verwerken
پردازش	verwerkt
اعتقاد	overtuiging
اعتقاد	geloof
ویژگی	kenmerk
ویژگی	eigendom
ویژگی	vastgoed
ویژگی	functie
ویژگی	eigenschap
وسایل	materieel
وسایل	uitrusting
وسایل	apparatuur
وسایل	materiaal
کارخانه	fabriek
قرضی	schuldenlast
قرضی	schulden
قرضی	schuld
ساختن	opbouwen
ساختن	maken
ساختن	bouwen
ساختن	construeren
غیره	ander
غیره	overige
غیره	overig
غیره	enz
غیره	andere
قوی	sterk
قوی	sterke
قوی	sterken
خالی	leeg
خالی	lege
خالی	ledig
خالی	blanco
خالی	leegmaken
گنبد	koepel
اعتراض	protesteren
اعتراض	bezwaar
اعتراض	bezwaarschrift
اعتراض	protesten
اعتراض	bezwaren
میلان	milaan
صربستان	servië
تکرار	herhaling
تکرار	herhaal
تکرار	herhalen
پرو	peruviaanse
پرو	peruaanse
اعتبار	krediet
اعتبار	reputatie
اعتبار	rechtsgeldigheid
اعتبار	geldigheid
مسئول	verantwoord
مسئول	verantwoordelijke
مسئول	verantwoordelijk
خودکشی	suïcidale
خودکشی	zelfmoord
خودکشی	zelfdoding
امروزی	moderne
اکشن	actie
اکشن	optreden
اکشن	aktie
مرغ	kippen
مرغ	kip
خوش	gelukkig
خوش	vrolijk
خوش	blij
خوش	tevreden
امنیتی	beveiliging
امنیتی	veiligheid
بخار	stomen
بخار	stoom
بخار	damp
برداشت	nemen
برداشت	oogst
برداشت	oogsten
برداشت	neem
شناسه	identificatiecode
سنی	leeftijd
سنی	soennitische
سنی	ouderdom
تبار	afstamming
پژوهش	onderzoek
حقوقی	juridische
حقوقی	wettelijk
حقوقی	legaal
حقوقی	wettig
حقوقی	juridisch
محاسبه	berekeningen
محاسبه	bereken
محاسبه	berekenen
محاسبه	berekening
سپاس	dankbaarheid
سپاس	loof
سپاس	bedankt
سپاس	lof
سپاس	dankbaar
سپاس	thnx
بازداشت	vastgehouden
بازداشت	aangehouden
بازداشت	arresteren
بازداشت	bewaring
بازداشت	nablijven
بازداشت	aanhouding
بازداشت	detentie
بازداشت	arrestatie
بایرن	beieren
آسمان	hemel
آسمان	lucht
آسمان	hemels
جنگل	bos
جنگل	woud
جنگل	bossen
جنگل	oerwoud
عادی	normale
عادی	normaal
منتقدان	critici
برادران	broers
برادران	broertjes
برادران	broeders
برادران	gebroeders
حاوی	bevat
حاوی	bevatten
حاوی	bevattende
انبار	schuur
انبار	warenhuis
انبار	magazijn
انبار	opslag
انبار	entrepot
انبار	pakhuis
وین	wenen
استونی	estlandse
استونی	ests
استونی	estse
استونی	litouwen
استونی	estland
تأیید	bevestigen
تأیید	bevestiging
تأیید	goedgekeurd
تأیید	goedgekeurde
تأیید	verifiëren
تأیید	bevestig
گری	grijs
گری	grijze
جواب	antwoord
جواب	beantwoorden
خودم	mijzelf
خودم	ikzelf
خودم	mezelf
خودم	zelf
توپ	bal
احداث	formaties
خسرو	khusro
دیدن	zien
دیدن	zie
دوربین	fototoestel
آشنایی	vertrouwdheid
آشنایی	invoering
آشنایی	inleiding
آشنایی	introductie
کلیه	renale
کلیه	nier
کلیه	nieren
فیلیپین	filipijnen
فیلیپین	filippijnen
مردمان	mensen
مردمان	volkeren
مردمان	personen
محکوم	veroordeeld
محکوم	veroordeelde
محکوم	gedetineerde
خالص	oprecht
خالص	zuiver
خالص	oprechte
خالص	puur
خالص	hoogachtend
خالص	exclusief
خالص	zuivere
خالص	exclusieve
میزبان	gastheer
میزبان	organisator
وسط	midden
وسط	middelste
کرواسی	kroatisch
کرواسی	kroatische
متغیر	variabel
متغیر	variabelen
متغیر	variabele
مدرس	leraars
مدرس	instructeur
مدرس	onderwijzers
مدرس	leerkrachten
مدرس	docenten
مدرس	leraren
مراکش	marokkaanse
مراکش	marokko
کودکی	kinderjaren
کودکی	jeugd
کودکی	kindertijd
خواهر	zusje
خواهر	zus
خواهر	zuster
جستجوی	zoekende
آهنگساز	componist
رأی	gestemd
رأی	stemmen
رأی	stemde
رأی	stemmingen
بودجه	begroting
شنای	zwem
شنای	zwemmen
شنای	zwemt
نگارش	componeren
نگارش	samenstellen
گذشت	doorgegeven
گذشت	geslaagd
پرتاب	gooien
پرتاب	lancering
پرتاب	lanceren
پرتاب	gooi
قطب	paal
قطب	hengel
قطب	pool
دستگیر	arresteren
دستگیر	gevangen
دستگیر	gevangengenomen
دستگیر	vangen
دستگیر	aanhouding
دستگیر	gevangenneming
دستگیر	vangst
دستگیر	vastleggen
دستگیر	arrestatie
قلبی	hartje
قلبی	hart
قلبی	cardiale
مؤثر	doeltreffend
مؤثر	effectief
مؤثر	effectieve
تشکر	appreciatie
تشکر	bedankt
تشکر	dank
تشکر	thnx
تشکر	waardering
نیو	nieuw
نیو	nieuwe
خروجی	uitvoer
جدی	serieuze
جدی	serieus
جدی	ernstig
جدی	ernstige
الکساندر	aleksandr
ترکیبی	combinatie
غذا	eten
غذا	levensmiddelen
غذا	voedsel
آیین	rituele
آیین	rituelen
آیین	geloofsovertuiging
آیین	credo
آیین	ritueel
موشک	raket
جستجو	zoek
جستجو	zoeken
جستجو	zoektocht
جستجو	doorzoeken
جستجو	zoekende
جستجو	zoekopdracht
تماس	bellen
تماس	oproep
تماس	bel
تماس	contactpersoon
پنجمین	vijfde
نقض	inbreuk
نقض	schending
نقض	overtreding
نقض	bres
دارویی	farmaceutische
دارویی	farmaceutisch
اتصال	aansluiting
اتصال	verbind
اتصال	verbinden
اتصال	verbinding
اتصال	connectie
سنگین	zware
سنگین	heftig
سنگین	zwaar
اشغال	bezigheid
اشغال	bezet
اشغال	druk
اشغال	bezetting
اشغال	beroep
اشغال	bezig
رودهای	rivieren
رودهای	intestinale
پروانه	vlinder
واژگان	woordenschat
واژگان	woordenlijst
واژگان	woordenlijsten
موضوعات	onderwerpen
ریاضیات	wiskunde
جزء	gedeelte
جزء	deel
گینه	guinee
شعبه	bijkantoren
شعبه	filialen
شعبه	takken
امکانات	mogelijkheden
امکانات	faciliteiten
تصرف	bezit
تصرف	grijpen
تصرف	pluk
تصرف	bezetenheid
سالن	kapsalon
ترسناک	afschuw
ترسناک	gruwel
ترسناک	eng
ترسناک	beangstigend
ترسناک	verschrikking
تمدن	beschaving
تمدن	cultuur
رییس	baas
سفارت	ambassade
کمونیست	communistisch
کمونیست	communistische
بهشت	tuintje
بهشت	tuin
بهشت	paradijs
جک	jaap
جک	sjaak
دیجیتال	digitaal
بیمار	zieken
بیمار	ziek
بیمار	patiënt
بیمار	geduldig
بینی	neus
حوالی	rondom
حوالی	rond
هسته	nucleaire
هسته	kern
هسته	nucleair
نمایشگاه	expositie
نمایشگاه	tentoonstelling
یوسف	jozef
حمام	badkamers
حمام	bad
حمام	badhuis
حمام	baden
حمام	badkamer
عصبی	nerveus
عصبی	neurale
عصبی	hysterisch
عصبی	hysterische
عصبی	zenuwachtig
حیوانات	dier
حیوانات	dieren
مایع	vloeibare
مایع	vloeibaar
مایع	vloeistof
اشکال	gebrekkig
اشکال	insect
میز	tafel
میز	tafeltje
میز	bureau
میز	tabel
مکانیک	monteurs
مکانیک	mechanisch
مکانیک	mechanische
مکانیک	mechanica
مکانیک	automonteur
مکانیک	monteur
خواست	gezocht
بالغ	volwassene
بالغ	volwassenen
بالغ	rijpe
بالغ	volwassen
دانشمند	wetenschapper
جالب	interessante
جالب	interessant
چوب	hout
چوب	stok
مالزی	maleisië
مجمع	montage
مجمع	assemblee
مجمع	assemblage
تکثیر	dubbele
تکثیر	vermenigvuldigen
تکثیر	dupliceren
تکثیر	vermenigvuldigt
تکثیر	duplicaat
میانگین	gemeen
میانگین	gemiddelde
میانگین	gemiddeld
ظهور	opkomst
قطعات	delen
قطعات	onderdelen
قطعات	componenten
تابلوی	tafereel
تابلوی	paneel
حملات	aanvallen
حملات	aanslagen
نرخ	tarief
رمانتیک	romantisch
رمانتیک	romantiek
رمانتیک	romanticus
رمانتیک	romantische
قول	beloof
قول	belofte
قول	beloven
مکمل	aanvullingen
مکمل	complementair
مکمل	aanvulling
مکمل	aanvullen
مکمل	ondersteunen
مکمل	aanvullend
مکمل	toeslagen
مکمل	complementaire
مکمل	ondersteunend
مکمل	supplementen
گرایش	tendens
گرایش	neiging
گرایش	houding
حداکثر	maximale
حداکثر	maximaal
پادشاهان	koningen
سوخت	brandstof
سوخت	verbranden
سوخت	brand
سوخت	splijtstof
سوخت	branden
حلقه	ringen
حلقه	lus
جمعی	collectieve
جمعی	collectief
سیمرغ	feniks
مربی	koets
مربی	coachen
مربی	opleider
مربی	trainer
پیوسته	continue
پیوسته	continu
پیوسته	doorlopend
پیوسته	ononderbroken
پیوسته	voortdurend
پیوسته	doorlopende
اندکی	klein
اندکی	kleine
اندکی	weinig
حادثه	ongelukje
حادثه	rampspoed
حادثه	voorval
حادثه	rampen
حادثه	ongeluk
حادثه	ongeval
حادثه	ramp
حادثه	catastrofe
مراحل	fasen
مراحل	verwerken
مراحل	proces
مراحل	stadia
مراحل	etappes
کردی	koerdische
کردی	koerdisch
سوره	hoofdstukken
سوره	soera
سوره	hoofdstuk
نامگذاری	nomenclatuur
ابتدایی	elementair
ابتدایی	primair
ابتدایی	primaire
ابتدایی	elementaire
پیامبر	boodschapper
پیامبر	profeet
مهندس	ingenieur
مهندس	technicus
مجوز	toestemming
مجوز	licentie
مجوز	permissie
مجوز	rijbewijs
محتوای	inhoud
ستون	pijler
ستون	zuil
ستون	pilaar
ستون	kolom
درگیری	conflicten
درگیری	betrokkenheid
مایل	kilometers
مایل	mijlen
مایل	mijl
جورج	joris
اختلال	wanorde
اختلال	stoornis
قضیه	stelling
نظری	theoretische
نظری	theoretisch
مسیحیان	christenen
طراح	ontwerper
خروج	uitgang
سربازان	soldaten
سربازان	troepen
آشپزی	kok
آشپزی	koken
آشپزی	keuken
آشپزی	kook
رفع	oplossen
مقامات	autoriteiten
مقامات	functionarissen
مقامات	ambtenaren
جوانی	jongeren
جوانی	jeugd
الکترونیکی	elektronisch
مصاحبه	sollicitatie
مصاحبه	sollicitatiegesprek
مصاحبه	interviewen
لوله	pijp
لوله	buis
روزی	dag
روزی	dagje
روزی	verstrekt
روزی	verstrekte
پایدار	blijvend
پایدار	duurzaam
پایدار	duurzame
پایدار	blijvende
پایدار	stabiel
پایدار	stabiele
پایدار	permanente
گرچه	hoewel
گرچه	alhoewel
حوادث	ongevallen
حوادث	incidenten
حوادث	rampen
حوادث	voorvallen
حوادث	ongelukken
حوادث	gebeurtenissen
حوادث	evenementen
عهد	convenant
عهد	verbond
ادعا	beweren
ادعا	claimde
ادعا	geclaimde
ادعا	claimen
ادعا	vorderingen
ادعا	beweringen
ادعا	beweerde
ادعا	geclaimd
ادعا	opeisen
ادعا	opgeëist
دربار	hof
ارزیابی	beoordeling
ارزیابی	evalueren
ارزیابی	waardering
ارزیابی	evaluatie
زنی	vrouw
مسئولیت	verantwoordelijke
مسئولیت	verantwoordelijk
مسئولیت	verantwoord
مسئولیت	verantwoordelijkheid
مسئولیت	verantwoordelijkheden
خواب	slapen
خواب	slaap
خواب	dromen
خواب	droom
خواب	slapend
تصور	afgebeeld
تصور	verbeeld
قلم	lettertype
مشاهیر	beroemdheden
قاضی	rechter
قاضی	oordelen
دم	stuwdam
دم	staart
بنیان	gegrond
بنیان	gesticht
بنیان	opgericht
روغن	olie
روغن	olieverf
روغن	aardolie
نر	mannetje
نر	mannelijk
نر	mannelijke
برگ	blaadjes
برگ	blad
برگ	bladeren
برگ	blaadje
ملکه	koningin
ملت	naties
ملت	natie
کابل	draad
کابل	kaboel
کابل	kabel
کابل	kabels
پذیرش	accepteer
پذیرش	ontvangst
پذیرش	receptie
پذیرش	aanvaarding
پذیرش	aanvaarden
پذیرش	acceptatie
پذیرش	accepteren
پذیرش	toelating
مد	mode
مد	kleding
فینال	finales
فینال	finale
خرابکاری	vandalisme
خرابکاری	saboteren
رویداد	gebeurtenis
رویداد	evenement
لینک	koppeling
گوش	oortjes
گوش	oren
شصت	zestig
پایانی	einde
پایانی	definitief
پایانی	finale
پایانی	eindigend
چهره	gezicht
چهره	aangezicht
چهره	thema
چهره	gelaat
چهره	gezichten
یادبود	gedenkteken
یادبود	herdenking
تکنولوژی	technologie
جمعه	vrijdag
جمعه	vr
درگیر	betrokken
وسطی	midden
وسطی	middelste
دارو	medicijnen
دارو	geneesmiddel
دارو	medicatie
دارو	geneeskunde
کوچکی	klein
کوچکی	mineur
کوچکی	kleine
کوچکی	minderjarige
کوچکی	smal
مدارس	scholen
عیسی	jezus
نوار	bandje
نوار	plakband
سخنرانی	lezingen
سخنرانی	redevoering
سخنرانی	preek
سخنرانی	toespraak
سخنرانی	spraak
سخنرانی	lezing
کربن	koolstof
نقاش	kunstschilder
نقاش	schilder
بغداد	bagdad
نمای	weergave
نمای	bekijken
نمای	uitzicht
نمای	bekijk
ذهن	geest
گلستان	rozenkrans
ماری	maria
کوچه	steeg
کوچه	steegje
دروازه	toegangspoort
دروازه	poort
دروازه	doorgang
دروازه	hek
بازرگانی	koopman
بازرگانی	handel
بازرگانی	handelaar
خلیفه	kalief
نادر	zelden
نادر	zeldzaam
نادر	zeldzame
تجزیه	ontbinding
تجزیه	ontleden
تجزیه	ontleding
تهدید	bedreigingen
تهدید	dreigingen
تهدید	bedreiging
تهدید	dreiging
تهدید	bedreigen
تهدید	bedreigend
تهدید	dreigende
تهدید	dreigend
تهدید	dreigement
تهدید	dreigen
تهدید	dreigementen
انتقاد	kritiek
انتقاد	bekritiseren
کپی	kopie
کپی	kopieer
کپی	kopiëren
سلامت	vrede
سلامت	veiligheid
سلامت	gezondheid
ابزارهای	gereedschap
ابزارهای	hulpmiddelen
ابزارهای	gereedschappen
مبتلا	geïnfecteerde
مبتلا	geïnfecteerd
مبتلا	ontstoken
مبتلا	besmet
باران	regen
آید	komt
صبح	ochtend
صبح	goedemorgen
صبح	morgen
صبح	goeiemorgen
ذرات	deeltjes
ذرات	partikels
ذرات	deeltje
عملی	praktische
عملی	praktisch
شناخت	cognitie
شناخت	herken
شناخت	herkennen
شناخت	erkennen
حروف	letteren
حروف	brieven
شاهد	getuigen
شاهد	getuige
تور	excursie
تور	tem
تور	rondreis
تور	rondleiding
تور	tournee
تور	rondreizen
تور	netto
هفتاد	zeventig
کشتار	slacht
کشتار	massamoord
کشتار	slachten
کشتار	slachting
کشتار	bloedbad
کشتار	slachtpartij
خانوادگی	familie
خانوادگی	gezin
سیاستمدار	politica
سیاستمدار	politicus
تلفظ	uitspraak
تلفظ	uitspreken
گذر	passeren
گذر	doorvoer
گذر	doorreis
نهادهای	instellingen
مالکیت	bezit
مالکیت	eigendom
مالکیت	vastgoed
مالکیت	bezetenheid
مالکیت	eigenschap
معین	gerepareerd
معین	benoemde
معین	vaste
معین	aangesteld
معین	benoemd
تایلند	thaise
تایلند	thais
صدر	bondskanselier
صدر	kanselier
فلسفی	filosofisch
فلسفی	filosofische
شکار	jacht
شکار	opgejaagd
شکار	gejaagd
شکار	jagen
بایگانی	archiveren
بایگانی	archieven
بایگانی	archief
بایگانی	archivering
گره	knooppunt
گره	vastgebonden
گره	knoop
گره	gelijkspel
گره	stropdas
گره	knopen
گره	gebonden
گره	das
سختی	lastig
سختی	moeilijke
سختی	moeilijkheid
سختی	moeilijkheden
سختی	moeilijkheidsgraad
سختی	moeilijk
تغذیه	voeding
تغذیه	voeden
تغذیه	voederen
تغذیه	voeder
هویت	identiteit
شورش	opstand
شورش	rebellie
شورش	rellen
شورش	rel
شورش	oproer
ششمین	zesde
عمدتاً	primair
عمدتاً	hoofdzakelijk
عمدتاً	voornamelijk
خاطرات	herinneringen
جانشین	vervanging
جانشین	opvolger
جانشین	plaatsvervanger
جانشین	substituut
جانشین	opvolgers
جانشین	vervanger
سالانه	jaarlijks
سالانه	jubilea
مشکلی	probleem
شغل	carrière
شغل	loopbaan
شغل	baan
شغل	carriere
شغل	beroepsgroep
شغل	beroep
بزرگتر	groter
بزرگتر	grotere
بزرگتر	oudere
بزرگتر	ouder
لشکر	leger
لشکر	landmacht
اکثریت	meerderheid
اساطیر	mythologie
ابعاد	dimensies
ابعاد	afmetingen
منطقی	logische
منطقی	logica
منطقی	logisch
متهم	beklaagde
متهم	verdachte
متهم	gedaagde
متهم	verweerder
میل	molen
میل	wens
میل	begeerte
میل	verlangen
میل	walserij
زلزله	aardbeving
اندیشه	weerspiegelen
اندیشه	reflecteren
گراف	grafiek
صامت	zwijgen
صامت	stil
صامت	stille
فولاد	staal
فولاد	stalen
پویانمایی	animeren
پویانمایی	geanimeerde
پویانمایی	animatie
پویانمایی	animaties
ارتباطی	communicatie
ارتباطی	mededeling
کلمات	woorden
زندانی	gevangene
زبانی	taalkundige
پنهان	verstopt
پنهان	verberg
پنهان	verborgen
پنهان	verstoppen
پنهان	verbergen
تایید	bevestigen
تایید	bevestig
پذیرفته	geaccepteerde
پذیرفته	aanvaarde
پذیرفته	aanvaard
پذیرفته	geaccepteerd
استخراج	uittreksel
استخراج	winning
استخراج	extractie
استودیو	atelier
رژیم	voeding
رژیم	dieet
رژیم	diëten
سند	zand
ممنون	thnx
ممنون	bedankt
کانون	focussen
کانون	concentreren
بیرونی	buitenkant
رها	verlaat
رها	verlaten
رها	vertrek
رها	verlof
کمیسیون	comité
کمیسیون	commissie
مرجع	referentie
مرجع	verwijzing
نیازی	eis
نیازی	voorschrift
نیازی	vereiste
بازیگری	acteren
بازیگری	acteer
بازیگری	waarnemend
ارجاع	referentie
ارجاع	doorsturen
ارجاع	verwijzing
نسبتاً	gematigd
نسبتاً	matig
سلول	cel
سلول	cellen
پلی	brug
دکتری	dokter
دکتری	doktor
دکتری	arts
ناوبری	navigeren
ناوبری	navigatie
معلوم	gekende
معلوم	bekend
معلوم	gekend
معلوم	bekende
موزیکال	muzikale
موزیکال	muzikaal
دختران	meisjes
دختران	dochters
دختران	meiden
ضعیف	zwakke
ضعیف	slap
ضعیف	zwakken
ضعیف	zwak
حاشیه	marge
حاشیه	velg
حاشیه	rand
کویت	koeweit
روانی	paranormaal
روانی	helderziende
روانی	psychopaat
روانی	psychische
فن	waaier
فن	ventilator
درس	lesje
درس	lessen
درس	les
تمشک	framboos
تمشک	frambozen
تامین	beveiligen
اعراب	woestijn
اعراب	arabieren
اعراب	bedoeïenen
فیلیپ	filips
حرارت	warmte
حرارت	hitte
ممنوع	beperkte
ممنوع	verbannen
ممنوع	beperkt
ممنوع	verboden
تقویت	versterken
تقویت	versterking
تقویت	verbetering
کوهستانی	berg
مشاور	raadsman
مشاور	adviseur
مشاور	raadgever
مشاور	consulent
مشاور	raadadviseur
نوازنده	musicus
نوازنده	muzikant
نوازنده	muzikanten
نوازنده	musici
معیار	criterium
نرم	zacht
نرم	zachte
نرم	zachtaardig
نرم	soepel
نرم	gladde
نرم	glad
سقف	plafond
سقف	dak
مصنوعی	synthetische
مصنوعی	artefact
مصنوعی	kunstmatige
مصنوعی	synthetisch
مصنوعی	kunstmatig
فکری	intellectueel
فکری	intellectuele
توصیه	aanbevelen
توصیه	aanraden
توصیه	aanbevelingen
کلیسا	kerk
لیبی	libische
لیبی	libië
هوانوردی	luchtvaart
دوازده	twaalf
بزرگراه	autowegen
بزرگراه	snelweg
بزرگراه	snelwegen
اخبار	nieuwsberichten
اخبار	nieuws
کنفرانس	conferentie
آلی	organisch
آلی	biologisch
آلی	organische
مغناطیسی	magnetisch
مغناطیسی	magnetische
مشروطه	constitutioneel
مشروطه	grondwettelijke
مشروطه	constitutionele
مشروطه	grondwettelijk
مراجعه	opzoeken
جمینای	tweeling
سو	aanklagen
آشکار	schijnbare
ترور	moord
ترور	verschrikking
ترور	terreur
ترور	moordaanslag
معدن	mijnbouw
شکایت	klacht
شکایت	klaag
شکایت	klachten
شکایت	beklagen
شکایت	klagen
خشونت	gewelddadige
خشونت	geweld
خشونت	gewelddadig
افتتاح	ingepakt
افتتاح	openen
افتتاح	verpakte
افتتاح	verpakt
طلای	goud
تألیف	componeren
تألیف	samenstellen
میانی	midden
میانی	intermediaire
میانی	middelste
میانی	intermediair
میانی	tussentijdse
محیطی	perifeer
پزشک	geneesheer
پزشک	arts
توهین	beledigende
توهین	beledigend
توهین	beledigingen
توهین	belediging
توهین	beledigen
هفتمین	zevende
سازنده	bedenker
سازنده	producent
سازنده	maker
سازنده	fabrikant
سازنده	schepper
استقبال	verwelkomen
استقبال	gastvrij
استقبال	verwelkoming
آزمون	examen
آزمون	tests
آزمون	testen
موقت	uitzendkracht
موقت	tijdelijk
موقت	voorlopige
موقت	tijdelijke
موقت	voorlopig
موقت	tussentijds
موقت	tussentijdse
تبلیغات	reclame
تبلیغات	promoties
تبلیغات	adverteren
درستی	juistheid
درستی	correctheid
ضرب	produkt
ضرب	vermenigvuldiging
ضرب	vermeerdering
ضرب	vermenigvuldigen
ضرب	vermenigvuldigt
کوتاهی	kort
کوتاهی	korte
ملاقات	ontmoeten
ملاقات	vergaderen
ملاقات	ontmoeting
ملاقات	bezoeken
ملاقات	ontmoet
ملاقات	bijeenkomst
ملاقات	bezoek
ملاقات	vergadering
زادگاه	woonplaats
زادگاه	geboorteplaats
زادگاه	geboortestad
برسد	bezoeken
افزودن	voeg
افزودن	toevoegen
کمال	perfectie
وان	kuip
وان	busje
مجازی	virtueel
مجازی	virtuele
اقامت	blijven
اقامت	verblijfplaats
اقامت	woonplaats
اقامت	residentie
اقامت	woonachtig
اقامت	inwoner
اقامت	ingezetene
چمن	gazon
چمن	grasveld
چمن	gras
پیاده	voet
نیجریه	nigeriaanse
علامت	teken
علامت	ondertekenen
علامت	tekenen
علامت	onderteken
علامت	signaal
تونس	tunesisch
تونس	tunesische
تونس	tunesië
دشمن	vijand
توافق	akkoord
توافق	regeling
توافق	vereffening
توافق	overeengekomen
توافق	afgesproken
توافق	nederzetting
توافق	afwikkeling
توافق	schikking
توافق	overeenkomst
توافق	compromissen
توافق	compromis
صعود	beklimming
صعود	hemelvaart
صعود	klimmen
مریم	mirjam
مریم	maria
استخوان	botten
استخوان	botje
استخوان	beenderen
استخوان	bot
متروی	metro
شاهان	koningen
بیل	wetsontwerp
بیل	wetsvoorstel
معبد	tempel
معبد	altaar
معبد	heiligdom
استانبول	istanboel
ارکستر	orkest
بنی	bennie
ون	busje
ون	bestelwagens
ون	busjes
کانادایی	canadees
کانادایی	canadese
مسلح	gewapende
مسلح	gewapend
مسلح	bewapend
مخالفان	tegenstanders
مخالفان	verzet
مخالفان	weerstand
مخالفان	tegenstand
مخالفان	resistentie
مانع	barrière
مانع	hindernis
مانع	versperring
مانع	obstakel
مانع	belemmering
سلاح	wapens
سلاح	wapen
مدنی	civiele
مدنی	burgerlijk
مدنی	civiel
مدنی	burgerlijke
رئال	echt
رئال	reëel
رئال	echte
سیاره	planeet
آزمایشی	experimenteel
فاکس	vos
فاکس	vossen
رنگی	kleurrijk
رنگی	versieren
رنگی	inrichten
رنگی	kleurrijke
راحتی	comfortabele
راحتی	comfortabel
ساختمانی	bouwen
دبیر	secretaresse
دبیر	secretaris
آگاهی	bewustwording
آگاهی	bewustzijn
آگاهی	bekendheid
آگاهی	kennis
مقابله	confrontaties
مقابله	confrontatie
مقابله	bestrijden
اتفاقات	gebeurtenissen
اتفاقات	evenementen
اسمیت	smid
مفاهیم	concepten
مفاهیم	implicaties
مفاهیم	gevolgen
مفاهیم	begrippen
کاملا	compleet
کاملا	volledig
یوگسلاوی	joegoslavië
مصالح	materialen
مصالح	materiaal
تأکید	coherentie
تأکید	klemtoon
تأکید	nadruk
تأکید	consistentie
تأکید	samenhang
شرط	conditie
شرط	inzet
شرط	weddenschap
شرط	voorwaarde
شرط	toestand
شرط	aandoening
بزرگان	oudsten
روزانه	dagelijks
روزانه	dagelijkse
واقعیت	waarheid
واقعیت	werkelijkheid
واقعیت	realiteit
بالاترین	hoogst
بالاترین	hoogste
تمرکز	gefocust
تمرکز	focussen
تمرکز	concentreren
تمرکز	geconcentreerd
گوشت	vlees
حقیقی	echt
حقیقی	waar
حقیقی	echte
حقیقی	klopt
حقیقی	reëel
تئوری	theorie
اردن	jordanië
فاز	fase
الف	elfen
الف	elfje
پیچیده	gecompliceerd
پیچیده	verdraaid
پیچیده	gecompliceerde
پیچیده	gedraaid
پیچیده	ingewikkelde
پیچیده	gedraaide
پیچیده	verwrongen
پیچیده	complexe
پیچیده	ingewikkeld
بیماران	patiënten
بیماران	patienten
ایمنی	veiligheid
گیر	uitrusting
گیر	versnelling
گیر	vistuig
تکیه	kussens
تکیه	leunen
تکیه	mager
جسم	lichaam
جسم	vlees
پرانتز	haakjes
پرانتز	haakje
ماریا	marja
سوال	vraagje
سوال	vraag
سوال	vragen
احزاب	facties
احزاب	partijen
احزاب	feestjes
احزاب	bedrijven
زاویه	hoek
روس	rus
روس	russisch
روس	russische
فرستاده	boodschapper
جانبی	laterale
جانبی	zijdelingse
جانبی	zijdelings
عام	generieke
آفتاب	zonneschijn
آفتاب	zonnetje
آفتاب	zon
اتهام	aanklacht
اتهام	opladen
اتهام	beschuldigingen
اتهام	aanklachten
اتهام	beschuldiging
پدیده	verschijnsel
پدیده	fenomeen
ارمنیان	armeens
ارمنیان	armeniërs
ارمنیان	armeense
نمایی	exponentieel
نمایی	exponentiële
فرصت	kans
