ve	그리고
şampiyonluk	챔피언쉽
koç	코치
istasyonu	역시
bayrak	플래그
bayrak	깃발
bayrak	국기
josé	조제
mühendislik	공학
mühendislik	엔지니어링
düşen	타락
düşen	떨어지는
düşen	떨어지고
oyunlar	연극
oyunlar	재생
oyunlar	게임
oyunlar	연주
performansı	성과
performansı	성능
performansı	공연
bakü	바쿠
dedi	말했다
çocuklar	보이즈
çocuklar	소년
çocuklar	키즈
çocuklar	아이들
çocuklar	어린이들
çocuklar	자녀
çocuklar	보이스
çocuklar	소년들
çocuklar	어린이
çocuklar	애들
çocuklar	아동
paralel	평행
paralel	병렬
devrimci	혁명
şili	칠레
aylık	매달
aylık	매월
aylık	월간
erişim	접근
erişim	도달
erişim	액세스
erişim	접속
erişim	도달하기
dönen	슬라이드
dönen	빙글빙글
zeki	영리한
zeki	지능형
zeki	스마트
zeki	영리
rıza	승낙
rıza	동의
hazır	준비
yaşamış	살았던
kelimesi	워드
kelimesi	단어
güneydoğu	남동부
güneydoğu	남동
güneydoğu	동남아
yasal	합법적인
yasal	법률
köprü	다리
köprü	브리지
vergi	세금
vergi	납세
asist	어시스트
dikey	인물
dikey	초상화
dikey	세로
dikey	세로로
dikey	수직
nadir	희귀한
nadir	희귀
nadir	드문
nadir	귀한
hastalık	질병
hastalık	질환
galerisi	갤러리
galerisi	화랑
eşlik	반주
eşlik	호위
şekli	형태
şekli	모양
hane	집안
hane	숫자
hane	가구
adları	이름
içeriği	목차
içeriği	내용
içeriği	컨텐츠
içeriği	콘텐츠
devamı	기타
devamı	계속
kilometre	마일리지
kilometre	킬로미터
etkileri	영향
etkileri	효과
ayrıntılı	정교
ayrıntılı	자세히
bayan	레이디
bayan	미스
bayan	숙녀
bayan	아줌마
bayan	그리워
konuşma	음성
konuşma	연설
dar	좁아
dar	좁은
dar	타이트
dar	좁다
dolar	달러
sıvı	수분
sıvı	음료
sıvı	액체
sıvı	리퀴드
sıvı	수액
cümle	문장
güvenilir	신뢰성
güvenilir	신뢰
darbe	임팩트
darbe	쿠데타
darbe	영향
darbe	영향력
dikkate	고려
akşam	저녁
bilimleri	과학
eklendi	추가되었습니다
eklendi	추가됨
bayrağı	플래그
bayrağı	깃발
bayrağı	국기
merkezli	중심있는
merkezli	가운데
kuru	드라이
kuru	건조
akım	흐름
akım	현재
akım	전류
akım	스트림
akım	스트리밍
hoş	나이스
yolları	방법
yolları	노선
yolları	경로
gösterildi	표시된
gösterildi	상영
gösterildi	표시됨
köyleri	마을
mal	물품
mal	상품
mal	비용
geriye	뒤로
kartal	이글스
kartal	이글
kartal	독수리
yük	수화물
yük	운송
yük	수하물
yük	로드
yük	화물
yük	부담
yük	로딩
tatlı	귀여워
tatlı	디저트
tatlı	달콤한
tatlı	후식
tatlı	큐티
toplama	모음집
toplama	농도
toplama	수집
toplama	컬렉션
toplama	수집하기
toplama	콜렉션
toplama	모임
tel	철사
tel	와이어
temsilcisi	대표자
temsilcisi	대표
servis	서비스
green	그린
gerekiyor	필수
gerekiyor	필요함
bulunması	찾기
çiçek	꽃이
çiçek	플라워
verilmiş	주어진
döner	반환
döner	빙글빙글
döner	리턴
artan	증가
maden	광물
maden	마이닝
maden	광업
maden	지뢰
maden	광산
maden	미네랄
maden	광석
düzey	레벨
düzey	수준
yazan	서면
verimli	효율적
verimli	생산적
vietnam	베트남어
vietnam	베트남
vietnam	베트남인
süt	밀크
süt	우유
süt	낙농
özellikler	특징
özellikler	기능
özellikler	자산
özellikler	속성
özellikler	사양
özellikler	특성
taşındı	감동
kaptan	캡틴
kaptan	선장
kaptan	대위
zorunlu	필수
zorunlu	필요함
işletim	운영
konumu	위치
gösterilen	표시된
gösterilen	표시됨
genetik	유전자
cezayir	알제리
başlangıçta	원래
başlığı	헤더
başlığı	타이틀
başlığı	제목
binlerce	수천
binlerce	수천만
meşhur	유명인
meşhur	유명
meşhur	유명하다
meşhur	유명해
meşhur	유명한
davul	드럼은
davul	드럼
kanat	윙스
kanat	날개
kulüpler	클럽
iskender	알렉산더
iskender	알렉산드르
iskender	알렉산더르
gıda	식품
gıda	식량
gıda	푸드
gıda	음식
işletme	업체
işletme	비즈니스
işletme	사업
dersleri	레슨
dersleri	수업
dersleri	클래스
dersleri	강습
devrim	혁명
devrim	레볼루션
devrim	레벌루션
sandık	가슴
sandık	가슴이
sandık	흉부
sandık	트렁크
yağ	뚱뚱한
yağ	석유
yağ	버터
yağ	살찐
yağ	지방
yağ	오일
yağ	그리스
yağ	기름
güçleri	권력
güçleri	파워스
çözüm	결의
çözüm	해결
çözüm	해상도
çözüm	해결책
çözüm	솔루션
italyanca	이탈리아어
italyanca	이탈리아
italyanca	이탈리아인
kolordu	군단
isimler	이름
madalyası	메달
taraf	측면
taraf	사이드
gönderildi	게시
gönderildi	전송
gönderildi	보냄
gönderildi	제출
kolu	팔이
mutlu	행복하다
mutlu	해피
mutlu	행복
mutlu	행복해
mutlu	행복한
gök	스카이
gök	하늘
yükselen	라이징
deneme	시험
deneme	테스트
deneme	검사
varlığını	존재
dede	할아버지
dede	외할아버지
saygı	존경
saygı	존중
hersek	헤르체고비나
kahverengi	브라운
kahverengi	갈색
trakya	트라키아
kişiye	사람
macar	헝가리
macar	헝가리어
bölümler	섹션
bölümler	에피소드
varlığı	존재
pozitif	긍정적인
pozitif	긍정적
pozitif	긍정
pozitif	양수
eksik	누락
eksik	실종
avcı	사냥꾼
avcı	선지자
avcı	슬레이어
avcı	헌터
oda	객실
çay	홍차
kuran	꾸란
zırhlı	전함
zırhlı	기갑
zırhlı	갑옷
istihbarat	지능
istihbarat	인텔
tümen	분열
okuma	읽음
okuma	읽는다
okuma	읽고
okuma	독서
okuma	읽어보기
okuma	읽기
grupları	그룹
tren	트레인
tren	기차
tren	열차
arabistan	아라비아
yöntemi	방법
yöntemi	메서드
yöntemi	수단
yöntemi	메소드
seçimi	선택
his	느낌
his	기분
his	느낌이
belirgin	뚜렷한
diğerleri	기타
ilginç	재미있는
ilginç	흥미로운
ilginç	흥미롭다
çevresi	둘러싸인
karakterler	문자
karakterler	등장인물
küba	쿠바
süreli	만료
alanlar	필드
alanlar	영역
jüri	배심원
kalın	숙박
kalın	머무르지
kalın	머물러
kalın	머무르고
kalın	두꺼운
kalın	두껍게
bayram	휴가
bayram	명절
bayram	홀리데이
bayram	이드
bayram	공휴일
bayram	휴일
bayram	연휴
keskin	샤프
keskin	예리
oyunculuk	연기
sorunları	쟁점
sorunları	이슈
sorunları	문제
değişen	변경되었습니다
değişen	바뀌기
değişen	바꿨다
değişen	변경됨
değişen	변경
gelişme	진행
gelişme	개선
gelişme	발달
gelişme	향상
gelişme	개발
eve	집에
eve	고향
eve	집으로
eve	가정
porto	푸에르토
demokrasi	민주주의
demokrasi	민주화
lübnan	레바논
erdem	도덕성
erdem	도덕
uşak	버틀러
uşak	하인
seyahat	여행
kod	코드
kod	부호
görülebilir	표시됨
görülebilir	표시
özgürlük	리버티
özgürlük	자유
özgürlük	프리덤
müzikal	뮤지컬
kazakistan	카자흐스탄
açıkça	명백하게
açıkça	명백히
açıkça	명확하게
açıkça	명시적으로
hizmetleri	서비스
küre	스피어
küre	글로브
kapısı	게이트
kapısı	대문
kaç	실행
kaç	런닝
kaç	달려
kaç	달리기
şikayet	보고서
şikayet	보고
şikayet	신고
şikayet	불만이
şikayet	불평
şikayet	불만
karşılıklı	상호
öğrenciler	유학생
öğrenciler	학생
öğrenciler	학생들
herkese	모두
herkese	다들
ruh	정신
ruh	스피릿
ruh	기분
ruh	분위기
ruh	영혼
ruh	소울
suç	범죄자
suç	범죄
kaydetti	나열
caddesi	애비뉴
tepki	반응
tepki	공감
galibiyet	승리
elektron	전자
elektron	일렉트로닉
planı	플랜
planı	계획
küme	클러스터
küme	성단
müze	박물관
kökeni	출처
bağ	링크
bağ	연결
bağ	채권
bağ	본드
bağ	커넥션
bağ	결합
fabrikası	공장
fabrikası	팩토리
kullanmak	사용하다
kullanmak	사용하기
kullanmak	이용
kullanmak	사용
kullanmak	이용하기
ümit	희망
yazarlar	작가
yazarlar	제작자
yazarlar	작성자
açılış	개봉
açılış	오프닝
numarası	번호
numarası	숫자
yunus	돌고래
kalabalık	군중
kadro	스탭
kadro	분대
kadro	직원들
kadro	스쿼드
kadro	직원
kablo	철사
kablo	케이블
kablo	와이어
beyin	두뇌
beyin	브레인
hikmet	지혜
kuzeyde	노스
kuzeyde	북부
kuzeyde	북쪽
manuel	매뉴얼
manuel	수동
manuel	설명서
farkı	차이
farkı	차이점
bağdat	바그다드
işık	가벼움
işık	가볍게
işık	조명
işık	가벼운
işık	불빛
işık	라이트
suudi	사우디아
korumak	보호
korumak	보호하기
resmen	공식적으로
geliyor	출시
meydan	정사각형
meydan	제곱
meydan	도전
meydan	광장
meydan	사각형
meydan	스퀘어
makale	기사
politikası	방침
politikası	정책
maliye	재무
maliye	재정
maliye	금융
maliye	재무부
terimi	용어
örneği	예제
örneği	예시
yöntem	방법
yöntem	메서드
yöntem	수단
yöntem	방법론
yöntem	메소드
bulunmuş	찾았습니다
bulunmuş	찾았다
bulunmuş	발견됨
kapsamlı	포괄적
tarafsız	중립성
tarafsız	중성
tarafsız	공평
tarafsız	중립
yedinci	일곱번째
bulmak	찾기
sınırı	극한
sınırı	제한
sınırı	한계
malzeme	물질
malzeme	용품
malzeme	성분
malzeme	공급
malzeme	소재
malzeme	재료
isyan	폭동
isyan	반군
isyan	반란
isyan	반란군
isyan	봉기
galip	승자
galip	승리자
galip	빅토르
galip	빅터
galip	우승자
belirtilen	지정
belirtilen	지정됨
değişim	변환
değişim	변신
değişim	변형
değişim	바뀌기
değişim	변화
değişim	바꾸기
değişim	변경
hayvanlar	애완동물
hayvanlar	동물들
hayvanlar	동물
üstü	인기
mesafe	범위
mesafe	거리
acı	통증이
acı	통증
acı	고통
portekizce	포르투갈어
portekizce	포르투갈령
kıyı	코스트
kıyı	연안
kıyı	해변
kıyı	해안
mezarlığı	묘지
asla	절대로
asla	절대
iptal	중단
iptal	취소
iptal	중지
iptal	취소됨
yasa	법학
yasa	법률
yasa	법칙
bireysel	개인
bireysel	개별
umut	희망
ikna	납득
ikna	설득
tabanlı	기반으로
tabanlı	기반
kurban	피해자
kurban	희생자
kurban	희생
dava	고소
dava	사례
dava	케이스
dava	소송
dava	대소문자
önemlidir	중요하다
önemlidir	중요
gelin	신부
mekanik	기계
mekanik	역학
mekanik	수리공
köpek	개들
köpek	개그
gözden	검수
gözden	리뷰
gözden	검토하기
gözden	검토
litvanya	리투아니아
merhaba	헬로
merhaba	여보세요
şiddetli	폭력적
şiddetli	강렬한
şiddetli	강렬하게
şiddetli	폭력적인
yazın	글쓰기
yazın	쓰기
parçaları	조각
parçaları	비트
parçaları	부품
parçaları	부분
ihtiyacı	필요
dişi	암컷
dişi	여성
amaç	목표
amaç	목적
kurulması	설립
inceleme	점검
inceleme	리뷰
inceleme	검토
inceleme	검수
inceleme	시험
inceleme	검토하기
inceleme	검사
intihar	자살
tablo	테이블
tablo	탁자
tablo	식탁
korku	공포
korku	두려움
korku	공포증
içişleri	내부
içişleri	인테리어
kredi	대출
kredi	학점
kredi	신용카드
kredi	융자
kredi	신용
kredi	크레딧
nesil	세대
kapı	게이트
kapı	대문
rengi	컬러
rengi	색상
güven	자신감
güven	신탁
güven	신뢰
ikincisi	두번째
ikincisi	둘째
ağırlığı	몸무게가
ağırlığı	무게
ağırlığı	몸무게
ağırlığı	체중
kuralları	규칙
kuralları	가이드라인
kuralları	지침
sahil	해변
sahil	바닷가
sahil	비치
sahil	해안
sahil	코스트
diller	언어
kafkasya	캅카스
optik	광안리
optik	광화문
optik	광학
köken	출처
koyun	양양
karadağ	몬테네그로
sadık	충성
sadık	충실
channel	샤넬
vücut	시체
vücut	몸매
vücut	몸매가
deri	가죽
deri	스킨
deri	피부
önemi	중요성
sandalye	의자
liman	항만
liman	포트
liman	항구
liman	하버
sağlam	고체
sağlam	단색
sağlam	입체
sağlam	솔리드
diğeri	다른
diğeri	기타
pınar	스프링
pınar	스프링스
pınar	분수
anonim	익명
kapsayan	붕어
tunus	튀니지
tunus	튀니스
taraflı	편향
süvari	라이더
süvari	기병
süvari	기병대
sürüm	릴리스
sürüm	릴리즈
sürüm	버전
sürüm	개봉
sürüm	출시
sürüm	리비전
sürüm	발매
moğol	몽골족
moğol	몽골
moğol	몽골어
enerjisi	에너지
sokak	앨리
sokak	거리가
sokak	스트리트
sokak	길거리
sokak	골목길
sokak	골목
sokak	거리
biçimi	형식으로
biçimi	형식
biçimi	포맷
salih	정의로운
klibi	클립
karayolu	로드
karayolu	고속도로
karayolu	도로
karayolu	하이웨이
sezar	카이사르
sezar	시저
kraliçe	여왕
yahudiler	유대인
parlamento	국민의회
parlamento	의회
parlamento	국회
yetersiz	부족함
seni	당신은
seni	당신
seni	귀하
heykel	조각상
heykel	여신상
heykel	동상
heykel	조각
konular	주제
konular	대화
konular	스레드
konular	과목
süreç	프로세스
süreç	절차
süreç	과정
kongre	조약
kongre	컨벤션
kongre	협약
matematiksel	수학
kalite	화질이
kalite	퀄리티
kalite	화질
kalite	품질
bölgeleri	지역
disk	원반던지기
disk	디스크
yarımadası	반도
yakıt	연료
fikri	아이디어
karışık	혼란
karışık	복합체
karışık	엇갈린다
karışık	믹스
karışık	혼합
karışık	콤플렉스
karışık	섞어
karışık	복잡한
atletizm	육상
taşı	이동
taşı	움직임
taşı	움직여
philadelphia	필라델피아
basınç	압박
basınç	압력
sinir	분노
sinir	신경
sorunlar	쟁점
sorunlar	이슈
sorunlar	고민
sorunlar	문제
arkasında	뒤에
referans	참고
referans	참조
programları	프로그램
ulus	네이션
ulus	국민
karşıya	크로스
karşıya	십자가
karşıya	건너편
karşıya	십자
karşıya	교차
stratejik	전략적
askerler	군대
askerler	병사
askerler	군인
fonksiyonu	함수
düşer	폭포
belgrad	베오그라드
daire	서클
daire	아파트
daire	평평한
daire	플랫
ilişkisi	연애
ilişkisi	관계
taşıma	교통수단
taşıma	수송
taşıma	운송
taşıma	교통
animasyon	애니메이션
cam	잔다
cam	유리
cam	글래스
görünür	표시됨
görünür	표시
sicilya	시칠리아
haritası	지도
makine	머신
makine	기계
sonsuz	영원
sonsuz	영원한
sonsuz	인피니트
sonsuz	무한
sonsuz	끝없는
napoli	나폴리
boğazı	해협
yağış	강수
milano	밀라노
milano	밀란
yazma	글쓰기
yazma	쓰기
yazma	타이핑
gereksiz	불필요한
gereksiz	쓸데없는
gereksiz	쓸모없는
gereksiz	불필요
fas	모로코
hâlâ	아직도
hâlâ	여전히
grammy	그래미상
evde	집에
evde	고향
evde	집으로
evde	가정
yumurta	계란
yumurta	달걀
sessiz	침묵
sessiz	사일런스
sessiz	조용히
sessiz	조용한
antrenör	트레이너
antrenör	코치
batıda	서부
batıda	웨스트
batıda	서쪽
kare	정사각형
kare	액자
kare	프레임
kare	제곱
kare	광장
kare	사각형
kare	스퀘어
eğlence	오락
eğlence	재미
eğlence	레크리에이션
eğlence	엔터테인먼트
hidrojen	수소
yapay	인공
yapay	합성
yapay	인조
sporcu	육상선수
sporcu	스포츠맨
sporcu	운동선수
veda	작별
bakır	구리
teksas	텍사스
hapis	교도소
hapis	감옥
hapis	감금
bağlantılı	연결됨
bağlantılı	관련
volkan	화산
sunucu	발표자
sunucu	서버
sunucu	주최
sunucu	호스트
gönüllü	자발적
gönüllü	자원봉사자
gönüllü	자원봉사
gönüllü	봉사활동
gönüllü	봉사자
miktarı	수량
miktarı	금액
ekip	분대
ekip	스쿼드
ekip	승무원
ekip	크루
maçlar	일치
maçlar	일치하는
maçlar	게임
maçlar	성냥
brezilyalı	브라질
topçu	대포
mahkeme	재판소
mahkeme	법원
mahkeme	법정
kolayca	쉽게
parçalar	구성요소
parçalar	부분
parçalar	덩어리
parçalar	성분
parçalar	부품
yoğunluğu	강조
yoğunluğu	강도
yoğunluğu	밀도
görüldü	읽음
hoca	교사
hoca	스승
hoca	선생님
hıristiyan	기독교
hıristiyan	기독교인
hıristiyan	크리스티안
hıristiyan	크리스찬
hıristiyan	크리스천
dik	바느질
yapılar	구조물
yapılar	구조
vize	비자
müdür	디렉터
müdür	교장
müdür	감독
müdür	관리자
müdür	매니저
doğuda	동부
doğuda	이스트
doğuda	동쪽
günleri	데이즈
kahire	카이로
peru	페루
gaga	부리
kart	카드
mükemmel	완벽한
mükemmel	훌륭한
mükemmel	완벽
karşıtı	안티
varlık	존재
varlık	자산
çoban	셰퍼드
çoban	양치기
arkadaş	친구들이
arkadaş	친구들
arkadaş	프렌즈
arkadaş	친구
portal	포털
portal	포탈
kural	규칙
kural	법칙
gürcü	조지아
gürcü	조지아어
ansiklopedi	대백과사전
ansiklopedi	백과사전
felsefesi	철학
görünümü	출연
görünümü	외모
görünümü	조회
görünümü	모양
görünümü	보기
gerilim	긴장감
gerilim	스릴러
gerilim	텐션
gerilim	스펜스
gerilim	전압
gerilim	긴장
gerilim	서스펜스
trafik	트래픽
trafik	교통량
trafik	교통
hikâye	이야기
hikâye	스토리
hikâye	소식
konuşan	말하기
bebek	자기
bebek	인형
bebek	아기
bebek	베이비
radikal	급진주의
ipek	비단
ipek	실크
ipek	명주
dinamo	다이너모
ittifak	동맹
ittifak	얼라이언스
günler	데이즈
bölgeler	지역
bölgeler	영역
muharebe	배틀
muharebe	컴뱃
muharebe	전투
halep	알레포
dere	스트리밍
dere	크리크
dere	스트림
dere	흐름
deneysel	실험
rahatsız	불편하다
rahatsız	불편함
rahatsız	불편해
rahatsız	불편
haftalık	주일
haftalık	일주일
haftalık	매주
haftalık	주간
grafik	그래픽
grafik	차트
grafik	그래픽스
grafik	그래프
turnuvası	토너먼트
turnuvası	대회
hayal	드림
hayal	공상
hayal	상상력
hayal	상상
inci	진주
negatif	부정적
negatif	음성
negatif	원판
negatif	음수
yıldızlar	스타
yıldızlar	항성
turnuva	토너먼트
turnuva	대회
hasta	환자들
hasta	아픈
hasta	아파
hasta	아프다
hasta	환자
takma	닉네임
takma	별명
evrensel	글로벌
evrensel	전역
konstantin	콘스탄틴
konstantin	콘스탄티노스
konstantin	콘스탄티누스
taarruz	공격
taarruz	폭행
sıfır	제로
emek	노동
emek	노력
yazılar	기사
klavye	키보드
cuma	금요일
cuma	프라이데이
usta	마스터스
usta	마스터
sanal	버추얼
sanal	가상
ilham	영감
ilham	영감을
ilham	뮤즈
kukla	꼭두각시
kukla	더미
kukla	인형극
bahar	스프링
bahar	봄철
bahar	봄이
düzeni	배치
düzeni	레이아웃
düzeni	형성
sıkı	타이트
hürriyet	리버티
hürriyet	자유
hürriyet	프리덤
yarısı	절반
yerleşik	상주
yerleşik	레지던트
yerleşik	설립
yerleşik	주민
görevlisi	승무원
vatan	국가
vatan	나라
vatan	시골
vatan	컨트리
vatan	조국
sergi	전시관
sergi	전시
sergi	전람회
sergi	전시회
sergi	박람회
faydalı	유용하다
faydalı	유용합니다
faydalı	유용
kazan	보일러
kazan	적립
kazan	승리
uygulamaları	어플리케이션
uygulamaları	애플리케이션
uygulamaları	실습
gri	회색
gri	그레이
yedek	백업
ilaç	약물
ilaç	의약품
ilaç	약품
ilaç	마약
ilaç	제약
ilaç	의학
ürünler	항목
ürünler	아이템
ürünler	제품
ürünler	물품
ürünler	상품
ürünler	품목
yaralı	부상
yaralı	부상당한
sözcük	워드
sözcük	단어
gene	또다시
gene	다시
yay	봄이
yay	궁수자리
yay	궁수
yay	스프링
yay	아크
geliştirilmiş	향상된
geliştirilmiş	향상
geliştirilmiş	선진
kardeşler	남매
kardeşler	브라더스
kardeşler	형제들
kardeşler	자매
kardeşler	자매들
kardeşler	형제
kardeşler	형제자매
kardeşler	시스터스
evren	코스모스
evren	우주
ücretsiz	무료
ücretsiz	자유
oluşturmak	만듭니다
oluşturmak	생성
oluşturmak	만들기
oluşturmak	만드세요
hasar	손해
hasar	손상
hasar	손상된
hasar	손해배상
hasar	피해
bisiklet	자전거
bisiklet	사이클
bisiklet	사이클링
özellik	재산
özellik	기능
özellik	재산권
özellik	자산
özellik	속성
organik	유기적
kriterleri	벤치마크
kriterleri	기준
fizikçi	물리학자
deli	미쳐
deli	미친
deli	땅콩
güreş	레슬링
mezar	무덤
limanı	항구
limanı	하버
faaliyetleri	활동
ok	화살
ok	화살표
av	사냥
av	먹이
av	헌트
koca	남편
bank	벤치
yayıncılık	출판
yayıncılık	출판물
yayıncılık	게시
kopya	복사
kopya	사본
kopya	카피
kopya	복사본
keşif	디스커버리
keşif	발견
keşif	둘러보기
keşif	정찰
keşif	탐색
keşif	탐사
keşif	탐험
araba	차량
araba	자동차
araba	카트
tenis	테니스
müdahale	간섭
müdahale	개입
politikacı	정치인들
politikacı	정치
politikacı	정치인
politikacı	정치가
protein	단백질
mutlak	절대적
mutlak	절대
değiştirme	교체
değiştirme	바뀌기
değiştirme	대체
değiştirme	변화
değiştirme	바꾸기
değiştirme	변경
kuramı	이론
soru	질문
kurak	건조
sözleşmesi	계약서
sözleşmesi	계약
ren	라인
açıklandı	발표
yararlı	유용하다
yararlı	유용합니다
yararlı	유용
gönderdi	전송
gönderdi	보냄
değişir	다양함
veli	부모
veli	부모님
cezası	징벌
cezası	처벌
cezası	페널티
sayfaları	페이지
sudan	수단
konum	포지션
konum	위치
konum	직위
akıl	마음
yön	탐색
yön	방향
tavsiye	충고
tavsiye	추천
tavsiye	추천합니다
tavsiye	권장
tavsiye	조언
örnekler	예제
örnekler	예시
örnekler	샘플
örnekler	견본
yöneticisi	매니저
yöneticisi	운영자
yöneticisi	관리자
görünüm	출연
görünüm	디스플레이
görünüm	표시하기
görünüm	표시
görünüm	외모
görünüm	조회
görünüm	모양
görünüm	아웃룩
görünüm	전망
görünüm	보기
detaylı	자세히
detaylı	세부사항
detaylı	상세
ahşap	목재
ahşap	나무
ahşap	우드
köşe	기둥
köşe	모서리
köşe	칼럼
köşe	구석
köşe	코너
köşe	모퉁이
motoru	엔진
oğulları	아들들
emniyet	안전성
emniyet	안전
perde	베일
perde	커튼
vandalizm	반달리즘
vandalizm	파손
caz	재즈
yeraltı	언더그라운드
yeraltı	지하
yeraltı	언더월드
resimler	픽처스
resimler	이미지
resimler	사진들
resimler	사진
resimler	그림
müttefik	연합군
müttefik	앨리
müttefik	연합국
yakınında	근처
yüzü	얼굴이
yüzü	얼굴
gelişim	진행
gelişim	개선
gelişim	발달
gelişim	향상
gelişim	개발
şiddet	폭력
şiddet	폭력적
şiddet	폭력적인
rica	요청
rica	요청하기
endonezya	인도네시아어
endonezya	인도네시아
bulut	구름
bulut	클라우드
çoklu	멀티
çoklu	다중
belirtir	지정
sürgün	망명
sürgün	추방
katılmış	가입했습니다
yüzlerce	수백
yüzlerce	수백명이
devamlı	연속
devamlı	지속
yayınlanmış	출판
yayınlanmış	게시
yayınlanmış	출판됨
personel	스탭
personel	직원들
personel	직원
tehlikeli	위험한
tehlikeli	위험
tehlikeli	위험하다
ortam	미디어
ortam	중간
ortam	환경
ortam	미디엄
ortam	분위기
ortam	대기
saf	순수
saf	순수한
kaza	사고
kaza	추락사고
kaza	충돌
kaza	추락
kaza	교통사고
kalıcı	영구
kalıcı	영구적
kimlik	정체성
kimlik	증명
kimlik	식별
kimlik	본인
kimlik	신분증
görevleri	퀘스트
görevleri	의무
görevleri	역할
şube	지점
şube	분기
rap	래퍼
isyanı	반란
eleştiriler	비평가
eleştiriler	평론
eleştiriler	비평
eleştiriler	비판
ikincil	중등
duvar	성벽
libya	리비아
tuz	소금
açar	열기
açar	열립니다
ayrılmış	분리됨
ayrılmış	별거
kolombiya	콜럼비아
kolombiya	콜롬비아
kolombiya	컬럼비아
sayılar	피규어
sayılar	숫자
sayılar	수치
deprem	지진
deprem	퀘이크
deprem	대지진
kullanılmış	사용함
kullanılmış	사용됨
kullanılmış	사용
filozof	철학자
filozof	철학
çekim	사격
çekim	총격
çekim	촬영
kavram	컨셉
kavram	개념
köylü	농민
yelken	항해
yelken	요트
gönderilen	전송
gönderilen	보냄
gönderilen	제출
zemin	그라운드
zemin	바닥
kurgusal	허구
kurgusal	픽션
kurgusal	소설
önder	리더
önder	지도자
değerleri	가치
değerleri	가치관
mektup	글자
mektup	편지
mil	마일즈
mil	마일
mil	마일리지
mil	마일스
mil	마일리
kamera	사진기
kamera	캠코더
kamera	카메라
albay	대령
köln	쾰른
uzman	전문가
uzman	전문가들
yazmaya	글쓰기
yazmaya	쓰기
imha	파괴
imha	파괴됨
muş	무스
donanma	해군
donanma	네이비
but	허벅지
metro	지하철
değişiklikleri	변경
değişiklikleri	변화
kaldırıldı	삭제됨
kaldırıldı	삭제되었습니다
istatistik	통계학
istatistik	통계
bütçe	예산
baz	베이스
baz	기지
sibirya	시베리아
cok	아주
cok	매우
ayakta	외래
ayakta	스탠딩
örnekleri	예제
örnekleri	예시
örnekleri	샘플
örnekleri	견본
cephe	파사드
sıkça	자주
boks	복싱
programlama	프로그래밍
tarımsal	농업
tarımsal	농지
yaprak	나뭇잎
yaprak	시트
yaprak	리프
yaprak	잎새
ifadesi	증언
ifadesi	표현식
ifadesi	표현
kırsal	시골
sevgili	애인
sevgili	연인들
sevgili	연인
parlamentosu	국민의회
parlamentosu	의회
parlamentosu	국회
tahmini	예측
tahmini	추정
tahmini	추정치
tahmini	추산
üzüm	포도
maksimum	최대
maksimum	맥스
maksimum	막스
terfi	홍보
terfi	프로모션
terfi	승진
analiz	해석
analiz	해석학
analiz	분석
portakal	오렌지
portakal	오렌지색
izlanda	아이슬란드
beste	쓰기
beste	작성하기
beste	작성
gövde	트렁크
gövde	몸통
galler	웰시
galler	웨일스
galler	웨일스어
ekran	모니터링
ekran	화면
ekran	디스플레이
ekran	표시하기
ekran	표시
ekran	모니터
ekran	스크린
biyolojik	생물학
ata	할당
karbon	탄소
biçim	스타일
biçim	양식
biçim	형식
biçim	형식으로
biçim	포맷
biçim	모양
biçim	형태
mühendis	기술자
mühendis	엔지니어
mühendis	공학자
gen	유전자
parçacık	위젯
parçacık	입자
editör	편집자
editör	편집기
editör	에디터
rakibi	라이벌
rakibi	경쟁자
rakibi	상대
rakibi	상대성
rakibi	경쟁사
rakibi	상대편
moda	패션
ikamet	레지던트
ikamet	주택
ikamet	주민
ikamet	주택지
ikamet	레지던스
ikamet	거주지
ikamet	상주
yangın	화재
yangın	불화
çince	중국어
çince	중국인
sanatçılar	음악가
sanatçılar	아티스트가
sanatçılar	아티스트
sanatçılar	공연자
sanatçılar	연기자
sanatçılar	예술가
napolyon	나폴레옹
tıbbi	의료
tıbbi	의학
çekirdek	핵심
çekirdek	코어
çekirdek	커널
op	키스
dışarı	밖에서
dışarı	바깥
dışarı	아웃
dışarı	외부
kanlı	블러디
sözlük	용어
sözlük	어휘
sözlük	사전
sözlük	용어집
yolculuk	여행
saldırıya	습격
havaalanı	공항
havaalanı	국제공항
psikolojik	심리학
psikolojik	심리
psikolojik	심리적
alayı	행진
alayı	연대
alayı	행렬
kanadalı	캐나다인
kanadalı	캐나디안
ilgisi	관련성
kol	소매
kol	팔이
kol	칼럼
kol	기둥
sayısal	디지털
sayısal	숫자
andré	안드레
andré	앙드레
sebze	야채
sebze	채소
potansiyel	잠재력
potansiyel	퍼텐셜
potansiyel	잠재
potansiyel	잠재적으로
potansiyel	잠재적
teklifi	제안
teklifi	쿠폰
direkt	직접
direkt	다이렉트
direkt	직통
şekil	형태
şekil	모양
kapasitesi	용량
kapasite	용량
eşcinsel	게이이
eşcinsel	게이
eşcinsel	동성애자
sevgi	사랑
sevgi	러브
sevgi	애정
hit	조회수
kolej	칼리지
kolej	대학교
kolej	대학생
kolej	대학
alevi	불꽃
şehirleri	도시
gösteri	성과
gösteri	시연
gösteri	전시관
gösteri	전람회
gösteri	전시회
gösteri	시위
gösteri	성능
gösteri	표시
