और	en
सुविधा	kenmerk
सुविधा	faciliteit
सुविधा	functie
सुविधा	hulpprogramma
पिछले	vorig
पिछले	eerdere
पिछले	voorgaande
पिछले	vorige
आयु	leeftijden
आयु	leeftijd
आयु	ouderdom
आयु	levensduur
प्रचार	bevordering
प्रचार	promoot
प्रचार	promoties
प्रचार	promoten
प्रचार	bevorderen
प्रचार	promotie
प्रशिक्षण	opleiding
प्रशिक्षण	trainen
फ़रवरी	februari
उल्लेखनीय	opvallend
उल्लेखनीय	opmerkelijk
उल्लेखनीय	opmerkelijke
डिजाइन	vormgeving
डिजाइन	ontwerpen
डिजाइन	ontwerp
सम्बन्ध	betrekkingen
सम्बन्ध	relaties
आबादी	bevolking
आबादी	populatie
आबादी	bewoond
आबादी	bevolkt
तत्व	elementen
दस	tien
भौतिक	fysieke
भौतिक	lichamelijke
भौतिक	lichamelijk
भौतिक	fysiek
जिन	jenever
आपको	jou
आपको	jij
सहयोग	medewerking
सहयोग	samenwerking
राय	opinies
राय	adviezen
राय	mening
राय	meningen
राय	advies
व्यक्तियों	personen
विश्लेषण	indeling
विश्लेषण	analyse
विश्लेषण	analisten
विश्लेषण	analyses
विश्लेषण	uitsplitsing
विश्लेषण	onderverdelingen
विश्लेषण	verdeling
लक्ष्य	doel
लक्ष्य	doelpunten
लक्ष्य	doelen
लक्ष्य	doelwitten
लक्ष्य	doelstellingen
लक्ष्य	doelwit
लक्ष्य	doelpunt
लक्ष्य	doelstelling
शासक	heerser
शासक	liniaal
न्यायालय	hof
अधिकतर	hoofdzakelijk
अधिकतर	voornamelijk
अधिकतर	vooral
अधिकतर	meestal
पार्क	parken
पार्क	parkeren
अधिकारी	officier
अधिकारी	officieren
अधिकारी	agenten
अधिकारी	officiële
अधिकारी	officiers
अधिकारी	agent
अधिकारी	officieel
अधिकारी	ambtenaar
मिट्टी	klei
मिट्टी	modder
तंत्र	systeem
तंत्र	stelsel
सप्ताह	weken
सप्ताह	weekje
निकट	dreigend
क्रम	bestelling
क्रम	opeenvolging
क्रम	volgorde
क्रम	bestellen
क्रम	orde
क्रम	sequentie
बनने	worden
भवन	bouwen
भवन	gebouwen
मिली	kreeg
मिली	heb
मिली	gevonden
ग्राम	gram
शायद	misschien
शायद	waarschijnlijk
देख	zien
देख	zie
लिंक	koppeling
पाँच	vijf
निर्देशक	regisseur
निर्देशक	directeur
लक्षण	symptomen
लक्षण	tekenen
लक्षण	bordjes
लक्षण	symptoom
लक्षण	tekens
लक्षण	borden
संपर्क	contacten
संपर्क	contactpersoon
संपर्क	contactpersonen
वित्तीय	financieel
महीने	maanden
महीने	maand
महीने	maandje
महीने	maandenlang
सुरक्षित	beschermd
सुरक्षित	beveiligen
सुरक्षित	kluis
सुरक्षित	voorbehouden
सुरक्षित	beveiligd
सुरक्षित	beschermde
सुरक्षित	gereserveerd
सुरक्षित	gereserveerde
सुरक्षित	veilig
सुरक्षित	veilige
पर्यावरण	omgeving
पर्यावरण	milieu
लगातार	continue
लगातार	continu
लगातार	doorlopend
लगातार	ononderbroken
लगातार	voortdurend
लगातार	doorlopende
लगातार	opeenvolgende
अत्यधिक	zwaarder
अत्यधिक	extreem
अत्यधिक	zwaardere
भूगोल	geografie
भूगोल	geometrie
भूगोल	meetkunde
भूगोल	aardbol
भूगोल	aardrijkskunde
बेहतर	beter
मुख्यालय	hoofdkwartier
मुख्यालय	hoofdkantoor
लिपि	alfabet
लिपि	scenario
धन	geld
सॉफ्टवेयर	programmatuur
योग	som
योग	totalen
शीर्ष	bovenkant
शीर्ष	bovenste
संस्था	instelling
औद्योगिक	industriële
औद्योगिक	industrieel
प्रधान	priemgetal
प्रधान	chef
प्रधान	opperhoofd
नेता	leider
नेता	leiders
संविधान	grondwet
संविधान	constitutie
अनुमान	schatting
अनुमान	raming
शीर्षक	onderschrift
शीर्षक	titels
शीर्षक	kop
शीर्षक	titel
शीर्षक	krantenkop
शीर्षक	koptekst
अवसर	mogelijkheden
अवसर	kans
अवसर	gelegenheid
अवसर	kansen
अंक	scoort
अंक	scoren
अंक	punten
शोध	onderzoek
स्पेन	spanje
हमेशा	altijd
जोखिम	gevaar
जोखिम	risico
तापमान	temperatuur
शाखा	bijkantoor
शाखा	tak
शाखा	takken
शाखा	bijkantoren
शाखा	filiaal
शाखा	filialen
शाखा	uitloper
इत्यादि	enz
प्रतीक	emblemen
प्रतीक	pictogram
प्रतीक	iconen
प्रतीक	pictogrammen
प्रतीक	symbool
प्रतीक	icoon
प्रतीक	symbolen
संदर्भ	verwijzingen
संदर्भ	verwijzing
संदर्भ	scheidsrechter
संदर्भ	referenties
संदर्भ	referentie
आयोजन	organiseren
करीब	dichter
करीब	afsluiten
करीब	dichterbij
करीब	sluit
करीब	sluiten
करीब	dichtbij
चक्र	cycli
चक्र	wiel
चक्र	rad
चक्र	cyclus
चक्र	kringloop
प्राथमिक	voorlopige
प्राथमिक	primair
प्राथमिक	primaire
गुण	attribuut
गुण	kenmerken
गुण	eigendom
गुण	eigendommen
गुण	vastgoed
गुण	attributen
गुण	eigenschap
गुण	eigenschappen
ग्रह	planeten
ग्रह	planeet
महल	paleis
महल	forten
सिद्ध	bewezen
सिद्ध	aangetoonde
बजाय	liever
निधन	ondergang
निधन	dood
निधन	doods
निधन	overlijden
बराबर	gelijk
बराबर	gelijken
बराबर	gelijke
मिनट	minuutje
मिनट	minuut
मिनट	minuten
मिनट	notulen
फिल्मों	bioscoop
फिल्मों	films
व्यवसाय	zakelijk
व्यवसाय	bedrijven
व्यवसाय	bedrijf
व्यवसाय	beroepsgroep
व्यवसाय	beroep
संरक्षण	conservering
संरक्षण	bewaring
संरक्षण	bescherming
संरक्षण	instandhouding
संरक्षण	behoud
शो	tonen
शो	toon
शो	weergeven
प्रस्ताव	aanbod
प्रस्ताव	bieden
प्रस्ताव	aanbieden
प्रस्ताव	voorstel
प्रस्ताव	voorstellen
प्रस्ताव	aanbieding
रिपोर्ट	rapporteren
रिपोर्ट	verslag
रिपोर्ट	rapport
रिपोर्ट	rapporten
रिपोर्ट	verslagen
अंग	orgel
अंग	orgaan
हिस्से	fractie
हिस्से	gedeelte
हिस्से	deel
मुस्लिम	moslim
मुस्लिम	moslims
सरल	eenvoudige
सरल	simpel
सरल	eenvoudig
धातु	metaal
धातु	metalen
परिषद	raad
परिषद	confederatie
परिषद	bondsstaat
शारीरिक	fysieke
शारीरिक	lichamelijke
शारीरिक	somatische
शारीरिक	lichamelijk
शारीरिक	fysiek
संघर्ष	worstel
संघर्ष	conflicten
संघर्ष	strijd
संघर्ष	worsteling
तकनीक	technieken
तकनीक	technologie
तकनीक	techniek
फल	vruchten
फल	fruit
फल	vrucht
कैसे	hoe
प्रकट	onthult
प्रकट	onthullen
प्रकट	openbaren
कार्बनिक	organisch
कार्बनिक	biologisch
कार्बनिक	organische
शाह	sjah
विवरण	bijzonderheden
विवरण	signalement
विवरण	omschrijving
विवरण	details
विवरण	beschrijving
शादी	trouwfeest
शादी	trouwen
शादी	huwelijk
शादी	bruiloft
संसद	parlement
सन्दर्भ	referentie
सन्दर्भ	referenties
सन्दर्भ	verwijzingen
सन्दर्भ	verwijzing
परमाणु	molecuul
परमाणु	nucleaire
परमाणु	atoom
परमाणु	nucleair
आक्रमण	aanvallen
आक्रमण	invasie
आक्रमण	aanval
कार	wagen
कार	auto
जांच	sonde
जांच	testen
पत्थर	natuursteen
पत्थर	steen
पत्थर	stenen
आठ	acht
विषयों	onderwerpen
टेनिस	tennissen
पारंपरिक	traditionele
पारंपरिक	traditioneel
अकादमी	academie
सतह	oppervlak
सतह	bovengronds
युक्त	oekraïne
अभियान	veldtocht
अभियान	campagne
अभियान	campagnes
घोषित	verklaarde
घोषित	opgegeven
घोषित	aangekondigde
घोषित	aangekondigd
घोषित	aangegeven
घोषित	gedeclareerd
घोषित	verklaren
घोषित	verklaard
घोषित	verklaar
घोषित	kondigde
घोषित	uitroepen
लिखी	geschreven
लिखी	schriftelijke
सिस्टम	systeem
सिस्टम	systemen
सिस्टम	stelsel
किनारे	randen
किनारे	hoeken
किनारे	hoekjes
किनारे	rand
कार्बन	koolstof
प्रतिक्रिया	reageren
प्रतिक्रिया	reageer
प्रतिक्रिया	reactieve
प्रतिक्रिया	reactie
प्रतिक्रिया	terugkoppeling
प्रतिक्रिया	respons
गणित	rekenkundig
गणित	wiskundige
गणित	wiskunde
गणित	rekenen
गणित	rekenkundige
मौत	dood
मौत	doods
मौत	overlijden
विवाद	controverse
विवाद	polemiek
विवाद	geschillen
विवाद	geschil
विवाद	betwisten
ग्रहण	zonsverduistering
ग्रहण	eclips
ग्रहण	verduistering
तकनीकी	technisch
तकनीकी	technische
माँ	mama
माँ	mam
माँ	moeder
माँ	moeders
माँ	moedertje
माँ	ma
मैदान	grond
मैदान	vlakten
मैदान	vlaktes
मैदान	effen
मैदान	terrein
मैदान	vlakte
विमान	luchtvaartuig
विमान	vliegtuig
विमान	luchtvaart
विमान	luchtvaartuigen
विमान	vliegtuigen
सक्षम	capabel
सक्षम	ingeschakeld
सक्षम	bekwaam
वातावरण	sfeer
वातावरण	omgeving
वातावरण	milieu
वातावरण	atmosfeer
वातावरण	dampkring
लागत	kosten
लागत	kostprijs
सीधे	direct
सीधे	recht
सीधे	rechtdoor
सीधे	rechtstreeks
प्रेस	druk
प्रेस	pers
रोमन	romeins
रोमन	romeinse
मील	kilometers
मील	mijlen
मील	mijl
लोकसभा	parlement
अज्ञात	anonieme
अज्ञात	anoniem
अज्ञात	onbekend
अज्ञात	onbekende
रेखा	lijn
पार	oversteken
पार	kruis
लेखन	geschriften
लेखन	schrijven
सेंट	centen
सेंट	cent
बोली	bod
बोली	biedingen
बोली	bieden
नष्ट	vernietigt
नष्ट	vernietigde
नष्ट	verwoest
नष्ट	vernietigd
नष्ट	verwoesten
नष्ट	vernield
नष्ट	vernietigen
नष्ट	vernietig
परंपरा	tradities
परंपरा	traditie
राशि	bedrag
दृष्टिकोण	naderen
दृष्टिकोण	aanpak
दृष्टिकोण	benadering
दृष्टिकोण	nadering
दृष्टिकोण	benaderen
भाव	zintuig
भाव	gebaren
भाव	gebaar
भाव	emoties
हवा	bries
पाठ	voordracht
पाठ	tekst
वैदिक	vedische
गठन	kaders
गठन	formatie
गठन	vorming
गठन	kader
नागरिक	burger
अस्तित्व	existentiële
अस्तित्व	voortbestaan
अस्तित्व	overleving
अस्तित्व	overleven
अस्तित्व	bestaan
गंभीर	ernstig
गंभीर	ernstige
गंभीर	kritische
गंभीर	serieuze
गंभीर	serieus
गंभीर	kritiek
गंभीर	kritisch
समझ	begrip
समझ	inzicht
समझ	begrijp
समझ	begrijpen
किस	zoen
किस	kusje
किस	kussen
किस	kus
प्रशासन	administratie
प्रशासन	toediening
आदेश	bestelling
आदेश	mandaat
आदेश	bevelen
आदेश	bestellingen
आदेश	bestellen
आदेश	orde
सैन्य	krijgsmacht
सैन्य	militaire
सैन्य	militair
सैन्य	militairen
अंदर	overdekt
अंदर	binnenkant
अंदर	binnen
अंदर	binnenshuis
अंदर	overdekte
छह	zes
ग्रन्थ	teksten
भाषाएँ	talen
भुगतान	uitbetalen
भुगतान	betaling
भुगतान	uitbetaling
भुगतान	betalingen
उनसे	hen
ध्वनि	klinkt
ध्वनि	geluid
ध्वनि	klanken
ध्वनि	geluiden
निवास	woonplaats
निवास	residentie
निवास	verblijfplaats
अरबी	arabisch
अरबी	arabische
हत्या	slacht
हत्या	moord
हत्या	slachten
हत्या	moorden
हत्या	moordaanslag
हत्या	doden
दिखाया	getoond
दिखाया	getoonde
दिखाया	toonde
पवित्र	geheiligd
पवित्र	heilig
पवित्र	heilige
विभाजित	verdeelde
विभाजित	splitsen
विभाजित	verdeeld
इकाई	eenheid
इकाई	eenheden
अम्ल	zure
अम्ल	zuur
आए	kwam
आए	kwamen
प्रबंधक	beheerders
प्रबंधक	bedrijfsleider
प्रबंधक	bedrijfsleiders
वही	zelfde
वही	hetzelfde
संग्रहालय	musea
जीता	wint
जीता	gewonnen
मुद्रा	poseren
मुद्रा	munt
मुद्रा	geld
मुद्रा	valuta
मुद्रा	munteenheid
मतलब	betekend
मतलब	gemeen
मतलब	betekent
मतलब	gemiddelde
युवा	jongeren
युवा	jeugd
युवा	jonge
युवा	jong
शहरों	steden
अंतरिक्ष	ruimte
अंतरिक्ष	spatie
संचार	communicatie
संचार	mededelingen
संचार	mededeling
प्रसारण	uitzendingen
प्रसारण	uitzenden
प्रसारण	uitzending
प्रसारण	uitgezonden
प्रसारण	omroep
फुटबॉल	voetballen
फुटबॉल	voetbal
नियमित	regulier
नियमित	regelmatig
नियमित	reguliere
नियमित	regelmatige
व्याख्या	uitlegging
व्याख्या	notitie
व्याख्या	vertolking
व्याख्या	verklaring
व्याख्या	uitleg
व्याख्या	noot
व्याख्या	opmerking
व्याख्या	toelichting
व्याख्या	briefje
व्याख्या	interpretatie
शेष	restant
शेष	linkse
शेष	linker
शेष	links
शेष	overgebleven
शेष	resterend
शेष	resterende
दावा	vorderingen
दावा	claimen
दावा	opeisen
दावा	beweringen
मोबाइल	mobiel
संभावना	waarschijnlijkheid
संभावना	waarschijnlijk
संभावना	waarschijnlijke
दिवस	dag
दिवस	dagje
विधायक	wetgever
विधायक	wetgevers
तर्क	logische
तर्क	redenering
तर्क	logica
तर्क	logisch
तर्क	redeneren
आपके	je
आपके	uw
आपके	jouw
विरुद्ध	tegen
परीक्षा	examens
परीक्षा	tentamens
परीक्षा	examen
परीक्षा	testen
पाई	taart
खाद्य	eetbare
खाद्य	eetbaar
भविष्य	toekomst
भविष्य	toekomstige
भविष्य	toekomstig
बिक्री	verkopen
बिक्री	uitverkoop
बिक्री	verkoop
सम्मेलन	conventie
सम्मेलन	verdrag
सम्मेलन	conferentie
रानी	koningin
सिटी	stad
अच्छे	lekker
अच्छे	goed
तुम	jou
तुम	jij
सिर	hoofd
दबाव	druk
बोर्ड	planken
बोर्ड	bord
बोर्ड	bestuur
ख़ान	kanaat
नियुक्त	benoemen
नियुक्त	ingehuurd
नियुक्त	gehuurd
नियुक्त	aangenomen
नियुक्त	benoemde
नियुक्त	aangesteld
नियुक्त	benoemd
फरवरी	februari
नेशनल	nationaal
नेशनल	nationale
संसार	werelden
संसार	wereld
प्रतिनिधित्व	vertegenwoordiging
प्रतिनिधित्व	gedelegeerd
प्रतिनिधित्व	gedelegeerde
प्रतिनिधित्व	representatie
विचारों	ideeen
विचारों	ideeën
विचारों	ideetjes
प्रेरित	geïnspireerd
प्रेरित	bezield
प्रेरित	gemotiveerd
प्रेरित	inspirerend
प्रेरित	gemotiveerde
प्रेरित	geïnspireerde
समारोह	plechtigheid
समारोह	ceremonie
मस्तिष्क	hersenen
मस्तिष्क	hersens
मस्तिष्क	brein
घरेलू	huishoudelijk
घरेलू	binnenlands
घरेलू	binnenland
घरेलू	huiselijk
जेम्स	jacobus
प्रायः	vaak
प्रायः	meestal
प्रायः	gewoonlijk
प्रायः	dikwijls
मौसम	seizoenen
मौसम	weer
मौसम	seizoen
सम्पूर्ण	hele
सम्पूर्ण	gehele
अर्थात्	betekend
अर्थात्	betekent
भावना	voelen
भावना	emotie
भावना	geest
भावना	emoties
भावना	gevoel
गुणवत्ता	kwaliteit
छात्र	leerling
खाना	eten
खाना	levensmiddelen
खाना	voedsel
मिले	ontmoette
मिले	ontmoet
मिले	gevonden
निर्वाचित	gekozen
निर्वाचित	verkozen
कैंसर	kanker
इटली	italië
सिद्धान्त	beginselen
सिद्धान्त	theorie
सिद्धान्त	principes
विरोधी	vijandige
विरोधी	vijandelijk
विरोधी	vijandig
विरोधी	tegenpolen
विरोधी	tegenstellingen
विरोधी	antagonisten
राजवंश	dynastie
संक्रमण	infectie
संक्रमण	besmetting
संक्रमण	infecties
संक्रमण	overgang
घाटी	vallei
नियंत्रित	gecontroleerd
नियंत्रित	beheerst
नियंत्रित	gecontroleerde
नियंत्रित	gemodereerd
नियंत्रित	beheerste
विलियम	willem
विविध	gevarieerd
विविध	diverse
विविध	divers
विविध	diversen
विकल्प	mogelijkheden
विकल्प	optie
विकल्प	alternatieven
विकल्प	opties
उद्यान	parkeren
होगी	zal
होगी	zullen
पशु	dier
पशु	dieren
ज्यादातर	hoofdzakelijk
ज्यादातर	voornamelijk
ज्यादातर	vooral
ज्यादातर	meestal
ईसाई	christen
ईसाई	christenen
ईसाई	christelijke
ईसाई	christelijk
प्रमाण	bewijzen
प्रमाण	bewijsmateriaal
प्रमाण	bewijs
याद	onthoud
कंपनियों	bedrijven
मानसिक	mentale
मानसिक	geestelijke
मानसिक	geestelijk
मानसिक	mentaal
मानसिक	helderziende
मानसिक	paranormaal
मानसिक	psychische
रसायन	chemie
रसायन	scheikunde
रसायन	chemicaliën
रसायन	chemisch
क्षेत्रफल	oppervlakte
क्षेत्रफल	gebied
प्रभावी	doeltreffend
प्रभावी	effectief
प्रभावी	effectieve
विज्ञापन	advertentie
विज्ञापन	adverteren
विज्ञापन	aankondigingen
विज्ञापन	reclame
विज्ञापन	advertenties
आसानी	gemak
अमरीका	amerika
शिकार	slachtoffer
शिकार	jagen
शिकार	prooien
शिकार	prooi
शिकार	jacht
रोगी	patiënt
रोगी	geduldig
रूसी	rus
रूसी	russisch
रूसी	russische
क्रांति	revolutie
अधीन	onder
गुप्त	versleutelde
गुप्त	versleuteld
गुप्त	gecodeerd
गुप्त	geheim
गुप्त	gecodeerde
माने	manen
हृदय	hartje
हृदय	hart
हृदय	cardiale
आयोग	provisies
आयोग	commissie
आयोग	provisie
आयोग	commissies
हिंदू	hindoe
शुद्ध	zuivere
शुद्ध	zuiver
शुद्ध	puur
तीसरे	derde
चर्च	kerk
चर्च	kerken
अपेक्षा	verwachting
अपेक्षा	verwachtingen
कार्यालय	werken
कार्यालय	arbeid
कार्यालय	werk
कार्यालय	bureau
कार्यालय	kantoren
कार्यालय	kantoor
परिवहन	transport
परिवहन	vervoer
स्टार	ster
वर्षा	regenwoud
वर्षा	regen
वर्षा	regenwouden
वर्षा	neerslag
वर्षा	regenval
जनरल	algemeen
जनरल	algemene
जनरल	generaal
संदेश	bericht
संदेश	boodschap
संदेश	berichten
संदेश	berichtje
संदेश	boodschappen
मार	doden
मार	slacht
मार	slachten
परिचय	introductie
परिचय	ongeveer
परिचय	invoering
परिचय	over
परिचय	inleiding
उत्पत्ति	herkomst
उत्पत्ति	oorsprong
उत्पत्ति	boei
मांग	eis
मांग	eisen
देवता	godheid
सोवियत	sovjet
दौर	rondje
दौर	rond
दौर	ronde
संचालन	exploitatie
संचालन	bewerking
संचालन	operaties
संचालन	operatie
संचालन	bewerkingen
भौगोलिक	geografisch
उपस्थित	deelnemers
उपस्थित	presenteren
उपस्थित	aanwezigen
उपस्थित	heden
उपस्थित	aanwezig
उपस्थित	bijwonen
उपस्थित	presenteer
अस्पताल	ziekenhuizen
अस्पताल	ziekenhuis
परिवर्तित	aangepast
परिवर्तित	omgebouwd
परिवर्तित	omgerekend
परिवर्तित	gemodificeerd
परिवर्तित	veranderde
परिवर्तित	gewijzigd
परिवर्तित	geconverteerd
परिवर्तित	bekeerd
परिवर्तित	veranderd
परिवर्तित	omgezet
पेश	presenteren
स्वर	klinker
स्वर	klinkers
लघु	mineur
लघु	logaritme
लघु	minderjarige
लघु	beknopt
लाइन	lijn
प्रश्न	vraagje
प्रश्न	opvragen
प्रश्न	vraag
प्रश्न	vragen
प्रश्न	zoekopdracht
आलोचना	kritiek
पहाड़ी	heuvel
पुरानी	oude
पुरानी	oudere
पुरानी	oud
पुरानी	ouder
पुरानी	ouwe
पसंद	bladwijzers
पसंद	keus
पसंद	bladwijzer
पसंद	keuze
सुझाव	aanbevelingen
सुझाव	suggesties
सुझाव	samenvoeging
सुझाव	suggestie
सुझाव	fooi
सुझाव	aggregatie
खेती	oogst
खेती	oogsten
लिखने	schrijven
वर्णित	beschreven
वर्णित	beschreef
वर्णित	omschreven
विभाजन	afdeling
विभाजन	afdelingen
विभाजन	divisies
विभाजन	deling
विभाजन	splitsingen
विभाजन	divisie
विभाजन	partitie
प्रशासनिक	administratief
प्रशासनिक	administratieve
विशेषता	kenmerk
विशेषता	functie
विशेषता	attribuut
विशेषता	kwaliteit
कठिन	lastig
कठिन	moeilijke
कठिन	harde
कठिन	stoer
कठिन	taai
कठिन	moeilijk
कड़ी	ketting
कड़ी	keten
कड़ी	koppeling
एकमात्र	tong
एकमात्र	zool
ईरान	iraanse
क्षेत्रीय	regionaal
क्षेत्रीय	regionale
जान	weten
जान	weet
लड़ाई	vechten
लड़ाई	vecht
लड़ाई	strijd
लड़ाई	gevecht
लड़ाई	veldslag
लड़ाई	slag
परिभाषित	gedefinieerde
परिभाषित	omschreven
परिभाषित	gedefinieerd
अंश	fractie
रोड	weg
प्रस्तावित	voorgestelde
प्रस्तावित	voorgesteld
गायक	zanger
गायक	zangeres
इस्लाम	islamisme
समुद्री	marinier
समझा	begrepen
उनको	hen
उपयोगी	nut
उपयोगी	bruikbaarheid
उपयोगी	behulpzaam
उपयोगी	bruikbaar
उपयोगी	nuttig
उपयोगी	hulpprogramma
कोशिका	cel
सत्र	sessies
सत्र	sessie
सत्र	zitting
सत्र	zittingen
मिश्र	egyptische
मिश्र	egypte
मिश्र	egyptisch
पहुँच	toegankelijkheid
पहुँच	toegang
पहुँच	bereikbaarheid
पहुँच	bereik
मेरा	mijne
मिस्र	egyptische
मिस्र	egypte
मिस्र	egyptisch
गणराज्य	republiek
छात्रों	studenten
छात्रों	leerlingen
पुराना	oude
पुराना	oudere
पुराना	oud
पुराना	ouder
पुराना	ouwe
तेज	vasten
तेज	snelle
तेज	snel
सम्राट	keizer
कारणों	redenen
सर	meneer
अपराध	criminaliteit
अपराध	biechten
अपराध	misdrijf
अपराध	bekentenis
अपराध	misdaad
अपराध	biecht
अमेरिकन	amerikaans
अमेरिकन	amerikaan
अमेरिकन	amerikaanse
व्यक्तित्व	persoonlijkheid
यूनाइटेड	verenigd
यूनाइटेड	verenigde
जापानी	japanners
जापानी	japanse
जापानी	japans
रॉक	rotsen
रॉक	rots
रॉक	steen
लंबी	lange
लंबी	lang
गेम	spelletje
गेम	wedstrijd
गेम	spellen
गेम	spelletjes
गेम	gamen
गेम	spel
अन्दर	binnenkant
अन्दर	binnen
संपत्ति	eigendom
संपत्ति	vastgoed
संपत्ति	activa
संपत्ति	eigenschap
संक्षिप्त	bondig
संक्षिप्त	beknopte
संक्षिप्त	kort
संक्षिप्त	afkorting
संक्षिप्त	korte
संक्षिप्त	beknopt
क्यों	waarom
गलत	verkeerd
गलत	verkeerde
गलत	onjuist
गलत	foutief
गलत	vals
गलत	fout
गलत	onwaar
गलत	onjuiste
गलत	valse
संपूर्ण	hele
संपूर्ण	gehele
सर्वोच्च	hoogst
सर्वोच्च	opperste
सर्वोच्च	hoogste
भौतिकी	fysica
भौतिकी	natuurkunde
वाहन	voertuigen
वाहन	voertuig
फ़िल्में	bioscoop
फ़िल्में	films
सैनिक	militaire
सैनिक	militair
सैनिक	krijgsmacht
सैनिक	militairen
सैनिक	soldaat
डेटा	gegevens
स्थिर	ruis
स्थिर	statisch
स्थिर	stabiel
स्थिर	gestaag
स्थिर	statische
दूध	melk
विद्वानों	geleerden
मानना	geloof
मानना	geloven
रखना	houden
रखना	houd
बाह्य	uitwendig
बाह्य	extern
बाह्य	externe
उपस्थिति	aanwezigheid
उपस्थिति	opkomst
समूहों	groepen
आये	kwam
आये	kwamen
चूंकि	sedert
चूंकि	sinds
उच्चारण	uitspraak
साहित्यिक	literair
साहित्यिक	literaire
पुरुषों	mannen
वृक्ष	bomen
वृक्ष	boom
वृक्ष	boomstructuur
निवेश	investeren
निवेश	investering
निवेश	belegger
निवेश	investeringen
निवेश	beleggingen
निवेश	investeerder
तत्वों	elementen
सत्य	waarheid
दार्शनिक	filosoof
सौ	honderd
आंतरिक	intern
आंतरिक	inwendig
आंतरिक	binnenland
आंतरिक	interieur
निकल	stuiver
निकल	nikkel
प्रत्यक्ष	evident
प्रत्यक्ष	rechtstreekse
प्रत्यक्ष	rechtstreeks
प्रत्यक्ष	directe
मित्र	vriendin
मित्र	vrienden
मित्र	vriend
दर्द	pijn
बिजली	electriciteit
बिजली	donderslag
बिजली	elektriciteit
बिजली	bliksem
बिंदु	stip
बिंदु	puntje
बिंदु	punten
बिंदु	punt
बुद्ध	boeddha
स्टेडियम	stadions
स्टेडियम	stadion
हजार	duizend
अभाव	afwezigheid
रिलीज़	loslaten
रिलीज़	vrijlating
रिलीज़	vrijgave
शांति	vrede
वितरण	levering
वितरण	distributie
वितरण	bezorging
वितरण	oplevering
वितरण	verdeling
आय	ontvangsten
आय	inkomen
आय	verdiensten
आय	inkomsten
रन	loopt
फाइनल	definitief
फाइनल	finales
फाइनल	finale
टेलीविजन	televisie
दैनिक	dagelijks
दैनिक	dagelijkse
न्याय	rechtvaardigheid
न्याय	justitie
न्याय	gerechtigheid
फूल	bloemetje
फूल	bloemetjes
फूल	bloempje
फूल	bloem
फूल	bloemen
कल्पना	visualisatie
कल्पना	verbeeldingskracht
कल्पना	verbeelding
कल्पना	fantasie
प्राप्ति	aanwinst
प्राप्ति	aankoop
प्राप्ति	verwerving
प्राप्ति	acquisitie
प्राप्ति	overname
प्रसार	verspreiden
प्रसार	verspreiding
प्रसार	verspreid
दिल	harten
दिल	hartje
दिल	hart
दिल	hartjes
गाने	liederen
गाने	liedjes
गाने	nummers
सुंदर	knap
सुंदर	mooie
सुंदर	prachtig
सुंदर	mooi
सुंदर	knappe
यानि	betekend
यानि	betekent
हाउस	huis
अफ़्रीका	afrika
इच्छा	wens
इच्छा	verlangen
इच्छा	begeerte
इच्छा	verlangens
भार	gewicht
खंड	afdeling
खंड	blokkeren
खंड	sectie
खंड	blok
खंड	blokkering
मिश्रण	mixen
मिश्रण	meng
मिश्रण	mengen
मिश्रण	mengsel
समर्पित	opgedragen
समर्पित	toegewijd
समर्पित	toegewijde
समर्पित	gewijd
पहुंच	toegang
स्मारक	monumenten
प्यार	liefde
प्यार	liefhebbende
प्यार	liefdevol
प्यार	liefdevolle
प्यार	liefs
आन्दोलन	beweging
आन्दोलन	verplaatsing
आन्दोलन	bewegingen
मंत्रालय	ministerie
आत्मा	ziel
आत्मा	geest
हे	hé
हे	he
पक्षी	vogels
पक्षी	vogeltje
पक्षी	vogel
निवासी	inwoners
निवासी	bewoners
निवासी	woonachtig
निवासी	ingezetenen
निवासी	inwoner
निवासी	ingezetene
अंततः	uiteindelijk
कह	zeg
कह	zeggen
खास	speciaal
खास	bijzonder
खास	speciale
जलवायु	klimaat
तय	gerepareerd
तय	vaste
धारावाहिक	seriële
धारावाहिक	serienummer
धारावाहिक	afleveringen
तारे	sterren
तारे	ster
बनाना	creëren
बनाना	maken
पौराणिक	mythologische
बाकी	uitrusten
बाकी	rusten
बाकी	overgebleven
बाकी	rust
बाकी	resterend
बाकी	resterende
संत	heiligen
संत	heilige
ऊंचाई	lengte
ऊंचाई	hoogte
उपग्रह	satelliet
तुर्की	turkse
तुर्की	turks
तुर्की	turkije
संस्कार	uitvaart
संस्कार	begrafenis
संस्कार	rituelen
संस्कार	sacramenten
अर्थव्यवस्था	economie
बीमारी	ziekte
वार्षिक	jaarlijks
परिसर	complexe
परिसर	ingewikkeld
अधिकतम	zwaarst
अधिकतम	zwaarste
अधिकतम	maximale
अधिकतम	maximaliseren
अधिकतम	maximaal
वैश्विक	wereldwijd
वैश्विक	globaal
वैश्विक	mondiale
तभी	alleen
तभी	enkel
तभी	slechts
अनिवार्य	onmisbaar
अनिवार्य	verplicht
अनिवार्य	essentieel
अनिवार्य	verplichte
अनिवार्य	essentiële
उपाधि	graad
सामान्यतः	normaal
सामान्यतः	gewoonlijk
सामान्यतः	normaliter
तारा	verhongeren
