категория	categorie
механика	mechanica
механика	monteur
механика	automonteur
популяции	populaties
популяции	bevolkingen
упал	gevallen
упал	viel
люксембург	luxemburg
люксембург	luxemburgse
люксембург	luxemburgs
послал	gestuurd
послал	verstuurd
послал	verzonden
сорта	rassen
сорта	variëteiten
маленькие	klein
маленькие	kleine
маленькие	weinig
маленькие	smal
завоевания	veroveringen
завоевания	verovering
переписать	herschrijven
переписать	herschreven
лёгкая	lichtgewicht
защитника	verdediger
рейсы	vlucht
рейсы	vluchten
тканей	weefsels
гонка	ras
конрад	koenraad
обработка	verwerken
обработка	afhandeling
обработка	hantering
обработка	verwerking
туризм	toerisme
сочетании	combinatie
сочетании	gecombineerde
сочетании	gecombineerd
рассказал	vertelde
рассказал	verteld
родственников	familieleden
родственников	verwanten
толстой	tolstoj
итого	totaal
кухня	keuken
ограничение	limieten
ограничение	beperking
ограничение	beperkend
ограничение	limiet
ограничение	beperken
ограничение	begrenzing
ограничение	restrictie
натрия	natrium
средневековой	middeleeuws
средневековой	middeleeuwse
найдено	gevonden
гарнизон	garnizoen
афинах	athene
протест	protesten
протест	protesteren
отмены	optillen
отмены	tillen
отмены	opheffen
плоды	vruchten
плоды	fruit
плоды	vrucht
оскорбления	beledigingen
хип	hippe
хип	hiep
хип	heup
популярный	populaire
популярный	populair
вечера	avonden
подтвердить	bevestigen
подтвердить	verifiëren
подтвердить	bevestig
пользователь	gebruiker
миссис	mevrouw
частицы	deeltjes
частицы	partikels
частицы	deeltje
механизма	mechanisme
механизма	machines
модернизации	modernisering
электронный	elektronisch
волн	golven
математике	wiskunde
редакторов	redacteuren
редакторов	redactie
контакт	contactpersoon
работники	arbeiders
работники	medewerkers
работники	werkers
работники	werknemers
работники	werkenden
возрождение	wedergeboorte
возрождение	heropleving
возрождение	opleving
астрономии	astronomie
мюнхен	münchen
вещания	uitzenden
вещания	uitzending
вещания	omroep
кэтрин	catharina
отмечен	gelabeld
концентрации	concentraties
концентрации	concentratie
крымских	krim
ирака	iraakse
ирака	irakees
ведение	onderhoud
смена	verschuiven
смена	verschuiving
механизмы	mechanismen
попробовать	probeer
попробовать	proberen
эвакуации	evacueren
эвакуации	evacuatie
эвакуации	ontruiming
аудитории	doelgroep
аудитории	publiek
аудитории	doelgroepen
окно	venster
окно	raam
изменил	gewijzigd
изменил	veranderde
изменил	veranderd
ключевых	toets
ключевых	sleutel
алексеев	aleksejev
сокращения	afkortingen
сражался	bevochten
сражался	gestreden
сражался	gevochten
умирает	sterft
умирает	stervend
умирает	doodgaan
умирает	sterven
умирает	stervende
американцы	amerikanen
американцы	amerikaan
демократии	democratieën
демократии	democratie
точности	juistheid
точности	precisie
точности	nauwkeurigheid
след	voetafdruk
след	spoor
след	traceren
филолог	filoloog
экспертов	experten
экспертов	deskundigen
хорошее	lekker
хорошее	goed
набережной	promenade
набережной	waterkant
конструкций	constructies
конструкций	ontwerpen
показаны	getoond
показаны	getoonde
подтверждает	bevestigt
трубы	buisjes
трубы	pijpen
трубы	pijp
трубы	leidingen
трубы	buizen
трубы	trompetten
парад	optocht
парад	paraderen
показ	tonen
показ	toon
показ	weergeven
показ	weergave
ривер	rivier
ереван	jerevan
вещание	uitgezonden
вещание	uitzenden
вещание	uitzending
вещание	omroep
микрорегион	microregio
согласны	akkoord
каналы	grachten
каналы	kanaal
каналы	kanalen
основателя	stichter
основателя	oprichter
обстоятельства	omstandigheden
обстоятельства	omstandigheid
камни	steentjes
камни	rotsen
камни	stenen
зависимость	verslaving
зависимость	verslaafd
зависимость	afhankelijkheid
монографий	monografieën
танцы	dans
танцы	dansen
танцы	dansje
трагедии	tragedie
ярославль	jaroslavl
справка	hulp
справка	helpen
справка	certificaat
звуки	klinkt
звуки	geluid
звуки	klanken
звуки	geluiden
хватит	genoeg
руины	verpesten
руины	ruïne
руины	ruines
руины	ruïneren
руины	ruïnes
обвинение	aanklacht
обвинение	tenlastelegging
обвинение	opladen
обвинение	vervolging
обвинение	aanklager
обвинение	beschuldiging
завершить	afmaken
завершить	afwerking
завершить	voltooid
завершить	invullen
завершить	voltooien
завершить	compleet
нуля	kras
нуля	krabben
обнаруживает	detecteert
кавказ	kaukasus
контакты	contacten
контакты	contactpersoon
контакты	contactpersonen
сочетание	combinatie
служили	geserveerd
служили	gediend
служили	opgediend
боевики	militanten
эмиль	émile
вперед	doorsturen
вперед	vooruit
вперед	voorwaarts
здравствуйте	hallo
копии	afschriften
копии	exemplaren
копии	kopieën
зная	wetende
вальтер	wouter
хроники	kronieken
хроники	tijdlijn
хроники	tijdslijn
снарядов	hulzen
снарядов	schelpen
реализация	uitvoering
реализация	realisering
реализация	implementatie
реализация	realisatie
реализация	tenuitvoerlegging
фрэнсис	franciscus
фрэнсис	frans
технологический	technologisch
технологический	technologische
боевая	bestrijden
ощущение	sensatie
ощущение	gevoel
ощущение	voelen
частота	frequentie
теряет	verliest
наследство	nalatenschap
наследство	erfdeel
наследство	erfenis
близости	intimiteit
близости	nabijheid
пишите	schrijven
пишите	schrijf
режиссер	regisseur
режиссер	directeur
преследование	lastigvallen
преследование	stalken
преследование	intimidatie
преследование	achtervolging
преследование	nastreven
преследование	achtervolgen
преследование	aanklager
преследование	vervolging
преследование	vervolgingen
преследование	pesterijen
венеция	venetië
венеция	venetie
траве	gras
башкиры	basjkieren
напряжение	spanning
напряжение	spanningen
закончилась	geëindigd
закончилась	beëindigd
закончилась	eindigde
лейк	meer
таджикистана	tadzjikistan
таджикистана	tadzjiekse
выступающий	spreker
выступающий	luidspreker
строк	rijen
строк	lijnen
временное	tijdelijke
временное	tijdelijk
преимущества	voordelen
преимущества	voordeel
преимущества	uitkeringen
следствием	gevolg
следствием	consequentie
активные	actief
активные	actieve
луна	maan
лопес	lópez
коренных	inheems
коренных	inheemse
гессен	hessen
вагон	wagen
вагон	auto
известное	gekende
известное	bekend
известное	gekend
известное	bekende
рубеж	grens
пакистана	pakistaanse
воины	strijders
воины	krijgers
объясняет	verklaart
выбрал	uitgekozen
выбрал	geplukt
выбрал	koos
выбрал	kozen
метрах	meter
царской	tsaristische
авеню	laan
камера	fototoestel
ботаник	botanicus
боюсь	bang
собака	hond
собака	hondje
добавлена	toegevoegde
добавлена	toegevoegd
индийский	indische
индийский	indisch
индийский	indiase
индийский	indiaas
индийский	indiaan
путина	poetin
ассистент	assistente
ассистент	assistent
рукопись	handschrift
подводная	onderwater
диалог	dialoog
инспектор	inspecteur
секунды	seconden
лошади	paarden
ориентации	oriëntering
ориентации	oriëntatie
предыдущие	vorig
предыдущие	eerdere
предыдущие	voorgaande
предыдущие	vorige
мухаммед	mohammed
классический	klassieker
классический	klassieke
классический	klassiek
коммунистов	communisten
дверь	deur
вред	letsels
вред	letsel
вред	blessure
вред	beschadigingen
вред	beschadiging
вред	verwonding
вред	schade
голосовать	stem
голосовать	stemmen
голосовать	stemming
деревянный	houten
добавляет	voegt
включение	insluiting
включение	inclusie
включение	opneming
архимандрит	archimandriet
длится	duurt
мотивы	motivaties
мотивы	motivatie
мотивы	motieven
уравнение	vergelijking
случилось	gebeurde
экран	scherm
экран	beeldscherm
дно	bodem
дно	onderkant
кривой	kromme
захоронения	begrafenis
водах	wateren
ахмед	achmed
альфонсо	alfons
турки	turken
турецкая	turkse
турецкая	turks
коммерческий	commercieel
коммерческий	commerciële
железы	klier
железы	klieren
телефон	telefoon
создает	creëert
создает	schept
квартал	kwartaal
квартал	kwart
квартал	kwartje
подводные	onderwater
семена	zaad
семена	zaden
семена	zaaizaad
семена	zaaigoed
архитекторов	architecten
принятии	acceptatie
принятии	aanvaarding
демонстрации	betogingen
демонстрации	demonstraties
демонстрации	demonstratie
демонстрации	betoging
демонстрации	manifestaties
весом	weging
синтез	fusie
синтез	synthese
синтез	kernfusie
ливии	libië
товары	goederen
товары	koopwaar
товары	produkten
товары	handelswaar
товары	producten
воскресенье	zondag
приглашение	uitnodigend
приглашение	uitnodigen
приглашение	uitnodiging
тайны	geheimen
тайны	mysterie
посмотрел	bekeken
посмотрел	gekeken
посмотрел	keek
сборы	honoraria
сборы	vergoedingen
социологии	sociologie
четверо	vier
медицина	medicijnen
медицина	geneesmiddel
медицина	geneeskunde
составлен	opgesteld
составлен	samengesteld
составлен	gecompileerd
предложено	voorgestelde
предложено	gesuggereerd
предложено	voorgesteld
добавление	aanhangsel
добавление	bijlage
продукта	produkt
европейская	europese
европейская	europees
цезарь	césar
финансовые	financieel
ангел	engeltje
ангел	engel
иерусалим	jeruzalem
вагоны	karren
вагоны	wagens
рос	groeide
рос	groeiden
притока	instroom
жанна	johanna
потенциально	potentieel
теоретически	theoretisch
парки	parken
курская	koersk
себастьян	sebastiaan
ленинский	leninski
этапах	fases
этапах	fasen
этапах	etappes
этапах	stadia
забив	scoren
среда	woensdag
скончалась	overledene
скончалась	overledenen
скончалась	overleden
посадку	aanlanding
посадку	aanvoer
доли	aandelen
километр	kilometer
смены	verschuivingen
смены	ploegen
сов	uilen
унаследовал	erfelijk
унаследовал	geërfd
смеси	mengsels
сходство	overeenkomsten
сходство	gelijkenissen
сходство	gelijkenis
дипломатические	diplomatieke
дипломатические	diplomatiek
нигерии	nigeriaanse
регулярные	regulier
регулярные	regelmatig
регулярные	reguliere
регулярные	regelmatige
разделены	gescheiden
республиканской	republikein
республиканской	republikeinen
республиканской	republikeinse
боеприпасов	ammunitie
боеприпасов	munitie
боевиков	militanten
фасад	voorgevel
фасад	gevel
фасад	façade
литва	litouwen
пусто	leeg
пусто	lege
пусто	ledig
пусто	blanco
пусто	leegmaken
товарищ	metgezel
товарищ	kameraad
знали	wisten
знали	wist
ага	jep
ага	ja
кофе	koffie
гипотеза	gissen
гипотеза	hypothese
гипотеза	vermoeden
крик	schreeuw
крик	gillen
крик	geschreeuw
крик	beek
крик	kreek
крик	schreeuwen
крик	schreeuwend
белка	proteïnen
белка	proteïne
белка	eiwitten
белка	eekhoorn
белка	eiwit
смотрите	kijken
смотрите	kijk
постоянные	blijvend
постоянные	constante
постоянные	blijvende
постоянные	permanente
монета	munten
монета	munt
святая	heilig
святая	heilige
набрав	typen
осада	beleg
осада	belegering
пролив	straat
германских	germaanse
потребовал	geëiste
потребовал	eiste
потребовал	eisten
потребовал	geëist
автобусов	bussen
оставляет	blaadjes
оставляет	bladeren
неверно	verkeerd
неверно	verkeerde
неверно	onjuist
неверно	foutief
неверно	fout
неверно	onjuiste
обычные	gewone
библиография	bibliografie
прочитать	lezen
прочитать	lees
прочитать	gelezen
заблокировать	blokkeren
заблокировать	vergrendelen
заблокировать	sluis
заблокировать	blok
заблокировать	slot
заблокировать	blokkering
вторжение	inbreuk
вторжение	invasie
изданы	uitgegeven
изданы	afgegeven
тайна	geheim
тайна	mysterie
бомбы	bommen
говорите	spreken
говорите	spreek
иркутск	irkoetsk
торгового	koopman
торгового	handelaar
авторитет	geloofwaardigheid
авторитет	autoriteit
авторитет	gezag
продан	verkocht
продан	verkochte
железный	ijzer
железный	strijkijzer
штурм	geweldpleging
штурм	aanval
штурм	bestormen
штурм	mishandeling
старшая	oudsten
старшая	oudste
старшая	oudere
старшая	ouder
пакет	pakketje
пакет	pakje
пакет	zak
пакет	arrangement
пакет	zakje
пакет	pakket
пакет	tas
доказательство	bewijzen
доказательство	bewijsmateriaal
доказательство	bewijs
мясо	vlees
открывает	opent
держать	vasthouden
победила	gewonnen
супруг	echtgenote
супруг	echtgenoten
супруг	echtgenotes
супруг	echtgenoot
посты	berichten
посты	posten
челябинск	tsjeljabinsk
видны	zichtbaar
видны	zichtbare
рейха	rijk
недовольство	onvrede
недовольство	ontevredenheid
недовольство	ongenoegen
показала	toonde
благодарность	dankbaarheid
продвижение	bevordering
продвижение	promotie
продвижение	promoten
блоков	blokken
дневник	tijdschrift
дневник	dagboek
рафаэль	raphaël
алтай	altaj
опытных	ervaren
длительного	langdurige
длительного	verlengde
длительного	verlengd
длительного	langdurig
кандидатуру	kandidatuur
коммунисты	communisten
шёл	ploeteren
вчера	gisteren
вчера	gister
описать	beschrijf
описать	omschrijf
описать	beschrijven
составы	samenstellingen
составы	composities
составы	konvooien
составы	formuleringen
эстония	litouwen
эстония	estland
пещеры	grotten
посредника	bemiddelaar
посредника	tussenpersoon
посредника	intermediair
расходы	uitgaven
расходы	kosten
расходы	onkosten
добровольно	gewillig
добровольно	vrijwillig
родина	moederland
родина	thuisland
родина	vaderland
основа	stichting
основа	fundering
основа	grondslag
французы	fransen
французы	franse
французы	frans
магазины	winkels
разработчики	ontwikkelaars
жене	echtgenote
жене	vrouw
полномочный	gevolmachtigd
полномочный	gevolmachtigde
бит	beetjes
бит	stukjes
бит	beetje
действовала	handelde
действовала	gehandeld
прямая	recht
прямая	rechtstreekse
прямая	rechtdoor
прямая	rechtstreeks
прямая	directe
эксперимент	experimenteren
преломления	breking
деревянные	houten
двенадцать	twaalf
урала	oeral
люк	luik
единства	eenheid
кале	boerenkool
кале	kool
договоры	contracten
договоры	verdragen
епископов	bisschoppen
епископов	lopers
нашла	gevonden
дальний	verre
дальний	afstandelijk
прикладной	toegepast
прикладной	toegepaste
бакалавра	baccalaureaat
тридцать	dertig
посещения	bezoeken
алфавит	alfabet
смешанных	vermengd
смешанных	gemengd
смешанных	gemengde
смешанных	gemixt
меди	koper
компоненты	onderdelen
компоненты	componenten
газов	gassen
преступление	misdrijf
преступление	misdaad
преступление	criminaliteit
пользуются	genieten
пользуются	geniet
склонах	hellingen
склонах	pistes
популярные	populaire
популярные	populair
реестр	rooster
реестр	register
реестр	registreren
реестр	griffie
реестр	inschrijven
печени	lever
инструкции	instructie
инструкции	instructies
фан	waaier
фан	ventilator
вызов	uitdagende
вызов	uitdagen
вызов	uitdagend
вызов	uitdaging
стена	prikbord
стена	muur
стена	wand
создают	poseren
лицензия	licentie
лицензия	vergunning
лицензия	rijbewijs
маркиз	markies
подвиг	prestatie
плохой	slecht
плохой	slechte
гражданский	civiele
гражданский	burgerlijk
гражданский	civiel
гражданский	burgerlijke
пришел	kwam
пришел	kwamen
мирного	vreedzame
мирного	vredig
мирного	vreedzaam
выполнена	behaald
выполнена	volbracht
батальонов	bataljons
датский	deens
датский	deense
севастополь	sebastopol
тени	schaduw
тени	schaduwen
построенные	geconstrueerd
построенные	gebouwd
построенные	gebouwde
бета	bèta
артём	artjom
заслуживает	verdienen
заслуживает	verdiende
заслуживает	verdiend
заслуживает	verdient
направлены	geregisseerd
направлены	doorgestuurd
направлены	regisseerde
направлены	toegezonden
направлены	gerichte
направлены	doorgezonden
построили	gebouwd
построили	gebouwde
региональные	regionaal
региональные	regionale
теоретической	theoretische
теоретической	theoretisch
существа	wezens
существа	schepsels
широкие	brede
широкие	wijd
широкие	breed
воспитание	ouderschap
воспитание	opvoeding
воспитание	opvoeden
заметки	noten
заметки	notities
заметки	toelichting
заметки	aantekeningen
обсерватория	observatorium
стояли	stond
получено	verkregen
получено	ontvangen
стандарты	standaards
стандарты	standaarden
стандарты	normen
климата	klimaat
ранняя	vroeg
ранняя	vroege
стрелки	schutters
стрелки	pijl
стрелки	pijlen
особенность	kenmerk
особенность	functie
пауль	paulus
одежду	kledij
одежду	kleding
одежду	kleren
ветеран	veteraan
ветеран	veearts
эффективно	efficiënt
эффективно	effectief
эффективно	effectieve
эффективно	doeltreffend
эффективно	efficiënte
веру	vertrouwen
веру	geloof
боксёр	bokser
охрана	bewaker
охрана	beveiliging
охрана	veiligheid
охрана	bescherming
охрана	garde
императрица	keizerin
огромные	enorme
огромные	gigantisch
огромные	immens
огромные	reusachtig
огромные	enorm
франков	franken
парламентских	parlementair
парламентских	parlementaire
украину	oekraïne
нормальный	normale
нормальный	normaal
удовлетворяет	bevredigend
удовлетворяет	bevredigt
пассажирских	reiziger
пассажирских	passagier
факторы	factoren
ходить	lopend
ходить	wandeling
ходить	wandelen
ходить	lopen
уничтожены	vernield
уничтожены	vernietigde
уничтожены	verwoest
уничтожены	vernietigd
детектив	rechercheur
духовенства	geestelijken
короли	koningen
фильмография	filmografie
талант	talenten
утро	ochtend
утро	goedemorgen
утро	morgen
утро	goeiemorgen
боль	pijn
бей	baai
чей	wiens
любил	bemind
любил	geliefd
любил	hield
тайно	heimelijk
тайно	stiekem
точное	precieze
убийцы	moordenaars
убийцы	huurmoordenaars
дисков	schijven
взяты	genomen
взяты	meegenomen
физиологии	fysiologie
осуществления	implementatie
осуществления	uitvoering
осуществления	tenuitvoerlegging
установок	installaties
газету	dagblad
газету	krant
газету	kranten
кадры	beeldmateriaal
строитель	bouwer
победить	winnen
победить	verslaan
победить	nederlaag
читает	leest
парень	kerel
парень	vriendje
парень	jongen
парень	kind
чтение	lezen
чтение	lectuur
чтение	lezing
принесла	bracht
принесла	gebracht
принесла	meegebracht
формулировка	formulering
захвачен	gevangengenomen
захвачен	gevangen
резонанс	weerklank
резонанс	resonantie
англичан	engelsen
обход	ontduiking
обход	ronden
обход	rondes
обход	omzeilen
обход	omleiding
обход	rondweg
развивать	ontwikkelen
отдать	geef
отдать	geven
мур	veen
осень	najaar
осень	herfst
осень	vallen
радиус	straal
сел	zat
предотвратить	voorkomen
предотвратить	voorkom
апостольский	apostolische
сервис	gereedschap
сервис	dienst
сервис	hulpmiddelen
сервис	gereedschappen
электронные	elektronisch
сенат	senaat
еврейская	joods
еврейская	jood
еврейская	joodse
содержащие	bevatten
содержащие	bevattende
убийца	huurmoordenaar
убийца	moordenaar
арабский	arabier
арабский	arabisch
арабский	arabische
предков	voorvaders
предков	voorouders
предков	voorouderlijke
предков	voorvaderen
ведущая	leidende
ведущая	loden
ведущая	leiden
ведущая	presentatrice
ведущая	presentator
ведущая	lood
ведущая	leidend
президентских	presidentieel
президентских	presidentiële
пропустил	gemist
пропустил	overgeslagen
пропустил	gemiste
пропустил	miste
свидетельство	getuigenis
свидетельство	getuigenissen
свидетельство	certificaat
австралийский	australische
австралийский	australisch
австралийский	australiër
рада	blij
пишу	schrijven
дальнейшая	verder
дальнейшая	verdere
королей	koningen
полицейский	smeris
полицейский	politieman
полицейский	flik
полицейский	politie
полицейский	politieagent
описано	beschreven
описано	beschreef
описано	omschreven
описано	beschrijft
атаковать	aanvallen
атаковать	aanval
эксперт	deskundige
розыгрыш	grap
розыгрыш	loterij
розыгрыш	geintje
армяне	armeniërs
дружба	vriendschap
совершить	plegen
ссылаться	aanroepen
ископаемых	fossiel
ископаемых	fossiele
фотограф	fotografe
фотограф	fotograaf
кислорода	zuurstofgehalte
кислорода	zuurstof
объединяет	verenigt
позади	achter
николас	nicolaas
формировании	vormgeving
формировании	vormgeven
поправки	wijziging
поправки	wijzigingen
поправки	amendement
поправки	amendementen
астроном	astronoom
экологии	ecologie
жозеф	jozef
госпиталь	ziekenhuis
простое	eenvoudige
простое	simpel
простое	eenvoudig
тихий	rustig
тихий	stilte
тихий	stil
рой	zwermen
рой	zwerm
электроэнергии	electriciteit
электроэнергии	elektriciteit
задняя	achterste
задняя	achterzijde
задняя	achterhoede
задняя	achterkant
задняя	achteraan
возражения	bezwaarschrift
возражения	bezwaren
возражения	bezwaar
старших	laatstejaars
юбилейная	jubileum
бесплатно	vrij
бесплатно	gratis
стекла	glazen
стекла	glas
показания	getuigenis
показания	getuigenissen
янг	jonge
янг	jong
кинотеатр	bioscoop
кинотеатр	bioscopen
эфиопии	ethiopië
эфиопии	ethiopische
важность	belangrijkheid
важность	belang
подробное	gedetailleerd
подробное	gedetailleerde
неудачно	ongelukkig
неудачно	ongelukkige
разновидности	variatie
разновидности	rassen
разновидности	variëteiten
разновидности	variëteit
венесуэлы	venezolaanse
настоящая	echt
настоящая	reëel
настоящая	echte
пресса	druk
пресса	pers
навигации	navigeren
навигации	navigatie
развиваться	evolueren
хозяин	meester
хозяин	baasje
хозяин	eigenaar
ранг	rangschikking
ранг	rang
ранг	rangschikken
дополнительное	aanvullende
дополнительное	bijkomende
дополнительное	bijkomend
дополнительное	extra
дополнительное	aanvullend
колония	kolonie
носила	droeg
носила	droegen
борцы	worstelaars
боги	goden
обложка	dekken
обложка	dekking
обложка	omslag
оформить	formaliseren
классическая	klassieker
классическая	klassieke
классическая	klassiek
картинки	afbeeldingen
картинки	plaatjes
картинки	beelden
нынешней	actueel
нынешней	huidige
нынешней	huidig
перепись	volkstelling
принадлежали	behoord
принадлежали	behoorde
объяснения	uitleg
объяснения	toelichtingen
рад	blij
швейцарский	zwitserse
швейцарский	zwitsers
зубов	tandjes
зубов	gebit
зубов	tanden
грант	subsidie
постановления	uitspraken
постановления	arresten
дискуссия	discussie
дискуссия	discussies
барабаны	drumstel
барабаны	vaten
барабаны	trom
барабаны	trommels
студент	leerling
водорода	waterstof
шотландский	schots
шотландский	schotse
охоты	jacht
охоты	jagen
образы	afbeeldingen
образы	beelden
домашние	zelfgemaakt
домашние	zelfgemaakte
приборы	instrumentarium
приборы	instrumenten
квартиру	plat
арест	arresteren
арест	aanhouding
арест	arrestatie
рисунки	plaatjes
рисунки	tekeningen
заказ	bestelling
заказ	orde
заказ	bestellen
социальный	sociale
социальный	sociaal
обсуждается	bespreekt
красноярск	krasnojarsk
выразил	uitgedrukt
реальность	werkelijkheid
реальность	realiteit
намерения	voornemens
намерения	bedoeling
намерения	intenties
намерения	intentie
намерения	bedoelingen
гонсалес	gonzalez
арбитр	arbiter
арбитр	scheidsrechter
свадьба	trouwfeest
свадьба	bruiloft
свадьба	huwelijk
журналистики	journalistiek
преобразование	bekering
преобразование	conversie
преобразование	omschakeling
преобразование	transformatie
преобразование	converteren
преобразование	transformeren
ученый	wetenschapper
ученый	geleerde
театры	theaters
содружества	gemenebest
гитары	gitaren
гитары	gitaar
крейсеров	kruisers
неба	hemel
неба	lucht
закрыто	gesloten
закрыто	afgesloten
мельница	windmolen
мельница	molen
механик	automonteur
механик	monteur
склад	warenhuis
склад	magazijn
склад	opslag
склад	entrepot
склад	pakhuis
публично	publiekelijk
чрезвычайный	buitengewone
чрезвычайный	buitengewoon
чрезвычайный	uitzonderlijk
критическое	kritische
критическое	kritisch
критическое	kritiek
используемые	gebruikte
используемые	gebruikt
прощения	vergeving
прощения	vergiffenis
особняк	herenhuis
хлеб	brood
ближайшее	dichtstbijzijnde
избрана	gekozen
избрана	verkozen
сады	tuinen
сады	boomgaarden
слоя	laag
движок	motor
девочки	meisjes
девочки	meiden
освободить	loslaten
освободить	vrijlating
освободить	vrijgave
гипотезы	hypothesen
середина	midden
медицинская	medische
медицинская	medisch
логично	logischerwijs
логично	logisch
логично	logische
выпускников	afgestudeerden
жаль	jammer
жаль	medelijden
месяцы	maanden
месяцы	maandenlang
стремится	streeft
индонезия	indonesië
дизайнер	ontwerper
стол	tafel
стол	tafeltje
стол	bureau
стол	tabel
исчезли	verdwenen
исчезли	verdween
могилы	graven
королевская	koninklijke
королевская	koninklijk
белков	proteïnen
белков	eiwitten
способствовало	bijgedragen
способствовало	bijdroeg
улицах	straat
улицах	straatjes
улицах	straten
казнь	terechtstelling
казнь	uitvoering
казнь	executie
совершает	pleegt
самцы	reuen
самцы	mannetjes
убедить	overtuigen
технику	techniek
частного	particulier
частного	prive
частного	privé
оригинальные	originele
оригинальные	oorspronkelijke
оригинальные	origineel
цветы	bloemen
цветы	bloemetjes
рыцарь	ridder
прокат	verhuur
литве	litouwen
дам	stuwdam
наблюдать	observeren
тэц	wkk
печатных	afgedrukt
печатных	geprint
печатных	bedrukt
печатных	drukwerk
печатных	gedrukt
ценностей	waarden
ценностей	waardes
квадратный	vierkant
квадратный	plein
квадратный	vierkante
малайзии	maleisische
малайзии	maleisië
реплика	keu
одежда	kledij
одежда	kleding
одежда	kleren
промышленные	industriële
промышленные	industrieel
тяжёлая	zware
тяжёлая	heftig
тяжёлая	zwaar
оппонентов	tegenstanders
вдова	weduwnaar
вдова	weduwe
грибы	paddenstoel
грибы	paddenstoelen
грибы	paddestoelen
грибы	schimmels
грибы	champignons
идеологии	ideologie
идеологии	ideologieën
разрешить	toestaan
признали	herkend
признали	herkende
признали	erkend
признали	erkende
верфи	scheepswerf
псевдонимы	aliassen
законодательство	wetgeving
сзади	achterste
сзади	achterzijde
сзади	achter
сзади	achterhoede
сзади	achterkant
сзади	achteraan
тон	toon
тон	toontje
планете	planeet
леви	heffing
потомков	nageslacht
потомков	afstammelingen
потомков	nakomelingen
регистр	inschrijven
регистр	griffie
регистр	register
регистр	registreren
творческий	creatieve
творческий	creatief
геологии	geologie
химический	chemisch
ближайший	dichtstbijzijnde
астрономы	astronomen
препараты	medicatie
нижние	lager
нижние	lagere
чистой	proper
чистой	schoonmaken
чистой	schoon
украинцы	oekraïners
украинцы	oekraïens
украинцы	oekraïense
продолжая	voortzetten
продолжая	doorgaan
коды	gedragscodes
среду	woensdag
уголовное	misdadig
уголовное	misdadiger
уголовное	crimineel
капитал	hoofdletter
капитал	hoofdstad
капитал	kapitaal
монография	monografie
гвинеи	guinee
вкус	smaken
вкус	proeven
вкус	smaakt
вкус	proef
вкус	smaak
вкус	proeft
ссылается	verwijst
племя	stam
дама	vrouwe
дама	dame
атлетика	atletiek
трудящихся	arbeiders
трудящихся	werkers
трудящихся	werknemers
трудящихся	werkenden
ставки	wedden
ставки	staken
ставки	tarieven
ставки	weddenschappen
ставки	inzetten
люблю	liefde
люблю	liefs
подруга	vriendinnetje
подруга	vriendin
подруга	vriend
сицилии	sicilië
клиентов	cliënten
клиентов	klant
клиентов	afnemers
клиентов	klanten
клиентов	afnemer
выпускник	afgestudeerd
выпускник	afgestudeerde
выпускник	afstuderen
возникновение	opkomst
успенский	oespenski
остановка	stoppen
гвинея	guinee
реформа	hervormen
реформа	hervormingen
реформа	hervorming
войти	aanmelding
войти	aanmelden
войти	invoeren
войти	inloggen
скрипки	violen
дева	maagd
дева	maagden
висит	rondhangen
висит	ophanging
висит	ophangen
висит	hangen
висит	hangt
полицейских	politieagenten
конвенции	conventie
конвенции	conventies
конвенции	verdrag
конвенции	verdragen
местоположения	locaties
обнаружить	ontdek
обнаружить	ontdekken
душа	douchen
душа	ziel
душа	douche
медведь	beren
медведь	beer
медведь	beertje
чёрное	zwart
чёрное	zwarte
быстрый	vlug
быстрый	snelle
быстрый	vasten
быстрый	snel
кратеров	kraters
тан	kleurtje
спектр	spectre
ширину	breedte
представлений	inzendingen
нации	natie
джин	gen
джин	jenever
продано	verkocht
продано	verkochte
мощный	krachtig
мощный	krachtige
мощный	machtig
кругах	rondjes
кругах	cirkels
кругах	kringen
испанская	spaans
испанская	spaanse
комплексы	complexen
разнообразные	gevarieerd
разнообразные	divers
моложе	jonger
моложе	jongere
интерпретации	interpretaties
льда	ijs
сопровождении	begeleide
сопровождении	begeleid
институты	instellingen
институты	instituten
немецкое	duits
немецкое	duitse
норвежский	noors
норвежский	noorse
командиров	commandanten
командиров	bevelhebbers
взяв	nemen
лейтенанты	luitenants
вулкан	vulkaan
дополнительная	aanvullende
дополнительная	bijkomende
дополнительная	bijkomend
дополнительная	extra
дополнительная	aanvullend
десятилетий	decennia
выросла	groeide
выросла	groeiden
конкретный	beton
конкретный	concreet
конкретный	specifieke
конкретный	specifiek
конкретный	betonnen
верить	geloof
верить	geloven
купить	kopen
купить	koop
верность	loyaliteit
верность	trouw
поднять	verhogen
поднять	tillen
поднять	opheffen
поднять	optillen
поднять	verheffen
поднять	til
плата	honorarium
плата	vergoeding
репутацию	reputatie
школьников	schoolkinderen
школьников	scholieren
коммуникации	communicatie
коммуникации	mededelingen
костюм	kostuum
костюм	maatpak
костюм	pak
избирательный	selectief
избирательный	selectieve
маяк	vuurtoren
маяк	baken
отдельное	aparte
отдельное	gescheiden
отдельное	apart
воин	strijder
воин	krijger
отбора	selectie
бойцы	strijders
бойцы	vechters
бойцы	boksers
лук	buigen
лук	buiging
лук	uien
лук	buig
лук	boeg
лук	boog
лук	ui
прусской	pruisische
