que	那個
treinta	三十
cercano	鄰近
cercano	周邊
cercano	附近
tráfico	交通
órgano	器官
órgano	風琴
medallas	勳章
medallas	獎章
medallas	獎牌
archivos	文件
archivos	檔案
archivos	歸檔
fechas	日期
dobles	雙倍
dobles	雙打
dobles	雙
dobles	加倍
dobles	雙重
directores	管理者
directores	董事
físico	物理
físico	體質
físico	體格
democracia	民主
mediterráneo	地中海
opción	選項
opción	選擇
perdido	迷失
perdido	輸
perdido	錯過
perdido	失
perdido	遺失
perdido	輸了
legal	合法
tercero	第三
enorme	巨大
constitucional	憲政
constitucional	憲法
plazo	限期
plazo	期限
católicos	天主教
católicos	天主教徒
escritura	寫信
escritura	撰寫
escritura	筆跡
escritura	字跡
escritura	寫作
escritura	手寫
escritura	寫入
escritura	寫
escritura	書寫
estadísticas	統計數字
críticos	批判
críticos	批評家
críticos	危急
críticos	評論家
críticos	臨界
cristiana	基督徒
cristiana	基督教
ordenó	訂購
transmisión	直播
transmisión	播出
transmisión	傳送
transmisión	廣播
transmisión	播放
transmisión	傳輸
carne	肉
carne	牛排
carne	肉食
carne	肉類
carne	牛肉
ucrania	烏克蘭
enviado	提交
enviado	特使
vehículo	車輛
reparto	演員
reparto	分布
reparto	石膏
reparto	分配
reparto	投
reparto	分銷
círculo	圓形
círculo	圓
círculo	圈
círculo	圓圈
círculo	迴圈
alimentos	糧食
alimentos	食品
alimentos	食物
casado	已婚
abierta	開
abierta	開放
abierta	營業
abierta	開啟
habitual	平時
agencia	機構
agencia	代理商
popularidad	人氣
votar	投票
votar	表決
pinturas	顏料
pinturas	繪畫
pinturas	油畫
pinturas	油漆
iniciativa	倡議
redes	漁網
redes	蚊帳
redes	籃網
redes	網路
estreno	首映
estreno	首播
localización	地點
localización	位置
localización	所在地
fortaleza	力量
fortaleza	力氣
fortaleza	堡壘
fortaleza	實力
fortaleza	堡
fortaleza	要塞
fortaleza	體力
fortaleza	強度
fortaleza	剛毅
deriva	漂移
deriva	飄
deriva	漂流
deriva	飛揚
deriva	漂
marido	丈夫
electrónica	電子
buques	船舶
buques	船隻
diccionario	字典
diccionario	詞典
profesión	佔領
profesión	職業
profesión	專業
consigue	獲得
consigue	得到
consigue	獲取
consulta	查詢
consulta	諮詢
consulta	詢問
consulta	協商
historiadores	歷史學家
mitología	神話
debate	辯論
perder	輸
componentes	元件
belleza	美容
belleza	美女
belleza	美
belleza	美人
descubre	發現
descubre	探索
personales	個人
ácido	酸性
ácido	酸
cumplir	履行
infancia	兒童
infancia	童年
líderes	領導人
líderes	領導者
espacial	空間
espacial	太空
predecesor	前身
oscuro	黑暗
oscuro	黑
oscuro	暗
verdadero	真實
segundos	秒
segundos	第二
segundos	秒數
margen	比值
cañón	峽谷
cañón	桶
cañón	槍管
cañón	砲
cañón	大炮
cañón	大砲
cañón	炮
religioso	宗教
relativamente	相對
columna	脊柱
columna	柱
columna	專欄
columna	脊椎
columna	欄
columna	列
danza	舞
danza	舞動
danza	舞蹈
danza	跳舞
veinte	二十
periodistas	記者
asunción	假設
asunción	假定
fondos	資金
fondos	基金
fondos	背景
barcos	船舶
barcos	艇
barcos	船隻
salvo	除外
salvo	除了
chica	女孩
chica	姑娘
chica	女生
precio	價格
precio	價錢
precio	定價
precio	價
pensamiento	想法
pensamiento	思考
pensamiento	思維
pensamiento	思想
leer	讀書
leer	讀取
leer	閱讀
leer	讀
declaración	宣言
deportistas	運動員
mala	壞
asesinado	被殺
argumento	劇情
argumento	陰謀
argumento	論證
argumento	論據
argumento	爭論
argumento	論點
argumento	密謀
portal	門戶
médicos	醫務
médicos	醫療
médicos	醫學
sacerdote	祭司
cultivo	農作物
cultivo	莊稼
cultivo	文化
cultivo	種植
cultivo	作物
económicas	經濟學
económicas	經濟
guion	電影劇本
guion	編劇
guion	劇本
arzobispo	大主教
mancha	染色
mancha	污點
conocidas	已知
retirado	退役
retirado	退休
inteligencia	英特爾
inteligencia	智慧
inteligencia	情報
inteligencia	智力
baile	舞
baile	舞動
baile	舞蹈
baile	跳舞
viviendas	住家
viviendas	住房
relevante	相關
paseo	散步
paseo	步行
paseo	走路
paseo	騎
paseo	騎馬
paseo	乘車
menciona	提及
famosa	有名
famosa	著名
espera	等待
encargado	委託
compañías	公司
reciente	近期
reciente	最近
intereses	利息
intereses	興趣
intereses	利益
senado	元老院
senado	參議院
plantillas	樣板
plantillas	模板
canarias	金絲雀
disputa	爭端
disputa	爭議
disputa	糾紛
ave	鳥
ave	伯德
astronómicos	天文
globo	氣球
globo	全球
globo	環球
orígenes	起源
éstos	這些
económicos	經濟
aliados	盟友
aliados	盟國
aliados	同盟
aliados	盟軍
detalles	細節
detalles	詳情
salto	跳躍
salto	蹦跳
salto	跳過
salto	跳
competiciones	競賽
dictadura	獨裁
dictadura	獨裁政權
dictadura	專制
dictadura	專政
difusión	直播
difusión	播出
difusión	傳播
difusión	廣播
difusión	擴散
difusión	播放
rio	河流
rio	江河
rio	河
rio	江
ejecución	處決
ejecución	執行
ensayo	論文
ensayo	作文
ensayo	測驗
ensayo	檢驗
ensayo	審訊
ensayo	測試
ensayo	彩排
ensayo	審判
ensayo	試驗
ensayo	排演
ensayo	排練
lucas	路加
independientes	獨立
reglas	規則
reglas	細則
viernes	週五
viernes	星期五
suerte	幸運
suerte	運氣
golfo	海灣
nobles	高貴
nobles	貴族
nobles	高尚
nobles	崇高
tratar	嘗試
tratar	試試
tratar	對待
bruselas	布魯塞爾
trenes	列車
trenes	火車
feria	公平
comida	糧食
comida	食品
comida	食物
apellido	姓
apellido	姓氏
etapas	階段
comunas	市鎮
comunas	公社
seguro	安全
seguro	保險費
seguro	保險
seguro	平安
fotos	圖畫
fotos	像片
fotos	照片
fotos	圖片
amistad	友情
amistad	友誼
entra	輸入
extranjeros	外籍
extranjeros	外星人
extranjeros	外國
extranjeros	外僑
extranjeros	異形
extranjeros	外籍人士
extranjeros	老外
extranjeros	外國人
artillería	大炮
artillería	炮兵
artillería	火炮
artillería	軍械
concentración	聚焦
concentración	焦點
concentración	濃度
concentración	重點
concentración	專注
contar	計數
contar	數
máquina	機
máquina	機械
máquina	機器
frecuentemente	常常
frecuentemente	經常
frecuentemente	頻繁
frecuentemente	時常
lagos	湖
lagos	湖泊
montes	山脈
montes	山
montes	山區
descriptiva	敘述
descriptiva	描述
fruto	水果
fruto	果實
fruto	果
manual	手冊
coche	車
coche	汽車
terrenos	陸地
terrenos	地形
terrenos	土地
terrenos	地勢
ceremonia	儀式
lejos	遠
conflictos	衝突
fallecidos	已故
fallecidos	逝者
pregunta	提問
pregunta	問
pregunta	問題
juez	法官
familiares	親戚
familiares	家人
familiares	家屬
familiares	親屬
familiares	家庭
patrón	圖案
patrón	格局
patrón	模式
afirma	申明
ala	翼
ala	永
sexo	性別
sexo	性
sexo	性愛
sexo	性行為
celebración	慶祝
celebración	慶典
previamente	先前
mínimo	最少
mínimo	最小
abarca	封面
literaria	文學
milán	米蘭
descenso	拒絕
descenso	下降
descenso	減少
descenso	降低
descenso	衰落
descenso	血統
descenso	世系
descenso	減
viajes	旅遊
viajes	旅行
viajes	遊記
viajes	旅費
bloqueo	區塊
bloqueo	鎖
bloqueo	封鎖
bloqueo	阻擋
bloqueo	鎖定
empleados	職工
empleados	僱員
empleados	員工
poblado	村落
poblado	鄉村
poblado	村
poblado	村子
poblado	村莊
batallas	戰
batallas	戰鬥
batallas	戰役
demanda	官司
demanda	需求量
demanda	需求
demanda	要求
demanda	訴訟
agrupación	群集
agrupación	集群
fenómeno	現象
paredes	牆
paredes	城牆
paredes	牆壁
jurado	陪審團
jurado	陪審員
empleo	工作
empleo	就業
confederación	邦聯
confederación	聯邦
agrícola	農業
aniversario	週年紀念
niña	孩子
niña	兒童
niña	女孩
niña	姑娘
niña	女生
terremoto	地震
casco	船體
casco	盔
casco	赫爾
casco	頭盔
suma	總和
deseo	祝願
deseo	慾望
deseo	願望
ejemplares	模範
ejemplares	拷貝
ejemplares	副本
ejemplares	標本
ejemplares	典範
buque	船
buque	船舶
buque	艦
buque	船隻
ausencia	缺席
lanza	矛
lanza	長矛
coalición	聯盟
coalición	聯軍
naves	船舶
naves	船隻
realización	實現
interna	內部
interna	實習
personalidad	個性
personalidad	人格
personalidad	性格
flor	花
flor	花朵
flor	花兒
jugando	玩
jugando	播放
alas	翼
alas	翅膀
jardines	花園
muro	牆
muro	圍牆
muro	壁
muro	牆壁
grados	成績
grados	等級
grados	學位
grados	度
santuario	避難所
santuario	神社
destrucción	毀壞
destrucción	破壞
destrucción	銷毀
destrucción	毀滅
empresario	雇主
empresario	僱主
empresario	商人
empresario	創業者
regresar	返回
regresar	回歸
entrenamiento	訓練
entrenamiento	健身
entrenamiento	培訓
entrenamiento	鍛鍊
izquierdo	左
izquierdo	左翼
izquierdo	左邊
izquierdo	左側
propietario	房東
propietario	地主
propietario	所有者
propietario	業主
llegan	抵達
llegan	到達
cañones	峽谷
cañones	砲
cañones	槍支
cañones	槍械
cañones	大炮
cañones	大砲
cañones	炮
pasos	步驟
pasos	腳步聲
pasos	腳步
descubrimiento	發現
descubrimiento	探索
retirada	收回
retirada	撤退
retirada	退休
retirada	退
retirada	退役
retirada	撤回
catálogo	編目
revisión	修訂
revisión	審查
tarea	作業
tarea	功課
tarea	任務
extranjero	外籍
extranjero	外星人
extranjero	出國
extranjero	外國
extranjero	國外
extranjero	異形
extranjero	老外
extranjero	外國人
divide	鴻溝
cercana	鄰近
cercana	周邊
cercana	附近
divisiones	師團
vieja	老了
vieja	舊的
vieja	舊
vieja	老
espectáculo	展示
espectáculo	奇觀
espectáculo	顯示
organismos	有機體
organismos	生物
indios	印地安人
irán	伊朗
grave	嚴重
grave	嚴肅
grave	認真
grave	重度
organismo	機體
organismo	有機體
encuentros	會議
auto	汽車
auto	車
auto	自我
columnas	欄
clásicos	古典
clásicos	經典
incluida	包括
comunicaciones	通訊
elena	海倫
productores	製片
productores	製片人
tesis	論文
tesis	命題
conexión	連結
secretaría	秘書
secretaría	秘書處
secretaría	登記處
bautista	浸信會
embajada	使館
embajada	大使館
invitado	邀請
invitado	受邀
invitado	來賓
invitado	客人
invitado	賓客
colón	冒號
colón	結腸
colón	哥倫布
tenis	網球
finalizar	完成
finalizar	敲定
exposiciones	展覽
exposiciones	展覽會
exposiciones	展品
exposiciones	展
museos	博物館
explica	解釋
lectura	讀書
lectura	讀取
lectura	閱讀
lectura	讀
quiero	想要
transición	轉型
transición	過渡
recientes	近期
recientes	最近
rutas	路線
presentar	提交
norma	標準
norma	規範
posesión	擁有
posesión	佔有
posesión	持有
noticia	新聞
estudiante	學生
taller	研討會
caminos	道路
caminos	小徑
caminos	路徑
caminos	公路
alcance	山脈
alcance	觸及
alcance	射程
alcance	範圍
privado	私人
privado	隱私
privado	私營
piedras	岩
piedras	岩石
capa	角
capa	層
lateral	側
lateral	一面
editores	出版商
editores	出版社
daños	損害賠償
daños	損傷
daños	損壞
daños	損害
cueva	洞
cueva	山洞
cueva	洞穴
alternativa	候補
discurso	演說
discurso	演講
discurso	講話
discurso	話語
discurso	語音
activa	活躍
activa	積極
activa	啟用
entidades	實體
tareas	轉讓
tareas	任務
tareas	指派
tareas	作業
tareas	功課
moneda	硬幣
moneda	貨幣
moneda	幣值
moneda	錢幣
relacionado	相關
armadas	武裝
aldea	村落
aldea	鄉村
aldea	村
aldea	村子
aldea	村莊
soporte	支援
occidente	西邊
occidente	西
occidente	西部
occidente	西方
vivienda	住宅
vivienda	住房
gloria	光榮
gloria	榮耀
chico	男孩
chico	小孩
incluir	包括
prado	草地
católico	天主教
católico	天主教徒
caballería	騎兵
rebelión	反叛
rebelión	叛亂
rebelión	起義
rebelión	反抗
rebelión	叛逆
religiosas	尼姑
religiosas	宗教
asistente	助理
asistente	助手
fallecido	已故
fallecido	逝者
ritmo	韻律
ritmo	節奏
guionista	編劇
vocal	母音
tío	叔叔
tío	伯父
tío	阿叔
tío	舅舅
senador	議員
senador	參議員
costas	海岸
costas	海岸線
costas	沿岸
costas	沿海
adultos	成年人
adultos	成人
adultos	成年
piso	下限
piso	平
piso	公寓
piso	平面
piso	地板
partida	出境
partida	離境
carreteras	道路
carreteras	高速公路
carreteras	公路
gobiernos	政府
hermandad	聯誼會
hermandad	義氣
perro	狗
perro	犬
perro	竇
establecimiento	建立
rápida	快速
dura	艱難
dura	辛苦
dura	難
dura	硬
dura	強硬
archipiélago	群島
portuguesa	葡萄牙
portuguesa	葡萄牙語
listado	清單
listado	名單
listado	上市
listado	列表
tocar	觸碰
tocar	感動
tocar	感人
negros	黑色
negros	黑
negros	黑人
asunto	主題
ramas	分支
ramas	樹枝
ramas	分行
morir	垂死
insecto	臭蟲
insecto	昆蟲
autonomía	獨立
autonomía	自治
autonomía	自主
cocina	料理
cocina	烹飪
cocina	做飯
cocina	美食
cocina	廚師
cocina	煮
cocina	飲食
cocina	廚房
cocina	菜
cocina	煮飯
cocina	烹調
asociado	協理
cualquiera	任何人
cualquiera	任何
concejo	安理會
pesca	魚類
pesca	釣魚
pesca	漁業
pesca	魚兒
pesca	捕撈
pesca	魚
pesca	捕魚
sucesión	繼承
sucesión	繼任
sucesión	序列
sucesión	遺產
sucesión	順序
sucesión	數列
sucesión	繼承權
primo	表弟
primo	表姐
primo	表妹
primo	表哥
avance	突破
avance	突破性
avance	預支
proteger	保護
pacientes	病患
pacientes	病人
pacientes	患者
finlandia	芬蘭
laterales	橫向
laterales	側
laterales	一面
estrecho	狹隘
estrecho	窄
estrecho	海峽
estrecho	狹義
estrecho	狹窄
estrecho	縮小
papeles	論文
papeles	作用
papeles	角色
fabricación	生產
fabricación	製造業
fabricación	製造
poema	詩
saludo	敬禮
saludo	問候
recuerda	記住
indonesia	印尼
marino	水手
marino	海事
marino	水兵
ramos	花束
batallón	營
pelea	戰鬥
pelea	打
pelea	打架
gastronomía	料理
gastronomía	菜
gastronomía	飲食
gastronomía	美食
académico	學術
virus	病毒
umbral	門檻
potencial	潛力
potencial	潛在
extra	獎勵
extra	獎金
extra	紅利
pilar	柱
pilar	支柱
utilizados	使用
moral	道德
moral	道德觀
moral	士氣
moral	道義
cierre	閉幕
cierre	關閉
paisaje	風景
paisaje	景觀
aviación	航空
rendimiento	產量
rendimiento	屈服
rendimiento	績效
rendimiento	當量
rendimiento	業績
acontecimientos	活動
acontecimientos	事件
supuesto	假定
usada	使用
antigüedad	資歷
antigüedad	古物
antigüedad	古董
penal	罰
penal	罪犯
penal	處罰
penal	懲罰
penal	刑罰
recuperar	檢索
resumen	摘要
resumen	抽象
arcos	拱門
arcos	弓
integrado	整合
existentes	現存
existentes	現有
errores	臭蟲
errores	錯誤
errores	失誤
errores	蟲子
raíces	根
responsabilidad	責任
responsabilidad	負債
responsabilidad	問責
amenaza	威脅
ojo	眼球
ojo	眼
ojo	眼睛
cero	零
separación	分離
separación	離職
separación	分居
habilidades	技能
habilidades	技巧
habilidades	技藝
pago	支付
pago	付款
pago	付費
tendencia	趨向
tendencia	傾向
tendencia	趨勢
tendencia	熱門
instalación	安裝
marcas	標記
marcas	商標
marcas	品牌
índice	指數
índice	索引
gana	勝利
gana	贏
gana	贏了
cambia	變化
cambia	變動
cambia	變更
cambia	改變
cambia	更改
cambia	變
hectáreas	公頃
hectáreas	英畝
próximo	下一步
explotación	剝削
pena	罰
pena	悲痛
pena	處罰
pena	懲罰
pena	可惜
pena	刑罰
quizás	也許
quizás	或許
comparación	比較
comparación	對比
habilidad	技能
habilidad	技巧
habilidad	能力
habilidad	技藝
tiro	射擊
tiro	槍擊
tiro	輪胎
tiro	拍攝
solitario	孤單
solitario	孤獨
solitario	寂寞
cursos	課程
disposición	排版
disposición	佈局
disposición	處置
disposición	版面
disposición	處分
dolor	疼痛
dolor	痛苦
dolor	痛
dolor	傷痛
magdalena	鬆餅
cadenas	鏈條
cadenas	鐵鍊
cadenas	鏈
cadenas	鎖鏈
cadenas	弦樂
tasa	費用
tasa	手續費
tasa	收費
tasa	速率
tasa	費
tasa	利率
tasa	率
tasa	評分
petición	請求
petición	請願書
petición	請願
petición	上訪
petición	要求
criterios	標準
hermanas	姊妹
hermanas	姐妹
disponibles	可用
estadística	統計數字
herramientas	工具
simón	西門
simón	西蒙
escapar	越獄
escapar	逃離
espada	刀
espada	寶劍
espada	劍
espada	刀片
espada	刀鋒
árabes	阿拉伯
árabes	阿拉伯人
sexto	第六
matar	殺死
matar	殺害
matar	殺
matar	殺戮
ninguno	無
oficinas	辦公
oficinas	辦公室
oficinas	辦事處
contemporánea	當代
disciplina	紀律
disciplina	紀律處分
gigante	巨型
gigante	巨人
gigante	巨
cristiano	基督徒
cristiano	基督教
revolucionario	革命性
blancas	白
blancas	白色
participaciones	控股
participaciones	持股
participaciones	持有
candidatura	提名
cuadros	圖畫
cuadros	像片
cuadros	繪畫
cuadros	圖片
cuadros	油畫
cuadros	照片
vegetación	植被
voluntad	將
voluntad	威爾
necesidades	需要
necesidades	需求
necesidades	必需品
eliminar	移除
eliminar	刪去
eliminar	刪除
eliminar	消除
aéreo	空中
clasificado	排名
clasificado	評分
maestros	教師
negocio	業務
negocio	商業
negocio	企業
negocio	商務
mención	引證
mención	引文
mención	提及
escribe	類型
escribe	寫信
escribe	撰寫
escribe	寫作
escribe	型態
escribe	寫入
escribe	寫
esfuerzos	努力
dolores	疼痛
dolores	痛苦
dolores	痛
dolores	傷痛
actuar	演戲
actuar	演技
actuar	代理
producciones	製作
necesita	需要
necesita	需求
gris	灰色
gris	灰
periódicos	報
periódicos	報章
periódicos	報刊
periódicos	報紙
margarita	菊花
adicional	附加
regresa	返回
brigada	旅
béisbol	棒球
logrando	實現
redacción	起草
redacción	撰寫
redacción	寫
redacción	寫作
redacción	寫入
redacción	草擬
redacción	書寫
redacción	社論
combinación	組合
aventuras	探險
aventuras	冒險
combustible	燃油
combustible	燃料
compra	買
compra	購買
obligado	被迫
obligado	強迫
desierto	沙漠
desierto	荒漠
compuestos	大院
compuestos	化合物
compuestos	復合
compuestos	合成
lisboa	里斯本
juana	瓊
juana	簡
juana	珍
juana	貞德
juana	瑾
electo	當選
agentes	代理商
agentes	代理人
productora	製片
productora	製片人
venecia	威尼斯
ensayos	測驗
ensayos	作文
ensayos	審判
ensayos	檢驗
ensayos	測試
ensayos	試驗
ensayos	排演
ensayos	排練
alba	拂曉
alba	黎明
alba	天亮
considerar	考慮
ingenieros	工程
ingenieros	工程師
ingenieros	工程學
insectos	臭蟲
insectos	昆蟲
insectos	蟲子
pistas	曲目
pistas	斜坡
pistas	軌道
pistas	山坡
pistas	線索
trinidad	三位一體
mamíferos	哺乳動物
cinta	膠帶
cinta	絲帶
cinta	磁帶
cinta	帶子
retrato	肖像
retrato	肖像畫
retrato	畫像
calor	熱量
calor	加熱
calor	溫暖
calor	熱火
calor	燙
calor	熱
calor	熱力
colonias	殖民地
mejora	改良
mejora	改善
mejora	改進
republicano	共和
talleres	研討會
angeles	天使
peor	最糟
peor	最壞
peor	最糟糕
anillo	響鈴
anillo	環
anillo	戒指
parejas	情侶
parejas	夫妻
parejas	夫婦
basílica	聖殿
nieto	孫子
nieto	外孫
verdadera	真實
acceder	存取
terrestre	陸地
terrestre	大地
terrestre	地球
elenco	投
elenco	演員
elenco	石膏
causas	起因
integración	融合
integración	整合
astronómica	天文
temporal	溫度
contenidos	內容
clausura	閉幕
clausura	退役
frecuente	頻繁
frecuente	共同
frecuente	經常
frecuente	通用
frecuente	常常
frecuente	常見
alternativo	候補
útil	實用
útil	有用
lunes	週一
lunes	星期一
minuto	閔
minuto	分鐘
minuto	敏
estilos	風格
estilos	樣式
estatua	塑像
estatua	雕塑
estatua	雕像
supremo	最高
equivalente	等效
equivalente	相當於
campus	校園
estancia	留下來
estancia	留
estancia	留下
matemáticas	數學
descendientes	後裔
descendientes	後代
caballos	馬匹
caballos	馬
verdes	格林
verdes	綠黨
verdes	綠
verdes	綠地
verdes	綠色
evidencia	證據
marruecos	摩洛哥
amiga	朋友
amiga	好友
hola	你好
gales	威爾斯
defensor	後衛
tokio	東京
euros	歐元
ciclismo	自行車
ciclismo	騎車
ciclismo	單車
controlar	控制
controlar	控制權
alpes	阿爾卑斯
alpes	阿爾卑斯山
copas	飲料
copas	眼鏡
copas	杯子
semillas	種子
semillas	籽
pierde	輸
pasión	熱情
pasión	激情
acero	鋼
acero	鋼鐵
héroe	英雄
aumentar	增加
aumentar	提高
adicionales	附加
patria	故鄉
patria	家園
patria	祖國
patria	國土
prisioneros	犯人
prisioneros	囚犯
prisioneros	囚徒
prisioneros	俘虜
actitud	態度
borde	邊緣
borde	邊境
borde	邊界
borde	邊框
mecánica	技工
mecánica	機械
mecánica	力學
moda	時裝
moda	時尚
recuperación	復蘇
recuperación	檢索
recuperación	復原
recuperación	回收
recuperación	恢復
recuperación	康復
otoño	秋
otoño	跌倒
otoño	秋天
otoño	秋季
rebotes	籃板球
rebotes	籃板
tienda	商店
tienda	店鋪
tienda	購物
tienda	店
tienda	帳篷
tienda	帳蓬
temperaturas	氣溫
temperaturas	溫度
temperaturas	體溫
reducir	減少
buscando	尋找
buscando	搜尋
cárcel	監獄
otorgado	授予
otorgado	准予
prácticas	實習
crónica	紀事
crónica	慢性
toro	公牛
toro	牛
solista	獨唱
solista	獨奏
reducción	裁減
reducción	減少
reducción	裁員
tribu	部族
tribu	部落
registros	原木
registros	記錄
registros	紀錄
ligeramente	稍微
fotografías	圖畫
fotografías	像片
fotografías	照片
fotografías	圖片
asumió	假定
continua	連續
continua	持續
jurisdicción	管轄權
candidatos	候選
candidatos	候選人
dibujos	圖畫
dibujos	繪圖
dibujos	圖紙
dueño	所有者
dueño	業主
escritora	作者
escritora	編劇
escritora	作家
investigadores	研究者
checa	捷克
departamentos	各部門
bibliografía	書目
ejercicio	演習
ejercicio	鍛鍊
ejercicio	練習
apariencia	外貌
apariencia	外觀
apariencia	外表
oferta	優惠
variedades	品種
ventaja	優點
ventaja	優勢
revela	揭示
revela	揭露
literario	文學
humor	心境
humor	幽默
humor	心情
humor	情緒
influencias	影響
influencias	影響力
bomba	泵
bomba	炸彈
bomba	水泵
sujeto	主題
mostrar	展示
mostrar	顯示器
mostrar	顯示
necesaria	必需
necesaria	必要
cien	百
arquitectos	建築師
ganadora	勝者
ganadora	贏家
cooperación	合作
editar	編輯
editar	剪輯
monedas	硬幣
monedas	貨幣
monedas	錢幣
orientación	方向
orientación	定向
orientación	指導
preparación	籌備
integrada	整合
consenso	共識
jerusalén	耶路撒冷
himno	國歌
himno	聖歌
cristal	水晶
cristal	玻璃
cristal	晶體
bella	貝勒
múnich	慕尼黑
bloque	區塊
presupuesto	預算
desconocido	不明
desconocido	未知
ligas	聯盟
ligas	聯賽
ligas	同盟
eléctrico	電動
eléctrico	電氣
eléctrico	電
calendario	曆
calendario	曆法
calendario	日曆
calendario	附表
siria	敘利亞
pensar	思考
pensar	思維
empate	領結
empate	領帶
empate	抽籤
empate	平局
empate	繪製
empate	畫
tono	基調
tono	語氣
tono	色調
tono	音調
tono	音
confianza	信任
confianza	自信
confianza	信賴
confianza	信心
confianza	信託
colecciones	收藏
exilio	流放
exilio	流亡
exilio	放逐
funciona	工程
funciona	作品
publicidad	廣告
publicidad	宣傳
publicidad	公示
inauguración	就職
inauguración	開幕
inauguración	開局
inauguración	就職典禮
hipótesis	假設
hipótesis	假說
atacar	襲擊
atacar	進攻
atacar	攻擊
parques	樸
parques	公園
centrales	中央
progreso	進度
progreso	進步
selva	熱帶雨林
selva	野外
selva	雨林
selva	叢林
selva	森林
selva	荒野
elegir	挑
elegir	選擇
elegir	選
elegir	挑選
tripulación	船員
defender	保衛
defender	捍衛
secuencia	數列
secuencia	序列
secuencia	順序
secuencia	輪播
electrónico	電子
millas	英里
millas	萬里
rurales	農村
permitir	許可
permitir	允許
permitir	許可證
permitir	容許
genérico	通用
modernos	現代
modernos	摩登
modernos	近代
modernos	現代化
porcentaje	百分比
mata	殺
uniforme	均勻
uniforme	軍服
uniforme	制服
uniforme	軍裝
satélite	衛星
aventura	探險
aventura	冒險
compone	作曲
brazo	臂
brazo	胳膊
brazo	手臂
brazo	軍火
sal	鹽
sal	食鹽
borrar	刪除
borrar	刪去
ruinas	遺跡
ruinas	遺址
ruinas	廢墟
observar	觀察
parecido	相似
parecido	類似
aceite	石油
aceite	機油
aceite	油
eliminado	刪除
regla	細則
regla	統治者
regla	尺子
tumba	墓
tumba	墳
tumba	墓穴
tumba	墳墓
empleado	職員
empleado	書記
empleado	員工
empleado	職工
empleado	辦事員
empleado	僱員
cuidado	護理
cuidado	關心
alias	別名
mecanismo	機制
rocas	搖滾
rocas	岩
rocas	石頭
rocas	岩石
trama	劇情
trama	陰謀
trama	密謀
renacimiento	重生
renacimiento	振興
renacimiento	復興
renacimiento	復蘇
renacimiento	再生
renacimiento	文藝復興
dificultades	難度
dificultades	困難
daño	損害
daño	損傷
daño	傷害
daño	損壞
daño	危害
seguidores	追隨者
argumentos	論證
argumentos	爭論
argumentos	論點
argumentos	參數
inversión	投資
inversión	反轉
asociaciones	社團
flujo	流程
flujo	流量
flujo	流動
flujo	流通
flujo	流
eva	夏娃
italianos	義大利
italianos	義大利文
conceptos	概念
conceptos	理念
placa	板
placa	徽章
placa	牌匾
placa	警徽
rosas	玫瑰
rosas	玫瑰花
psicología	心理
psicología	心理學
municipalidad	市
indígena	土著
criterio	標準
fiscal	檢察官
hoja	葉子
hoja	刀鋒
hoja	葉
hoja	刀片
cuadrados	方塊
aprendizaje	學習
aprendizaje	學
aprendizaje	學徒
grabar	錄音
grabar	唱片
grabar	記錄
grabar	紀錄
sexta	第六
onda	浪
onda	浪潮
onda	波浪
onda	波
onda	揮手
interesante	有趣
reformas	整修
reformas	翻修
reformas	改革
reformas	修繕
esposo	丈夫
esposo	老公
variantes	變異
variantes	變體
publicados	出版
publicados	張貼
publicados	發表
creando	創建
respeto	尊敬
respeto	尊重
correo	快遞
correo	電子郵件
correo	信件
correo	郵寄
correo	信使
correo	郵件
eliminación	處置
eliminación	消除
símbolos	符號
cerámica	陶藝
cerámica	陶器
cerámica	陶瓷
delgado	瘦
delgado	薄
delgado	苗條
asentamiento	定居
asentamiento	定居點
tecnologías	技術
abre	開
abre	開放
abre	營業
abre	開啟
griegos	希臘
griegos	希臘文
caracteres	字元
caracteres	角色
petróleo	石油
petróleo	機油
petróleo	油
intercambio	交換
intercambio	交流
intercambio	互換
intercambio	兌換
intercambio	交易所
aviso	通知
aviso	警告
absoluta	絕對
absoluta	絕對值
vendido	賣
vendido	售出
unirse	加入
famosos	有名
famosos	名人
famosos	著名
famosos	名流
duro	粗
duro	艱難
duro	粗糙
duro	辛苦
duro	毛坯
duro	難
duro	硬
duro	強硬
cristianismo	基督教
huevos	蛋
huevos	雞蛋
huevos	卵
dibujo	圖畫
dibujo	畫畫
dibujo	繪畫
dibujo	繪圖
frío	冷
frío	寒冷
frío	冷冷
concreto	混凝土
concreto	具體
concreto	水泥
decisiones	決定
esculturas	雕塑
patio	庭院
patio	院子
patio	碼
conocimientos	知識
afirmó	斷言
añadir	加
añadir	加上
dúo	二重唱
brillante	明亮
brillante	光輝
brillante	閃亮
brillante	閃耀
brillante	輝煌
mide	衡量
mide	測量
mide	量度
mide	計量
mide	度量
leche	奶
leche	牛奶
leche	乳
sociedades	社會
pagar	支付
pagar	付款
pagar	付費
soldado	士兵
soldado	焊接
soldado	軍人
soldado	戰士
soldado	兵
pleno	全會
teorías	理論
jose	大衛
puertos	埠
puertos	港灣
puertos	港口
puertos	港
cincuenta	五十
salta	跳躍
salta	跳過
salta	跳
ribera	河濱
ribera	河岸
tormenta	暴風
tormenta	風暴
tormenta	暴風雨
transformación	加工
transformación	轉變
transformación	處理
transformación	轉型
transformación	變形
transformación	轉化
transformación	變換
