மற்றும்	en
மருத்துவர்கள்	artsen
மலாக்கா	malakka
கவிஞர்கள்	dichters
கொல்லப்பட்டார்	vermoord
கொல்லப்பட்டார்	gedood
பொருத்தமான	geschikt
பொருத்தமான	geschikte
பாராளுமன்ற	parlementair
பாராளுமன்ற	parlementaire
பிரதி	dupliceren
பிரதி	dubbele
பிரதி	duplicaat
முன்னேற்றம்	vorderingen
முன்னேற்றம்	voortgang
முன்னேற்றம்	vooruitgang
அயர்லாந்து	ierland
தெய்வம்	godin
வழங்கப்பட்ட	verstrekt
வழங்கப்பட்ட	verstrekte
அளித்து	verstrekt
அளித்து	verstrekte
புறம்	zijde
புறம்	kant
புறம்	zijkant
பாரிஸ்	parijs
இயல்பான	organisch
இயல்பான	normale
இயல்பான	biologisch
இயல்பான	organische
இயல்பான	normaal
படிப்படியாக	geleidelijke
படிப்படியாக	geleidelijk
அவனை	hem
அப்பொழுது	daarna
அப்பொழுது	dan
அளவுகள்	maten
அளவுகள்	dimensies
அளவுகள்	afmetingen
கருத்துகள்	opmerkingen
கருத்துகள்	reacties
கருத்துகள்	commentaar
கருத்துகள்	commentaren
அழுத்த	druk
அழுத்த	pers
ஆடை	jurkje
ஆடை	jurk
ஆடை	kleding
ஆடை	kledij
ஆடை	aankleden
டீ	thee
ஆயிரக்கணக்கான	duizenden
பீ	bijen
குறி	teken
குறி	markeren
குறி	merkteken
குறி	markeer
குறி	ondertekenen
குறி	tekenen
குறி	onderteken
மேடை	podium
மேடை	toneel
மேடை	fase
மேடை	stadium
சாம்பல்	grijs
சாம்பல்	grijze
மலாய்	maleis
கலப்பு	mixen
கலப்பு	vermengd
கலப்பு	gemengd
கலப்பு	gemengde
கலப்பு	mengen
கலப்பு	meng
கலப்பு	gemixt
ரா	rauwe
ரா	rauw
ரா	ruw
ரா	ruwe
வடமேற்கு	noordwest
வடமேற்கு	noordwesten
வருடங்கள்	jaar
வருடங்கள்	jaren
உலகளவில்	globaal
பொட்டாசியம்	kalium
காலநிலை	weer
காலநிலை	klimaat
பரிந்துரை	suggestie
பரிந்துரை	aanbeveling
பரிந்துரை	aanbevelen
பரிந்துரை	suggereren
பரிந்துரை	aanraden
ஏனென்றால்	omdat
ஏனென்றால்	want
தோட்டம்	tuintje
தோட்டம்	tuin
இலவச	vrij
இலவச	gratis
ஞானம்	wijsheid
சினிமா	bioscoop
சினிமா	bioscopen
நுகர்வோர்	consumenten
நுகர்வோர்	consument
தோழி	vriendin
தோழி	vriend
வாய்	mond
பாதிப்பு	beschadigingen
பாதிப்பு	beschadiging
பாதிப்பு	schade
அழகு	mooie
அழகு	prachtig
அழகு	schattig
அழகு	mooi
அழகு	schoonheid
ஆப்பிள்	appel
விலகி	weg
தொடர்புகள்	contacten
தொடர்புகள்	contactpersonen
பெட்டி	doos
பெட்டி	bokste
பெட்டி	vak
கொடுத்த	gegeven
தொடர்ச்சி	opeenvolging
தொடர்ச்சி	continue
தொடர்ச்சி	continu
தொடர்ச்சி	tekenreeks
தொடர்ச்சி	volgorde
தொடர்ச்சி	doorlopend
தொடர்ச்சி	ononderbroken
தொடர்ச்சி	touwtje
தொடர்ச்சி	doorlopende
தொடர்ச்சி	sequentie
பில்	wetsontwerp
பில்	wetsvoorstel
மொபைல்	mobiel
பின்னணி	achtergrond
பின்னணி	achtergrondinformatie
கலைகள்	kunsten
கலைகள்	kunst
கலைக்களஞ்சியம்	encyclopedie
மின்னணு	elektronisch
பயன்பாடுகள்	toepassingen
பயன்பாடுகள்	applicaties
பயன்பாடுகள்	aanvragen
பாரிய	enorme
பாரிய	massale
பாரிய	massief
பாரிய	massaal
வெ	vr
குறிப்பிடப்படுகிறது	wandelaars
கற்பனை	verbeeldingskracht
கற்பனை	verbeelding
கற்பனை	fantasie
பூக்கள்	bloemen
பூக்கள்	bloemetjes
சகோதரர்கள்	broers
சகோதரர்கள்	broertjes
சகோதரர்கள்	broeders
சகோதரர்கள்	gebroeders
போலந்து	polen
ஒவ்வொன்றும்	ieder
ஒவ்வொன்றும்	elk
ஒவ்வொன்றும்	elke
தொழிலாளர்கள்	arbeiders
தொழிலாளர்கள்	werkers
தொழிலாளர்கள்	werknemers
தொழிலாளர்கள்	werkenden
வளர்ப்பு	pleegkind
வளர்ப்பு	pleeggezin
தொடர்கள்	reeksen
தொடர்கள்	snaren
தொடர்கள்	reeks
தொடர்கள்	serie
தொடர்கள்	touwtjes
தொடர்கள்	koorden
மது	likeur
மது	wijn
குறிப்பிடப்பட்டுள்ளது	gespecificeerde
குறிப்பிடப்பட்டுள்ளது	opgegeven
குறிப்பிடப்பட்டுள்ளது	gespecificeerd
கனடிய	canadees
கனடிய	canadese
சொல்ல	zeg
சொல்ல	zeggen
ஆதிக்கம்	dominantie
ஆதிக்கம்	domineren
ஆதிக்கம்	machtspositie
தவறு	verkeerd
தவறு	fout
தவறு	precisie
தவறு	verkeerde
தவறு	nauwkeurigheid
தவறு	vergissing
தவறு	foutje
தவறு	onwaar
தவறு	vals
தவறு	valse
இளைஞர்	jongeren
இளைஞர்	jeugd
வாரம்	weekje
பொருந்தும்	overeenkomend
பொருந்தும்	bijpassende
பொருந்தும்	overeenkomende
பொருந்தும்	solliciteren
பொருந்தும்	toepassen
பாடி	lichaam
பரவல்	verdeling
பரவல்	verspreiding
பரவல்	distributie
தடுத்து	nablijven
தடுத்து	detentie
தடுத்து	bewaring
செருமானிய	germaanse
திசை	richting
ஈர்ப்பு	aantrekking
ஈர்ப்பு	attractie
ஈர்ப்பு	aantrekkingskracht
நலம்	nou
நலம்	wel
நலம்	prima
நலம்	gezondheid
உணவுகள்	levensmiddelen
உணவுகள்	voedingsmiddelen
இரயில்	spoor
இரயில்	spoorwegen
இரயில்	trein
இரயில்	leunde
உடனே	direct
உடனே	zsm
உடனே	onmiddelijk
உடனே	onmiddellijk
இழப்பு	losjes
இழப்பு	verliezen
இழப்பு	los
இழப்பு	verlies
இழப்பு	losse
இல்லம்	huis
தேசம்	natie
வலுவான	sterk
வலுவான	sterke
வலுவான	sterken
வாக்காளர்	kiezer
வாக்காளர்	kiezers
இயக்குநர்கள்	directeurs
இயக்குநர்கள்	directeuren
இயக்குநர்கள்	bewindvoerders
இயக்குநர்கள்	regisseurs
அரசுகள்	overheden
அரசுகள்	regeringen
பயன்படுத்திக்	gebruiken
ஒட்டுமொத்த	globaal
மான்	herten
மான்	hert
பெண்களுக்கு	meisjes
பெண்களுக்கு	vrouwen
பெண்களுக்கு	meiden
பரிசோதனை	experimenteren
பரிசோதனை	testen
மாற்றங்களை	wijzigingen
மாற்றங்களை	veranderingen
வளாகம்	complexe
வளாகம்	ingewikkeld
எழுதப்பட்டது	afgebrand
எழுதப்பட்டது	verbrand
எழுதப்பட்டது	geschreven
எழுதப்பட்டது	schriftelijke
பிரச்சினை	probleem
சேர்	meedoen
சேர்	voeg
சேர்	toevoegen
பாரசீக	perzische
பாரசீக	perzisch
எங்கும்	elders
எங்கும்	overal
மீதும்	capabel
மீதும்	bekwaam
முத்து	parel
கரு	primitieven
சான்று	bewijzen
சான்று	getuigenis
சான்று	bewijs
சான்று	getuigenissen
தாக்கத்தை	effect
தாக்கத்தை	inslag
தாக்கத்தை	botsing
வார்த்தை	woord
இளங்கலை	vrijgezel
மேம்பட்ட	geavanceerde
மேம்பட்ட	gevorderden
மேம்பட்ட	gevorderd
மேம்பட்ட	geavanceerd
கடினமான	harde
கடினமான	taai
கடினமான	stoer
கடினமான	moeilijk
குளிர்	koude
குளிர்	koud
குளிர்	kou
இன்னமும்	nog
தளங்கள்	platformen
தளங்கள்	domeinen
சுவர்	prikbord
சுவர்	muur
சுவர்	wand
சிற்பங்கள்	sculpturen
எதிர்கால	toekomst
எதிர்கால	toekomstige
எதிர்கால	toekomstig
வேத	vedische
அழைக்கப்பட்ட	gebeld
அழைக்கப்பட்ட	genoemd
அழைக்கப்பட்ட	belde
பெரும்பான்மை	meerderheid
அதிகபட்ச	maximale
அதிகபட்ச	maximaal
பிழை	fout
பிழை	fouten
பிழை	vergissing
தென்மேற்கு	zuidwesten
தென்மேற்கு	zuidwestelijke
தென்மேற்கு	zuidwest
நகரும்	bewegend
நகரும்	bewegen
நகரும்	verplaatsen
நகரும்	verhuizen
தயாரிக்கும்	maken
விரைவு	vlug
விரைவு	snelle
விரைவு	snel
பெறப்பட்ட	ontvangen
யூனியன்	vakbond
யூனியன்	unie
எடுக்கும்	nemen
எடுக்கும்	neemt
இந்தியர்கள்	indiërs
இந்தியர்கள்	indianen
பாடகர்கள்	zangers
பிரச்சினைகள்	problemen
பிரச்சினைகள்	kwesties
டிஜிட்டல்	digitaal
ஆவணங்கள்	documenten
ஆவணங்கள்	mappen
ஆவணங்கள்	documentatie
கல்லீரல்	lever
சான்றிதழ்	certificaat
தற்கொலை	zelfmoord
தற்கொலை	zelfdoding
ஈரான்	iraanse
துப்பாக்கி	geweer
துப்பாக்கி	pistool
துப்பாக்கி	wapen
அரிசி	rijst
தனித்த	afgelegen
தனித்த	geïsoleerd
தனித்த	geïsoleerde
மாற்றும்	veranderen
மாற்றும்	veranderende
சமன்பாடு	vergelijking
அடிப்படையான	fundamentele
அடிப்படையான	fundamenteel
பெண்ணின்	meis
பெண்ணின்	meisje
பெண்ணின்	meid
பெண்ணின்	vrouw
வளர்ச்சிக்கு	groei
முகவரி	adres
பணியை	baan
சமமாக	gelijk
சமமாக	gelijke
அழைப்பு	bellen
அழைப்பு	oproep
அழைப்பு	bel
தீர்ப்பு	afwikkeling
தீர்ப்பு	vereffening
தீர்ப்பு	nederzetting
தீர்ப்பு	schikking
தீர்ப்பு	oordeel
ஆதாரம்	bewijzen
ஆதாரம்	bron
ஆதாரம்	bewijs
தலைப்புகள்	koppen
ராயல்	koninklijke
ராயல்	koninklijk
அடியில்	onder
வேற்றுமை	verscheidenheid
வேற்றுமை	diversiteit
கட்டணம்	vergoeding
கட்டணம்	betaling
கட்டணம்	honorarium
கட்டணம்	opladen
கட்டணம்	prijs
கட்டணம்	prijzen
நதி	rivier
கைப்பற்ற	overwinnen
கைப்பற்ற	veroveren
நண்பர்கள்	vrienden
சமீபத்திய	laatste
சமீபத்திய	recente
சமீபத்திய	nieuwste
தினமும்	alledaags
தினமும்	dagelijks
தினமும்	dagelijkse
நட்சத்திரம்	ster
ஆய்வாளர்	analist
நடத்தை	gedrag
நடத்தை	gedragingen
விளையாடும்	spelen
பள்ளத்தாக்கு	vallei
தங்கி	blijven
தங்கி	verbleven
தங்கி	bleef
தங்கி	verbleef
தங்கி	gebleven
டவுன்	stad
டவுன்	omlaag
இருக்கும்போது	wanneer
வழக்கறிஞர்	advocate
வழக்கறிஞர்	advocaat
வழக்கறிஞர்	jurist
கோணம்	hoek
சிந்தனை	dachten
சிந்தனை	denkend
சிந்தனை	denken
சிந்தனை	nadenken
சிந்தனை	dacht
சிந்தனை	gedacht
கூட்டத்தில்	bijeenkomst
கூட்டத்தில்	vergaderen
கூட்டத்தில்	ontmoeting
கூட்டத்தில்	vergadering
வாங்கி	koopt
தேவைப்படுகிறது	vereist
தேவைப்படுகிறது	vereiste
டன்	ton
டன்	tonnen
தொழில்முறை	professionele
தொழில்முறை	professioneel
டை	das
டை	gelijkspel
டை	stropdas
நாட்டார்	volkstaal
விமானங்கள்	vlucht
விமானங்கள்	vluchten
நம்பி	geloof
நம்பி	geloven
உரிமம்	licentie
உரிமம்	auteursrechten
உரிமம்	auteursrecht
உரிமம்	authenticatie
உரிமம்	rijbewijs
துருக்கி	turkse
துருக்கி	turks
துருக்கி	turkije
அடிமை	slaaf
அடிமை	slaven
அடிமை	slavin
இரத்தம்	bloeding
இரத்தம்	bloeden
இரத்தம்	bloedingen
இரத்தம்	bloed
விண்கலம்	ruimtevaartuig
விண்கலம்	ruimteschip
விண்கலம்	ruimtevaartuigen
சுழல்	draaien
சுழல்	spiraal
சுழல்	recursie
ரஷ்ய	rus
ரஷ்ய	russisch
ரஷ்ய	russische
கால்வாய்	kanaal
வாகனம்	voertuig
வாகனம்	automobiel
அருவி	watervallen
அருவி	waterval
அருவி	valt
அருவி	vallen
மேயர்	burgemeester
சாலைகள்	wegen
பண்பு	eigendom
பண்பு	vastgoed
பண்பு	attribuut
பண்பு	eigenschap
செயற்கைக்கோள்	satelliet
முடி	haartjes
முடி	einde
முடி	haren
முடி	afmaken
முடி	afwerking
முடி	voltooien
முடி	beëindigen
முடி	eind
முடி	haar
இசையமைப்பாளர்	musicus
இசையமைப்பாளர்	muzikant
பாம்பு	slang
பாம்பு	slangen
அறிவிப்பு	kennisgeving
அறிவிப்பு	melding
அறிவிப்பு	aankondiging
அறிவிப்பு	notificatie
அறிவிப்பு	aanmelding
அறிவிப்பு	mededeling
அறிவிப்பு	bekendmaking
சுவீடன்	zweden
விருப்பம்	zoals
நாளை	morgen
பதிவேற்றப்பட்டது	geupload
பதிவேற்றப்பட்டது	geüpload
வைட்டமின்	vitamine
வைட்டமின்	vitaminen
சமையல்	koken
மூளை	hersenen
மூளை	hersens
மூளை	brein
தோல்வி	mislukt
தோல்வி	mislukken
தோல்வி	gezakt
தோல்வி	verliezen
தோல்வி	mislukkingen
தோல்வி	falen
தோல்வி	gefaald
தோல்வி	verlies
தோல்வி	mislukkeling
தோல்வி	mislukte
தோல்வி	mislukking
நட்பு	vriendschap
படத்தை	foto
முத்திரை	postzegel
முத்திரை	verzegeling
முத்திரை	verzegelen
முத்திரை	zegel
முத்திரை	stempel
முத்திரை	zeehond
இலை	blad
இலை	blaadje
வரலாற்றுச்	historisch
வரலாற்றுச்	historische
விவிலிய	bijbelse
விவிலிய	bijbels
மகிழ்ச்சி	gelukkig
மகிழ்ச்சி	blij
மகிழ்ச்சி	vrolijk
மகிழ்ச்சி	geluk
மகிழ்ச்சி	blijdschap
மகிழ்ச்சி	tevreden
மகிழ்ச்சி	blijheid
வன்முறை	gewelddadige
வன்முறை	geweld
வன்முறை	gewelddadig
கலவை	vermengd
கலவை	gemengd
கலவை	gemengde
கலவை	mengen
கலவை	mengsel
கலவை	gemixt
சார்லஸ்	karel
உள்ளடக்கம்	inhoudsopgave
உள்ளடக்கம்	inhoud
வர்த்தகம்	reclames
வர்த்தகம்	handel
பின்னணிப்	afspelen
என்னுடைய	mijne
கனடாவின்	canadezen
பரிமாற்றம்	uitwisseling
பரிமாற்றம்	overdragen
பரிமாற்றம்	transacties
பரிமாற்றம்	overdracht
பரிமாற்றம்	ruil
பரிமாற்றம்	uitwisselen
பரிமாற்றம்	overplaatsing
கறுப்பு	zwart
கறுப்பு	zwarte
தரமான	kwaliteit
நைட்	ridder
கைப்பற்றி	gevangengenomen
கைப்பற்றி	gevangen
பயண	reizen
பயண	reis
பத்தாம்	tiende
கால்சியம்	kobalt
இயக்கி	stuurprogramma
இயக்கி	rijden
இயக்கி	bestuurder
இயக்கி	chauffeur
இயக்கி	rijd
வலிமையான	sterkste
வலிமையான	sterksten
வலிமையான	sterkst
காயமடைந்தனர்	gewond
காயமடைந்தனர்	geblesseerd
காயமடைந்தனர்	gewonden
கடைசியாக	laatste
வெட்டி	snijden
வெட்டி	knippen
பெறுதல்	ontvangende
பெறுதல்	krijgen
பெறுதல்	ontvangen
பிள்ளைகள்	kinderen
தவறாக	verkeerd
தவறாக	verkeerde
தவறாக	fout
சங்கிலி	ketting
சங்கிலி	keten
சாதனங்கள்	apparaten
தொலைவு	afstand
மனதில்	geest
படித்தார்	bestudeerd
படித்தார்	bestudeerde
படித்தார்	studeerde
அலெக்சாண்டர்	aleksandr
களம்	domein
பழங்கள்	vruchten
பழங்கள்	fruit
வேட்பாளர்	kandidaat
ஓடும்	hardlopen
ஓடும்	rennen
தொழிற்சாலை	fabriek
தொழிற்சாலை	bedrijfstak
தொழிற்சாலை	industriële
தொழிற்சாலை	industrieel
தொழிற்சாலை	industrie
கோடை	zomer
குறைக்க	reduceren
குறைக்க	verminderen
குறைக்க	verkleinen
ஜனநாயக	democratisch
ஜனநாயக	democratische
உறுப்புகள்	elementen
சர்க்கரை	suikers
சர்க்கரை	suiker
நாட்காட்டி	agenda
நாட்காட்டி	kalender
ஆலோசனை	raadpleging
ஆலோசனை	adviezen
ஆலோசனை	raadplegen
ஆலோசனை	consulteren
ஆலோசனை	advies
மெதுவாக	traag
மெதுவாக	langzaam
மெதுவாக	langzame
காப்பீடு	verzekering
காப்பீடு	verzekeringen
அரசியலமைப்பு	grondwet
அரசியலமைப்பு	constitutie
பயன்படுத்துகிறது	gebruiken
மைல்கள்	kilometers
மைல்கள்	mijlen
மைல்கள்	mijl
மடம்	klooster
புனிதர்	heilige
பாத்திரம்	rol
ஆழமான	diep
ஆழமான	diepe
வழிமுறைகள்	instructie
வழிமுறைகள்	instructies
வழிமுறைகள்	kanalen
ஆரம்பித்தது	begonnen
ஆரம்பித்தது	gestart
ஆரம்பித்தது	begon
ஆரம்பித்தது	opgestart
அதிர்வெண்	frequentie
சீரான	tenue
பணிபுரிந்தார்	gewerkt
பணிபுரிந்தார்	werkte
துவக்க	opstarten
துவக்க	opstart
அருகாமையில்	dichterbij
அருகாமையில்	dichter
கொன்று	doden
கொன்று	slacht
கொன்று	slachten
சிட்டி	stad
அதிகரித்து	toenemende
அதிகரித்து	toenemend
புலம்	veld
பாய்	jongen
எங்கள்	ons
எங்கள்	onze
தவம்	boetedoening
தொற்று	besmetting
தொற்று	infecties
தொற்று	infectie
காணாமல்	verdween
காணாமல்	ontbrekende
காணாமல்	verdwenen
காணாமல்	ontbreekt
காணாமல்	ontbrekend
காணாமல்	ontbreken
காணாமல்	missen
காணாமல்	vermist
சந்திரன்	maan
குழுவினர்	bemanning
திரவ	vloeibare
திரவ	vloeibaar
திரவ	vloeistof
தானாகவே	automaat
தானாகவே	automatisch
நுழைவாயில்	toegangspoort
நுழைவாயில்	poort
நுழைவாயில்	doorgang
செல்	cel
மோட்டார்	motorische
மரபியல்	genetica
மரபியல்	genen
விமர்சனம்	kritiek
போர்கள்	oorlogen
போர்கள்	oorlog
பொதுநலவாய	gemenebest
பரவியது	verspreiden
பரவியது	verspreiding
பரவியது	verspreid
ஓட்டம்	uitvoeren
ஓட்டம்	hardlopen
ஓட்டம்	rennen
ஓட்டம்	ren
ஓட்டம்	renner
ஓட்டம்	loper
ஊழல்	oplichting
ஊழல்	oplichterij
ஊழல்	schandaal
ஊழல்	corrupte
ஊழல்	schandalen
ஊழல்	corruptie
ஊழல்	zwendel
குழந்தைகளின்	kinderen
பாதி	helft
ஆதலால்	voordeel
திராவிடர்	dravidische
வம்சம்	dynastie
இந்துக்கள்	hindoes
இந்துக்கள்	hindoe
வாரியம்	bord
வாரியம்	bestuur
தாக்குதல்கள்	aanvallen
தாக்குதல்கள்	aanslagen
அசல்	originele
அசல்	oorspronkelijke
அசல்	origineel
முக்கோண	kubisme
முக்கோண	driehoekige
நிறுத்தி	gestopt
நிறுத்தி	stopte
அவளது	haar
சுவிட்சர்லாந்து	zwitserland
கண்டிப்பாக	zeker
கண்டிப்பாக	beslist
கண்டிப்பாக	absoluut
உருவாக்குகிறது	creëren
உருவாக்குகிறது	creëert
உருவாக்குகிறது	schept
கொலம்பியா	colombia
இந்தோனேசியா	indonesië
நாளும்	dag
நாளும்	dagje
பொறி	valkuil
பொறி	motor
பொறி	valstrik
செக்	tsjechisch
செக்	tsjechische
தேடல்	zoek
தேடல்	zoeken
தேடல்	zoektocht
தேடல்	doorzoeken
தேடல்	zoekopdracht
எலிசபெத்	elisabeth
நன்மை	voordeel
நன்மை	lekker
நன்மை	benefiet
நன்மை	goed
பிணைப்பு	binding
பிணைப்பு	gebonden
கேட்டுக்	luisteren
கேட்டுக்	luisterend
சட்டத்தை	wet
தொலைத்தொடர்பு	telecommunicatie
உயர்வு	stijgen
மையங்கள்	centra
மையங்கள்	cafés
கருப்பை	baarmoeder
ஆதரவாக	ondersteunend
மாநகராட்சி	corporatie
ஆயுதங்கள்	wapens
பராமரிப்பு	onderhoud
ஞாயிறு	zondag
ஞாயிறு	zon
கண்கள்	ogen
கண்கள்	oogjes
சகோதரி	zusje
சகோதரி	zus
சகோதரி	sissi
சகோதரி	mietje
சகோதரி	zuster
பணியாளர்	werknemer
பணியாளர்	medewerker
முக்கோணம்	vertalen
முக்கோணம்	driehoek
முக்கோணம்	vertaal
இணைக்கிறது	verbinden
கணம்	ogenblik
சிறிதளவு	enigszins
சிறிதளவு	ietwat
சிறிதளவு	lichtelijk
சிறிதளவு	enigzins
சிறிதளவு	lichtjes
அனுபவம்	ervaring
அனுபவம்	ervaringen
அனுபவம்	ervaren
அனுபவம்	ervaar
கோரி	veeleisende
கோரி	veeleisend
ஒப்பிடுகையில்	vergeleken
இயக்கங்கள்	operaties
இயக்கங்கள்	bewerkingen
உடை	jurkje
உடை	aankleden
உடை	jurk
மற்றவர்கள்	overigen
மற்றவர்கள்	anderen
மற்றவர்கள்	overige
மற்றவர்கள்	andere
ஸ்பெயின்	spanje
பாடலை	nummer
பாடலை	zang
பாடலை	liedje
பாடலை	lied
நடுத்தர	middellange
நடுத்தர	middelgrote
நடுத்தர	middelgroot
வடிவவியல்	geometrie
வடிவவியல்	meetkunde
பழுப்பு	bruine
பழுப்பு	bruin
பழுப்பு	verbranden
பழுப்பு	brand
பழுப்பு	grijze
பழுப்பு	grijs
பழுப்பு	branden
தடுக்கும்	voorkomen
தடுக்கும்	voorkom
நாட்களுக்கு	dagen
பழக்கம்	gewoonte
அழகான	prachtig
அழகான	mooi
அழகான	heerlijk
அழகான	mooie
இணையாக	parallelle
நடப்பு	presenteren
நடப்பு	huidige
நடப்பு	heden
நடப்பு	actueel
நடப்பு	aanwezig
நடப்பு	presenteer
நடப்பு	huidig
இறையியல்	theologie
தோன்றுகிறது	verschijnt
தோன்றுகிறது	lijkt
நெட்வொர்க்	netwerk
பக்கத்தை	bladzijde
பக்கத்தை	pagina
சின்னங்கள்	pictogrammen
சின்னங்கள்	iconen
கோரிக்கை	verzoeken
கோரிக்கை	aanvraag
கோரிக்கை	verzoek
கோரிக்கை	aanvragen
காலி	leeg
காலி	lege
காலி	ledig
காலி	leegmaken
மூலங்கள்	informatiebronnen
மூலங்கள்	bronnen
மூலங்கள்	hulpbronnen
மூலங்கள்	middelen
வீழ்ச்சி	herfst
வீழ்ச்சி	vallen
வீழ்ச்சி	verslaan
வீழ்ச்சி	nederlaag
பாடினார்	zongen
பாடினார்	zong
பாடினார்	gezongen
தொழிலில்	bedrijfstak
தொழிலில்	industrie
கொடுக்கப்பட்ட	gegeven
சொந்தமான	persoonlijke
சொந்தமான	persoonlijk
வாழ	leven
வாழ	leef
முன்னோடி	pionier
முன்னோடி	pioniers
பிறர்	overigen
பிறர்	anderen
பிறர்	overige
பிறர்	andere
காந்த	magnetisch
காந்த	magnetische
தேர்ச்சி	doorgegeven
தேர்ச்சி	geslaagd
எண்ணற்ற	talrijk
எண்ணற்ற	talloze
எண்ணற்ற	ontelbaar
எண்ணற்ற	talrijke
எண்ணற்ற	ontelbare
கண்டறியப்பட்டது	gediagnosticeerd
கண்டறியப்பட்டது	gedetecteerd
கண்டறியப்பட்டது	ontdekt
கண்டறியப்பட்டது	gevonden
அமைப்புகளில்	instellingen
துடுப்பாட்டம்	krekel
எகிப்திய	egyptische
எகிப்திய	egyptisch
பாட்டு	nummer
பாட்டு	zang
பாட்டு	liedje
பாட்டு	lied
பாடும்	zang
பாடும்	gezang
பாடும்	zingen
நாணயங்கள்	munten
நாணயங்கள்	muntstukken
ஆடு	geiten
ஆடு	geit
அம்மா	mamma
அம்மா	mama
அம்மா	mam
அம்மா	moeder
அம்மா	mammie
அம்மா	moedertje
அம்மா	ma
படகு	raften
படகு	boot
தொழில்துறை	bedrijfstak
தொழில்துறை	industrieel
தொழில்துறை	industrie
தொழில்துறை	industriële
குல	met
துல்லியமாக	precies
துல்லியமாக	nauwkeurig
துல்லியமாக	accuraat
துல்லியமாக	nauwkeurigheid
கூற்று	verklaring
கூற்று	uitdrukking
கூற்று	expressie
ஒப்புதல்	goedkeuring
ஒப்புதல்	toestemming
ஒப்புதல்	goedkeuren
ஒப்புதல்	instemming
சக	collega
அதிகாரப்பூர்வமாக	officieel
டென்னிஸ்	tennissen
மணல்	zand
இடை	middel
இடை	taille
நுட்பம்	juistheid
நுட்பம்	texturen
நுட்பம்	nauwkeurigheid
நுட்பம்	textuur
கவலை	ongerustheid
கவலை	bezorgdheid
கவலை	ongerust
கவலை	bezorgd
கவலை	angst
கவலை	zorgwekkend
இலைகள்	blaadjes
இலைகள்	bladeren
உலா	rondreis
உலா	rondleiding
உலா	tournee
அமிலங்கள்	zuren
பாலை	melk
லூயிஸ்	lodewijk
செயற்பாடுகள்	activiteit
செயற்பாடுகள்	activiteiten
செயற்பாடுகள்	operaties
செயற்பாடுகள்	bewerkingen
செயற்பாடுகள்	functies
எண்ணம்	dacht
எண்ணம்	dachten
எண்ணம்	gedacht
காக்கும்	houden
புள்ளியியல்	statistieken
புள்ளியியல்	statistiek
செயல்கள்	acties
நிலநடுக்கம்	aardbeving
எடுக்கப்பட்டது	genomen
எடுக்கப்பட்டது	meegenomen
நன்று	nou
நன்று	wel
நன்று	lekker
நன்று	goed
எண்ணி	aantal
எண்ணி	getal
எண்ணி	toonbank
எண்ணி	nummer
எண்ணி	teller
பார்த்த	gezien
ஜெமினி	tweeling
கணவர்	echtgenoot
வளங்கள்	informatiebronnen
வளங்கள்	bronnen
வளங்கள்	hulpbronnen
வளங்கள்	middelen
நடிப்பு	acteren
நடிப்பு	acteer
நடிப்பு	waarnemend
பணியாளர்கள்	medewerkers
பணியாளர்கள்	personeel
பணியாளர்கள்	werknemers
பாடம்	lesje
பாடம்	les
பாடம்	leerprogramma
பாடம்	zelfstudie
பாடம்	bijles
தற்காலிக	tijdelijke
தற்காலிக	tijdelijk
பெருக்கல்	meervoudig
பெருக்கல்	vermenigvuldiging
பெருக்கல்	meervoudige
பெருக்கல்	vermeerdering
பெருக்கல்	vermenigvuldigen
பெருக்கல்	meerdere
பெருக்கல்	veelvoud
படையெடுப்பு	invasie
வத்திக்கான்	vaticaanse
வத்திக்கான்	vaticaan
வாய்ப்புகள்	mogelijkheden
வாய்ப்புகள்	kansen
ஓசோன்	ozon
மறைந்து	verstopt
மறைந்து	verdwijnen
மறைந்து	verborgen
வட்டி	belang
வட்டி	interesse
வட்டி	belangstelling
வட்டி	rente
வாடிக்கையாளர்	opdrachtgever
வாடிக்கையாளர்	klant
வாடிக்கையாளர்	cliënt
வாடிக்கையாளர்	afnemer
வாடிக்கையாளர்	concurrent
வழங்கல்	voeder
வழங்கல்	voeden
வழங்கல்	bezorging
வழங்கல்	oplevering
வழங்கல்	levering
வேலைகள்	banen
வேலைகள்	klussen
வேலைகள்	vacatures
ஆயுள்	leven
போலி	nep
போலி	vervalsing
போலி	nagemaakte
போலி	vals
போலி	namaak
சிற்பம்	sculptuur
சிற்பம்	beeldhouwwerk
சிற்பம்	beeld
சிற்பம்	snijden
இணையான	parallelle
இயக்கவியல்	dynamiek
நண்பர்	vriendin
நண்பர்	vriend
தேன்	schat
தேன்	honing
ரிஷபம்	stier
உதாரணம்	voorbeeld
ஈராக்	irak
மின்காந்த	elektromagnetische
மின்காந்த	elektromagnetisch
தாயின்	moeder
தாயின்	moedertje
வாங்க	kopen
வாங்க	koop
எடுத்துக்காட்டுகள்	voorbeelden
ஜனாதிபதி	voorzitter
வந்தான்	kwam
வந்தான்	kwamen
வாகனங்கள்	voertuigen
சூழலியல்	ecologie
தாக்கல்	gearchiveerd
தாக்கல்	ingediend
தாக்கல்	gedeponeerd
தாக்கல்	geklasseerd
போராட்டங்கள்	strijd
சூத்திரம்	formule
பெர்லின்	berlijn
பள்ளிவாசல்	moskee
சோதனைகள்	beproevingen
சோதனைகள்	proeven
