что	อะไร
требование	อุปทาน
платформ	แพลตฟอร์ม
городок	ทาวน์
городок	เมือง
конго	คองโก
долины	หุบเขา
поддерживаю	สนับสนุน
поддерживаю	รองรับ
социальные	สังคม
древние	โบราณ
руководители	ผู้นำ
вырос	พันธุ์
вырос	โต
фунтов	ปอน
фунтов	ปอนด์
оппозиции	ค้าน
передняя	หน้า
обмена	แชร์
цитата	อ้างอิง
цитата	คำคม
половину	ครึ่ง
бассейны	สระ
масс	มวลชน
масс	มวล
опасности	อันตราย
дзюдо	ยูโด
применяются	สมัคร
воздух	แอร์
воздух	อากาศ
слава	รุ่งโรจน์
слава	เกียรติยศ
отрасль	อุตสาหกรรม
шестой	หก
полоса	รันเวย์
выдающийся	ค้าง
дополнить	เสริม
паулу	เปาโล
объявила	ประกาศ
проверка	เช็ค
проверка	ตรวจ
проверка	ทดสอบ
проверка	สอบ
знаменитый	ดัง
природных	ธรรมชาติ
поток	ลำธาร
поток	ไหล
поток	กระแส
фирма	มั่นคง
построенный	สร้าง
стандарт	มาตรฐาน
свобода	อิสรภาพ
свобода	อิสระ
свобода	เสรีภาพ
почвы	ดิน
взаимодействие	กิริยา
взаимодействие	ปฏิสัมพันธ์
джей	เจย์
африка	แอฟริกา
кризиса	วิกฤตการณ์
кризиса	วิกฤต
кризиса	วิกฤติ
священной	ศักดิ์สิทธิ์
миг	มิก
углу	มุม
перевозки	ขนส่ง
агент	เอเย่นต์
агент	ตัวแทน
португалия	โปรตุเกส
выбрать	เลือก
сон	หลับ
сон	ฝัน
сон	นอน
боб	บ็อบ
рамки	กรอบ
рамки	เฟรม
сельскохозяйственных	เกษตร
сельскохозяйственных	การเกษตร
сельскохозяйственных	เกษตรกรรม
поль	พอล
региональных	ภูมิภาค
камеры	กล้อง
звёзды	ดาว
звёзды	ดวงดาว
звёзды	ดารา
мадрид	มาดริด
дания	เดนมาร์ก
разное	เบ็ดเตล็ด
здоровье	สุขภาพ
здоровье	อนามัย
дорогой	ถึง
дорогой	ที่รัก
боснии	บอสเนีย
яйца	ไข่
яйца	ลูกบอล
шарль	ชารลส์
шарль	ชาร์ล
шарль	ชาร์ลส์
лейбл	ป้าย
реальности	เรียลลิตี้
катастрофа	หายนะ
катастрофа	เซียน
биологии	ชีววิทยา
близко	ปิด
близко	ใกล้
джексон	แจ็กสัน
жуков	แมลง
гетто	สลัม
свободный	ฟรี
свободный	อิสระ
свободный	ว่าง
свободный	เสรี
морская	นาวิก
сигнал	สัญญาณ
открыть	เปิด
телевидение	โทรทัศน์
телевидение	ทีวี
последовательно	สอดคล้อง
социалистическая	สังคมนิยม
поколение	ยุค
поколение	รุ่น
заболеваний	โรค
вест	เวสต์
сборных	สำเร็จรูป
помню	จดจำ
применять	สมัคร
огромный	ใหญ่
сообщений	ข้อความ
голубой	สีน้ำเงิน
голубой	บลู
голубой	น้ำเงิน
лошадей	ม้า
сохранение	ออม
сохранение	อนุรักษ์
краю	ขอบ
металла	เหล็ก
металла	โลหะ
кинг	ราชา
кинг	คิง
кинг	กษัตริย์
ценности	ค่า
оставшиеся	เหลือ
душ	ฝักบัว
глубоко	ลึก
машину	รถ
машину	รถยนต์
уголовного	อาชญากร
уголовного	อาชญากรรม
организатор	จัด
автобус	รถเมล์
закрыта	ปิด
концертов	คอนเสิร์ต
энн	แอน
фракции	เศษส่วน
светло	สว่าง
светло	เบา
светло	แสง
светло	ไลท์
концерты	คอนเสิร์ต
необходимые	จำเป็น
советы	ทิป
атлетике	กรีฑา
гай	กาย
торговля	พาณิชย์
торговля	เทรด
торговля	ค้า
торговля	แลก
бюст	หน้าอก
стэнли	สแตนลีย์
аренду	เช่า
двигатели	มอเตอร์
двигатели	เครื่องยนต์
конгресс	รัฐสภา
конгресс	สภา
цифры	ตัวเลข
цифры	หมายเลข
карточка	บัตร
карточка	การ์ด
карточка	ไพ่
ток	ต๊อก
шаг	ขั้น
шаг	ก้าว
сэр	เซอร์
традиция	ประเพณี
традиция	ธรรมเนียม
солнечной	สุ
солнечной	สุริยะ
шотландия	สกอตแลนด์
прошлое	อดีต
европу	ยุโรป
приложения	แอป
приложения	แอพ
собак	สุนัข
собак	หมา
мусульман	มุสลิม
написали	เขียน
самки	สตรี
судей	กรรมการ
ученых	บัณฑิต
важное	สำคัญ
механики	กลไก
механики	กลศาสตร์
замены	ทดแทน
замены	แทนที่
рене	เรเน่
сделаны	ทำให้
фил	ฟิล
фил	ฟิลล์
улучшение	ปรับปรุง
джейн	เจน
многим	หลาย
многим	มากมาย
фред	เฟร็ด
артисты	ศิลปิน
безопасность	รปภ
ценность	ค่า
ценность	มูลค่า
томаса	โธมัส
флорида	ฟลอริดา
график	กำหนดการ
график	ตาราง
график	กราฟ
национальности	สัญชาติ
польская	โปแลนด์
дед	ปู่
послы	ทูต
представителя	ตัวแทน
серьёзные	จริงจัง
ракета	ขีปนาวุธ
ракета	จรวด
потенциал	ศักยภาพ
сделана	ทำให้
исп	ศรี
ведущие	นำ
ведущие	ตะกั่ว
расы	แข่ง
китайская	จีน
подписан	เซ็น
дополнительный	เสริม
грузия	จอร์เจีย
преследования	ก่อกวน
меч	ดาบ
сильные	เข้ม
сильные	แรง
сильные	แข็งแกร่ง
прекратить	หยุด
внезапно	ทันใด
внезапно	กะทันหัน
карло	คาโล
карло	คาร์โล
публикация	โพสต์
публикация	โพส
остановить	หยุด
величины	ค่า
бюджет	งบ
дальность	ระยะ
дальность	ช่วง
мгц	เมกะเฮิรตซ์
синий	สีน้ำเงิน
синий	บลู
синий	น้ำเงิน
техническое	เทคนิค
евровидение	ประกวด
жёлтый	เหลือง
эффективность	ประสิทธิผล
эффективность	ประสิทธิ์
эффективность	ประสิทธิภาพ
образец	ตัวอย่าง
образец	รุ่น
образец	โมเดล
пустая	ว่างๆ
пустая	ว่าง
включать	รวม
ступень	เวที
ступень	ขั้น
обычных	สามัญ
обычных	ธรรมดา
заключение	สรุป
кабинет	ตู้
кабинет	ออฟฟิศ
кабинет	สำนักงาน
грузов	สินค้า
юридический	กฎหมาย
маунт	ภูเขา
простые	ง่าย
простые	ง่ายๆ
пояса	เข็มขัด
пояса	สายพาน
абзац	ย่อหน้า
соло	เดี่ยว
рождества	คริสต์มาส
медленно	ช้า
медленно	ช้าๆ
медленно	ชะลอ
медленно	ค่อยๆ
людовик	หลุยส์
рис	ข้าว
клип	คลิป
легенды	ตำนาน
способы	วิถี
способы	วิธี
угля	ถ่านหิน
угля	ถ่าน
знамя	แบนเนอร์
собрать	รวบรวม
собрать	สะสม
железа	เตารีด
железа	ต่อม
железа	เหล็ก
дан	แดน
административная	ธุรการ
студенты	นักศึกษา
студенты	นักเรียน
инженеров	วิศวกร
указанных	ระบุ
сильное	เข้ม
сильное	แรง
сильное	แข็งแกร่ง
поэтов	กวี
трамвай	กระเช้า
трамвай	ราง
венгерский	ฮังการี
соль	เค็ม
соль	โซล
соль	เกลือ
увеличить	ขยาย
увеличить	ซูม
увеличить	เพิ่ม
предположение	สมมุติฐาน
предположение	สันนิษฐาน
предположение	สมมติฐาน
кит	คีธ
кит	คี
кит	คิ
кит	วาฬ
кит	คิคิ
кит	คิท
кит	คีท
кит	คิต
кит	ปลาวาฬ
лаборатория	แล็บ
лаборатория	แลป
лаборатория	แล็ป
выделены	ไฮไลท์
выделены	ไฮไลต์
нил	นีล
лидеры	ผู้นำ
структур	โครงสร้าง
альфред	อัลเฟร็ด
трон	ตรอน
трон	บัลลังก์
категорически	คำขาด
максимальный	สูงสุด
эволюции	วิวัฒนาการ
библии	ไบเบิล
библии	ไบเบิ้ล
билл	บิล
судьбы	ชะตา
сложные	ปม
плато	ที่ราบสูง
почтовая	ไปรษณีย์
скульптура	ประติมากรรม
деревья	ต้นไม้
мемориал	อนุสรณ์
классы	ห้องเรียน
классы	คลาส
использован	ใช้
короче	สั้น
добавлены	เพิ่ม
десятилетия	ทศวรรษ
коэффициент	ตัวประกอบ
коэффициент	ปัจจัย
коэффициент	สัมประสิทธิ์
протеста	ประท้วง
италию	อิตาลี่
италию	อิตาลี
юнайтед	ยูไนเต็ด
юнайтед	สามัคคี
гильдии	สมาคม
атака	โจมตี
географические	ภูมิศาสตร์
крестьяне	ชาวนา
ритм	จังหวะ
геометрия	เรขาคณิต
предел	จำกัด
предел	วงเงิน
последовательности	ลำดับ
последовательности	อนุกรม
корпорации	คอร์ปอเรชั่น
критику	วิจารณ์
зелёные	เขียว
учебник	สอน
учебник	ตำรา
консул	กงสุล
хилл	เนิน
конституция	รัฐธรรมนูญ
провинций	จังหวัด
разговор	สนทนา
разговор	พูด
разговор	คุย
распространяется	แพร่
посадки	ปลูก
карту	บัตร
карту	การ์ด
карту	แผนที่
карту	ไพ่
печать	พิมพ์
печать	ผนึก
разделить	แยก
разделить	แชร์
разделить	แบ่ง
падение	หล่น
падение	ตก
падение	ล้ม
падение	ร่วง
двери	ประตู
космической	อวกาศ
космической	พื้นที่
племена	เผ่า
заявления	คำแถลง
заявления	statement
включить	รวม
включить	แทรก
хоккей	ฮอกกี้
бангладеш	บังกลาเทศ
цепи	วงจร
цепи	โซ่
церемония	พิธี
церемония	พิธีการ
входа	ล็อกอิน
чувство	รู้สึก
взрыв	ระเบิด
многое	มาก
многое	มากมาย
пермь	ดัด
маршал	มาร์แชล
максимум	สูงสุด
бот	บ็อต
волосы	เส้นผม
волосы	ขน
сравнение	เทียบ
лента	เทป
лента	ฟีด
лента	ริบบิ้น
лента	โบว์
останки	ซาก
уайт	ขาว
уайт	ไวท์
прошел	ผ่าน
зелёная	เขียว
ручей	ลำธาร
ручей	รีก
любая	ใดๆ
аварии	ตก
аварии	อุบัติเหตุ
аварии	คว่ำ
медиа	สื่อ
миссия	ภารกิจ
девочка	สาว
компьютер	คอม
компьютер	คอมพิวเตอร์
танец	เต้น
танец	เต้นรำ
ресурс	ทรัพยากร
азия	เอเชีย
груди	ทรวงอก
груди	อก
груди	หีบ
груди	หน้าอก
умолчанию	ปริยาย
длинный	นาน
длинный	ยาว
любую	ใดๆ
вина	สุรา
вина	ไวน์
пересечения	ข้าม
жидкости	เหลว
жидкости	ของเหลว
полуострове	คาบสมุทร
территориальная	หวง
территориальная	อาณาเขต
узел	ปม
узел	เงื่อน
скота	ปศุสัตว์
бороться	ปล้ำ
перенос	โอน
защищать	ป้องกัน
защищать	ปกป้อง
кол	ลิ่ม
захват	ชัก
массового	ก้อน
массового	มวล
хвост	หาง
вручную	คู่มือ
природа	สันดาน
природа	ธรรมชาติ
постоянный	คงที่
постоянный	ถาวร
аренды	เช่า
старт	เริ่ม
ребёнок	เด็ก
ребёнок	ทารก
ребёнок	ลูก
ребёнок	กุมาร
ребёнок	ที่รัก
ребёнок	เบบี้
опытный	ประสบ
внешняя	ภายนอก
римская	โรมัน
сэм	แซม
корма	ฟีด
календарь	ปฏิทิน
археологии	โบราณคดี
административные	ธุรการ
графики	กราฟิก
графики	กราฟ
карточки	บัตร
карточки	การ์ด
карточки	ไพ่
ветвь	สาขา
национальность	สัญชาติ
листьев	ใบไม้
сказка	เทพนิยาย
замена	ทดแทน
замена	แทนที่
замена	แทน
ответить	ตอบ
ядро	แกน
ядро	เคอร์เนล
ядро	หลัก
стене	กำแพง
редактирования	แก้ไข
согласие	ยินยอม
растёт	เติบโต
собственность	กรรมสิทธิ์
собственность	คุณสมบัติ
собственность	ทรัพย์
собственность	ทรัพย์สิน
автоматический	อัตโนมัติ
небо	ฟ้า
небо	ท้องฟ้า
небо	สวรรค์
имущество	คุณสมบัติ
имущество	ทรัพย์
имущество	ทรัพย์สิน
завтра	พรุ่ง
соотношение	อัตราส่วน
соотношение	สัดส่วน
поддержал	สนับสนุน
кара	คาร
кара	คารา
чешский	เช็ก
закрыть	ปิด
закрыть	ใกล้
культурные	วัฒนธรรม
доклад	รายงาน
пенсию	บำนาญ
пилоты	นักบิน
математика	เลขคณิต
математика	คณิต
математика	คณิตศาสตร์
математика	เลข
католическая	คาทอลิก
корни	ราก
корни	รากฐาน
выиграть	ชนะ
двойной	ดับเบิ้ล
двойной	ดับเบิล
расследование	สอบถาม
мечети	มัสยิด
маленькая	เล็ก
независимый	เอกราช
независимый	อิสระ
майя	มายา
вена	เส้นเลือด
вена	เวียนนา
пистолет	ปืน
стихотворение	กวี
стихотворение	กลอน
кислота	กรด
тщательно	พิถีพิถัน
нападение	โจมตี
внутренняя	ภายใน
психология	จิตวิทยา
цена	ต้นทุน
цена	ราคา
широкого	กว้าง
пожар	ไฟ
пожар	เพลิง
оригинальный	ต้นฉบับ
оригинальный	ดั้งเดิม
оригинальный	เดิม
химия	เคมี
размещение	ที่พัก
наказание	ลงโทษ
строить	สร้าง
полей	ฟิลด์
полей	ช่อง
эдди	แอด
фигура	คิด
турецкий	ตุรกี
британские	บริติช
британские	อังกฤษ
веса	เวท
начальной	มูลฐาน
начальной	ประถม
опасность	อันตราย
местоположение	ตำแหน่งที่ตั้ง
местоположение	ตำแหน่ง
статуя	อนุสาวรีย์
прямые	โดยตรง
прямые	ตรง
поэзия	กวี
поэзия	กลอน
навсегда	ถาวร
такси	แท็กซี่
аналогичные	คล้าย
риск	เสี่ยง
специальная	พิเศษ
лоб	คิ้ว
джим	จิม
управлять	จัดการ
достичь	บรรลุ
привлечь	ดึงดูด
привлечь	วาด
обзоры	รีวิว
обзоры	วิจารณ์
учителей	ครู
охватывает	ปกคลุม
охватывает	ครอบคลุม
общественности	สาธารณชน
общественности	สาธารณะ
последовательность	ลำดับ
последовательность	อนุกรม
объем	ปริมาตร
постоянное	คงที่
постоянное	ถาวร
ячейки	เซลล์
отлично	ยอด
отлично	เยี่ยม
терапии	บำบัด
интерфейс	อินเทอร์เฟส
интерфейс	อินเตอร์เฟส
массив	อาร์เรย์
клод	คลอด
блокировать	บล็อก
блокировать	บล็อค
аспекты	ขนาด
аспекты	มิติ
миль	ไมลส์
миль	ไมล์
процедуры	กระบวนการ
поздно	สาย
поздно	ช้า
поздно	ดึก
уточнить	ระบุ
уточнить	ชี้แจง
добыча	เหมือง
добыча	ก้น
мыс	แหลม
мыс	เคป
желания	ประสงค์
желания	กิเลส
желания	ปรารถนา
ветра	ลม
ветра	สายลม
училась	ศึกษา
пропаганды	โฆษณาชวนเชื่อ
вызвать	เรียก
сравнения	เทียบ
зачёте	จุดยืน
сделала	ทำ
роза	โรส
роза	โร
роза	กุหลาบ
потока	ไหล
потока	กระแส
обычный	ปกติ
обычный	ธรรมดา
обычный	สามัญ
обычный	ปรกติ
корее	เกาหลี
уравнения	สมการ
выполнить	ประหาร
готовы	พร้อม
мирный	สันติ
мирный	สงบ
разрушен	ทำลาย
гей	เกย์
очереди	คิว
падает	ฟอลส์
падает	น้ำตก
дочерей	ลูกสาว
дочерей	ธิดา
почтовой	ไปรษณีย์
покрытие	เคลือบ
эпоха	ยุค
эпоха	ศักราช
драфт	ร่าง
достоинства	ศักดิ์ศรี
стратегии	กลยุทธ์
дона	ดอน
регионы	ภูมิภาค
сектор	สาขา
сектор	ภาค
равен	เท่ากับ
легче	ง่าย
легче	ง่ายๆ
легче	ไฟแช็ก
легче	ง่ายดาย
прага	ปราง
прага	ปราก
подтверждение	ยืนยัน
минимальным	น้อย
праге	ปราง
праге	ปราก
модуль	โมดูล
традиционные	ดั้งเดิม
питание	อาหาร
питание	โภชนาการ
волна	เวฟ
волна	โบก
волна	โบกมือ
волна	คลื่น
владельца	เจ้าของ
кларк	คล๊าก
альфа	แอลฟ่า
альфа	แอลฟา
альфа	อัลฟา
альфа	อัลฟ่า
мосты	สะพาน
холм	เนิน
примечание	บันทึก
примечание	หมายเหตุ
примечание	โน้ต
марш	มีนาคม
марш	มาร์ช
турок	เติร์ก
офис	ออฟฟิศ
офис	สำนักงาน
минуту	นาที
повстанцев	กบฏ
отмечено	แท็ก
хорватия	โครเอเชีย
приговор	ประโยค
сквозь	ผ่าน
бар	บาร์
бар	แถบ
начальная	มูลฐาน
начальная	ประถม
расширить	ขยาย
культурный	วัฒนธรรม
кабинета	ตู้
шахты	เหมือง
еврейских	ยิว
израильский	อิสราเอล
мама	แม่
пророка	ศาสดา
полные	ฟู
полные	เต็ม
замечание	หมายเหตุ
тест	ทดสอบ
тест	สอบ
японские	ญี่ปุ่น
спрашивает	ถาม
рыба	ปลา
рыба	ฟิช
украинские	ยูเครน
адвокат	ทนายความ
адвокат	ทนาย
вьетнама	เวียดนาม
традиций	ประเพณี
традиций	ธรรมเนียม
оставшихся	เหลือ
выигрывает	ชนะ
чжан	จาง
вспышки	วูบวาบ
вспышки	พลุ
еврейский	ยิว
дар	ดาร์
дар	พรสวรรค์
частоты	ความถี่
елены	เฮเลนา
гостей	แขก
удары	หมัด
удары	พัด
сухой	แห้งๆ
сухой	แล้ง
сухой	แห้ง
экономическая	เศรษฐกิจ
ленты	ริบบิ้น
ленты	ฟีด
обязанностей	หน้าที่
ученые	บัณฑิต
вечер	เย็น
переворота	รัฐประหาร
крыло	วิง
крыло	ปีก
полуостров	คาบสมุทร
градусов	ปริญญา
градусов	องศา
ждать	รอ
предложить	แนะนำ
орёл	อินทรี
орёл	อินทรีย์
орёл	หัว
орёл	head
смело	กล้า
весна	สปริง
брюс	บรูซ
короны	มงกุฎ
химического	เคมี
химического	เคมีภัณฑ์
запасы	หุ้น
сессии	เซสชัน
сессии	เซสชั่น
отправить	ส่ง
объявили	ประกาศ
цены	ราคา
цивилизации	อารยธรรม
вал	เวล
вал	วาล
сознание	มโนธรรม
сознание	สติ
сознание	จิตสำนึก
сознание	สำนึก
внутрь	ภายใน
логика	ตรรกศาสตร์
логика	ตรรก
логика	เหตุผล
думал	คิด
добычи	เหมือง
смену	กะเทย
смену	กะ
изобретатель	ประดิษฐ์
колонны	คอลัมน์
недостаток	ขาด
теорема	ทฤษฎีบท
написала	เขียน
соли	เค็ม
соли	เกลือ
переведены	โอน
колорадо	โคโลราโด
носить	ใส่
носить	สวม
вещество	สาร
графика	กราฟิก
смесь	ผสม
смесь	กลมกลืน
явлений	ปรากฏการณ์
отмечены	แท็ก
блог	บล็อก
куба	คิวบา
преподавателей	ครู
дополнения	เสริม
собаки	สุนัข
собаки	หมา
охота	ล่า
охота	ฮันท์
величина	ค่า
величина	มูลค่า
шанс	กาศ
шанс	โอกาส
ареста	ชัก
переходы	อ้างอิง
специальное	พิเศษ
найден	เจอ
найден	พบ
профессиональная	วิชาชีพ
примечания	บันทึก
примечания	หมายเหตุ
примечания	โน้ต
рассмотреть	พิจารณา
заявка	แอพพลิเคชัน
бумаги	กระดาษ
бумаги	เอกสาร
бумаги	หนังสือพิมพ์
ударов	พัด
положительные	บวก
положительно	บวก
рассмотрение	รีวิว
рассмотрение	พิจารณา
рассмотрение	วิจารณ์
короткое	สั้น
короткое	เตี้ย
короткое	สั้นๆ
снято	ตัด
снято	กรีด
снято	คัท
мое	เหมือง
пилотов	นักบิน
пушка	ปืน
гвардия	องครักษ์
греков	กรีก
джаз	แจ๊ซ
джаз	แจ๊ส
механика	กลไก
механика	กลศาสตร์
ветер	ลม
ветер	สายลม
упал	เผลอ
послал	ส่ง
маленькие	เล็ก
завоевания	ชัยชนะ
лёгкая	เบา
тканей	เนื้อเยื่อ
гонка	แข่ง
конрад	ราด
родственников	ญาติ
родственников	ญาติๆ
итого	รวม
итого	ทั้งหมด
кухня	อาหาร
кухня	ทำครัว
кухня	ครัว
ограничение	จำกัด
ограничение	วงเงิน
натрия	โซเดียม
найдено	เจอ
найдено	พบ
протест	ประท้วง
отмены	ยก
оскорбления	ดูถูก
хип	ฮิป
хип	สะโพก
хип	ฮิบ
популярный	นิยม
вечера	ค่ำ
вечера	เย็น
подтвердить	ยืนยัน
частицы	อนุภาค
механизма	กลไก
механизма	เครื่องจักร
электронный	อิเล็กทรอนิกส์
волн	คลื่น
математике	คณิตศาสตร์
контакт	ติดต่อ
работники	พนักงาน
работники	ลูกจ้าง
возрождение	ฟื้นฟู
фактор	ตัวประกอบ
фактор	ปัจจัย
астрономии	ดาราศาสตร์
отмечен	แท็ก
ирака	อิรัก
смена	กะเทย
смена	กะ
механизмы	กลไก
попробовать	ลอง
изменил	เปลี่ยน
ключевых	คีย์
ключевых	กุญแจ
американцы	อเมริกัน
демократии	ประชาธิปไตย
точности	แม่นยำ
хорошее	ดี
хорошее	เก่ง
конструкций	ดีไซน์
трубы	ท่อ
рука	หัตถ์
рука	มือ
рука	มือขวา
рука	แขน
парад	พาเหรด
парад	แห่
показ	โชว์
показ	แสดง
ривер	แม่น้ำ
согласны	ยินยอม
каналы	ช่อง
каналы	คลอง
камни	หิน
зависимость	ติด
арене	สังเวียน
наса	นาซา
танцы	เต้น
танцы	เต้นรำ
трагедии	โศกนาฏกรรม
справка	ช่วย
звуки	เสียง
хватит	พอ
обвинение	ประจุ
обвинение	โจทก์
обвинение	ชาร์ต
обвинение	ชาร์จ
завершить	ครบ
завершить	สมบูรณ์
завершить	เสร็จ
лиза	ซ่า
контакты	ติดต่อ
служили	เสิร์ฟ
здравствуйте	สวัสดี
копии	สำเนา
реализация	ตระหนัก
ощущение	รู้สึก
частота	ความถี่
наследство	มรดก
пишите	เขียน
монако	โมนาโก
преследование	โจทก์
преследование	ก่อกวน
траве	หญ้า
напряжение	ตึงเครียด
напряжение	ตึง
лейк	ทะเลสาบ
выступающий	ลำโพง
строк	บรรทัด
строк	แถว
строк	เส้น
временное	ชั่วคราว
преимущества	ประโยชน์
преимущества	ข้อดี
луна	เพ็ญ
луна	มูน
луна	พระจันทร์
лопес	โลเปซ
вагон	รถ
вагон	รถยนต์
пакистана	ปากีสถาน
воины	นักรบ
дуглас	ดักลาส
метрах	เมตร
камера	กล้อง
боюсь	กลัว
собака	สุนัข
собака	หมา
собака	หมาก
добавлена	เพิ่ม
индийский	อินเดีย
секунды	วินาที
лошади	ม้า
ориентации	ปฐมนิเทศ
бад	บัด
бад	แย้ม
мухаммед	โมฮัมหมัด
классический	คลาสสิค
коммунистов	คอมมิวนิสต์
дверь	ประตู
голосовать	โหวต
деревянный	ไม้
кейт	เคต
кейт	เคท
уравнение	สมการ
дно	ล่าง
кривой	โค้ง
захоронения	ฝัง
турки	เติร์ก
турецкая	ตุรกี
коммерческий	พาณิชย์
коммерческий	โฆษณา
железы	ต่อม
телефон	โทรศัพท์
создает	สร้าง
афганистане	อัฟกานิสถาน
квартал	ไตรมาส
семена	ธัญพืช
семена	เมล็ด
архитекторов	สถาปนิก
демонстрации	สาธิต
весом	ชั่ง
синтез	ฟิวชั่น
дисциплины	วินัย
товары	ผลิตภัณฑ์
товары	สินค้า
воскресенье	อาทิตย์
приглашение	เชิญ
приглашение	ชวน
тайны	ลึกลับ
тайны	ปริศนา
тайны	ลี้ลับ
социологии	สังคมวิทยา
четверо	สี่
медицина	เวชศาสตร์
медицина	ยา
предложено	แนะ
предложено	แนะนำ
добавление	ไส้ติ่ง
добавление	ผนวก
продукта	ผลิตภัณฑ์
продукта	สินค้า
европейская	ยุโรป
ангел	เทวดา
ангел	นางฟ้า
иерусалим	เยรูซาเล็ม
тим	ทิม
атомной	อะตอม
атомной	ปรมาณู
парки	สวน
забив	คะแนน
среда	พุธ
доли	หุ้น
доли	แชร์
километр	กิโลเมตร
смены	กะ
унаследовал	สืบทอด
нигерии	ไนจีเรีย
регулярные	ปกติ
регулярные	ปรกติ
шон	ชอน
шон	ฌอน
боеприпасов	ยุทธภัณฑ์
фасад	ซุ้ม
пусто	ว่างๆ
пусто	ว่าง
ханс	ฮันส์
товарищ	สหาย
ага	ใช่
ага	เย่
кофе	กาแฟ
гипотеза	สมมุติฐาน
гипотеза	สมมติฐาน
крик	กรี๊ด
крик	รีก
белка	โปรตีน
белка	กระรอก
смотрите	ชม
смотрите	ดู
смотрите	มอง
смотрите	นาฬิกา
постоянные	คงที่
постоянные	ถาวร
монета	เหรียญ
монета	คลัง
святая	ศักดิ์สิทธิ์
святая	เซนต์
святая	ศีล
святая	นักบุญ
пролив	ช่องแคบ
пен	ปากกา
оставляет	ใบไม้
неверно	ผิด
неверно	ธรรม
обычные	สามัญ
обычные	ธรรมดา
прочитать	อ่าน
заблокировать	บล็อก
заблокировать	ล็อค
заблокировать	ล็อก
заблокировать	บล็อค
рэй	เรย์
рэй	แร
тайна	ลี้ลับ
тайна	ลับๆ
тайна	ลึกลับ
тайна	ปริศนา
тайна	ลับ
бомбы	ระเบิด
говорите	พูด
торгового	พ่อค้า
сьерра	เซียร์
авторитет	อำนาจ
продан	ขาย
железный	เตารีด
железный	เหล็ก
вьетнам	เวียดนาม
пакет	กระเป๋า
пакет	แบ็ค
пакет	ถุง
пакет	แพ็คเกจ
мясо	เนื้อ
держать	ถือ
держать	กุม
победила	วอน
победила	ชนะ
посты	โพสต์
благодарность	กตัญญู
продвижение	โปรโมชัน
продвижение	โปรโมท
блоков	บล็อก
дневник	ไดอารี่
дневник	วารสาร
опытных	ประสบ
длительного	ยืนยาว
коммунисты	คอมมิวนิสต์
бостон	บอสตัน
описать	อธิบาย
описать	บรรยาย
пещеры	ถ้ำ
посредника	ตัวกลาง
расходы	ต้นทุน
добровольно	เต็มใจ
родина	มาตุภูมิ
основа	มูลนิธิ
основа	รากฐาน
французы	ฝรั่งเศส
магазины	ร้าน
жене	ภรรยา
жене	เมีย
жене	ภริยา
бит	จังหวะ
бит	บิต
бит	เอาชนะ
бит	ชนะ
бит	ตี
бит	กัด
прямая	โดยตรง
прямая	ตรง
эксперимент	ทดลอง
деревянные	ไม้
люк	ลุค
люк	ลูค
единства	สามัคคี
единства	เอกภาพ
нашла	เจอ
нашла	พบ
дальний	ไกล
прикладной	ประยุกต์
лео	สิงห์
алфавит	อักษร
смешанных	ผสม
меди	ทองแดง
преступление	อาชญากรรม
пользуются	เพลิดเพลิน
пользуются	เพลิน
пользуются	สนุก
склонах	ลาด
популярные	นิยม
популярные	เด่น
печени	ตับ
фан	แฟน
фан	แฟนๆ
фан	พัดลม
фан	ฟาง
вызов	ท้า
вызов	ท้าทาย
стена	กำแพง
создают	ท่า
создают	โพส
плохой	ร้าย
плохой	แย่
плохой	เลว
гражданский	ประชา
гражданский	พลเรือน
гражданский	พลเมือง
гражданский	แพ่ง
мирного	สันติ
мирного	สงบ
датский	เดนมาร์ก
тени	เงามืด
тени	เงา
построенные	สร้าง
бета	เบต้า
заслуживает	สมควร
направлены	กำกับ
построили	สร้าง
региональные	ภูมิภาค
широкие	กว้าง
заметки	บันทึก
заметки	หมายเหตุ
заметки	โน้ต
стандарты	มาตรฐาน
ранняя	ต้น
особенность	คุณสมบัติ
особенность	ฟีเจอร์
особенность	คุณลักษณะ
пауль	พอล
одежду	เสื้อผ้า
ветеран	สัตวแพทย์
ветеран	ทหารผ่านศึก
эффективно	ประสิทธิผล
эффективно	ประสิทธิ์
веру	ศรัทธา
охрана	องครักษ์
охрана	รปภ
охрана	ป้องกัน
огромные	ใหญ่
парламентских	รัฐสภา
украину	ยูเครน
нормальный	ปกติ
нормальный	ธรรมดา
нормальный	ปรกติ
факторы	ปัจจัย
ходить	เดิน
уничтожены	ทำลาย
волк	หมาป่า
короли	ราชา
короли	กษัตริย์
талант	พรสวรรค์
утро	เช้า
боль	ปวด
бей	อ่าว
отель	โรงแรม
любил	รัก
тайно	ลับๆ
тайно	แอบ
точное	แม่นยำ
дисков	แผ่น
взяты	ถ่าย
физиологии	สรีระ
газету	หนังสือพิมพ์
афганистана	อัฟกานิสถาน
победить	จังหวะ
победить	เอาชนะ
победить	ชนะ
победить	ปราชัย
победить	ตี
победить	ปราบ
парень	บอย
парень	แฟน
парень	กาย
чтение	อ่าน
развивать	พัฒนา
отдать	ให้
отдать	มอบ
процедура	กระบวนการ
осень	หล่น
осень	ตก
осень	ล้ม
осень	ร่วง
радиус	รัศมี
сел	นั่ง
