மற்றும்	et
வசதி	confort
வசதி	facilité
வசதி	fonctionnalité
வசதி	réconfort
வசதி	confortables
வசதி	confortable
வசதி	caractéristique
வழங்கப்படும்	fournies
வழங்கப்படும்	offerts
வழங்கப்படும்	offertes
வழங்கப்படும்	fournis
வழங்கப்படும்	offerte
வழங்கப்படும்	offert
வழங்கப்படும்	fournie
வழங்கப்படும்	fourni
முயற்சி	essaie
முயற்சி	essayer
முயற்சி	essayez
முயற்சி	essaye
கதைகள்	histoires
அரபு	arabes
அரபு	arabe
இவற்றை	ces
ஈரோடு	éroder
விண்வெளி	espace
மாற்றங்கள்	modifications
மாற்றங்கள்	changements
அடர்த்தி	densités
அடர்த்தி	densité
படங்கள்	photos
படங்கள்	photographies
படங்கள்	images
ஆயிரம்	milliers
ஆயிரம்	millier
ஆயிரம்	mille
வார்ப்புருக்கள்	modèles
வார்ப்புருக்கள்	gabarits
இனம்	ethnicité
இனம்	course
இனம்	race
இனம்	ethnie
இனம்	ethnique
புரிந்து	comprendre
புரிந்து	comprenez
புரிந்து	comprends
செய்கிறது	dégel
வாக்குகள்	vote
வாக்குகள்	voix
ரூபாய்	roupies
ரூபாய்	roupie
அமைச்சர்	ministre
கூட்டு	ajoute
கூட்டு	syndicat
கூட்டு	ajoutez
கூட்டு	ajouter
கூட்டு	ajout
கூட்டு	somme
திட்டங்கள்	projets
உயரம்	hauteur
உயரம்	taille
தரம்	qualité
தரம்	qualite
எளிய	simples
தமிழர்கள்	tamouls
ஒப்பந்தம்	pacte
ஒப்பந்தம்	contrat
பணிகள்	tâches
பணிகள்	emplois
பணிகள்	emploi
நிலம்	terre
நிலம்	terrain
நிலம்	terres
யார்	qui
யார்	oms
மண்டலம்	région
குற்றம்	délit
குற்றம்	coupables
குற்றம்	criminalité
குற்றம்	délinquance
குற்றம்	coupable
அன்னை	maman
அன்னை	mère
அன்னை	mere
இரட்டை	jumelles
இரட்டை	jumeaux
இரட்டை	doubles
இரட்டை	jumeau
இரட்டை	doubler
இரட்டை	jumelle
இரட்டை	double
அலுவலகம்	bureaux
அலுவலகம்	bureau
வீடு	domicile
வீடு	résidence
வீடு	maison
வீடு	accueil
சந்தை	marché
தலை	tête
தலை	têtes
அனைத்துலக	internationaux
அனைத்துலக	internationale
உரிமைகள்	droits
நீ	toi
நீ	tu
நீ	vous
திறந்த	ouvrir
திறந்த	ouvert
திறந்த	ouverte
திறந்த	ouvrez
திறந்த	ouverture
முழுமையாக	complètement
முழுமையாக	totalement
முழுமையாக	complétement
முழுமையாக	entièrement
முழுமையாக	completement
முழுமையாக	pleinement
நெடுஞ்சாலை	autoroute
நெடுஞ்சாலை	route
நெடுஞ்சாலை	autoroutes
கோட்பாடு	théorie
கோட்பாடு	théories
மாதிரி	sentiers
மாதிரி	maquette
மாதிரி	échantillon
மாதிரி	modèle
மாதிரி	modele
மாதிரி	mannequin
மாதிரி	échantillons
நடிகைகள்	actrices
தெரிவு	choix
கட்டி	tumeur
பிரதான	principaux
பிரதான	principal
பிரதான	commandant
பிரதான	principales
பிரதான	principale
பிரதான	majeur
அறிவு	connaissances
அறிவு	savoir
அறிவு	connaissance
அறிவு	savoirs
தெரியவில்லை	neutralité
தெரியவில்லை	neutres
தெரியவில்லை	neutre
வழங்கி	serveur
ராஜா	roi
சூழல்	environnement
சூழல்	contexte
கடுமையான	grave
கடுமையான	rugosité
கடுமையான	sévères
கடுமையான	dur
கடுமையான	sévère
கடுமையான	graves
கடுமையான	coriace
எண்ணெய்	huiles
எண்ணெய்	pétrole
எண்ணெய்	huile
பொருட்களை	trucs
வானியல்	astronomie
மாற்று	basculer
மாற்று	changer
மாற்று	changement
மாற்று	remplace
மாற்று	remplacez
மாற்று	convertit
மாற்று	convertissent
மாற்று	interrupteur
மாற்று	changements
மாற்று	remplacement
மாற்று	modifier
மாற்று	remplacer
மாற்று	commutateur
மாற்று	convertir
இராச்சியம்	royaume
இணையதளம்	site
வாழ்ந்து	vivante
வாழ்ந்து	vivants
வாழ்ந்து	vivant
வாழ்ந்து	vivre
மழை	pluies
மழை	pluvieux
மழை	pluie
தெரிகிறது	semble
கார்பன்	carbone
உலகளாவிய	mondiaux
உலகளாவிய	mondial
உலகளாவிய	mondiale
தோன்றும்	apparaissent
தோன்றும்	éclaboussures
தோன்றும்	apparaître
ஏற்றுக்	accepté
ஏற்றுக்	acceptés
ஏற்றுக்	acceptée
ஏற்றுக்	acceptées
நான்காவது	quatrième
நான்காவது	quatrièmement
பேருந்து	autobus
வழக்கமாக	habituellement
வழக்கமாக	régulièrement
வழக்கமாக	généralement
விதி	destin
விதி	règle
விதி	fatalité
தெரு	rue
தெரு	rues
இறைவன்	seigneur
நிகழும்	survient
கண்	oculaire
கண்	yeux
கண்	oeil
கண்	œil
மகள்	fille
தேசியக்	nationaux
தேசியக்	nationales
தேசியக்	nationale
மூல	originale
மூல	originaux
இடது	gauche
எல்லாம்	tous
எல்லாம்	tout
எல்லாம்	toutes
எல்லாம்	toute
நிலையான	corrigé
நிலையான	fixes
நிலையான	réparé
நிலையான	fixe
நிலையான	norme
நிலையான	fixé
சிறப்பான	spéciaux
சிறப்பான	spéciale
சிறப்பான	spéciales
சிறப்பான	spécial
தோல்	cuirs
தோல்	peau
தோல்	cuir
கூடுதலாக	supplémentaire
கூடுதலாக	supplémentaires
கால்	patte
கால்	jambes
கால்	pied
கால்	pieds
கால்	quart
கால்	jambe
கால்	bétail
கால்	cuisse
கால்	trimestre
கால்	bovins
ஆர்வம்	intéressés
ஆர்வம்	intérêts
ஆர்வம்	intéressé
ஆர்வம்	intéressées
ஆர்வம்	intérêt
ஆர்வம்	intéressée
கவனம்	concentrer
மூத்த	seniors
மூத்த	aîné
நினைவு	souvenirs
நினைவு	mémoire
நினைவு	souvenir
உருவானது	formée
உருவானது	formé
உருவானது	formées
உருவானது	formés
தூய	pur
தூய	pures
தூய	purs
பவுல்	faute
பவுல்	fétide
கவிதைகள்	poèmes
நிறுவப்பட்டது	installée
நிறுவப்பட்டது	installé
நிறுவப்பட்டது	installés
நிறுவப்பட்டது	calé
நிறுவப்பட்டது	installées
வாய்ப்பு	hasard
வாய்ப்பு	opportunité
வாய்ப்பு	opportunités
மத்தியில்	centré
மத்தியில்	centrée
மருந்து	médecine
மருந்து	pharmaceutique
மருந்து	médicament
மா	mangues
மா	mangue
ஏன்	pourquoi
ஆனார்	devenu
ஆனார்	devint
ஆனார்	devenus
ஆனார்	devenue
தொலைபேசி	téléphone
கட்டமைப்பு	structurel
கட்டமைப்பு	structurels
கட்டமைப்பு	structurelle
பாரம்பரிய	traditionnel
பாரம்பரிய	traditionnelles
பாரம்பரிய	classique
பாரம்பரிய	traditionnels
பாரம்பரிய	classiques
பாரம்பரிய	traditionnelle
சின்னம்	icône
சின்னம்	icônes
எண்கள்	numéros
எண்கள்	nombres
எண்கள்	chiffres
தொழில்நுட்பம்	technologies
தொழில்நுட்பம்	technologie
தொழில்நுட்பம்	technologique
ஏரி	lac
பாடிய	chantée
பாடிய	chanté
சிலை	idole
வெள்ளி	argenté
வெள்ளி	argent
வெள்ளி	ven
வெள்ளி	vendredi
வெள்ளி	argenterie
இலத்தீன்	latines
இலத்தீன்	latine
நேச	allié
நேச	alliées
நேச	alliés
நேச	alliée
நேரடி	vivant
நேரடி	vivre
நேரடி	directement
நேரடி	directs
நேரடி	directe
சுற்றுலா	tourisme
சுற்றுலா	circuits
சுற்றுலா	tournée
சுற்றுலா	touriste
சுற்றுலா	visites
சுற்றுலா	visite
சுற்றுலா	tournées
நமது	notre
நமது	nos
புலிகள்	tigres
அவர்களை	eux
அனுமதி	permettre
அனுமதி	approuver
அனுமதி	permettent
அனுமதி	autorisation
அனுமதி	autoriser
அனுமதி	approuve
அனுமதி	débloquer
அனுமதி	nomination
அனுமதி	approuvent
பயன்	prestation
பயன்	avantage
பயன்	bénéfice
பயன்	utilisation
நிகழ்வு	évènement
நிகழ்வு	événement
நிகழ்வு	evénement
ஆதி	dja
மைல்	milles
மைல்	kilomètres
வளரும்	croissant
வளரும்	grandit
வளரும்	développer
வளரும்	croît
வளரும்	pousse
வளரும்	grandissant
வளரும்	grandir
வளரும்	croissante
உடலில்	organisme
உடலில்	corps
உடலில்	carrosserie
உடலில்	organe
பக்க	côté
பக்க	latéraux
பக்க	latéral
பக்க	latérale
உயரத்தில்	hauteur
உயரத்தில்	taille
கொண்டுள்ள	contenant
அமிலம்	acidité
அமிலம்	acide
அமிலம்	acides
விண்டோஸ்	vitres
விண்டோஸ்	fenêtres
கூட்டமைப்பு	confédération
கூட்டமைப்பு	fédération
விலங்குகள்	animaux
மறு	refuser
மறு	décliner
மறு	rejeter
மறு	déclin
மறு	dénier
மறு	renier
மறு	baisse
மறு	nier
முடிவுகள்	résultats
மனிதன்	humains
மனிதன்	humain
மனிதன்	mec
மனிதன்	homme
மனிதன்	humaine
மாணவர்	étudiants
மாணவர்	etudiant
மாணவர்	étudiant
மாணவர்	étudiante
பேசும்	parlant
குறிப்பிடுகிறது	spécifie
நோக்கம்	objectif
கடந்து	passer
கடந்து	passant
உருவாக்கி	générateur
உருவாக்கி	promoteur
உருவாக்கி	compositrice
உருவாக்கி	développeur
உருவாக்கி	créatrice
உருவாக்கி	compositeur
உருவாக்கி	créateur
உருவாக்கி	développeurs
உருவாக்கி	génératrice
ஒத்த	similaires
ஒத்த	similaire
ஒத்த	analogue
ஒத்த	semblable
ஒத்த	semblables
பச்சை	vertes
பச்சை	vert
பச்சை	verte
அலகு	unite
அலகு	unité
உள்நாட்டு	domestiques
உள்நாட்டு	domestique
நகராட்சி	municipalité
உறவு	relation
நூலகம்	bibliothèque
நூலகம்	librairie
சண்டை	bataille
சண்டை	lutte
சண்டை	combat
சண்டை	bagarre
சண்டை	combattre
சண்டை	combats
நிறம்	coloris
நிறம்	couleur
நிறம்	couleurs
விமானம்	avions
விமானம்	aéronefs
விமானம்	avion
விமானம்	vol
பதில்	répondez
பதில்	réplique
பதில்	répondre
பதில்	réponse
பதில்	reponse
திருவிழா	carnaval
திருவிழா	fête
நான்காம்	quatrième
நான்காம்	quatrièmement
வெளியிடப்பட்ட	publiés
வெளியிடப்பட்ட	publié
வெளியிடப்பட்ட	publiée
வெளியிடப்பட்ட	publiées
கூடாது	pas
கூடாது	non
காலை	matinée
காலை	matinale
காலை	matin
சமூகம்	communaute
சமூகம்	sociaux
சமூகம்	sociale
சமூகம்	société
சமூகம்	communauté
சமூகம்	communautaire
சமூகம்	collectivité
ஆன்	anne
மெய்யியல்	philosophie
மெய்யியல்	dévotion
மெய்யியல்	laïcité
மெய்யியல்	philosophique
மெய்யியல்	dévouement
நாட்களில்	jours
நாட்களில்	journées
பயணிகள்	passagers
பயணிகள்	voyageurs
அறுவை	chirurgie
இணை	associée
இணை	associés
இணை	associé
இணை	rejoindre
இணை	joindre
இணை	associer
இணை	rejoignez
இணை	adhérer
இணை	connectez
இணை	connecter
இணை	connexion
அழுத்தம்	poussée
அழுத்தம்	pressions
அழுத்தம்	emphase
அழுத்தம்	pression
கல்லூரிகள்	collèges
மன்றம்	conseil
இஸ்லாமிய	islamique
இஸ்லாமிய	islamiste
இஸ்லாமிய	musulman
உண்மை	réalités
உண்மை	vérité
உண்மை	vrai
உண்மை	vraie
உண்மை	réalité
உண்மை	vrais
உண்மை	verite
உண்மை	véritable
அவனது	son
அவனது	ses
அவனது	sa
இத்தாலிய	italiennes
இத்தாலிய	italiens
இத்தாலிய	italien
இத்தாலிய	italienne
இனங்கள்	espèces
இனங்கள்	espèce
இனங்கள்	races
தலைவன்	chef
டைம்ஸ்	fois
பிரிட்டிஷ்	britannique
பிரிட்டிஷ்	britanniques
நிகழ்ச்சிகள்	événements
நிகழ்ச்சிகள்	évènements
நிகழ்ச்சிகள்	evenements
நிகழ்ச்சிகள்	evénements
புதிதாக	nouvelles
புதிதாக	nouveaux
புதிதாக	nouvelle
புதிதாக	fraiche
புதிதாக	fraîchement
புதிதாக	frais
புதிதாக	nouveautés
புதிதாக	fraîche
புதிதாக	fraîcheur
புதிதாக	nouvellement
புதிதாக	nouveau
வரைபடம்	carte
வரைபடம்	graphique
வரைபடம்	plan
வரைபடம்	diagramme
வரைபடம்	cartes
தாவரங்கள்	végétaux
தாவரங்கள்	plantes
தண்ணீர்	eaux
தண்ணீர்	eau
விளையாட்டுகள்	jeux
விளையாட்டுகள்	sport
கட்டப்பட்டது	construit
கட்டப்பட்டது	bâti
கட்டப்பட்டது	construite
கட்டப்பட்டது	construits
உள்	internes
உள்	locaux
உள்	locale
உள்	locales
உள்	interne
மொழிபெயர்ப்பு	traduire
மொழிபெயர்ப்பு	traduit
மொழிபெயர்ப்பு	traductions
மொழிபெயர்ப்பு	traduction
விளையாட்டுக்கள்	jeux
விளையாட்டுக்கள்	sport
நிமிடங்கள்	mn
கருப்பு	noire
கருப்பு	noires
கருப்பு	noirs
கருப்பு	noir
குறுகிய	courts
குறுகிய	courte
குறுகிய	court
குறுகிய	courtes
தொடங்கப்பட்டது	commencée
தொடங்கப்பட்டது	démarré
தொடங்கப்பட்டது	commencé
நம்	notre
நம்	nos
அரசர்கள்	rois
பொருளியல்	économie
பொருளியல்	economique
பொருளியல்	économique
பொருளியல்	economie
பொருளியல்	economiques
கொடி	drapeau
கொடி	drapeaux
கொடி	pavillon
எப்போதும்	tjrs
எப்போதும்	jamais
எப்போதும்	toujours
எப்போதும்	toujour
எழுத்துக்கள்	lettres
எழுத்துக்கள்	personnages
எழுத்துக்கள்	caractères
சுருக்கம்	récapitulatif
சுருக்கம்	récapitulation
சுருக்கம்	résumé
சுருக்கம்	sommaire
அரசாங்கம்	gouvernement
அரசாங்கம்	gouvernements
மாறி	variables
பாதை	sillon
பாதை	chemin
பாதை	sentier
வென்று	gagnés
வென்று	gagnées
வென்று	gagné
வென்று	gagnée
சரியாக	exactement
மாகாண	provinciales
மாகாண	provinciale
மாகாண	provinciaux
நாடகம்	dramatique
நாடகம்	drame
ஓவியம்	peintures
ஓவியம்	peinture
இறந்த	mort
இறந்த	morts
இறந்த	morte
உள்ளே	intérieur
உள்ளே	interieur
கூட்டணி	alliances
அதிகாரப்பூர்வ	fonctionnaire
அதிகாரப்பூர்வ	officiel
அதிகாரப்பூர்வ	officielle
அதிகாரப்பூர்வ	officiels
அதிகாரப்பூர்வ	officielles
அப்துல்	abdel
செலவு	dépensé
செலவு	dépenser
செலவு	dépensés
சுழற்சி	spirale
சுழற்சி	tourbillon
சுழற்சி	spirales
சுழற்சி	boucle
சுழற்சி	boucles
மனம்	esprit
மனம்	âmes
நோய்கள்	maladies
அண்மையில்	récent
அண்மையில்	récemment
எளிதில்	facilité
எளிதில்	aisément
எளிதில்	facile
எளிதில்	facilement
எளிதில்	faciles
அதிகாரம்	puissance
அதிகாரம்	pouvoir
நகைச்சுவை	comique
நகைச்சுவை	comédie
கணித	mathématique
கணித	maths
கணித	mathématiques
சரி	puits
சரி	bah
சரி	ok
சரி	bien
நீதிமன்றம்	cour
நீதிமன்றம்	tribunal
செயல்படும்	actives
செயல்படும்	actifs
செயல்படும்	actif
அதிபர்	présidente
அதிபர்	président
அலுவலர்	officier
அமைவிடம்	lieu
அமைவிடம்	localité
அமைவிடம்	localisation
அமைவிடம்	emplacement
லீக்	poireaux
லீக்	ligue
லீக்	poireau
நிர்வாகம்	gestion
நிர்வாகம்	administratifs
நிர்வாகம்	administratives
நிர்வாகம்	administratif
முறையை	méthode
ஆசியா	asiatique
ஆசியா	asie
ஓய்வு	retraite
ஓய்வு	repose
ஓய்வு	récréation
ஓய்வு	détente
ஓய்வு	reposant
ஓய்வு	loisirs
ஓய்வு	repos
ஓய்வு	relaxant
தாக்கம்	incidence
புரட்சி	révolution
வலைத்தளம்	site
போராட்டம்	lutte
போராட்டம்	contestation
போராட்டம்	protestation
போராட்டம்	manifestation
போராட்டம்	protester
போராட்டம்	protestations
நிறைவு	achevés
நிறைவு	complets
நிறைவு	terminé
நிறைவு	achèvement
நிறைவு	complète
நிறைவு	terminée
நிறைவு	complété
நிறைவு	complètes
நிறைவு	complet
நிறைவு	achevé
நிறைவு	terminées
நடவடிக்கைகள்	activités
மரியா	myriam
மரியா	maría
மரியா	marie
மலர்	fleurs
மலர்	fleur
இடைப்பட்ட	entre
விரைவில்	prochainement
விரைவில்	bientot
விரைவில்	bientôt
பாடகர்	chanteuse
பாடகர்	chanteur
ஏற்பாடு	organisées
ஏற்பாடு	organisés
ஏற்பாடு	arranger
ஏற்பாடு	organisé
ஏற்பாடு	organisée
நிறைந்த	pleine
நிறைந்த	complète
நிறைந்த	complet
நிறைந்த	plein
ஆட்டம்	allumette
ஆட்டம்	match
ஆட்டம்	jeu
ஆட்டம்	correspondance
ஆட்டம்	gibier
மண்	terre
மண்	sables
மண்	sols
மண்	sol
மண்	sable
குழுக்கள்	groupes
சூரியன்	dim
சூரியன்	soleil
தீ	feu
தீ	incendies
தீ	incendie
சேர்ந்தார்	rejoints
சேர்ந்தார்	rejoint
உருவாக்கிய	composées
உருவாக்கிய	composé
உருவாக்கிய	composée
கடற்கரை	plage
கடற்கரை	plages
முற்றிலும்	absolument
இயக்கிய	dirigé
இயக்கிய	orienté
இயக்கிய	réalisé
எடை	poids
உருவான	formée
உருவான	formé
உருவான	formées
உருவான	formés
வழங்குகிறது	fournit
தொடர்ச்சியாக	continuellement
பெற்றோர்	parents
ஒற்றை	célibataire
ஒற்றை	célibataires
ஒற்றை	unique
அச்சு	axes
அச்சு	axe
ஆஸ்திரேலியா	australie
கட்டப்பட்ட	construit
கட்டப்பட்ட	bâti
கட்டப்பட்ட	construite
கட்டப்பட்ட	construits
பார்த்து	regardant
பார்த்து	regarder
வழங்கிய	fournies
வழங்கிய	fourni
வழங்கிய	fournis
வழங்கிய	fournie
எனப்படுகிறது	consécration
கடவுளின்	dieu
கடவுளின்	dieux
வீதம்	taux
வீதம்	tarif
முடியவில்லை	échec
முடியவில்லை	raté
முடியவில்லை	échoué
எழுத	rédiger
எழுத	écrivez
எழுத	ecrire
எழுத	écrire
புலவர்கள்	poètes
ஜெர்மனி	allemagne
கொண்டே	garder
கொண்டே	maintenir
கொண்டே	conserver
பயன்படுத்தப்பட்டது	utilisé
பயன்படுத்தப்பட்டது	utilisée
பயன்படுத்தப்பட்டது	utilisées
பயன்படுத்தப்பட்டது	utilisés
விரிவான	détaillé
விரிவான	détaillées
விரிவான	détaillée
தலைநகரம்	capitale
தலைநகரம்	majuscule
தலைநகரம்	capitaux
வட்டார	locaux
வட்டார	locales
வட்டார	locale
பிரபல	célèbres
பிரபல	célèbre
பிரபல	fameux
பார்வை	afficher
பார்வை	portée
பார்வை	visualiser
பார்வை	vue
பார்வை	atteindre
பார்வை	affichage
பார்வை	voir
தகுதி	éligibilité
தகுதி	admissible
தகுதி	admissibilité
தகுதி	mérite
தகுதி	qualifications
தகுதி	éligibles
தகுதி	éligible
தகுதி	méritent
தகுதி	mériter
தகுதி	admissibles
பாகம்	partie
மரபணு	gène
மரபணு	gènes
எல்லை	portée
எல்லை	limiter
எல்லை	gamme
எல்லை	limite
எல்லை	bordure
எல்லை	limites
எல்லை	frontières
எல்லை	frontière
எல்லை	frontalier
நடு	milieu
வேறுபாடு	contrastes
வேறுபாடு	différence
வேறுபாடு	contraste
உறுப்பு	élément
உறுப்பு	terme
நெடுஞ்சாலைகள்	routes
நெடுஞ்சாலைகள்	autoroutes
மருத்துவர்	docteur
மருத்துவர்	physicien
மருத்துவர்	médecin
இடத்தை	lieu
இடத்தை	endroit
எதிர்த்து	contre
ஏற்ற	mont
ஏற்ற	monture
ஏற்ற	monter
இடையிலான	entre
இலக்கணம்	grammaire
இலக்கணம்	littérature
லண்டன்	londres
கோப்பை	tasse
கோப்பை	gobelet
கோப்பை	trophées
கோப்பை	chope
கோப்பை	coupe
கோப்பை	trophée
வினை	réaction
கருத்தில்	considérant
உள்ளடக்கிய	inclusif
வகுப்பு	classe
இறுதியாக	finalement
இறுதியாக	enfin
பொருளாதாரம்	économie
பொருளாதாரம்	economique
பொருளாதாரம்	économique
பொருளாதாரம்	economie
பொருளாதாரம்	financière
பொருளாதாரம்	economiques
பொருளாதாரம்	financier
தவறான	incorrecte
தவறான	faux
தவறான	mal
தவறான	erroné
தவறான	tort
தவறான	inexacte
உச்ச	suprême
உச்ச	suprêmes
உச்ச	orgasme
உச்ச	apogée
ஆப்பிரிக்க	africain
ஆப்பிரிக்க	africaines
ஆப்பிரிக்க	africains
ஆப்பிரிக்க	africaine
முகம்மது	mahomet
முக்கியமாக	principalement
முக்கியமாக	essentiellement
முடிகிறது	terminer
முடிகிறது	extrémités
முடிகிறது	finissant
முடிகிறது	parachèvement
முடிகிறது	finition
முடிகிறது	finitions
நடந்து	marche
நடந்து	marcher
விளைவு	résultat
விளைவு	effets
விளைவு	effet
விளைவுகள்	effets
இத்தாலி	italie
இணையத்தளம்	site
உருவாக்கம்	création
அமைதி	silencieuse
அமைதி	calme
அமைதி	silencieuses
அமைதி	paix
அமைதி	calmes
அமைதி	muet
அமைதி	silencieux
ஐந்தாம்	cinquième
வழக்கமான	ordinaire
வழக்கமான	régulières
வழக்கமான	régulière
வழக்கமான	régulier
நன்றாக	amende
பண்பாட்டு	culturelle
பண்பாட்டு	culturels
பண்பாட்டு	culturel
இருபது	vingt
பீட்டர்	pierre
வேகம்	rapide
வேகம்	vitesse
வேகம்	vite
வேகம்	rapidement
வேகம்	rapidité
வேகம்	rapides
வேகம்	vitesses
உளவியல்	psychologie
சதவீதம்	pourcentage
சதவீதம்	pourcentages
சதவீதம்	pourcent
பாலியல்	sexuelle
பாலியல்	sexuel
பாலியல்	sexuelles
பாலியல்	sexuellement
அருங்காட்சியகம்	musées
அருங்காட்சியகம்	musée
காட்டுகிறது	spectacles
காட்டுகிறது	montrant
புவி	terre
மன	mentale
இரும்பு	fer
பழமையான	légendes
பழமையான	classiques
பழமையான	légende
பழமையான	classique
செயற்கை	artificiels
செயற்கை	synthétiques
செயற்கை	artificielles
செயற்கை	synthétique
செயற்கை	artificielle
செயற்கை	artificiel
முடிந்தது	achevés
முடிந்தது	terminé
முடிந்தது	faite
முடிந்தது	terminée
முடிந்தது	complété
முடிந்தது	fini
முடிந்தது	finis
முடிந்தது	fait
முடிந்தது	achevé
முடிந்தது	terminées
தண்டனை	punitions
தண்டனை	pénalités
தண்டனை	peine
தண்டனை	châtiment
தண்டனை	sanction
தண்டனை	punition
தண்டனை	pénalité
ஒன்றும்	rien
ஜப்பான்	japon
சந்திப்பு	rencontrer
சந்திப்பு	réunion
சந்திப்பு	rencontre
சந்திப்பு	rencontrez
சந்திப்பு	nomination
வாயு	gaz
ராபர்ட்	thierry
வழிபாடு	adoration
வழிபாடு	culte
தொல்லியல்	archéologique
தொல்லியல்	archéologie
தொல்லியல்	archéologiques
அறிவிக்கப்பட்டது	annoncée
அறிவிக்கப்பட்டது	annoncées
அறிவிக்கப்பட்டது	annoncé
அறிவிக்கப்பட்டது	annoncés
கணக்கெடுப்பு	recensement
கணக்கெடுப்பு	énumération
கணக்கெடுப்பு	dénombrement
கணக்கெடுப்பு	recensements
மனிதர்கள்	humains
பரிமாற்றங்கள்	opérations
அரங்கம்	théatre
அரங்கம்	théâtre
அரங்கம்	stade
சூழலில்	environnement
காணப்பட்டது	repéré
காணப்பட்டது	repérés
காணப்பட்டது	repérée
மரங்கள்	arbres
எடுத்துக்காட்டு	exemple
மாதங்கள்	mois
வடக்கே	nord
தூரம்	distances
தூரம்	éloignement
அவசியம்	obligatoire
அவசியம்	exigé
அவசியம்	requise
அவசியம்	exigée
அவசியம்	nécessaire
அவசியம்	requis
மாநாடு	conférences
மாநாடு	sommet
மாநாடு	conférence
ஆண்டுதோறும்	annuellement
சொல்லும்	dis
சொல்லும்	dire
சொல்லும்	raconte
சொல்லும்	dites
விலங்கு	animale
தயாரிப்பாளர்	producteur
தயாரிப்பாளர்	producteurs
தயாரிப்பாளர்	manufacturier
தயாரிப்பாளர்	constructeur
தயாரிப்பாளர்	fabricant
தயாரிப்பாளர்	productrice
படுகொலை	massacrer
படுகொலை	assassiner
படுகொலை	assassinats
படுகொலை	massacres
படுகொலை	assassinat
பூ	fleurs
பூ	fleur
யானை	éléphants
யானை	éléphant
வணிகம்	entreprises
வணிகம்	affaires
வணிகம்	entreprise
வணிகம்	commerciale
வணிகம்	échanges
வணிகம்	commerciales
வணிகம்	commerce
வணிகம்	échange
வணிகம்	commerciaux
கல்	pierre
கல்	pierres
அமைந்திருக்கும்	situé
அமைந்திருக்கும்	située
அமைந்திருக்கும்	situés
அமைந்திருக்கும்	localisé
இசையமைத்த	composées
இசையமைத்த	composé
இசையமைத்த	composée
நூறு	centaine
நூறு	cent
பாலம்	passerelle
பாலம்	pont
சார்	monsieur
சார்	messire
சுற்றுச்சூழல்	environnemental
சுற்றுச்சூழல்	environnement
தாயார்	maman
தாயார்	mère
தாயார்	mere
அதிகாரி	fonctionnaire
அதிகாரி	officier
அதிகாரி	officiel
அதிகாரி	officielle
அதிகாரி	officiels
அதிகாரி	officielles
புள்ளிகள்	marquer
புள்ளிகள்	partition
மைக்கேல்	michel
மைக்கேல்	alain
புத்தகம்	livre
புத்தகம்	réserver
கட்டிடங்கள்	bâtiments
கட்டிடங்கள்	immeubles
கட்டிடங்கள்	édifices
மதம்	religieux
ஈடுபாடு	implication
ஈடுபாடு	fiançailles
பள்ளிகள்	ecoles
பள்ளிகள்	école
பள்ளிகள்	écoles
வீடியோ	vidéos
வீடியோ	vidéo
வெளியில்	sortir
வெளியில்	sortie
வெளியில்	dehors
விவரங்கள்	détail
விவரங்கள்	détails
பறவை	oiseau
பறவை	oiseaux
எடுக்கப்பட்ட	prise
எடுக்கப்பட்ட	pris
எடுக்கப்பட்ட	prises
பகுப்பாய்வு	analyses
பகுப்பாய்வு	analyse
உடனடியாக	aussitôt
உடனடியாக	instantanément
உடனடியாக	immédiatement
வரையறை	définitions
வரையறை	définition
கடும்	lourds
கடும்	lourd
கடும்	lourde
எளிதாக	facilité
எளிதாக	facile
எளிதாக	faciles
விசை	touche
விசை	clef
விசை	clé
விசை	clefs
விசை	clés
அழகிய	magnifiques
அழகிய	magnifique
அழகிய	belle
அழகிய	superbe
அழகிய	beau
நாட்டை	exilés
நாட்டை	exilé
நாட்டை	exil
அழைக்கப்பட்டது	invitées
அழைக்கப்பட்டது	invité
அழைக்கப்பட்டது	invitée
பொதுமக்கள்	civiles
பொதுமக்கள்	civils
வேகமாக	rapide
வேகமாக	vite
வேகமாக	rapidement
வேகமாக	rapidité
வேகமாக	rapides
மாற்றப்பட்டது	modifiées
மாற்றப்பட்டது	modifiés
மாற்றப்பட்டது	changé
மாற்றப்பட்டது	modifié
மாற்றப்பட்டது	modifiée
மாற்றப்பட்டது	changée
அட்டவணை	horaire
அட்டவணை	horaires
அட்டவணை	calendrier
அட்டவணை	tableau
மதிப்பீடு	cotation
மதிப்பீடு	cote
மதிப்பீடு	notation
அருகிலுள்ள	proximité
அருகிலுள்ள	proche
அட்டை	sangsue
ஒருமுறை	jadis
முன்பே	déja
முன்பே	deja
முன்பே	déjà
முன்பே	dejà
ராக்	rocheux
செல்கிறது	aller
பெருமளவில்	sauvagement
கட்டுப்பாடு	contrôler
கட்டுப்பாடு	contrôle
தவிர்த்து	excluant
சிக்கல்	problème
சிக்கல்	problématique
பழங்குடி	tribaux
பழங்குடி	tribales
பழங்குடி	tribale
யூத	juifs
யூத	juif
யூத	juive
யூத	juives
பொறுப்பு	responsabilités
பொறுப்பு	responsabilité
பொறுப்பு	responsables
பொறுப்பு	responsable
பொறுப்பு	passif
நேர்	positif
நேர்	positives
நேர்	positifs
நேர்	hétéro
நடுவில்	milieu
ஜெர்மன்	allemands
