در	ประตู
مالکیت	คุณสมบัติ
مالکیت	ทรัพย์
مالکیت	ทรัพย์สิน
معین	ตายตัว
معین	ซ่อมแซม
تایلند	ประเทศไทย
تایلند	ไทย
فلسفی	ปรัชญา
راهنمایی	ใบ้
گره	ไทด์
گره	เงื่อน
گره	ปม
گره	มัด
سختی	ยาก
تغذیه	ฟีด
تغذیه	โภชนาการ
شورش	จลาจล
شورش	กบฏ
عمدتاً	หลักๆ
جانشین	ทดแทน
مشکلی	ปัญหา
شغل	อาชีพ
شغل	งาน
لشکر	กองทัพ
لشکر	ทัพ
ابعاد	ขนาด
ابعاد	มิติ
منطقی	ตรรกศาสตร์
منطقی	ตรรก
منطقی	เหตุผล
متهم	จำเลย
میل	ปรารถนา
اندیشه	ไตร่ตรอง
اندیشه	ใคร่ครวญ
گراف	กราฟ
پیوندهای	ลิงก์
فولاد	เหล็ก
پویانمایی	การ์ตูน
پویانمایی	เคลื่อนไหว
ارتباطی	สื่อสาร
کلمات	คำ
کلمات	ลมปาก
زندانی	นักโทษ
زندانی	เชลย
پنهان	ซ่อน
تایید	ยืนยัน
استخراج	คลาย
سند	เอกสาร
سند	ทราย
ممنون	ขอบคุณ
هتل	โรงแรม
کانون	โฟกัส
بیرونی	ภายนอก
شیکاگو	ชิคาโก
رها	ทิ้ง
رها	ละทิ้ง
رها	สละ
مرجع	อ้างอิง
بازیگری	ทำตัว
ارجاع	อ้างอิง
سلول	เซลล์
پلی	บริดจ์
پلی	สะพาน
دکتری	หมอ
دکتری	ดอกเตอร์
دکتری	แพทย์
موزیکال	มิวสิค
دختران	สาวๆ
دختران	สาว
دختران	ลูกสาว
دختران	ธิดา
ضعیف	อ่อน
ضعیف	อ่อนแอ
حاشیه	ขอบ
کویت	คูเวต
روانی	โรคจิต
روانی	กายสิทธิ์
روانی	จิต
فن	แฟน
فن	แฟนๆ
فن	พัดลม
کنگ	ฮ่องกง
کنگ	เกง
کنگ	คัง
تامین	จัดหา
اعراب	อาหรับ
حرارت	ร้อน
ممنوع	แบน
کوهستانی	ภูผา
کوهستانی	ภูเขา
معیار	เกณฑ์
نرم	นุ่ม
نرم	อ่อน
نرم	นิ่ม
نرم	เรียบ
سقف	เพดาน
سقف	ดาดฟ้า
سقف	หลังคา
قبرس	ไซปรัส
مصنوعی	วัตถุ
مصنوعی	สังเคราะห์
مصنوعی	เทียม
مصنوعی	ประดิษฐ์
فکری	ปัญญา
توصیه	แนะนำ
کلیسا	ศาสนจักร
کلیسا	โบสถ์
بزرگراه	ทางหลวง
بزرگراه	ทางด่วน
بزرگراه	ไฮเวย์
اخبار	ข่าวสาร
اخبار	ข่าว
کنفرانس	ประชุม
مشروطه	รัฐธรรมนูญ
سو	ซู
معدن	เหมือง
شکایت	บ่น
خشونت	รุนแรง
افتتاح	แพ็ค
طلای	ทองคำ
طلای	โกลด์
طلای	ทอง
میانی	กลาง
دارا	ดารา
لو	ลูว์
پزشک	แพทย์
توهین	ดูถูก
استقبال	ต้อนรับ
آزمون	ข้อสอบ
آزمون	ทดสอบ
آزمون	สอบ
موقت	ชั่วคราว
تبلیغات	โฆษณาชวนเชื่อ
تبلیغات	โฆษณา
ضرب	จังหวะ
ضرب	ทวีคูณ
ضرب	ผลิตภัณฑ์
ضرب	สินค้า
ضرب	คูณ
کوتاهی	สั้น
کوتاهی	เตี้ย
کوتاهی	สั้นๆ
ملاقات	พบ
ملاقات	ประชุม
ملاقات	พบปะ
افزودن	เพิ่ม
وان	แวน
وان	อ่าง
مجازی	เสมือน
اقامت	ที่พัก
چمن	หญ้า
پیاده	เท้า
پیاده	ตีน
نیجریه	ไนจีเรีย
علامت	ป้าย
علامت	สัญญาณ
علامت	ลงชื่อ
علامت	เซ็น
تونس	ตูนิส
دشمن	ศัตรู
دشمن	ข้าศึก
توافق	ประนีประนอม
صعود	ปีน
مریم	แมรี่
مریم	แมรี
استخوان	กระดูก
استخوان	โบนส์
رادیویی	วิทยุ
متروی	เมโทร
شاهان	ราชา
شاهان	กษัตริย์
بیل	บิล
معبد	วัด
معبد	วิหาร
استانبول	อิสตันบูล
نازی	นาซี
ون	แวน
کانادایی	แคนาดา
پیانو	เปียนโน
مانع	กั้น
مانع	อุปสรรค
عمان	โอมาน
سلاح	อาวุธ
مدنی	ประชา
مدنی	พลเมือง
مدنی	แพ่ง
رئال	จริง
آزمایشی	ทดลอง
رنگی	ตกแต่ง
رنگی	สีสัน
راحتی	สบายใจ
راحتی	สบาย
راحتی	สะดวก
ساختمانی	ตึก
ساختمانی	อาคาร
دبیر	เลขานุการ
دبیر	เลขาฯ
دبیر	เลขาธิการ
دبیر	รัฐมนตรี
دبیر	เลขา
آگاهی	สติ
آگاهی	จิตสำนึก
اتفاقات	เหตุการณ์
اتفاقات	กิจกรรม
اسمیت	สมิธ
اسمیت	สมิทธ์
مفاهیم	แนวคิด
کاملا	สมบูรณ์
مصالح	วัตถุดิบ
مصالح	วัสดุ
شرط	เงื่อนไข
شرط	สภาพ
تنگ	ถัง
واقعیت	เรียลลิตี้
بالاترین	สูงสุด
تمرکز	โฟกัส
تمرکز	จดจ่อ
گوشت	เนื้อ
حقیقی	ทรู
حقیقی	แท้
حقیقی	จริง
تئوری	ทฤษฎี
اردن	จอร์แดน
فاز	เฟส
الف	เอลฟ์
پیچیده	ปม
پیچیده	บิด
گیر	เฟือง
تکیه	หมอน
تکیه	เพรียว
جسم	ร่าง
جسم	ร่างกาย
جسم	กาย
جسم	เนื้อ
پرانتز	วงเล็บ
سوال	คำถาม
احزاب	ปาร์ตี้
احزاب	บริษัท
زاویه	มุม
روس	รัสเซีย
عام	ทั่วไป
آفتاب	ซุน
آفتاب	แสงแดด
آفتاب	ซัน
آفتاب	แดด
آفتاب	พระอาทิตย์
اتهام	ประจุ
اتهام	ชาร์ต
اتهام	ชาร์จ
کوبا	คิวบา
فرصت	กาศ
فرصت	โอกาส
مربیگری	โค้ช
مربیگری	โค๊ช
کندی	ลูกอม
کندی	ขนม
زیبای	งาม
بعداً	ทีหลัง
نگاهی	ดู
نگاهی	มอง
قدمت	เก่า
قدمت	เก่าๆ
قدمت	แก่
اخلاقی	คุณธรรม
اخلاق	จริยธรรม
اخلاق	คุณธรรม
تبلیغ	โปรโมชัน
تبلیغ	โฆษณา
تبلیغ	โปรโมท
تبلیغ	โปรโมต
منطق	ตรรกศาสตร์
منطق	ตรรก
منطق	เหตุผล
امین	ศรัทธา
امین	ซื่อสัตย์
امین	ไว้ใจ
بحران	วิกฤตการณ์
بحران	วิกฤต
بحران	วิกฤติ
پارلمان	รัฐสภา
ریو	ริว
خورد	กิน
سپرده	มัดจำ
خاکستری	เทา
ستاد	พนักงาน
مخفی	ลับๆ
مخفی	ซ่อน
مخفی	ลับ
انقلابی	ปฏิวัติ
بال	ลูกบอล
بال	วิง
بال	บอล
بال	ปีก
کارت	บัตร
کارت	การ์ด
کارت	ไพ่
سیر	กระเทียม
تصادفی	อุบัติเหตุ
تصادفی	สุ่ม
تصادفی	บังเอิญ
تصادفی	มั่ว
معیارهای	เกณฑ์
سگ	สุนัข
سگ	หมา
سگ	หมาก
عوارض	ภูมิประเทศ
هیجانی	อารมณ์
آفریقایی	แอฟริกา
تکامل	วิวัฒนาการ
ایده	แนวคิด
نیرو	แรง
نیرو	บังคับ
هندوستان	อินเดีย
روان	ไหล
ژیمناستیک	ยิมนาสติก
خویشاوندان	ญาติ
خویشاوندان	ญาติๆ
ضروری	ด่วน
ضروری	จำเป็น
ضروری	สำคัญ
نیک	นิค
نیک	นิก
زرین	ทองคำ
زرین	ทอง
زرین	โกลด์
زرین	โกลเด้น
پرده	ม่าน
شور	เค็ม
فرم	ฟอร์ม
فقه	นิติศาสตร์
نسبی	ญาติ
نسبی	สัมพันธ์
سیگنال	สัญญาณ
طرفداران	แฟนๆ
خریداری	ซื้อ
سینه	อก
سینه	หีบ
سینه	ทรวงอก
سینه	หน้าอก
سینه	นม
واشنگتن	วอชิงตัน
آدم	อดัม
سطحی	ตื้นๆ
سطحی	ตื้น
رقم	หลัก
ویروس	ไวรัส
متشکل	แต่ง
ژنرال	ทั่วไป
ژنرال	แม่ทัพ
زندانیان	นักโทษ
زندانیان	เชลย
ضربه	ตุ่ม
ضربه	เตะ
ضربه	ถีบ
ضربه	คิก
ضربه	กระแทก
ایر	แอร์
ایر	อากาศ
پیروز	ชนะ
پیروز	ชัยชนะ
تایوان	ไต้หวัน
زیستی	ชีวภาพ
پزشکان	แพทย์
جاری	ปัจจุบัน
مرزهای	พรมแดน
معلم	ครู
معلم	คุณครู
معلم	อาจารย์
پیشرفته	ก้าวหน้า
آزمایشگاه	แล็บ
آزمایشگاه	แลป
آزمایشگاه	แล็ป
طیف	สเปกตรัม
حس	รู้สึก
کمبود	ขาดแคลน
کمبود	ขาด
جوامع	สังคม
جوامع	ชุมชน
استدلال	อาร์กิวเมนต์
قله	พีค
یورو	ยูโร
حومه	ชานเมือง
حومه	ชนบท
اون	นาง
اون	หล่อน
اون	เธอ
دفن	ฝัง
خوردن	กิน
آنلاین	ออนไลน์
شیشه	แก้ว
شیشه	กระจก
مربوطه	เกี่ยวข้อง
امواج	คลื่น
مقدماتی	มูลฐาน
مقدماتی	ประถม
قومی	ชาติพันธุ์
دانشجو	นักศึกษา
دانشجو	นักเรียน
شاگردان	สาวก
شاگردان	ม่านตา
نوجوانان	เยาวชน
نظم	ลำดับ
تنهایی	ลำพัง
تنهایی	เหงา
آلفا	แอลฟ่า
آلفا	แอลฟา
آلفا	อัลฟา
آلفا	อัลฟ่า
چرخ	ล้อ
چرخ	ตะกร้า
چرخ	เกวียน
هرات	ปม
مهندسان	วิศวกร
بم	แบม
تبعید	เนรเทศ
جنگلی	ป่า
جنگلی	ฟอเรส
جنگلی	ฟอเรสต์
روزگار	วัน
آسیاب	บด
بحرین	บาห์เรน
خواص	ลด
قربانی	บวงสรวง
قربانی	เหยื่อ
پارس	เห่า
وکیل	ทนายความ
وکیل	ทนาย
اختراع	คิดค้น
گرامی	เกียรติ
عمارت	แมนชั่น
عمارت	คฤหาสน์
داغ	ร้อนๆ
داغ	ร้อน
سفیر	ทูต
مزرعه	ไร่
مزرعه	ฟาร์ม
تحقیقاتی	ค้นคว้า
تحقیقاتی	วิจัย
الفبای	อักษร
حرفه	อาชีพ
همراهی	มิตรภาพ
ادب	มารยาท
خودروی	รถ
خودروی	รถยนต์
خودروی	ลูกผสม
کوهی	ภูผา
کوهی	ภูเขา
بوسنی	บอสเนีย
جداگانه	แยก
افسانه	ตำนาน
مجاز	กฎหมาย
مجاز	อนุญาต
موسوم	นี
گمان	แฟนซี
گمان	สันนิษฐาน
گمان	สมมติฐาน
گمان	สมมุติฐาน
گمان	หรู
چای	ชา
محاصره	ล้อม
کف	โฟม
کف	พื้น
کنسرت	คอนเสิร์ต
بیمه	ประกัน
آلبرت	อัลเบิร์
آلبرت	อัลเบิร์ต
گلی	เคลย์
گلی	ดิน
کجا	ที่ไหน
اکسید	ออกไซด์
قیام	ยืน
ونزوئلا	เวเนซุเอลา
سؤال	คำถาม
مقادیر	ค่า
امیدوارم	โฮป
امیدوارم	หวัง
علائم	อาการ
درونی	ภายใน
فیلسوف	ปรัชญา
موریس	มอริเชียส
درج	แทรก
وظایف	หน้าที่
سانتا	ต้า
سایه	เงา
مرور	รีวิว
مرور	วิจารณ์
وحدت	สามัคคี
وحدت	เอกภาพ
محبوب	นิยม
محبوب	ชอบ
محبوب	ขวัญใจ
گام	ขั้น
گام	ก้าว
جلال	รุ่งโรจน์
راس	รอส
مشتری	ลูกค้า
بابا	พ่อ
مرده	ตาย
نوجوانی	ทีน
ورزشکار	กีฬา
ورزشکار	นักกีฬา
ورزشکار	สปอร์ต
هواگرد	อากาศยาน
چوبی	ไม้
چوبی	วูด
دفاعی	ป้องกัน
سیم	ซิม
سیم	ลวด
اصطلاحات	เงื่อนไข
آبشارها	น้ำตก
دقیقاً	เป๊ะ
تخم	ไข่
سالم	สุขภาพ
تحریک	ยุยง
آرایه	อาร์เรย์
حسابداری	บัญชี
آیلند	เกาะ
الهی	อัลลอฮฺ
الهی	พระเจ้า
الهی	อัลลอฮ์
سوار	ขี่
نادرست	ปลอม
نادرست	เท็จ
نادرست	ผิด
نادرست	ธรรม
اصلاحات	ปฏิรูป
اصلاحات	ปรับปรุง
هزاران	พัน
تظاهرات	สาธิต
تظاهرات	ประท้วง
مرزی	ชายแดน
مرزی	กรอบ
مرزی	ขอบ
کارائیب	แคริบเบียน
گردن	คอ
گردن	คอง
گردن	คอร์
گردن	ต้นคอ
تحصیلی	วิชาการ
ویکتوریا	วิกตอเรีย
ویکتوریا	วิคตอเรีย
تجاوز	ข่มขืน
تجاوز	ก้าวร้าว
تبلیغاتی	โฆษณาชวนเชื่อ
تبلیغاتی	โฆษณา
فردا	พรุ่ง
ترس	หวั่น
ترس	กลัว
ترس	เกรง
تل	สูง
قصر	ราชวัง
قصر	พระราชวัง
قصر	วัง
قصر	ปราสาท
توده	มวลชน
توده	ก้อน
توده	มวล
گاو	นมวัว
گاو	วัว
دموکراتیک	ประชาธิปไตย
سوخته	ไหม้
شعار	คำขวัญ
شعار	สโลแกน
شعار	คติพจน์
وحشی	ดุดัน
وحشی	เถื่อน
واقعه	เหตุการณ์
واقعه	กิจกรรม
جلسه	พบปะ
جلسه	เซสชัน
جلسه	ประชุม
جلسه	เซสชั่น
اکسیژن	ออกซิเจน
فیلتر	กรอง
مترو	เมโทร
دخالت	แทรกแซง
شهروندان	พลเมือง
شهروندان	ประชาชน
رسم	ประเพณี
رسم	ธรรมเนียม
رسم	วางแผน
رسم	พล็อต
هشدار	เตือน
هشدار	แจง
معادله	สมการ
سیب	แอ๊ปเปิ้ล
سیب	เปิ้ล
سیب	แอปเปิล
ماهواره	ดาวเทียม
برگشت	กลับ
یخ	ไอซ์
صلیب	กางเขน
صلیب	ข้าม
بیس	แบ
بیس	แบส
بیس	แบต
بیس	เบส
بل	ระฆัง
بل	กระดิ่ง
بل	เบลล์
پورنو	อนาจาร
داوری	ตัดสิน
پراکنده	กระจัดกระจาย
بیگ	บิ๊ก
بیگ	ใหญ่
مأموریت	ภารกิจ
قطار	รถไฟ
موافقم	ยินยอม
کوهستان	ภูผา
کوهستان	ภูเขา
ادیان	ศาสนา
حشرات	แมลง
دیسک	แผ่น
دیسک	ดิสก์
دوستی	มิตรภาพ
دوستی	เพื่อน
نهضت	ขบวนการ
کهنه	เก่า
کهنه	เก่าๆ
کهنه	แก่
اجباری	แรง
اجباری	บังคับ
ضریب	สัมประสิทธิ์
نان	กะหรี่
نان	แนน
نان	น่าน
نان	แกง
نان	ขนมปัง
خورده	กิน
اختصاصی	กรรมสิทธิ์
امریکا	อเมริกา
گرافیک	กราฟิก
معمار	สถาปนิก
مرکب	หมึก
مرکب	สารประกอบ
ماندن	อยู่
نفس	อัตตา
نفس	ตนเอง
نفس	วิญญาณ
واسطه	ตัวกลาง
واسطه	กลาง
واسطه	คนกลาง
فشرده	รูด
فشرده	ข้น
مری	แมรี่
مری	แมรี
لیورپول	ลิเวอร์พูล
وسیع	กว้าง
تار	เว็บ
سودان	ซูดาน
شکلی	ตัวเลข
راهنما	แนวทาง
راهنما	คู่มือ
سیدنی	ซิดนีย์
استانداردهای	มาตรฐาน
اپرا	เปร่า
اسلحه	ปืน
آلفرد	อัลเฟร็ด
نمادهای	สัญลักษณ์
بادی	บัดดี้
بادی	ลม
بادی	สายลม
سهم	หุ้น
سهم	แชร์
متمرکز	โฟกัส
متمرکز	จดจ่อ
دلیلی	เหตุ
دلیلی	สาเหตุ
دلیلی	เหตุผล
کارگر	กรรมกร
کارگر	แรงงาน
دایره	วงกลม
مغزی	สมอง
پروفسور	ศาสตราจารย์
مانی	มณี
دان	ดอน
سرچشمه	น้ำพุ
انفجار	ระเบิด
مقبره	สุสาน
عاشق	ชอบ
عاشق	รัก
داوران	กรรมการ
تسلیم	ส่ง
آستانه	เกณฑ์
تعادل	สมดุล
کاغذ	กระดาษ
کاغذ	เอกสาร
کاغذ	หนังสือพิมพ์
زوج	คู่
زوج	คู่รัก
گرگ	หมาป่า
آماری	สถิติ
سراسری	โกลบอล
هوش	ปัญญา
سنگاپور	สิงคโปร์
مالیات	ภาษี
کشتن	สังหาร
کشتن	ฆ่า
سواحل	ชายหาด
مجازات	ลงโทษ
سازمانی	องค์กร
دوک	ดุก
دوک	ดุ๊ค
دوک	ดุ๊ก
دوک	ดุค
رز	โรส
رز	โร
رز	กุหลาบ
سکه	เหรียญ
سکه	คลัง
نمودار	ชาร์ต
نمودار	ภูมิ
نمودار	แผนภาพ
نمودار	แผนภูมิ
هالیوود	ฮอลลีวู้ด
بمب	ระเบิด
تیمور	ติมอร์
بچه	เด็ก
بچه	ทารก
بچه	ลูก
بچه	กุมาร
بچه	ที่รัก
بچه	เบบี้
دختری	สาว
نمک	เค็ม
نمک	เกลือ
استون	หิน
استون	ศิลา
معماران	สถาปนิก
هلندی	ดัตช์
روزه	ด่วน
روزه	เร็ว
روزه	รวดเร็ว
روزه	ไว
موش	เมาส์
آگاه	แจ้ง
جامد	ของแข็ง
جامد	ทึบ
جامد	มั่นคง
جامد	แข็ง
اخراج	เนรเทศ
دژ	ป้อม
دژ	ปราการ
جمعیتی	ประชากรศาสตร์
جمعیتی	ประชากร
کمترین	น้อย
دموکراسی	ประชาธิปไตย
خزر	แคสเปียน
شکسته	หัก
شکسته	สลาย
شکسته	พัง
شکسته	ชำรุด
شکسته	แตกหัก
شکسته	แตก
ماداگاسکار	มาดากัสการ์
بارگذاری	โหลด
بارگذاری	อัพโหลด
هیل	เฮล
هیل	เนิน
بنگلادش	บังกลาเทศ
مار	มาร์
مار	งู
دهان	ปาก
وست	เวสต์
جفت	คู่
جفت	รก
ابر	เมฆ
عمیق	ลึก
دستگیری	จับกุม
تست	ทดสอบ
تست	สอบ
اساتید	ครู
اساتید	มาสเตอร์
تنوع	แปรผัน
پرتو	คาน
پرتو	ลำแสง
پرتو	เรย์
پرتو	บีม
اورشلیم	เยรูซาเล็ม
فرمانروایی	อาณาจักร
گپ	แชท
گپ	แชต
پاس	ผ่าน
هیدروژن	ไฮโดรเจน
جاز	แจ๊ซ
جاز	แจ๊ส
راز	ลับๆ
راز	ลับ
نوجوان	ทีน
عامه	นิยม
تمرین	ฝึกฝน
تمرین	ฝึก
تمرین	ซ้อม
اواسط	มิด
شلیک	ถ่าย
شلیک	ยิง
پلاک	ทะเบียน
پلاک	จุลินทรีย์
پلاک	จาน
بیاید	มา
هماهنگی	ปรองดอง
خام	ดิบ
خام	หยาบ
خام	ดิบๆ
قدس	เยรูซาเล็ม
هوشمند	ฉลาด
منافع	ประโยชน์
بام	ดาดฟ้า
بام	หลังคา
نشریات	วารสาร
رویدادها	เหตุการณ์
رویدادها	กิจกรรม
بالاخره	สุดท้าย
کتیبه	เลื่อน
لغو	แทนที่
چرخه	วัฏจักร
چرخه	วงจร
چرخه	วงกลม
چرخه	รอบ
هاوایی	ฮาวาย
استخدام	จ้าง
تندیس	ประติมากรรม
تندیس	อนุสาวรีย์
پاییز	หล่น
پاییز	ตก
پاییز	ล้ม
پاییز	ร่วง
مخابرات	สื่อสาร
مخابرات	โทรคมนาคม
تفریحی	สันทนาการ
تفریحی	นันทนาการ
حدیث	ประกาศ
تسلط	อำนาจ
حاکمان	กรรมการ
تجربی	ทดลอง
مقدمه	บทนำ
ویدئو	วีดีโอ
ویدئو	วิดีโอ
قضایی	ตุลาการ
دراز	นาน
دراز	ยาว
مغول	มองโกเลีย
بلافاصله	ทันที
شن	เชิน
شن	ทราย
شن	สิม
خلبان	นักบิน
پائولو	เปาโล
تفکر	ไตร่ตรอง
تفکر	คิด
حجت	ประกัน
عجیب	แปลก
عجیب	แปลกๆ
فراز	เหนือ
اعتراضات	ประท้วง
فراموش	ลืม
طنز	เสียดสี
طنز	ขัน
کریستین	คริสเตียน
نخل	ฝ่ามือ
نخل	ปาล์ม
فرعی	ซับ
فرعی	ย่อย
بستن	ปิด
بستن	ใกล้
سدیم	โซเดียม
پورنوگرافی	อนาจาร
حکمت	ปัญญา
حکمت	ภูมิปัญญา
ماد	โคลน
درختی	ต้นไม้
درختی	ต้น
مو	เส้นผม
مو	ขน
سوئدی	สวีเดน
پروتئین	โปรตีน
دشتی	ราบ
کالا	สินค้า
کیم	คิม
کشیدن	ลาก
عقاب	อินทรี
عقاب	อินทรีย์
تسخیر	พิชิต
تسخیر	เอาชนะ
آزار	เจ็บ
آزار	รำคาญ
آزار	ทำร้าย
بلوک	บล็อก
بلوک	บล็อค
مبلغ	จำนวน
مبلغ	ซำ
قبیله	ตระกูล
قبیله	เผ่า
تزریق	ฉีด
همایش	ประชุม
لوح	จุลินทรีย์
چی	อะไร
کابینه	ตู้
موازی	ขนาน
منظم	ปกติ
منظم	ปรกติ
غلط	ปลอม
غلط	เท็จ
انیمیشن	การ์ตูน
خواهان	กิเลส
خواهان	ปรารถนา
فیفا	ฟีฟ่า
کرم	ครีม
کرم	หนอน
کلاه	หมวก
خیالی	จินตนาการ
بوی	กลิ่น
محدودیت	จำกัด
محدودیت	วงเงิน
مختلط	ผสม
اهدا	บริจาค
شفاف	โปร่งใส
شفاف	โปร่งแสง
شفاف	โปร่ง
امضای	เซ็น
قبایل	เผ่า
دام	ดอม
دام	ดัก
داگلاس	ดักลาส
پسران	หนุ่มๆ
سرنوشت	ชะตา
حیاط	ลาน
حیاط	สนาม
رایگان	ฟรี
رایگان	อิสระ
رایگان	ว่าง
رایگان	เสรี
گیرنده	ผู้รับ
قد	สูง
لئون	ออน
برف	หิมะ
داور	กรรมการ
نپال	เนปาล
ارباب	อาจารย์
پردیس	มหาวิทยาลัย
پردیس	วิทยาลัย
پردیس	วิทยาเขต
بازنشسته	เกษียณ
چارچوب	กรอบ
چارچوب	เฟรม
بدنه	ร่าง
بدنه	ร่างกาย
بدنه	กาย
دیر	สาย
دیر	ช้า
دیر	กวาง
دیر	ดึก
سروده	แต่ง
سفیران	ทูต
اضافی	พิเศษ
اضافی	พรีเมียม
دما	อุณหภูมิ
غنی	ร่ำรวย
غنی	ริช
غنی	รวย
غنی	คนรวย
مخلوط	มิกซ์
مخلوط	ผสม
آسان	ง่าย
آسان	ง่ายๆ
آسان	ง่ายดาย
شارل	ชารลส์
شارل	ชาร์ล
شارل	ชาร์ลส์
بلک	ดำ
سانتیمتر	เซนติเมตร
فیلمنامه	บท
تکنیک	เทคนิค
فرش	พรม
گندم	ธัญพืช
گندم	เมล็ด
حیوان	สัตว์
حیوان	สู
حیوان	อสูร
دیدنی	งดงาม
اپل	แอปเปิล
مکانیکی	เชิงกล
سرگرمی	บันเทิง
ائتلاف	พันธมิตร
خرس	แบก
خرس	หมี
خاکی	ลูกรัง
خاکی	สกปรก
خاکی	ดิน
کاپیتان	กัปตัน
مراجع	อ้างอิง
سازه	โครงสร้าง
ایمان	ศรัทธา
ایمان	เชื่อ
دیو	เดฟ
یانگ	แจง
یانگ	ชัง
یانگ	ยาง
یانگ	หยาง
یانگ	แหยง
یانگ	ยัง
یانگ	จาง
یانگ	แยง
زخمی	ทำร้าย
زخمی	เจ็บ
برنج	ข้าว
اوضاع	สิ่งของ
الکترون	อิเล็กตรอน
گرما	ร้อน
دندان	ฟัน
کودتای	รัฐประหาร
محترم	นับถือ
مال	มอล
مال	ทรัพย์
مال	ร่ำรวย
مال	มาล
مال	ทรัพย์สิน
لویی	หลุยส์
کتابهای	หนังสือ
محققان	บัณฑิต
ماهیان	ปลา
ماهیان	ฟิช
داوود	เดวิด
هواداران	แฟนๆ
شام	เย็น
شام	ดินเนอร์
شنبه	เสาร์
موزیک	เพลง
موزیک	ดนตรี
موزیک	มิวสิค
بروس	บรูซ
خطرناک	อันตราย
گرجی	จอร์เจีย
پرسش	คำถาม
پاراگوئه	ปารากวัย
طب	เวชศาสตร์
طب	ยา
پارامتر	พารามิเตอร์
عراقی	อิรัก
کلیدی	คีย์
کلیدی	กุญแจ
تاریک	มืด
تاریک	เข้ม
کینگ	ราชา
کینگ	คิง
کینگ	กษัตริย์
وبلاگ	บล็อก
اشتراک	ติดตาม
اشتراک	หุ้น
اشتراک	สมัคร
اشتراک	แชร์
مجسمه	ประติมากรรม
مجسمه	อนุสาวรีย์
رایت	ไรท์
رنج	ทรมาน
قهوه	กาแฟ
واضح	ชัด
کلام	คำ
سالها	ปี
تقدیر	ชะตา
بنیادی	ก้าน
استرالیایی	ออสเตรเลีย
علمای	บัณฑิต
حکیم	ฉลาด
شکنجه	ทรมาน
مشتق	ดัดแปลง
دائمی	ถาวร
کارایی	ประสิทธิภาพ
جوی	จอย
پژوهشگر	บัณฑิต
قبرستان	สุสาน
قبرستان	ป่าช้า
قضاوت	ตัดสิน
کیهان	จักรภพ
کیهان	ภพ
کیهان	จักรวาล
هندسه	เรขาคณิต
توقف	หยุด
پناه	ที่พัก
پناه	ป้องกัน
هال	ฮอลล์
هال	ฮอล
هال	ฮาล
قواعد	กติกา
قواعد	กฎ
قواعد	กฏ
خیریه	ทำบุญ
چرخش	ปั่น
چرخش	หมุน
هانس	ฮันส์
بستر	เตียง
بستر	ที่นอน
بستر	นอน
دن	แดน
بدل	จำลอง
پوند	ปอนด์
نیمی	ครึ่ง
قومیت	ชาติพันธุ์
پوستر	โปสเตอร์
بلوز	บลูส์
بلوز	เสื้อ
بلوز	บลู
ذهنی	จิต
ژن	จีน
ژن	ยีน
ذیل	ติดตาม
ذیل	ผนวก
کلیک	คลิก
باری	ภาระ
غذای	มื้อ
غذای	อาหาร
عید	ฉลอง
قاعده	กฎ
قاعده	ปกครอง
قاعده	กฏ
پیراهن	เสื้อ
نوکیا	โนเกีย
کوک	ก๊ก
کوک	หุง
کوک	ปรุง
کوک	ครัว
پایداری	เสถียรภาพ
فلان	ลาบ
وایت	ขาว
وایت	ไวท์
نحوی	ไวยากรณ์
کارلوس	คาร์ลอส
حاکمیت	ตัดสิน
گفتار	สุนทรพจน์
زبانهای	ภาษา
جهاد	ดิ้นรน
حساسیت	ภูมิแพ้
وبسایت	เว็บไซต์
فرکانس	ความถี่
ویل	วิล
ویل	จะ
ویل	พิน
واپسین	สุดท้าย
واپسین	ล่าสุด
پولی	เงิน
ثروت	ทรัพย์
ثروت	ร่ำรวย
ثروت	วาสนา
ثروت	ลาภ
ثروت	ทรัพย์สิน
بازارهای	ตลาด
اتم	อะตอม
بانکداری	ธนาคาร
گور	กอร์
جم	แจม
جم	แยม
جم	อัญมณี
لنز	เลนส์
واقعا	จริงๆ
واقعا	จริง
فساد	บ่อน
بوستون	บอสตัน
فرشته	เทวดา
فرشته	นางฟ้า
فلز	สังกะสี
فلز	เหล็ก
فلز	โลหะ
رویکرد	เข้าหา
مخزن	ถัง
مخزن	แท็งค์
شایسته	คู่ควร
بدنی	ร่าง
بدنی	ร่างกาย
بدنی	กาย
بدنی	กายภาพ
کارشناسان	วิศวกร
طلاق	หย่า
لهجه	สำเนียง
دشوار	หนัก
دشوار	แรง
دشوار	ฮาร์ด
دشوار	ยาก
دشوار	โหม
دشوار	ลำบาก
برند	ยี่ห้อ
برند	แบรนด์
غذاهای	จาน
غذاهای	อาหาร
غذاهای	ฟู้ด
قاهره	ไคโร
سکوت	เงียบ
نوک	ทิป
اسکی	สกี
جغرافیا	ภูมิศาสตร์
مکعب	ลูกบาศก์
مفصل	ละเอียด
اخترشناسی	ดาราศาสตร์
کنگو	คองโก
قالی	พรม
مهارت	ทักษะ
پتانسیل	ศักยภาพ
لین	หลิน
باریک	แคบ
ریسک	เสี่ยง
کنسول	คอนโซล
سادگی	เพียง
آداب	มารยาท
بازیابی	กู้
ذوب	ละลาย
دیپلم	ประกาศนียบัตร
اشیاء	วัตถุ
تیمی	ทีม
