மற்றும்	そして
பார்க்	公園
பார்க்	パーク
தங்கம்	ゴールド
ராம்	ラム
ஜம்மு	ジャンムー
கோள்	惑星
அதிகப்படியான	超過
தொகுப்புகள்	パッケージ
தொகுப்புகள்	コレクション
முனை	エッジ
வீதி	ストリート
வீதி	通り
தேவாலயம்	教会堂
தேவாலயம்	教会
தேவாலயம்	チャーチ
புத்தகங்கள்	書籍
புத்தகங்கள்	帳簿
புத்தகங்கள்	書物
மார்ட்டின்	マーチン
மார்ட்டின்	マーティン
மருத்துவர்கள்	医師
மருத்துவர்கள்	医者
மலாக்கா	マラッカ
கவிஞர்கள்	詩人
பிரதி	複製
பிரதி	重複
முன்னேற்றம்	プログレス
முன்னேற்றம்	進捗
முன்னேற்றம்	経過
அயர்லாந்து	アイルランド
நடைமுறை	手順
நடைமுறை	プロシージャ
நடைமுறை	手続き
தெய்வம்	女神
புறம்	サイド
பாரிஸ்	パリス
பாரிஸ்	パリ
இயல்பான	ノーマル
இயல்பான	有機
இயல்பான	普通
படிப்படியாக	徐々に
அப்பொழுது	それから
அளவுகள்	サイズ
அளவுகள்	寸法
கருத்துகள்	コメント
அழுத்த	プレス
ஆடை	被服
ஆடை	服装
ஆடை	ドレス
டீ	お茶
டீ	紅茶
டீ	ディー
லட்சுமி	ラクシュミー
பீ	ビー
குறி	サイン
குறி	マーク
குறி	記号
குறி	マルク
குறி	署名
மேடை	ステージ
மேடை	舞台
சாம்பல்	灰色
சாம்பல்	グレイ
சாம்பல்	グレー
மலாய்	マレー
கலப்பு	混合
கலப்பு	混ぜる
கலப்பு	ミックス
வடமேற்கு	北西
வருடங்கள்	年数
விக்டோரியா	ビクトリア
விக்டோரியா	ヴィクトリア
பொட்டாசியம்	カリウム
காலநிலை	気候
காலநிலை	天候
காலநிலை	気象
காலநிலை	天気
பரிந்துரை	推薦
பரிந்துரை	すすめる
பரிந்துரை	暗示
பரிந்துரை	提案
பரிந்துரை	薦める
பரிந்துரை	おすすめ
ஏனென்றால்	だって
ஏனென்றால்	なぜなら
தோட்டம்	庭園
இலவச	無料
இலவச	フリー
இலவச	自由
ஞானம்	知恵
நெறிமுறை	議定書
நெறிமுறை	プロトコル
சினிமா	映画
சினிமா	シネマ
நுகர்வோர்	消費者
தோழி	友だち
தோழி	友達
தோழி	友人
தோழி	フレンド
வாய்	ワイ
பாதிப்பு	損傷
பாதிப்பு	被害
பாதிப்பு	ダメージ
பாதிப்பு	損害
அழகு	可愛い
அழகு	キュート
அழகு	美しい
அழகு	ビューティフル
அழகு	美容
அழகு	かわいい
ஆப்பிள்	アップル
ஆப்பிள்	林檎
ஆப்பிள்	りんご
ஆப்பிள்	リンゴ
விஷ்ணு	ヴィシュヌ
விலகி	アウェイ
பெட்டி	ボックス
கொடுத்த	与えられた
தொடர்ச்சி	連続
தொடர்ச்சி	シーケンス
தொடர்ச்சி	ストリング
பில்	ビル
வியட்நாம்	ベトナム
மொபைல்	モバイル
தாவரம்	植物
தாவரம்	プラント
பின்னணி	バックグラウンド
பின்னணி	背景
கலைகள்	芸術
மின்னணு	エレクトロニック
பயன்பாடுகள்	アプリ
பயன்பாடுகள்	アプリケーション
கற்பனை	イマジネーション
கற்பனை	想像力
கற்பனை	ファンタジー
கற்பனை	想像
பூக்கள்	お花
சகோதரர்கள்	ブラザーズ
சகோதரர்கள்	兄弟
போலந்து	ポーランド
ஒவ்வொன்றும்	それぞれ
வளர்ப்பு	フォスター
தொடர்கள்	シリーズ
மது	リキュール
மது	ワイン
மது	アルコール
குறிப்பிடப்பட்டுள்ளது	特定
குறிப்பிடப்பட்டுள்ளது	指定された
கனடிய	カナディアン
கனடிய	カナダ
சொல்ல	セイ
விரைவுவண்டி	急行
விரைவுவண்டி	エクスプレス
இஸ்லாம்	イスラム教
தவறு	間違い
தவறு	虚偽
தவறு	精度
இளைஞர்	ユース
இளைஞர்	青春
இளைஞர்	若者
இளைஞர்	青年
வாரம்	週間
யார்க்	ヨーク
பொருந்தும்	応募
பொருந்தும்	マッチング
பொருந்தும்	適用
பாடி	ボディ
பாடி	身体
பாடி	本体
பாடி	本文
பரவல்	配当
பரவல்	流通
பரவல்	分布
பரவல்	拡散
தடுத்து	拘禁
தடுத்து	留置
தடுத்து	収容
தடுத்து	勾留
திசை	方向
ஈர்ப்பு	アトラクション
ரே	レイ
நலம்	まあ
நலம்	健康
ஊடகங்கள்	メディア
இரயில்	列車
இரயில்	トレイン
இரயில்	電車
உடனே	直ちに
இழப்பு	喪失
இழப்பு	ゆるい
இழப்பு	損失
இழப்பு	ルース
இல்லம்	ハウス
தேசம்	国民
தேசம்	ネーション
வலுவான	濃い
வலுவான	強い
வாக்காளர்	有権者
இயக்குநர்கள்	取締役
ஒட்டுமொத்த	全体
மான்	シカ
பெண்களுக்கு	女性
பெண்களுக்கு	ガールズ
பரிசோதனை	テスト
பரிசோதனை	実験
மாற்றங்களை	変更
வளாகம்	複雑
வளாகம்	キャンパス
வளாகம்	コンプレックス
வளாகம்	錯体
எழுதப்பட்டது	筆記
பிரச்சினை	問題
சேர்	参加
சேர்	加算
சேர்	追加
பாரசீக	ペルシャ
முத்து	真珠
கரு	原子核
கரு	プリミティブ
சான்று	証明
சான்று	証言
சான்று	プルーフ
சான்று	証拠
தாக்கத்தை	インパクト
தாக்கத்தை	衝撃
வார்த்தை	単語
வார்த்தை	言葉
வார்த்தை	ワード
இளங்கலை	独身
மேம்பட்ட	上級
கடினமான	厳しい
கடினமான	難しい
கடினமான	一生懸命
கடினமான	ハード
கடினமான	タフ
குளிர்	コールド
குளிர்	寒い
குளிர்	風邪
குளிர்	冷たい
இன்னமும்	スティル
இன்னமும்	まだ
இன்னமும்	それでも
தளங்கள்	ドメイン
தளங்கள்	プラットフォーム
தளங்கள்	サイト
சுவர்	ウォール
சிற்பங்கள்	彫刻
எதிர்கால	フューチャー
எதிர்கால	将来
எதிர்கால	未来
வேத	ヴェーダ
பெரும்பான்மை	過半数
சபா	サバーハ
அதிகபட்ச	最大
அதிகபட்ச	マックス
பிழை	エラー
தென்மேற்கு	南西
நகரும்	引越し
நகரும்	移動
தயாரிக்கும்	メイキング
ராய்	ロイ
விரைவு	クイック
பெறப்பட்ட	受信
பெறப்பட்ட	受け取り
யூனியன்	ユニオン
அமினோ	網野
அமினோ	アミノ酸
அமைச்சர்கள்	公使
அமைச்சர்கள்	大臣
பிரச்சினைகள்	問題
டிஜிட்டல்	デジタル
ஆவணங்கள்	文書
ஆவணங்கள்	ドキュメント
ஆவணங்கள்	ドキュメンテーション
ஆவணங்கள்	フォルダ
ஆவணங்கள்	書類
ஆவணங்கள்	フォルダー
கல்லீரல்	肝臓
கல்லீரல்	レバー
சிட்னி	シドニー
சான்றிதழ்	証明書
சான்றிதழ்	証書
தற்கொலை	自殺
ஈரான்	イラン
துப்பாக்கி	ピストル
துப்பாக்கி	ガン
துப்பாக்கி	リボルバー
அரிசி	ライス
அரிசி	ご飯
காசி	かし
டெல்லி	デリー
சமன்பாடு	方程式
பெண்ணின்	女の子
பெண்ணின்	女性
பெண்ணின்	少女
பெண்ணின்	ガール
வளர்ச்சிக்கு	発育
வளர்ச்சிக்கு	成長
டான்	ダン
டான்	ドン
தாண்டி	ビヨンド
முகவரி	アドレス
முகவரி	住所
பணியை	ジョブ
பணியை	仕事
பணியை	職業
சமமாக	イコール
சமமாக	等しい
மனிதனின்	男性
அழைப்பு	通話
அழைப்பு	コール
தீர்ப்பு	決済
தீர்ப்பு	審判
தீர்ப்பு	判断
தீர்ப்பு	集落
தீர்ப்பு	和解
ஆதாரம்	証明
ஆதாரம்	プルーフ
ஆதாரம்	証拠
ஆதாரம்	出典
ஆதாரம்	ソース
தலைப்புகள்	ヘッダー
தலைப்புகள்	ヘッダ
ராயல்	ロイヤル
கட்டணம்	決済
கட்டணம்	対価
கட்டணம்	プライス
கட்டணம்	課金
கட்டணம்	支払
கட்டணம்	チャージ
கட்டணம்	充電
கட்டணம்	料金
கட்டணம்	価格
கட்டணம்	手数料
கட்டணம்	値段
கட்டணம்	支払い
நெறி	構文
நதி	河川
நதி	ナンディ
கைப்பற்ற	征服
நண்பர்கள்	友だち
நண்பர்கள்	友達
சமீபத்திய	最新
சமீபத்திய	最近
தினமும்	デイリー
தினமும்	日常
தினமும்	毎日
பார்வதி	パールヴァティー
போய்	ボイ
நட்சத்திரம்	恒星
நட்சத்திரம்	スター
ஆய்வாளர்	アナリスト
வீ	ウィー
வீ	おしっこ
நடத்தை	挙動
நடத்தை	行動
பள்ளத்தாக்கு	谷間
பள்ளத்தாக்கு	バレー
தங்கி	滞在
டவுன்	ダウン
டவுன்	タウン
இருக்கும்போது	とき
இருக்கும்போது	いつ
வழக்கறிஞர்	弁護士
கோணம்	角度
கோணம்	アングル
சிந்தனை	思考
சிந்தனை	考え
கூட்டத்தில்	会議
கூட்டத்தில்	ミーティング
தேவைப்படுகிறது	必須
டன்	トン
தொழில்முறை	プロフェッショナル
டை	引き分け
டை	ネクタイ
நாட்டார்	フォーク
விமானங்கள்	フライト
நம்பி	信じる
நம்பி	信ずる
உரிமம்	認証
உரிமம்	免許
உரிமம்	ライセンス
துருக்கி	トルコ
துருக்கி	七面鳥
அடிமை	奴隷
இரத்தம்	血液
இரத்தம்	出血
இரத்தம்	ブラッド
சுழல்	再帰
சுழல்	渦巻
சுழல்	スピン
சுழல்	スパイラル
சுழல்	渦巻き
தாமரை	ロータス
தாமரை	ハス
செலுத்தி	フィーダー
ரஷ்ய	ロシア
கால்வாய்	運河
கிருஷ்ண	クリシュナ
வாகனம்	乗り物
வாகனம்	車両
வாகனம்	自動車
மேயர்	町長
மேயர்	マイヤー
மேயர்	市長
மேயர்	メイヤー
சாலைகள்	道路
பண்பு	プロパティ
பண்பு	財産
பண்பு	属性
செயற்கைக்கோள்	サテライト
செயற்கைக்கோள்	衛星
முடி	ヘアー
முடி	髪の毛
முடி	毛髪
முடி	終了
முடி	ヘア
முடி	エンド
முடி	フィニッシュ
இசையமைப்பாளர்	ミュージシャン
இசையமைப்பாளர்	音楽家
பாம்பு	ヘビ
அறிவிப்பு	告示
அறிவிப்பு	お知らせ
அறிவிப்பு	通知
அறிவிப்பு	アナウンス
அறிவிப்பு	公表
அறிவிப்பு	告知
அறிவிப்பு	発表
அறிவிப்பு	届出
சுவீடன்	スウェーデン
நாளை	明日
நாளை	あした
வைட்டமின்	ビタミン
சமையல்	料理
சமையல்	クッキング
சமையல்	調理
மூளை	脳みそ
தோல்வி	失敗
தோல்வி	故障
தோல்வி	失う
நட்பு	友情
படத்தை	写真
படத்தை	フォト
முத்திரை	シール
முத்திரை	封印
முத்திரை	切手
முத்திரை	スタンプ
முத்திரை	アザラシ
முத்திரை	押印
முத்திரை	印章
இலை	葉っぱ
மகிழ்ச்சி	ハッピー
மகிழ்ச்சி	幸福
மகிழ்ச்சி	ハピネス
மகிழ்ச்சி	幸せ
வன்முறை	暴力
கலவை	ミックス
கலவை	ミキサー
கலவை	ブレンド
கலவை	混合
கலவை	混合物
சார்லஸ்	シャルル
உள்ளடக்கம்	内容
உள்ளடக்கம்	コンテンツ
வர்த்தகம்	商業
வர்த்தகம்	取引
வர்த்தகம்	コマース
வர்த்தகம்	コマーシャル
பின்னணிப்	再生
என்னுடைய	鉱山
பரிமாற்றம்	転送
பரிமாற்றம்	乗り換え
பரிமாற்றம்	トランザクション
பரிமாற்றம்	交換
பரிமாற்றம்	取引
பரிமாற்றம்	移転
பரிமாற்றம்	譲渡
கறுப்பு	ブラック
கறுப்பு	黒い
தரமான	品質
தரமான	クオリティ
தரமான	画質
நைட்	ナイト
நைட்	騎士
பயண	旅行
கால்சியம்	カルシウム
கால்சியம்	マグネシウム
கால்சியம்	コバルト
கால்சியம்	摂氏
இயக்கி	ドライバー
இயக்கி	ドライブ
இயக்கி	ドライバ
இயக்கி	運転手
வலிமையான	最強
காயமடைந்தனர்	怪我
கடைசியாக	ラスト
கடைசியாக	最後
கடைசியாக	最終
வெட்டி	切り取り
வெட்டி	カット
பெறுதல்	受信
பிள்ளைகள்	子供
சங்கிலி	チェーン
சங்கிலி	チェイン
சாதனங்கள்	機器
சாதனங்கள்	デバイス
தொலைவு	距離
மனதில்	マインド
அலெக்சாண்டர்	アレクサンダー
அலெக்சாண்டர்	アレクサンドロス
அலெக்சாண்டர்	アレキサンダー
களம்	ドメイン
பழங்கள்	果実
பழங்கள்	フルーツ
பழங்கள்	果物
வேட்பாளர்	候補者
வேட்பாளர்	候補
ஓடும்	ランニング
ஓடும்	走る
தொழிற்சாலை	産業
தொழிற்சாலை	工業
தொழிற்சாலை	業界
தொழிற்சாலை	工場
கோடை	サマー
குறைக்க	減らす
ஜனநாயக	民主主義
லூக்கா	ルカ
உறுப்புகள்	元素
உறுப்புகள்	要素
உறுப்புகள்	エレメント
சர்க்கரை	砂糖
நாட்காட்டி	カレンダー
ஆலோசனை	助言
ஆலோசனை	アドバイス
ஆலோசனை	コンサルティング
மெதுவாக	ゆっくりと
மெதுவாக	遅い
மெதுவாக	ゆっくり
மெதுவாக	スロー
காப்பீடு	保険
அரசியலமைப்பு	憲法
அரசியலமைப்பு	体質
மைல்கள்	マイル
மடம்	修道院
மடம்	僧院
புனிதர்	セイント
புனிதர்	聖人
பாத்திரம்	役割
ஆழமான	ディープ
ஆழமான	深い
வழிமுறைகள்	指示
வழிமுறைகள்	手順
வழிமுறைகள்	チャネル
வழிமுறைகள்	チャンネル
அதிர்வெண்	頻度
அதிர்வெண்	周波数
சீரான	制服
சீரான	ユニフォーム
துவக்க	起動
அருகாமையில்	近い
கொன்று	キル
சிட்டி	シティ
சிட்டி	都市
அதிகரித்து	増加
புலம்	フィールド
பாய்	男の子
பாய்	少年
பாய்	ボーイ
தொற்று	伝染病
தொற்று	感染
காணாமல்	失踪
சந்திரன்	ムーン
குழுவினர்	クルー
திரவ	液体
குலம்	氏族
தானாகவே	自動
தானாகவே	オート
செல்	セル
மோட்டார்	モーター
விமர்சனம்	批評
விமர்சனம்	評論
விமர்சனம்	批判
கிருஷ்ணா	クリシュナ
போர்கள்	ウォーズ
போர்கள்	戦争
பொதுநலவாய	コモンウェルス
பரவியது	拡散
பரவியது	スプレッド
இசைக்குழு	バンド
ஓட்டம்	走り
ஓட்டம்	ランナー
ஓட்டம்	走る
ஓட்டம்	ランニング
ஓட்டம்	ラン
ஓட்டம்	フロー
ஓட்டம்	流れ
ஊழல்	不祥事
ஊழல்	汚職
ஊழல்	スキャンダル
குழந்தைகளின்	子供
குழந்தைகளின்	キッズ
பாதி	半分
பாதி	ハーフ
ஆதலால்	利点
ஆதலால்	アドバンテージ
ஸ்டீவ்	スティーブ
ஸ்டீவ்	スティーヴ
வம்சம்	王朝
கொஞ்சம்	わずか
வாரியம்	ボード
தாக்குதல்கள்	攻撃
அசல்	オリジナル
சுவிட்சர்லாந்து	スイス
கண்டிப்பாக	シュア
கொலம்பியா	コロンビア
மத்தேயு	マシュー
இந்தோனேசியா	インドネシア
நாளும்	一日
பொறி	トラップ
பொறி	マシン
பொறி	機械
பொறி	エンジン
பொறி	マシーン
தேடல்	検索
எலிசபெத்	エリザベス
நன்மை	給付
நன்மை	良い
நன்மை	グッド
நன்மை	利益
அமில	酸性
பிணைப்பு	束縛
பிணைப்பு	バウンド
சட்டத்தை	法律
சட்டத்தை	法学
உயர்வு	上昇
உயர்வு	ハイキング
மையங்கள்	カフェ
கருப்பை	子宮
மாநகராட்சி	コーポレーション
ஆயுதங்கள்	武器
ஆயுதங்கள்	兵器
பராமரிப்பு	整備
பராமரிப்பு	メンテナンス
ஞாயிறு	太陽
ஞாயிறு	日曜日
கண்கள்	アイズ
சகோதரி	シスター
சகோதரி	姉妹
பணியாளர்	社員
பணியாளர்	職員
விழாக்கள்	祭り
விழாக்கள்	祭事
முக்கோணம்	三角形
முக்கோணம்	翻訳
முக்கோணம்	トライアングル
இணைக்கிறது	接続
கணம்	モーメント
கணம்	瞬間
சிறிதளவு	あまり
அனுபவம்	エクスペリエンス
அனுபவம்	経験
அனுபவம்	体験
கோரி	コーリー
கோரி	コリ
இயக்கங்கள்	オペレーション
இயக்கங்கள்	操作
இயக்கங்கள்	演算
உடை	ドレッシング
உடை	ドレス
டாலர்கள்	ドル
மற்றவர்கள்	他の
மற்றவர்கள்	その他
ஸ்பெயின்	スペイン
நோக்கியா	ノキア
அக்னி	アグニ
பாடலை	歌曲
பாடலை	ソング
நடுத்தர	ミディアム
நடுத்தர	メディア
ஹோட்டல்	ホテル
வடிவவியல்	ジオメトリ
வடிவவியல்	図形
நீக்கம்	スポット
பழுப்பு	火傷
பழுப்பு	茶色
பழுப்பு	褐色
பழுப்பு	やけど
பழுப்பு	グレー
பழுப்பு	灰色
பழுப்பு	グレイ
பழுப்பு	焼き
பழுப்பு	ブラウン
நாட்களுக்கு	日数
பழக்கம்	習慣
அழகான	美しい
அழகான	素敵
அழகான	ビューティフル
இணையாக	並列
இணையாக	パラレル
நடப்பு	プレゼント
நடப்பு	現在
இறையியல்	神学
நெட்வொர்க்	ネットワーク
பக்கத்தை	ページ
வளாகத்தில்	キャンパス
கோரிக்கை	請求
கோரிக்கை	リクエスト
காலி	空っぽ
ஆலன்	アレン
ஆலன்	アラン
யோகம்	ヨガ
மூலங்கள்	資源
மூலங்கள்	リソース
மூலங்கள்	出典
மூலங்கள்	ソース
வீழ்ச்சி	落下
வீழ்ச்சி	落ちる
வீழ்ச்சி	敗北
தொழிலில்	産業
தொழிலில்	業界
கொடுக்கப்பட்ட	与えられた
சொந்தமான	パーソナル
சொந்தமான	個人
வாழ	ライブ
வாழ	生きる
முன்னோடி	パイオニア
பிறர்	他の
பிறர்	その他
அப்பால்	ビヨンド
தேர்ச்சி	合格
எண்ணற்ற	多数
கண்டறியப்பட்டது	検知
அமைப்புகளில்	設定
அமைப்புகளில்	セッティング
துடுப்பாட்டம்	コオロギ
துடுப்பாட்டம்	クリケット
பாட்டு	歌曲
பாட்டு	ソング
பாடும்	歌う
நாணயங்கள்	コイン
நாணயங்கள்	硬貨
ஹார்ட்	ハート
ஆடு	ヤギ
அம்மா	ママ
அம்மா	マミー
அம்மா	母親
அம்மா	おかあさん
படகு	ボート
படகு	ラフティング
தொழில்துறை	産業
தொழில்துறை	工業
தொழில்துறை	業界
கூற்று	ステートメント
கூற்று	表現
கூற்று	声明
ஒப்புதல்	承認
ஒப்புதல்	承諾
ஒப்புதல்	同意
சக	同僚
டென்னிஸ்	テニス
மணல்	砂塵
இடை	ウエスト
நுட்பம்	テクスチャ
நுட்பம்	テクスチャー
நுட்பம்	正確性
நுட்பம்	精度
கவலை	関心事
கவலை	心配
கவலை	不安
இலைகள்	葉っぱ
உலா	散策
உலா	ツアー
பாலை	牛乳
பாலை	ミルク
ரேடியோ	ラジオ
லூயிஸ்	ルイ
லூயிஸ்	ルイス
செயற்பாடுகள்	アクティビティ
செயற்பாடுகள்	活動
செயற்பாடுகள்	オペレーション
செயற்பாடுகள்	操作
செயற்பாடுகள்	関数
செயற்பாடுகள்	演算
எண்ணம்	思考
வாஷிங்டன்	ワシントン
புள்ளியியல்	統計
செயல்கள்	アクション
சாரா	サラ
நிலநடுக்கம்	地震
நன்று	良い
நன்று	グッド
நன்று	まあ
எண்ணி	カウンター
எண்ணி	カウンタ
எண்ணி	数値
எண்ணி	番号
எண்ணி	ナンバー
அட்லாண்டிக்	アトランティック
அட்லாண்டிக்	大西洋
ஜெமினி	ジェミニ
கணவர்	主人
கணவர்	旦那
கணவர்	ダンナ
வளங்கள்	リソース
வளங்கள்	資源
நடிப்பு	演技
பணியாளர்கள்	社員
பணியாளர்கள்	スタッフ
பொழுதுபோக்கு	趣味
பாடம்	レッスン
பாடம்	教訓
பாடம்	チュートリアル
பாடம்	授業
தற்காலிக	キャッシュ
பெருக்கல்	倍数
பெருக்கல்	複数
பெருக்கல்	乗算
பெருக்கல்	乗法
படையெடுப்பு	侵略
படையெடுப்பு	侵攻
வத்திக்கான்	バチカン
வாய்ப்புகள்	機会
ஓசோன்	オゾン
மறைந்து	隠し
மறைந்து	消える
வட்டி	利息
வட்டி	利子
வாடிக்கையாளர்	顧客
வாடிக்கையாளர்	カスタマー
வாடிக்கையாளர்	クライアント
வாடிக்கையாளர்	競合
வழங்கல்	配達
வழங்கல்	フィード
வழங்கல்	デリバリー
வழங்கல்	配送
வழங்கல்	配信
வேலைகள்	ジョブ
வேலைகள்	求人
ஆயுள்	ライフ
ஆயுள்	生命
ஆயுள்	生活
ஆயுள்	人生
போலி	偽造
போலி	フェイク
போலி	ダミー
பிரான்சில்	ブラウン
சிற்பம்	切り分け
சிற்பம்	彫刻
சரஸ்வதி	サラスヴァティー
இணையான	並列
இணையான	パラレル
நண்பர்	友だち
நண்பர்	友達
நண்பர்	友人
நண்பர்	フレンド
தேன்	はちみつ
தேன்	蜂蜜
தேன்	ハニー
ஈராக்	イラク
தாயின்	母親
தாயின்	おかあさん
வாங்க	買う
வாங்க	購入
எடுத்துக்காட்டுகள்	実例
எடுத்துக்காட்டுகள்	用例
ஜனாதிபதி	社長
ஜனாதிபதி	大統領
ஜனாதிபதி	プレジデント
வாகனங்கள்	乗り物
வாகனங்கள்	車両
சூழலியல்	生態学
சூழலியல்	エコロジー
தாக்கல்	ファイリング
சூத்திரம்	公式
சூத்திரம்	数式
பெர்லின்	ベルリン
பள்ளிவாசல்	モスク
சோதனைகள்	テスト
சோதனைகள்	トライアル
சோதனைகள்	試練
பயனுள்ள	実効
பயனுள்ள	役に立つ
சந்திக்கும்	会う
அங்கீகாரம்	認定
அங்கீகாரம்	認識
உம்	ウム
நெருக்கடி	危機
தானம்	寄付
தானம்	募金
சமநிலை	バランス
சமநிலை	残高
ஆபத்து	リスク
ஆழம்	奥行き
ஆழம்	深度
ரயில்வே	鉄道
டென்மார்க்	デンマーク
நாணயம்	通貨
உயரிய	グレート
ஓட்டங்கள்	ジョギング
அலுமினியம்	アルミニウム
பென்	ベン
ஜூலியன்	ジュリアン
ஆர்தர்	アーサー
தேவைகள்	要件
ஆழ்ந்த	ディープ
ஆழ்ந்த	深い
பலம்	強度
பலம்	体力
விளக்கங்கள்	詳細
சமீபத்தில்	最近
செறிவு	濃度
செறிவு	光度
செறிவு	輝度
கேட்க	尋ねる
கேப்	ケープ
வழக்குகள்	事例
வழக்குகள்	ケース
விடுமுறை	休暇
விடுமுறை	バケーション
விடுமுறை	ホリデー
விடுமுறை	祝日
விடுமுறை	バカンス
விடுமுறை	休日
வாழ்வியல்	生き方
வாழ்வியல்	ライフスタイル
நிறுவனர்	開祖
நிறுவனர்	創始者
நிறுவனர்	主催
நிறுவனர்	組織
விண்மீன்கள்	星空
இழந்த	ロスト
எழுத்தறிவு	識字
பிரதம	プライム
பிரதம	素数
துணைக்	サブ
கிறித்தவம்	キリスト教
இனப்பெருக்கம்	品種
இனப்பெருக்கம்	生殖
இனப்பெருக்கம்	模写
திறமை	才能
திறமை	タレント
திறமை	スキル
செவ்வாய்	火曜
செவ்வாய்	火曜日
செவ்வாய்	火星
செவ்வாய்	マーズ
செவ்வாய்	ジュピター
செவ்வாய்	木星
மெட்டல்	メタル
மெட்டல்	金属
கட்டளை	指揮
கட்டளை	コマンド
தீர்மானம்	解像度
தீர்மானம்	裁決
முஸ்லிம்கள்	イスラム教
முஸ்லிம்கள்	ムスリム
சபையில்	会衆
தழுவி	抱擁
குவாண்டம்	量子
கணிப்பு	ペース
கணிப்பு	予言
கணிப்பு	予測
கண்டுபிடிப்பு	革新
கண்டுபிடிப்பு	イノベーション
கண்டுபிடிப்பு	発明
பெறப்பட்டது	受信
பெறப்பட்டது	受け取り
எவரும்	なし
எதையும்	何でも
நோர்வே	ノルウェー
எதிர்மறை	ネガ
எதிர்மறை	マイナス
எதிர்மறை	ネガティブ
பருத்தி	木綿
பருத்தி	コットン
நாய்	ワンコ
நாய்	イヌ
பினாங்கு	ペナン
விபத்தில்	アクシデント
விபத்தில்	事故
விபத்தில்	クラッシュ
இருப்பு	株式
இருப்பு	バランス
இருப்பு	ストック
இருப்பு	残高
ஜோர்ஜ்	ホルヘ
இயந்திரங்கள்	ロボット
நிலக்கரி	石炭
பதிவுகள்	インプレッション
பதிவுகள்	レコード
இருமுறை	二度
இருமுறை	二回
கட்டிட	建物
முட்டை	エッグ
பட்டி	メニュー
ஜீ	ジー
நட்சத்திர	恒星
நட்சத்திர	スター
இளவரசர்	プリンス
மறுபடியும்	再び
மறுபடியும்	アゲイン
குணம்	属性
இறக்குமதி	輸入
ஹாரி	ハリー
சைமன்	シモン
சைமன்	サイモン
தீவிரமாக	マジ
பணத்தை	貨幣
பணத்தை	金銭
பணத்தை	マネー
பணத்தை	お金
கொச்சி	高知
ஏழை	かわいそう
காயம்	怪我
காயம்	傷口
காயம்	外傷
ஆசை	欲望
ஆசை	ウィッシュ
விளம்பரம்	プロモーション
விளம்பரம்	宣伝
விளம்பரம்	広告
மூலிகைகள்	ハーブ
நீலம்	ブルー
நீலம்	青い
நீலம்	青色
மாதிரிகள்	サンプル
வருகிறார்கள்	来る
வருகிறார்கள்	カミング
தொடர்ந்தது	続き
தொடர்ந்தது	継続
கனவு	ドリーム
வானிலை	気象
வானிலை	天候
வானிலை	天気
கபூர்	カーフール
கபூர்	カプール
தேற்றம்	定理
ஆணை	指示
ஆணை	指揮
ஆணை	命令
ஆணை	コマンド
தாக்கும்	攻撃
தாக்கும்	進撃
அன்றாட	デイリー
நிகழ்வில்	イベント
நிகழ்வில்	行事
தொண்டு	チャリティー
தொண்டு	チャリティ
போர்க்	戦争
பரம்பரை	継承
பரம்பரை	相続
நேர்காணல்	インタビュー
நேர்காணல்	面接
சிலைகள்	彫像
சிலைகள்	偶像
மிதமான	中道
சிகாகோ	シカゴ
எங்கே	どこ
தினசரி	デイリー
தசை	マッスル
தசை	筋肉
வயலின்	バイオリン
வயலின்	ヴァイオリン
மறுத்து	拒否された
பன்னிரண்டு	十二
வாக்கு	投票
கிளப்	クラブ
கிளப்	棍棒
ஆவி	幽霊
ஆவி	スピリット
ஆவி	ゴースト
ஆவி	精神
ஆவி	お化け
பெட்டிகள்	ボックス
மெய்	トゥルー
மெய்	子音
மெய்	本当
ஹால்	ホール
எச்சரிக்கை	アラート
எச்சரிக்கை	注意
எச்சரிக்கை	警告
எச்சரிக்கை	警報
அரங்கு	演劇
அரங்கு	劇場
சாந்தி	シャンティ
தங்கப்	ゴールド
விரல்	フィンガー
பூச்சிகள்	昆虫
ஜோ	ジョー
கலாச்சாரம்	文化
கலாச்சாரம்	カルチャー
கட்டுப்பாடுகள்	コントロール
கட்டுப்பாடுகள்	制限
மகாபாரதம்	マハーバーラタ
தகவலை	情報
பன்றி	ブタ
அதிகரிக்க	増やす
அதிகரிக்க	増額
அதிகரிக்க	増加
ஏற்க	受け入れる
ஏற்க	受け入れ
ஏற்க	承認
ரோம்	ローマ
அட்டைகள்	カード
நேரியல்	線形
நேரியல்	リニア
முக்கியமானது	重要
படிப்பு	コース
படிப்பு	勉強
தட்டச்சு	タイピング
காப்பு	バックアップ
காப்பு	ブレスレット
வசனம்	台詞
கற்கள்	ストーンズ
எழுத்துகள்	文字
எழுத்துகள்	キャラクター
ஏவுகணை	ミサイル
நீராவி	スチーム
நீராவி	蒸気
காய்ச்சல்	インフルエンザ
காய்ச்சல்	発熱
விட்டம்	直径
ஆன்மீக	スピリチュアル
மறைந்த	隠し
நடிக்க	鋳造
சமமான	イコール
சமமான	等しい
பட்டை	バー
பட்டை	バール
சடங்கு	儀式
குகை	洞窟
குறைக்கும்	減らす
நாற்பது	四十
மண்டலங்கள்	ゾーン
மண்டலங்கள்	リージョン
மண்டலங்கள்	地域
கோல்டன்	黄金
கோல்டன்	ゴールデン
அகமது	アーメド
